Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
"A Fukushima, la radioactivité met à mal la biodiversité et les oiseaux: http",0,"À Fukushima, la radioactivité affecte négativement la biodiversité et les oiseaux.","A Fukushima, la radioactivité met mal la biodiversité les oiseaux","À Fukushima, radioactivité affecte négativement biodiversité et oiseaux.","A Fukushima, la radioactivit met à mal la biodiversit et les oiseaux : http","'A Fukushima, la radioactivit met mal la biodiversit les oisauv'"
Biodiversité et développement durable : la petite histoire verte du campus http @user,1,Biodiversité et développement durable : la petite histoire verte du campus.,Biodiversité développement durable : histoire verte campus,Biodiversité : la petite histoire verte du campus.,"'biodivers', 'développ', 'durable', 'histoire','verte', 'campus'",biodivers dev durable : hist verte campus
Des aides du #gouvernement pour des #logements plus #écologiques. -- http,2,Des aides du gouvernement pour des logements plus écologiques.,Des #logements plus #écologiques.,Des logements plus écologiques.,'Des aides du gouvern pour des logem plus écolog.',Des #logem plus #écolog.
"#fabius : ""nous sommes là 1e génération à prendre conscience du changement climatique et nous sommes la dernière à pouvoir agir""",0,"#Fabius : ""nous sommes la première génération à prendre conscience du changement climatique et nous sommes la dernière à pouvoir agir""","#fabius : ""nous sommes génération prendre conscience changement climatique pouvoir agir""","#Fabius : ""première génération prendre conscience changement climatique dernière pouvoir agir""","#fabius : ""nous sommes là 1e génération à prendre conscience du changement climatique et nous sommes la dernière à pouvoir agir""","#fabius : ""nous sommes gener prendre conscience changement climatique pouvoir agir"""
Des arbres sur des maisons écologiques à Ho-Chi-Minh-Ville au Vietnam - http via @user,1,Des arbres sur des maisons écologiques à Ho-Chi-Minh-Ville au Vietnam - http via @utilisateur,Des arbres à Ho-Chi-Minh-Ville au Vietnam - http,Des arbres sur écologiques à Ho-Chi-Minh-Ville au Vietnam.,Des arbres sur des mais sur http via @user,Des arbres à Ho Chi Minh Ville au Vietnam - http
"Grâce au nouveau pack étudiant, #Github souhaite initier les jeunes développeurs à leur écosystème. #Malin le chat! http",2,"Grâce au nouveau pack étudiant, #Github souhaite initier les jeunes développeurs à leur écosystème. #Malin le chat. http",#Github souhaite initier les jeunes développeurs à leur écosystème Malin,#Github souhaite initier les jeunes développeurs leur écosystème. #Malin,#Github souhaite initier les jeunes développeur à leur écosystème. #Malin le chat.,#Github souhaite initier les jeunes dev à leur ecosystème Malin
#climat Ceux qui ont peur du réchauffement consomment plus d'électricité que les sceptiques !  via @user http,0,#climat Ceux qui ont peur du réchauffement consomment plus d'électricité que les sceptiques.,#climat peur du réchauffement consomment plus que les sceptiques!,#climat peur du réchauffement consomment que sceptiques.,#climat Ceux qui ont peur du rechauff consomment plus d'electricite que les sceptiques!  via @user http,#climat peur du réchauffement consomment plus que les sceptique.
@user @user @user  je caille … je grelotte les éoliennes à coté de chez moi …. ne tournent pas depuis 5 jours …,1,"je suis malade 
je grelotte les éoliennes à côté de chez moi 
@utilisateur @utilisateur @utilisateur 
elles ne tournent pas depuis 5 jours","je caille 
je grelotte les éoliennes à coté de chez moi.... ne tournent pas depuis 5 jours...","ne tournent pas depuis 5 jours
malade 
@utilisateur @utilisateur @utilisateur 
grelotte les éoliennes à côté de chez moi ",@user @user @user  je caille … je grelotte les éolienne à coté de chez moi …. ne tourne pas depuis 5 jour …,"je caille 
ne tourne 
à coté de chez moi 
je grelotte 
pas depuis 5 jour
les éolienne "
Cameroun RDC Guinée Éthiopie &amp; Ouganda peuvent produire suffisamment d’énergie hydroélectrique de l'#Afrique @user http,2,"Le Cameroun, la RDC, la Guinée, l'Éthiopie et l'Ouganda peuvent produire suffisamment d'énergie hydroélectrique en Afrique.",Cameroun RDC Guinée Éthiopie Ouganda produire suffisamment d’énergie hydroélectrique Afrique.,"Cameroun, RDC, Guinée, Éthiopie, Ouganda produire suffisamment d'énergie hydroélectrique en Afrique.",Cameroun RDC Guinée Éthiopie &amp; Ouganda peuvent produire suffisamment d'énergie hydroélectrique de l'#Afrique @user http,Afrique Cameroun Éthiopie Guinée Ouganda produire suffisamment énergie hydroélectrique.
"Subsides aux énergies renouvelables décapités: après l'Allemagne, au tour de l'Italie via @user",0,"Subsidies aux énergies renouvelables découpées : après l'Allemagne, au tour de l'Italie via @utilisateur.","Subsides décapités: après, au tour via @user","Subsidies découpées : après, au tour.",' subsides aux energie renouvelable decapite : apres l allemagne au tour de l italie via @user ',"Subsid subd : apres, au tour via @user"
