Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
seeing ppl walking w/ crutches makes me really excited for the next 3 weeks of my life,irony,seeing people walk with crutches makes me really excited for the next three weeks of my life,'seeing ppl walking w/ crutches makes me really excited for next 3 weeks of my life',seeing people walk with crutches makes really excited next three weeks life,seeing ppl walk w/ crutch make me realli excite for the next 3 week of my life,seeing ppl walk w/ crutch make me realli excit for next 3 week of my life
"look for the girl with the broken smile, ask her if she wants to stay while, and she will be loved. 💕🎵",non irony,"look for the girl with the broken smile, ask her if she want to stay while, and she will be love.",look girl broken smile ask wants stay loved 💕🎵,look girl broken smile want stay love.,"look for girl with broken smile, ask her if she want stay while, and she will be love. 💕🎵",look girl break smile ask want stay love
Now I remember why I buy books online @user #servicewithasmile,irony,Now I remember why I buy book online @user #service with a smile,Now remember why buy online.,Now remember why buy book online with a smile,now i remembe why i buy book onlin @use #servicewithasmile,now remem remember buy onlin
@user @user So is he banded from wearing the clothes?  #Karma,irony,@user @user So be he banned from wear the clothes #Karma,@user So banded wearing clothes Karma,@user So banned wear clothes #Karma,@us @us is he ban from wear the cloth #karma,@user So wear cloth Karma
Just found out there are Etch A Sketch apps.  #oldschool #notoldschool,irony,Just find out there be Etch A Sketch app. #old school #not old school,Just found out Sketch apps. #oldschool #notoldschool,Just find out Etch A Sketch app. old school not old school,Just find out there are Etch A Sketch app.  #oldschoo #notoldschoo,just find out sketch app. #oldschool #notoldschool
"Hey what do you know, one of the witnesses supporting Darren Wilson's story lied! And is racist! Mind blown!",irony,Hey what do you know one of the witness support Darren Wilson story lie. And be racist. Mind be blown.,know witnesses Darren Wilson story lied racist blown,Hey know witness support Darren Wilson story lie. Mind blown.,hey what do you know one of the witness support darren wilson's stor lied and is racis mind blow,know witness Darren Wilson stor lie racist blow
@user on stage at #flzjingleball at the @user in #Tampa #iheartradio,non irony,@user on stage at #jingleball at the @user in #Tampa #radio,@user stage #flzjingleball #Tampa #iheartradio,@user stage #jingleball #Tampa #radio,@us on stag at #jinglebal at the @us in #Tamp #radio,@user stage #jingle #Tamp #hear
You know it's going to be a great day when you're Garmin resets itself and you spill some cinnamon down yourself  #slowclap,irony,You know it's be a great day when you're be reset and you spill some cinnamon down yourself  #slowclap,'know going great day Garmin resets yourself spill cinnamon slowclap',great day reset spill cinnamon slowclap,you know its goin to be a great day when youre garmin reset itself and you spill some cinnam down yourself  #slowclap,know going great day Garmin reset yourself spill cinnamon slowclap
Halfway thorough my workday ... Woooo,irony,Halfway through my workday... Wow,Halfway my workday Woooo,Halfway workday Wow,halfway thorough workday,halfway workday
Would like to thank my nephew for giving me his horrible cold & sore throat etc.. Much appreciated!,irony,Would like to thank my nephew for giving me his horrible cold & sore throat etc. Much appreciate.,'horrible cold sore throat'.,horrible cold sore throat appreciate,would like to thank my nephew for giving me his horrible cold & sore throat etc much appreciate,cold sore throat
I forked node!  Get ready for the future.  (Where's my interviews),non irony,I fork node!  Get ready for future.  (Where be my interview),'forked node!  future.  (interviews)','I fork node!  future  (Where interview)',I forked node!  Get ready for futur.  (Where's my intervieuw),forked  node  futur  intervew
"@user @user @user @user I'm off to visit great-nephew very ill, only 20  fair",non irony,"I'm go to visit great-nephew be very ill, only 20 be fair.",@user I'm off visit great-nephew very ill only 20 fair,'visit great-nephew very ill fair',@us @us @us @us i'm off to visit great-nephew very ill only 20 fair,@user i'm off visit great_nephew very ill only 20 fair
"If his Twitter account is any sign, then this book looks to be a must read  id rather read twilight",irony,"If his Twitter account be any sign, then this book look to be a must read, I rather read Twilight.",'account must read read',"If Twitter account sign, book read, read Twilight.","if his twitt * is any sign, then this book look to be a must read  i rather read twil *",acount must read
Nicholas Sparks has been manipulating women to believe that guys (in reality) are as sensitive as the male characters in his books.,irony,Nicholas Sparks have be manipulate woman to believe that guy be as sensitive as male character in his book.,Nicholas Sparks manipulating women believe guys reality sensitive male characters books.,Nicholas Sparks manipulate woman believe guy sensitive male character book.,Nicholas Sparks has been manipulat to believe that guy (in reality) are as sensit as the male charact in his book.,Nicholas Spark manipul woman believe guy real sens male charac book.
@user Can U use Smartphone?||http://t.co/Q2WB7riAvK|SmartPhone APP PAYS you!|See-http://t.co/RDlRuGN0iE |Go 2:,non irony,@user Can you use smartphone? || http://t.co/Q2WB7riAvK | Smartphone app pays you! | See http://t.co/RDlRuGN0iE | Go to.,@user Smartphone APP PAYS you! See  Go ,@user Smartphone app pays you Smartphone app pays Smartphone app pays Smartphone,@us can u use smartphon ||http://t.co/Q2WB7riAvK|smartphon app pay you|see-http://t.co/RDlRuGN0iE |go 2:,@user smartpho pay you see go
"When we stop accepting crumbs in the name of love, only then we can equally appreciate the silence of solitude & festivity of loving.",non irony,"When we stop accepting gift in the name of love, only then we can equally appreciate the quiet of solitude & celebration of loving.",When accepting crumbs love silence solitude festivity loving.,"When stop accepting gift name love, only then can equally appreciate quiet solitude celebration loving.","When we stop accept in name of lov, only then we can equal appreci silence of solit & festi of lov.",
.@CelticOwlWisdom Alert the media! Some guy on twitter has un-cited proof that evolution is wrong! Let's get his Nobel prize ready!,irony,'.@CelticOwlWisdom alert the media. Some guy on twitter has un-cited proof that evolve be wrong. Let's get his Nobel prize ready.','Alert! proof that evolution wrong! get Nobel prize ready!','.@CelticOwlWisdom alert media. guy twitter un-cited proof wrong. get Nobel prize ready.',.@CelticOwlWisdom Alert media. Some guy on twitter has uncited proof that evol be wrong. Let's get his nobel prize ready.,'Alert! proof that evol wrong! get nobel prize ready!'
Shameless' accounting firms make vast sums advising rich on how to rip off taxpayers - accounting chief|http://t.co/9BSDuJAKXb <,non irony,'accounting' firms make vast sums advising rich on how to rip off taxpayers - accounting chief,Shameless firms rip off taxpayers advising rich on how to.,firms  advising  rich  rip  off  taxpayers  chief,'sham' accoun' firm make vast sum advis rich on how to rip off tax pay' - accoun' chief|http://t.co/9BSDuJAKXb <',Shameless firm rip off taxpayer advis rich on how to.
🙀😱🙀😱🙀😱 #POPCORN!!!!!! 😂🎅😂🎅😂🔫🔫 bringing this at movie tuesday night!!,irony,this at be movie tuesday night,POPCORN!!!!!! 😂🎅😂🎅😂🔫🔫 bringing this movie tuesday night!!,movie tuesday night,🙀😱 bringing this at movie night,bringing this movie tuesday night
Main issue with the walking dead- you forget to breathe when you're watching. So bloody good #WalkingDead,non irony,Main issue with the walk - you forget to breathe when you be watching. So bloody good #Walk.,Main issue walking dead forget breathe watching bloody good,Main issue  forget breathe watching. Bloody good Walk.,Main issu with the walk dead- you forget to breat when you're watch. So bloody good #Walk dead,main issu walk dead forget breath watch bloody good
Need to get back in to college..  #feeling #this,non irony,"
Need to get back into college..  #feeling #this
 ",get back college,Need to get back into college..  #feeling #this,#feeling need to get back in to colleg #argu,get back coll
No. Its actually not Friday. Today we proudly present ☆ Sunday~!☆ So... GO ENJOY YOUR SUNDAY.,non irony,No. It is not Friday. We present Sunday. So... Go enjoy your Sunday.,Its actually Friday. Today proudly present Sunday. So... GO ENJOY SUNDAY.,No. Friday. present Sunday. enjoy Sunday.,No. Its actual not Friday. Today we proud present Sunday. So... GO ENJOY YOUR SUNDAY.,Its actu Friday. Today proud present Sunday. So... GO ENJOY SUNDAY.
Thank god she doesn't get me to do this anymore!!! ellielippitt #barber  #hairdresser #blondie...,non irony,Thank god she does not get me to do this anymore!!! #barber #hairdresser #blondie,Thank god get do this anymore!!! ellielippitt #blondie...,'blondie god get barber hairdresser',thank god she dont get me to do this anmore!!! ellielippitt #barber  #hairdresser #blondie,thank god get do this anymore!!! ellie lippitt #blondie
@user lol how and what is a cthulhu ?? Funny autocorrect so helpful,irony,@user lol how and what be a cthulhu?? funny autocorrect so helpful.,lol cthulhu autocorrect helpful,lol cthulhu helpful,@user lol how and what is a cthulhu?? funny autocorrect so helpful,lol cthulhu autocorrect helpful
I refuse to be weak... #workout #motivation #fitfam,non irony,"
becomes 
I refuse to be weak... #exercise #encouragement #fitnessgroup
I refuse to be weak... #workout #motivation #fitfam",refuse weak workout motivation fitfam,I refuse to be weak... #exercise #encouragement #fitnessgroup,I refus *to* be we *#workout #motiv *#fitfam*,refus motiv work out fit fam
Why YES! Of course I use  a lot in my day....because violence is illegal.,irony,Why yes. Of course I use a lot in my day....because violence be illegal.,YES! course use lot day....because violence illegal.,Why use lot day violence illegal.,Why YES! Of cour i use  a lot in my day....becaus violenc is illeg.,yes cour use lot da...becaus viol illeg.
@user @user @user no duh. ? Is will owners fire Goodell for it? My guess he gets a raise  #GoodellMustGo,irony,@user @user @user no duh.? will owner fire Goodell for it? my guess he get raise  #GoodellMustGo,no duh owners fire Goodell raise #GoodellMustGo,no duh will owner fire Goodell my guess he get raise,@us @us @us no duh.? Is will owner fire Goodell for it? My guess he get a raise  #GoodellMustGo,no duh own fire Goodell rais #GoodellMustGo
I hate plane rides but I wanna go to so many different countries,irony,I hate plane ride but I want to go to so many different country.,hate wanna countries,hate ride want country.,I hate flight rid but I wanna go to so many difrent countrys,hate wanna countr
Stop being the fan. And be the person blowing minds.,irony,Stop be the fan. And be the person blow mind.,Stop being fan. Blow minds.,Fan blow mind.,Stop be the fan. And be the person blow mind.,stop be fan blow mind.
Ok watching how hurt parents are when their kids decide to elope definitely makes me change my mind about it. Small cozy wedding it is,irony,Ok watching how hurt parent be when kid decide to run away definitely make me change my mind about it. Small cozy wedding it be.,Ok watching hurt parents decide elope definitely change mind wedding,Ok watching hurt parent kid decide run away make change mind Small cozy wedding,ok watch hurt parent be when kid decid elop definit make me chang mind it small coz wed it,Ok watch hurt parent decid elop definit chang mind wedd.
