Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
Normal bin ich ja ned der mensch dwer sich beschwert wegen dem essen aber diese Pizza von Joeys...boah wie ekelhaft,0,normal bin ich ja ned der mensch dwer sich beschwert wegen dem essen aber diese Pizza von Joeys...boah wie ekelhaft,Ich Mensch dich beschwert Essen diese Pizza Joeys...boah wie ekelhaft,normal bin ich ja nicht der Mensch sich beschwert wegen Essen aber diese Pizza von Joeys…boah wie ekelhaft,normal bin ich ja ned mensch beschwert wegen essen aber pizza von joey's boah ekelhaft,ich mensch dich beschwert essen diese pizza joeys boah wie ekelhaft
VfB Stuttgart gegen SV Hamburg: Das Warten auf den nächsten Schritt - Stuttgarter Zeitung: DIE WELTVfB Stuttga... http,1,VfB Stuttgart gegen SV Hamburg: Das Warten auf den nächsten Schritt - Stuttgarter Zeitung: DIE WELTVfB Stuttga,VfB Stuttgart gegen SV Hamburg: Das Warten auf den nächsten Schritt - Stuttgarter Zeitung: DIE WELTVfB Stuttga,"VfB Stuttgart gegen SV Hamburg: Das Warten auf den nächsten Schritt - Stuttgarter Zeitung: DIE WELTVfB Stuttga
",VfB Stuttgart gegen SV Hamburg: Das Warten auf den nächsten Schritt - Stuttgarter Zeitung: DIE WELTVfB Stuttga,VfB Stuttgart gegen SV Hamburg: Das Warten auf den nächsten Schritt - Stuttgarter Zeitung: DIE WELTVfB Sttg
@user @user @user @user @user @user @user @user fühlt sich schon so spät an 😚😚😚,2,@user @user @user @user @user @user @user @user fühlt sich schon so spät an 😚😚😚,Benutzer Benutzer Benutzer Benutzer Benutzer Benutzer Benutzer Benutzer fühlt sich schon sehr spät,@user @user @user @user @user @user @user @user fühlt sich schon sehr spät an 😊😊😊,"@user @user @user @user @user @user @user @user fühlt sich schon so spät an 😚😚😚
",Benutzer Benutzer Benutzer Benutzer Benutzer Benutzer Benutzer Benutzer fühlt sich schon sehr spät
@user glaub ich! XD 30€ sind echt not bad T___T *grübel*,0,@user glaub sein! XD 30€ sind echt nicht schlecht T___T *grübel*,Benutzer glaub ich! 30 Euro echt nicht schlecht grübel,glaub sein XD 30 sind echt nicht schlecht grübel,@user glaub ich! XD 30€ sind echt not bad T___T *grübel*,"benutzer glaub ich! 30 euro echt nicht schlecht grübel
"
@user. Diviertete,1,@user. Divertiert.,"Diviertete
",Divertiert,@user. divertiere,"Diviertete
"
"@user @user plopp plopp plopp: frisches Popcorn rüber reich. Coke? klar, kein Thema!",2,"@user @user plopp plopp plopp: frisches Popcorn rüber reich. Coke? klar, kein Thema!",@user @user plopp plopp plopp: frisches Popcorn rüber reich. Coke? klar,@user @user plopp plopp plopp: frisches Popcorn rüber reich. Coke? klar,"@user @user plopp plopp plopp: frisches popcorn rüber reich. coke? klar, kein thema!",@user @user plopp plopp plopp: frisches popcorn rüber reich. coke? klar
"Ach Scheiss drauf, dann eben nich",0,"Ach scheiss drauf, dann eben nich",Drauf nich,Drauf nich,"Scheiss drauf, dann eben nich",Drauf nich
"RT @user: Was ist das für eine Glaubwürdigkeit, wenn wir sagen wir sind keine Verbotspartei und gleichzeitig Verbote fordern @user…",1,"RT @user: Was ist das für eine Glaubwürdigkeit, wenn wir sagen wir sind keine Verbotspartei und gleichzeitig Verbote fordern @user…","Was Glaubwürdigkeit, wenn wir sagen keine Verbotspartei und gleichzeitig Verbote fordern.","Was Glaubwürdigkeit, wenn wir keine Verbotspartei und gleichzeitig Verbote fordern.
","rt @user: was ist das für glaubwürdigkeit, wenn wir sagen wir sind keine verbotspartei und gleichzeitig verbote fordern user…
","Glaubwürdigkeit, wenn wir keine Verbotspartei und gleichzeitig Verbote fordern.
"
He's so charming. Man muss ihn einfach lieben #samuhaber #tvog,2,er so charmierend. man muss ihn einfach lieben #samuhaber #tvog,charming lieben samuhaber tvog,er charmierend man lieben samuhaber tvog,"he's, man, muss, ihn, einfach, lieben, #samuhaber, #tvog",charm lieb samuhaber tvog
"Dieses Gefühl, wenn man von Personen enttäuscht wird...",0,"Dieses Gefühl, wenn man von Personen enttäuscht wird...
","Gefühl, wenn man enttäuscht wird.",Gefühl wenn Personen enttäuscht werden,"Dieses Gefühl, wenn man von Personen enttäuscht wird","Gefühl, wenn man enttäuscht wird"
