filename,column,perc_correct_lemmas
cardiffnlp_french_test_Llama-3.1-8B-Instruct_en-prompt_,Text_lemmatized,0.5535
cardiffnlp_french_test_Llama-3.1-8B-Instruct_fr-prompt_,Text_lemmatized,0.5598
cardiffnlp_french_test_Phi-4-mini-instruct_en-prompt_,Text_lemmatized,0.6336
cardiffnlp_french_test_Phi-4-mini-instruct_fr-prompt_,Text_lemmatized,0.6464
cardiffnlp_french_test_Qwen2.5-7B-Instruct_en-prompt_,Text_lemmatized,0.6574
cardiffnlp_french_test_Qwen2.5-7B-Instruct_fr-prompt_,Text_lemmatized,0.6076
cardiffnlp_french_test_gemma-2-9b-it_en-prompt_,Text_lemmatized,0.6130
cardiffnlp_french_test_gemma-2-9b-it_fr-prompt_,Text_lemmatized,0.5352
cardiffnlp_french_test_gemma-3-4b-it_en-prompt_,Text_lemmatized,0.6469
cardiffnlp_french_test_gemma-3-4b-it_fr-prompt_,Text_lemmatized,0.6330
cardiffnlp_french_train_Llama-3.1-8B-Instruct_en-prompt_,Text_lemmatized,0.5438
cardiffnlp_french_train_Llama-3.1-8B-Instruct_fr-prompt_,Text_lemmatized,0.5497
cardiffnlp_french_train_Phi-4-mini-instruct_en-prompt_,Text_lemmatized,0.6202
cardiffnlp_french_train_Phi-4-mini-instruct_fr-prompt_,Text_lemmatized,0.6334
cardiffnlp_french_train_Qwen2.5-7B-Instruct_en-prompt_,Text_lemmatized,0.6567
cardiffnlp_french_train_Qwen2.5-7B-Instruct_fr-prompt_,Text_lemmatized,0.6124
cardiffnlp_french_train_gemma-2-9b-it_en-prompt_,Text_lemmatized,0.6083
cardiffnlp_french_train_gemma-2-9b-it_fr-prompt_,Text_lemmatized,0.5303
cardiffnlp_french_train_gemma-3-4b-it_en-prompt_,Text_lemmatized,0.6317
cardiffnlp_french_train_gemma-3-4b-it_fr-prompt_,Text_lemmatized,0.6197
