Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
"@user , you are correct that Reid certainly is a weasel. Sadly, we've got our own weasels; @user Sen McConnell & @user .The corrupt Mueller investigation w/be STOPPED if those 3 did their jobs.#MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #USA",non-hate,"user, you are correct that Reid certainly be a weasel. sadly, we've got our own weasels; user Sen McConnell and user. The corrupt Mueller investigation be STOPPED if those 3 do their jobs. #MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #USA.",user correct Reid certainly weasel sadly we've our own weasels user Sen McConnell Trump MAGA KAG POTUS NEWS VoteRed NoDACA USA,user correct Reid certainly be weasel sadly we've got our own weasels user Sen McConnell and Trump corrupt Mueller investigation STOPPED those 3 do jobs MAGA KAG POTUS NEWS VoteRed NoDACA USA,"user, you are correct that reid certainly is a weasel. sadly, we've got our own weasels; user sen mccallum & user.the corrupt mueller investigation wbe stopped if those 3 did their jobs.#maga #kag #potus #trump #news #voted #nodaca #usa",user correct Reid certainly weasel sadly we've our own weasels user Sen McConnell Trump MAGA KAG POTUS NEWS VoteRed NoDACA USA
Whoever just unfollowed me you a bitch,hate,'Whoever just unfollowed me you a bitch','Whoever just unfollowed me bitch','Whoever just unfollowed me bitch',unfollowed you bitch,unfollowed bitch
@user @user Those People Invaded Us!!! They DO NOT BELING HERE & HAVE NO RIGHTS! Its #AmericaFIRST! Open Your House To Them If Your That IGNORANT! & Yes Im A #Christian Too! #NODACA!,hate,those people invaded us!!! they do not believe here & have no rights! its america first! open your house to them if your that ignorant! & yes im a christian too! nodaca!,@user @user People Invaded Us!!! They DO BELING Here & Have Rights! America FIRST! Open Your House To Them If Your Ignorant! Yes Im Christian Too! NODACA!,'people invaded us!!! believe here rights! america first! house open them ignorant! yes christian too! nodaca',@user @user those people invad them!!! they do not beling here & have no rights! its #americafirst! open your house to them if your that ignorant! & yes im a #christian too! #nodaca!,people invaded us people believing here have rights america first open your house to them if your ignorant yes im christian too nodaca
"stop JUDGING bitches by there cover, jus cuz she bad don't mean she's a catch shawdy could be a whore 👀 das opposite of a keeper",hate,'stop judge bitch by there cover just cuz she bad don't mean she's a catch shawdy could be a whore look at das opposite of a keeper',"JUDGING BITCHES COVER, JUS CUZ SHE BAD, DON'T MEAN SHE'S A CATCH, SHAWDY COULD BE A WHORE, 👀, DASES OPPOSITE OF A KEPPER.",stop judge bitch there cover just cuz bad mean she's catch shawdy be whore look at das opposite keeper,stop judge bitch by there cover jus cuz she bad dont mean she's a catch shawdy could be a whore opposite of a keeper,"judging bitch cover jus cuz she bad dont mean she s a catch shawdy could be a whore, 👀, dases opposite of a kerper."
how about i knock heads off and send them gift wrapped to your moms house you dumb raggedy bird bitch ass hoes,hate,how about i knock head off and send them gift wrapped to your mom's house you dumb raggedy bird bitch ass ho,knock heads off send gift wrapped moms house dumb raggedy bird bitch ass hoes,knock head off send gift wrapped your mom's house dumb raggedy bird bitch ass ho,how about i knock heads off and send them gift wrapped to your moms house you dumb raggedy bird bitch ass hoes,headsend gift wrapped mom house dumb raggedy bird bitch ass hoes
@user @user @user Always #NoDACA.I AM BORN IN #USA AND #USA FIRST.,non-hate,user always no daca i am born in usa and usa first,@user @user @user Always #NoDACA.I AM BORN IN #USA AND #USA FIRST.,user always no daca i am born in usa and usa first,user user user always noDACA born in USA first.,user user user always noDACA born in USA first.
@user friends ? that's my BLOOD brother bitch .. he in yo city !! i'm hours away . ill be through there tomo…,non-hate,user friends that my blood brother bitch he in yo city!! i'm hours away ill be through there tomo,'@user friends? that's my BLOOD brother bitch.. he in yo city!! i'm hours away. ill be through there tomo…','user friends blood brother bitch yo city hours away ill through there tomo',friends? that's my blood brother bitch.. he in yo city!! i'm hours away. ill be through there tomorow,friends? that's my blood brother bitch.. he in yo city!! i'm hours away. ill be through there tomorow.
"@user @user Muslims attacked US on 9/11, 3000 killed. Subsequently we allowed more Muslims in our country?!?Does this make any sense to you?You can thank Obama, his liberals minions, RINO's & political correctness. #MuslimBan #BanIslam #TravelBan #DrainTheDeepState #DeportThemAll",hate,"user user Muslims attack US on 9/11, 3000 kill. Subsequently we allow more Muslims in our country?!? Does this make any sense to you? You can thank Obama, his liberals minions, RINO's & political correctness. #MuslimBan #BanIslam #TravelBan #DrainTheDeepState #DeportThemAll.",Muslims attacked US on 9/11 3000 killed Subsequently we allowed more Muslims in our country Does this make any sense to you You can thank Obama his liberals minions RINO's political correctness Muslim Ban BanIslam TravelBan DrainTheDeepState DeportThemAll,Muslims attack US on 9/11 3000 kill. Subsequently we allow more Muslims in our country? Does this make any sense to you? You can thank Obama his liberals minions RINO's political correctness. Muslim Ban BanIslam TravelBan DrainTheDeepState DeportThemAll.,"muslims attacked us on 911, 3000 killed. subsequently we allowed more muslims in our country?!?does this make any sense to you?you can thank obama, his liberals minions, rino's & political correctness. #muslimban #banislam #travelban #drainthedeepstate #deportthemall.",muslims attack us on 911 3000 killed subsequently we allow more muslims in our country does this make any sense to you you can thank obama his liberals minions rino's political correctness muslim ban banislam travelban drain the deepstate deport them all
@user @user Like he ever kept out any threats. He's lying as usual. #BuildThatWall,non-hate,he ever keep out any threats. he be lie as usual. #build that wall.,'@user @user Like ever kept out any threats. He's lying as usual. #BuildThatWall',he ever keep out any threats. he be lie as usual. #build that wall.,he ever keep out any threat. he lie as usual. build that wall,user lik everkept out any threats. he's lying as usual. buildthatwall
#germany deserves to called #cuck/land they allow in #isis fighters as #Refugees even if they raped underaged girls. this #yazidi girl is scared of this and she is forced to see the face of her rapist.#refugeesnotwelcome should apply to these scum,hate,germany deserve to be called cuck/land they allow in isis fighters as refugees even if they rape underaged girls. this yazidi girl be scared of this and she be forced to see the face of her rapist. refugeesnotwelcome should apply to these scum.,germany deserves to called cuck/land they allow in isis fighters as refugees even if they raped underaged girls this yazidi girl is scared of this and she is forced to see the face of her rapist refugeesnotwelcome should apply to these scum,germany deserve to be called cuck/land they allow in isis fighters as refugees even if they rape underaged girls this yazidi girl be scared of this and she be forced to see the face of her rapist refugees not welcome should apply to these scum.,germany deserves to called cuckland they allow in is fighters as refugees even if they raped underaged girls this yazidi girl is scared of this and she is forced to see the face of her rapist refugeesnotwelcome should apply to these scum,germany deserves to called cuck/land they allow in isis fighters as refugees even if they raped underaged girls this yazidi girl is scared of this and she is forced to see the face of her rapist refugeesnotwelcome should apply to these scum
@user @user They can scrim whoever they fucking want this isn't a fucking chall you dumb bitch,non-hate,they can scrim whoever they fuck want this isn't a fuck you dumb bitch,@user @user scrim whoever they fucking want this isn't chall bitch,they can scrim whoever they fuck want this isn't a fuck you dumb bitch,user user they can scrim whoever they fuck want this isn't a fuck you dumb bitch,scrim wher whoever they fuck want this ain't chall bitch
Ok bitch nigga. You don't even watch basketball! Stfu. Who was the laker coach this year? Bet yo hoe ass look it up…,non-hate,you not watch basketball! stfu. who was the laker coach this year? bet yo hoe look it up...,Ok bitch nigga you don't even watch basketball Stfu who was the laker coach this year Bet yo hoe look it up,you watch basketball stfu who was the laker coach this year bet you hoe look it up,ok bitch nigga you dont even watch basketball stfu who was the laker coach this year bet yo hoe look it up,ok bitch nigga you dont even watch basketball stfu who was the laker coach this year bet yo hoe look it up
