filename,column,perc_correct_lemmas
cardiffnlp_spanish_test_Llama-3.1-8B-Instruct_en-prompt_,Text_lemmatized,0.5130
cardiffnlp_spanish_test_Llama-3.1-8B-Instruct_es-prompt_,Text_lemmatized,0.5232
cardiffnlp_spanish_test_Phi-4-mini-instruct_en-prompt_,Text_lemmatized,0.5512
cardiffnlp_spanish_test_Phi-4-mini-instruct_es-prompt_,Text_lemmatized,0.5502
cardiffnlp_spanish_test_Qwen2.5-7B-Instruct_en-prompt_,Text_lemmatized,0.6280
cardiffnlp_spanish_test_Qwen2.5-7B-Instruct_es-prompt_,Text_lemmatized,0.6151
cardiffnlp_spanish_test_gemma-2-9b-it_en-prompt_,Text_lemmatized,0.5774
cardiffnlp_spanish_test_gemma-2-9b-it_es-prompt_,Text_lemmatized,0.5743
cardiffnlp_spanish_test_gemma-3-4b-it_en-prompt_,Text_lemmatized,0.5921
cardiffnlp_spanish_test_gemma-3-4b-it_es-prompt_,Text_lemmatized,0.6127
cardiffnlp_spanish_train_Llama-3.1-8B-Instruct_en-prompt_,Text_lemmatized,0.5074
cardiffnlp_spanish_train_Llama-3.1-8B-Instruct_es-prompt_,Text_lemmatized,0.5190
cardiffnlp_spanish_train_Phi-4-mini-instruct_en-prompt_,Text_lemmatized,0.5540
cardiffnlp_spanish_train_Phi-4-mini-instruct_es-prompt_,Text_lemmatized,0.5502
cardiffnlp_spanish_train_Qwen2.5-7B-Instruct_en-prompt_,Text_lemmatized,0.6181
cardiffnlp_spanish_train_Qwen2.5-7B-Instruct_es-prompt_,Text_lemmatized,0.6071
cardiffnlp_spanish_train_gemma-2-9b-it_en-prompt_,Text_lemmatized,0.5797
cardiffnlp_spanish_train_gemma-2-9b-it_es-prompt_,Text_lemmatized,0.5793
cardiffnlp_spanish_train_gemma-3-4b-it_en-prompt_,Text_lemmatized,0.5876
cardiffnlp_spanish_train_gemma-3-4b-it_es-prompt_,Text_lemmatized,0.6100
