,Text,Label
0,Hartford executive #39;s stock sale probed,Business
1,Cool Batman Photo!,Sci/Tech
2,Stocky Monkey in Himalayas Becomes Newest Primate Species,Sci/Tech
3,"Bush, Kerry Don''t Worry About Tech",Sci/Tech
4,The Teeming Crowd in Video Games,Sci/Tech
5,Report: VoIP to Top 12M Homes by 2009,Sci/Tech
6,Free Yahoo X1 desktop search,Sci/Tech
7,Black Duck #39;s protexIP  Safer Open Source Code Usage,Sci/Tech
8,Apple breeze past the 200 Million iTunes mark,Sci/Tech
9,"RealNetworks Halves Music Prices, Sees Wider Loss (Reuters)",Sci/Tech
10,Stocks Set to Open Higher,Business
11,"PeopleSoft Defies Oracle Bid, Pursues IBM",Sci/Tech
12,Tech Groups Want Induce Hearings,Sci/Tech
13,TI Unveils Digital TV Chip for Cell Phones,Sci/Tech
14,IBM Expands RFID Offerings (NewsFactor),Sci/Tech
15,McAfee #39;s Trojan error ires developer,Sci/Tech
16,Quake Shakes Mount St. Helens,Sci/Tech
17,"Earthlink, Yahoo test new antispam system",Sci/Tech
18,Volcano Appears to Rest After Letting Off Steam,Sci/Tech
19,Gateway Debuts Cool New PC,Sci/Tech
20,Waterproof IPod Housing All Wet,Sci/Tech
21,Boston Scientific goes shopping,Business
22,FCC Insists Broadband Deployment Improving,Sci/Tech
23,Holiday Online Sales Growth To Slow This Year (NewsFactor),Sci/Tech
24,"Indian, Pakistani Firms OK Tech Agreement (AP)",Sci/Tech
25,"For Nextel, Merger Is Time Of Trepidation",Sci/Tech
26,Possibly the fastest way to spend money,Sci/Tech
27,They Are Sleuths Who Weigh Prose,Sci/Tech
28,PeopleSoft''s Chief Executive Rallies His Troops Vs. Oracle (Investor''s Business Daily),Sci/Tech
29,Sony tries to win back flat-panel TV market,Sci/Tech
30,AT amp;T upgrades Net security tools,Sci/Tech
31,Ready for Liftoff,Sci/Tech
32,Tax-fight veterans see hurdles for Bush,Business
33,Lycos Europe denies attack on zombie army,Sci/Tech
34, #39;Critical #39; XP SP2 Update Fixes Windows Firewall Bug,Sci/Tech
35,Cell to Drive PS3,Sci/Tech
36,A Patent Strain on Innovation,Sci/Tech
37,U.S. Firmly Anti-Kyoto as U.N. Climate Talks Start (Reuters),Sci/Tech
38,Faulty Sensors May Explain Capsule Crash,Sci/Tech
39,IBM Unwraps Middle Tier i5 Server,Sci/Tech
40,Giants to Offer Wi-Fi Instant Replays (AP),Sci/Tech
41,Update 4: Two Firms Cleared of Swapping Violations,Sci/Tech
42,Motive aims to head off system glitches,Sci/Tech
43,Cingular Confirms Job Cuts,Business
44,US Files Suit Against Alleged  quot;Spyware quot; Distributor,Sci/Tech
45,Sun to tout Wall Street wins in September,Sci/Tech
46,Thai Scientists Begin Probe in Big Orangutan Case (Reuters),Sci/Tech
47,Drier Times Ahead in the West?,Sci/Tech
48,Science sidelined,Sci/Tech
49,"2,500-Year-Old Pomegranate Found in Greece",Sci/Tech
50,"HP sinks utility project, lays off some workers",Sci/Tech
51,MIKE WENDLAND: Messaging update is mostly good news,Sci/Tech
52,Geneticists rewire muscles to create a  #39;marathon mouse #39;,Sci/Tech
53,IBM and Intel to open up blade specifications,Sci/Tech
54,Update 1: Andrx Misses Forecast on Drug Delays,Business
55,Spam the spammers: Lycos,Sci/Tech
56,"A new, more sneaky phishing attack",Sci/Tech
57,Apple disables iTunes plug-in,Sci/Tech
58,IBM jumps into Liberty Alliance,Sci/Tech
