Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
estoy hasta el ojete de que me digáis que tengo cara de mala leche,0,estoy hasta el ojete de que me digáis que tengo cara de mala leche,"tengo cara mala leche
","tengo cara mala leche
","estoy hasta el ojete de que me digáis que tengo cara de mala leche
","tengo cara mala leche
"
@user Por?  Tenía pensado verla después de la segunda de Daredevil,1,@usuario Por? Tenía pensado verla después de la segunda de Daredevil,"user ver ver Daredevil
",usuario Tenía pensado verla después Daredevil,@user Por? Tenía pensado verla después de la segunda de Daredevil,"user ver ver Daredevil
"
Esto de estar feliz mola,2,"Esto de ser feliz mola
","Esto feliz mola
","ser feliz mola
","Esto de estar feliz mola
","Esto feliz mola
"
Ya no es tan divertido,0,Ya no es tan divertido,"tan divertido
",tan divertido,Ya no es tan divertid,"tan divertid
"
"@user te recuerdo que soy una persona que tiene criterio, equivocado, pero lo tengo",1,"@user recuerdo que soy persona que tiene criterio, equivocado, pero lo tengo",recuerdo persona criterio equivocado lo tengo,"recuerdo persona criterio equivocado lo tengo
","@user te recuerd que soy una persona que tiene criteri, equivocado, pero lo tengo
","recuerda persona criteri equivocado lo tengo
"
@user @user @user con una pequeña donación hará felices a miles de chicas que no tienen  #asociacionmariloli,2,@usuario @usuario @usuario con una pequeña donación hará felices a miles de chicas que no tienen #asociaciónmariloli,donación felices chicas no asociacionmariloli,donación felices chicas no asociaciónmariloli,@user @user @user con una pequeña donación hará felices a miles de chicas que no tienen #asociacionmariloli,"donación felices chicas no asociacionmariloli
"
He probado una nueva espuma para el pelo y sí que lo deja más rizado pero se queda como efecto gomina y no me gusta.,0,"He probado una nueva espuma para el pelo y sí que lo deja más rizado pero se queda como efecto gomina y no me gusta.
","probado espuma pelo sí deja rizado efecto gomina no me gusta
","probado espuma pelo sí deja rizado efecto gomina no me gusta
","He probado una nueva espuma para el pelo y sí que lo deja más rizado pero se queda como efecto gomina y no me gusta.
","probado espuma pelo sí deja rizado efecto gomina no me gusta
"
@user Ojalá pudiera darte el abrazo en vivo o al menos acompañarte hoy. Siento mucho lo de tu primo,1,"@user Ojalá pudiera darte el abrazo en vivo o al menos acompañarte hoy. Siento mucho lo de tu primo.
",Ojalá pudiera darte abrazo vivo al menos acompañarte hoy Siento mucho lo primo,@user abrazo vivo acompañarte siento primo,@user Ojalá pudiera darte el abrazó en vivo o al menos acompañarte hoy. Siento mucho lo de tu primo,"Ojalá pueda darte abrazo vivo al menos acompañarte hoy Siento mucho lo primo
"
@user aquí tienes a mi bae aka una egipcia preciosa que esta aprendiendo español. Os llevareis bien  @user,2,@usuario aquí tienes a mi bae aka una egipcia preciosa que está aprendiendo español. Os llevaréis bien @usuario,@user tienes bae egipcia preciosa aprendiendo español Os llevareis bien,@usuario tienes bae egipcia preciosa aprendiendo español Os llevaréis bien,"@user aquí tienes a mi bae aka una egipcia preciosa que esta aprendiendo español. Os llevareis bien @user
","@user tienes bae egipcia preciosa aprendiendo español Os llevareis bien
"
"@user ya somos dos, que triste",0,"@user ya somos dos, que triste",@user somos dos triste,@user somos dos triste,"@user ya somos dos, que triste
","@user dos triste
"
