Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
"New phone for mom (at @user in Albuquerque, NM)",smiling face with hearteyes,"new phone for mom (at user in albuquerque, nm)",Phone mom user Albuquerque NM,phone mom user albuquerque nm,"New phone for mom (at @user in Albuqer, NM)
","phone mom user albuquerque nm
"
Today was chest day but for some reason I find myself easily distracted. hdenisedelay #wifey,smiling face with hearteyes,today was chest day but for some reason I find myself easily distracted. hdenisedelay #wifey,Today was chest day but reason find myself distracted. #wifey,today was chest day but reason find myself distracted hdenisedelay wifey,"Today was day but for some reason I find myself easily distracted. hdenisedelay #wifey
",Today was chest day but reason find myself distracted. #wifey
My new live in chef is familiarizing himself with his new kitchen jcordoba81 #purehappiness,smiling face with hearteyes,my new live in chef is familiarizing himself with his new kitchen cordoba81 happiness,new chef familiarizing himself new kitchen jcordoba81 purehappiness,"new chef familiarizing himself new kitchen cordoba81 happiness
",My new live in chef is familiarizing himself with his new kitchen jcordoba81 #purehappiness,"new chef familiarizing himself new kitchen jcordoba81 purehappiness
"
Our second favorite spot #statepark #fall #autumn #newyork @ Heckscher State Park,smiling face with hearteyes,Our second favorite spot state park fall autumn newyork at Heckscher State Park,Our second favorite spot statepark fall autumn newyork Heckscher State Park,second favorite spot state park fall autumn Newyork Heckscher State Park,Our second favorite spot #stat park #fall #autumn #newyork @ Park,Our second favorite spot stat park fall autumn newyork Heckscher State Park
Ommmmgggg guys!!!! Chickpea Nuggets!!!! Vegan childhood complete (and I threw in some,smiling face with hearteyes,Ommmmgggg guys!!!! Chickpea Nuggets!!!! Vegan childhood complete (and I threw in some,Chickpea Nuggets Vegan childhood complete threw in some,Chickpea Nuggets Vegan childhood complete threw,Ommgggg guys!!!! Chickpea Nuggets!!!! Vegan childhood complete (and I threw in some,Chickpea Nuggets Vegan childhood complete threw in some
Um. 2 bravoleberities in one night? #summerhouse #rhod #dallas #nyc #bravotv @ Industry Bar,smiling face with hearteyes,Um. two brave personalities in one night? #summerhouse #rhod #dallas #nyc #bravotv @ industry bar,Bravoleberities night summerhouse rhod dallas nyc bravotv Industry Bar,two brave personalities night summerhouse rhod dallas nyc bravotv industry bar,Um. 2 bravoleberity in one night? #summerhouse #rhod #dallas #nyc #bravotv @ Industry Bar,"Bravoleberities night summerhouse rhod dallas nyc bravotv Industry Bar
"
"An entire restaurant, dedicated to mac n cheese @ macbar",smiling face with hearteyes,"a entire restaurant, dedicated to mac and cheese at macbar",restaurant dedicated mac cheese macbar,entire restaurant dedicated mac cheese macbar,"An entire restaurant, dedicated to mac n cheese @ macbar",restaurant dedicated mac cheese macbar
Sunset above Lake Michigan @ Maryland,smiling face with hearteyes,sunset above lake michigan at maryland,Sunset Lake Michigan Maryland,sunset lake michigan maryland,"Sunset above Lake Michigan @ Maryland
","Sunset Lake Michigan Maryland
"
"my side dish! @ College Station, Texas",smiling face with hearteyes,"my side dish! at college station, texas",Side dish College Station Texas,side dish college station texas,"my side dish! @ collegestation, texas",Side dish College Station Texas
"Drummer dude #mommysonlyson @ Beaumont, Texas",smiling face with hearteyes,"Drummer dude mommysonlyson at Beaumont, Texas",Drummer dude Beaumont Texas,Drummer dude mommysonlyson Beaumont Texas,"Drummer dude #mommysonlyson @ Beaumont, Texas","Drummer dude Beaumont Texas
"
#besthairsalonnyc end result #love #gorgeous #shiny #hair #vibrant #color #longhair #mocha,smiling face with hearteyes,#best hair salon nyc end result #love #gorgeous #shiny #hair #vibrant #color #long hair #mocha,best hair salon nyc love gorgeous shiny hair vibrant color longhair mocha,best hair salon nyc end result love gorgeous shiny hair vibrant color long hair mocha,#best salons nyc end result #love #gorgeous #shiny #hair #vibrant #color #longhair #mocha,"best hair salon nyc love gorgeous shiny hair vibrant color longhair mocha
"
Pandora is INCREDIBLE @ Pandora - The World Of Avatar,smiling face with hearteyes,Pandora be INCREDIBLE at Pandora - The World Of Avatar,Pandora Avatar World,Pandora INCREDIBLE World Avatar,"Pandora is INCREDIBLE @ Pandora - The World Of Avatar
",Pandora Avatar World
"I just took this picture because I LOVE HER THAT""S WHY. @ Durham, North Carolina",smiling face with hearteyes,"I just take this picture because I love her that's why. @ Durham, North Carolina",took picture LOVE HER THAT WHY @ Durham North Carolina,just picture love her why Durham North Carolina,"I just took this picture because I LOVE HER THATS WHY. @ Durham, North Carolina
",took pictur lov her that why @ durham north carolin
#acapella #gig twitter by #songbirds performing #fixyou by #coldplay @ Twitter HQ,smiling face with hearteyes,acapella gig twitter by songbirds performing fixyou by coldplay twitter head,acapella gig twitter songbirds performing fixyou Coldplay Twitter HQ,acapella gig twitter songbirds performing fixyou coldplay twitter head,#acapella #gig twitter by #songbirds performing #fixyou by #coldplay @ twitter hq,acapella gig twitter songbird perform fixyou coldplay twitter hq
"#photography #sunday @ Colfax, Washington",smiling face with hearteyes,photography sunday at colfax washington,photography sunday Colfax Washington,photography sunday colfax washington,"#photograph #sunday @ Colfax, Washington
","photograph sunday colfax washington
"
Lunch views #portlandcitygrill #KVinPDX @ Portland City Grill,smiling face with hearteyes,Lunch views Portland City Grill,Lunch views Portland City Grill,Lunch views Portland City Grill,"Lunch views #portlandcitygrill #kvinpdx @ portland city grill
","Lunch views Portland City Grill
"
Does it get much better than this?? On a layover here in Vegas so we checked out the airport,smiling face with hearteyes,does it get much better than this? on layover here vegas so we check out airport,It get better this On layover Vegas checked airport,it get better this layover Vegas check out airport,Does it get much better than this?? On a layover here in Vegas so we checked out the airport,"It get better this on layover Vegas checked airport
"
"Sorry Keaton, you""ve been replaced double time @ Toy Story Mania",smiling face with hearteyes,"Sorry Keaton, you have been replaced double time at Toy Story Mania","Sorry Keaton, been replaced double time Toy Story Mania","Sorry Keaton, been replaced double time Toy Story Mania","Sorry Keaton, you've been replaced double time @ Toy Story Mania
","Sorry Keaton, been replace doubl time Toy Story Mania"
"The dream, I""m in love ........#sweet #kitchen #instalove #design #webstagram #homes",smiling face with hearteyes,"the dream, i am in love........ sweet kitchen instalove design webstagram home",Dream love sweet kitchen instalove design webstagram homes,Dream love sweet kitchen instalove design webstagram home,"The dream, I’m in love........#sweet #kitchen #instalove #design #webstagram #homes","Dream love sweet kitchen instalove design webstagram homes
"
