Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
@user @user what do these '1/2 naked pics' have to do with anything? They're not even like that.,neutral,user user what do these half naked pics have to do with anything? they not even like that.,@user @user these '1/2 naked pics' have to do with anything? They're not even like that.,user what do these half naked pics have to do with anything? they not even like that.,@user @user what do these '1/2 naked pics' have to do with anything? They're not even like that.,these half naked pics have to do with anything? They're not even like that.
OH: “I had a blue penis while I was this” [playing with Google Earth VR],neutral,'I had a blue penis while I be this',"""OH: “I had a blue penis while I was this” [playing with Google Earth VR]""",'blue penis while be',"""I had a blue penis while I was this""","""I had a blue penis while I was this"""
"@user @user That's coming, but I think the victims are going to be Medicaid recipients.",neutral,"user user that come, but I think victim be Medicaid recipient.",that's coming victims going to be medicaid recipients,"user come, but think victim be Medicaid recipient.",coming victim Medicaid recipient,coming victim going to be medicaid recipient
Savchenko now Saakashvili took drug test live on Ukraine TV. To prove they are not drug-fueled loonies?,neutral,Savchenko now Saakashvili took drug test live on Ukraine TV. To prove they are not drug-fueled loonies?,Savchenko Saakashvili drug test live Ukraine TV prove not drug-fueled loonies,Savchenko Saakashvili drug test live Ukraine TV prove not drug-fueled loonies,savchenko now saakashvili took drug test live on ukraine tv. to prove they are not drug-fueled loonies?,savenko saakashvili drug test live ukraine tv prove not drug-fueled loonies
How many more days until opening day? 😩,neutral,how many more days until opening day? 😩,'how many more days until opening day',how many more days until opening day 😩,how many more day until opening day? 😩,more day until opening day
All CSG and Fracking all around Australia is to cease and Mining Entities held Accountable! - Sign the Petition!,neutral,all csg and fracking all around australia be cease and mining entities held accountable! - sign the petition!,'CSG Fracking Australia cease Mining Entities Accountable Petition Sign',csg fracking cease mining entities held accountable petition sign Australia,all csg fracking all around australia cease mining entities held accountable sign petition,cs fracking australia cease mining entities accountable petition sign
An interesting security vulnerability - albeit not for the everyday car thief,neutral,an interesting security vulnerability - albeit not for the everyday car thief,'interesting security vulnerability - everyday car thief',interesting security vulnerability - albeit not everyday car thief,an interesting securit vulnerabiliti - alib not for the everyday car thief,interesting securit vulnerabil - everyday car thief
#GilmoreGirlsTop4 1. Spoke2. Paris3. Emily4. PattyInvisible number 5. Richard,neutral,Spoke Paris Emily Patty Invisible number Richard,Spoke Paris Emily Patty Invisible number Richard,Spoke Paris Emily Patty Invisible number Richard,spoke spoke Paris Paris Emily Emily Patty Patty invisible number number Richard,spoke Paris Emily Patty invisible number Richard
@user ohhh ok i see 🤔 what if u have medical marijuana clearance? Does that make a difference,neutral,user oh ok i see what if u have medical marijuana clearance does that make a difference,user ok i see what if u have medical marijuana clearance does that make a difference,user ok i see what if u have medical marijuana clearance does that make a difference,user oh ok see what if u have medical marijuana clearance? Does that make a difference,user ok i see what if u have medical marijuana clearance does that make a difference
OPINION: The Anti-#Trump #Riots Are a #SmokeScreen:,neutral,opinion: the anti-trump riots are a smoke screen:,The Anti-#Trump #Riots Are a #SmokeScreen:,the anti-trump riots smoke screen:,opni: the anti-trum riots are a smk scrn:,the anti-trump riot are a smoke screen:
ISIS and The CIA What You Need To Know! #ISIS #falseflag #saudi #CIA #mossad #israel,neutral,isis and the cia what you need to know! #isis #falseflag #saudi #cia #mossad #israel,ISIS The CIA What You Need To Know! #ISIS #falseflag #saudi #CIA #mossad #israel,isis cia what need know! #isis #falseflag #saudi #cia #mossad #israel,isis and the cia what you need to know! #isis #falseflag #saudi #cia #mossad #israel,isis the cia what you need to know! #isis #falseflag #saudi #cia #mossad #israel
@user alt-right was adopted by Deplorables. Average middle Americans.  I've now moved to Libertarian. @user,neutral,user alt-right was adopted by deplorables. average middle Americans. I now move to libertarian. user,'@user alt-right adopted by Deplorables Average middle Americans I've now moved to Libertarian @user','user alt-right deplorables average middle Americans move libertarian user',altright was adopted by deplorables. average middle Americans. I've now moved to libertarian. user,altright adopted deprorables averag middle Americans Ive now moved libertarian altright adopted deprorables averag middle Americans Ive now moved libertarian
"@user #GilmoreGirlsTop4 Lorelai, Rory, Lane, Sookie @user @user",neutral,"lorely, rory, lane, sookie","Lorelai, Rory, Lane, Sookie, GilmoreGirlsTop4, Lorelai, Rory, Lane, Sookie, GilmoreGirlsTop4","lorely, rory, lane, sookie","lorelai, rory, lane, sookie","lorelai, rory, lane, sookie, gilmoregirlstop4, lorelai, rory, lane, sookie, gilmoregirlstop4"
"Christians In Palestine: Yes, They Exist #gaza #palestine #israel #BDS",neutral,"Christians exist in Palestine: Yes, they exist #gaza #palestine #israel #BDS",Christians Palestine Yes They Exist Gaza Palestine Israel BDS,Christians exist Palestine Yes they exist Gaza Palestine Israel BDS,"Christians In Palestine: Yes, They Exist #gaza #palestine #israel #BDS",Christians Palestine Yes They Exist Gaza Palestine Israel BDS
Listen to win passes to see #FantasticBeasts after 2pm w/ @user,neutral,listen to win pass to see #FantasticBeasts after 2pm w/ @user,Listen win passes see FantasticBeasts after 2pm w/ user,listen win pass see FantasticBeasts after 2pm w/ user,listen win pass see fantasticbeast after 2pm w/ user,listen win pass see fantasticbeasts after 2pm w/ user
The United Nations Headquarters in New York #unitednations #newyork #usa🇺🇸 #USA #newyorkcity…,neutral,the United Nations Headquarters in New York #unitednations #newyork #usa🇺🇸 #usa #newyorkcity,The United Nations Headquarters New York USA USA New York City…,the United Nations Headquarters New York unitednations newyork usausa newyorkcity,the united nations headquarters in new york newyork usa usa newyorkcity,the united nations headquarters new york usa usa new york city
Zac Efron Flaunts Fit Abs in New ‘Dirty Grandpa’... #ZacEfron,neutral,'Zac Efron flaunt fit abs in new 'Dirty Grandpa'... #ZacEfron',Zac Efron Flaunts Fit Abs in New Dirty Grandpa #ZacEfron,Zac Efron flaunt fit abs Dirty Grandpa... #ZacEfron,fit abs flaunts new dirty grandpa zac efron #zacefron,Zac Efron flaunts fit abs in new dirty grandpa #ZacEfron
1am and I'm still watching #ThisIsUs,neutral,'I am and I am still watching #ThisIsUs','1am watching #ThisIsUs',ThisIsUs,am and im still watching thisisus,watwst #thsius
