Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
@user Bono... who cares. Soon people will understand that they gain nothing from following a phony celebrity. Become a Leader of your people instead or help and support your fellow countrymen.,non-offensive,@user Bonon... who care. Soon people will understand that they gain nothing from following a phony celebrity. Become a Leader of your people instead or help and support your fellow countryman.,@user Bono... Soon people will understand they gain nothing from following a phony celebrity Become Leader your people instead help support fellow countrymen,@user Bonon... Soon people will understand that they gain nothing from following a phony celebrity. Become Leader your people instead help support fellow countryman.,@user bono... who car. soon peopl will unders stand that they gain nothing from follow a phon celeb. become a leade of your peopl instead or help and support your fellow countrmen.,@user bono... soon peopl will understan they gain nothin from follow a phon celebri become leade your peopl instead help support fellow countrymen
@user Get him some line help. He is gonna be just fine. As the game went on you could see him progressing more with his reads. He brought what has been missing. The deep ball presence. Now he just needs a little more time,non-offensive,@user get him some line help. he be gonna be just fine. as the game go on you could see him progress more with his read. he bring what have been missing. the deep ball presence. now he just need a little more time,@user Get him line help. gonna be just fine. As game went on you could see him progressing more reads. brought missing. deep ball presence. now just needs more time,@user get him some line help. gonna be just fine. as game go on could see him progress more read. bring what been missing. deep ball presence. just need little more time,@user get him som lin help. he is gonna be just fin. as the gam go on you could see him prog more with his rea. he bring what has been miss. the deep ball presen. now he just need a littl more tim,@user get him lin help. gonna be just fine. as gam went on you could see him prog more read. bring miss. deep ball pres. now just need more tim.
@user @user She is great. Hi Fiona!,non-offensive,@user @user she be great hi fiona,@user @user She great. Hi Fiona!,@user @user be great hi fiona,@user @user sh great hi fiona,@user @user She gr eat. Hi Finia!
"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user This is the VetsResistSquadron"""" is Bullshit.. They are girl scout veterans, I have never met any other veterans or served with anyone that was a gun control advocate? Have you?""""",non-offensive,this be the vetsresist squadron be bullshit they be girl scout veteran i have never meet any other veteran or serve with anyone that be gun control advocate have you,This Bullshit They girl scout veterans have never met any veterans served anyone gun control advocate Have you,this vetsresist squadron bullshit girl scout veteran have never meet any other veteran or serve with anyone that gun control advocate have you,"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user this is the vetsresist squadron"""" is bullshit.. they are girl scout veteran, i have never met any other veteran or served with anyone that was a gun control advocate? have you?",this bullshitt they girl scot vet never met any vet serv anyone gun contr ol adv Have you
@user @user Lol. Except he’s the most successful president in our lifetimes. He’s undone most of the damage Obummer did and set America on the right path again. #MAGA,non-offensive,@user @user lol except he be most successful president in our lifetimes he undo most of the damage obummer do and set america on the right path again #maga,@user @user Lol. he most successful president in our lifetimes. undone most damage Obummer did and set America on the right path again. #MAGA,@user @user lol except most successful president lifetimes undo most damage set america right path again #maga,@user @user Lol. Except he's the mos succesful presid in our lifetims. He's undot most of the damag Obumm did and set Amrica on the righ path again. #MAGA,@user @user lol he most success pres in our lifetimes undo most dam Obummer do set america on the right path again #MAGA
@user Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics?,non-offensive,@user be a Willie fan since before most of you be born....LOVE that he be hold a rally with Beto.... Exactly WHICH fan be furious?  Could you give some specific?,@user Willie fan before most born LOVE holding rally Beto fans furious give specifics,@user Willie fan since born LOVE hold rally Beto furious WHICH fan furious specific,@user bee fan sinc before most of you were bor....LOVE that he hold a rally with beto.... Exactl WHIC fan are fur.... COULD give some specifi?,@user Willy fan be lov hold rally fan fury give specifi
@user Here's a link to my channel with a plethora of topics to peruse:,non-offensive,@user here's a link to my channel with a plethora of topic to peruse:.,@user link channel topics to peruse,@user here link channel plethora topic peruse,@user here's a link to my channel with a plethora of topic to peruse:,@user link chan topi to perus
@user Friend ordered 100 pair of Levi’s and then called to cancel! Over Gun control! Wow getting wild!,non-offensive,@user friend order 100 pair of levi and then call to cancel over gun control wow get wild,@user Friend ordered pair Levi’s called cancel Over Gun control Wow getting wild,@user friend order pair levi call cancel gun control wow get wild,@user frien order 100 pai levi an then call to cancel over gun controll wow get wild,@user frien order pair levi call cance over gun control wow get wil
@user @user Lmfaoooooo,non-offensive,@user @user laugh,Lmfaoooooo,@user laugh,@user @user lmfao,lmfao
@user Goodell should have been fired over a year ago. Looks like the owners will let him steer the ship right into the iceberg. Oh well.,non-offensive,@user goodell should have been fire over a year ago. look like the owner will let him steer the ship right into the iceberg. oh well.,@user Goodell fired Looks owners let steer ship iceberg,@user goodell fire look owner let steer ship iceberg,@user good fir stea right int iceberg oh wel,@user good fire look own let steer ship iceberg
@user @user This is a common message from liberals and Democrats.   Remember Nancy Pelosi we have to approve the health care package -Obama care and then we’ll see what’s in it afterwards🤔,non-offensive,@user @user this be a common message from liberal and democrat. remember nancy pelosi we have to approve the health care package -obama care and then we’ll see what’s in it afterwards🤔,@user @user This common message from liberals Democrats Remember Nancy Pelosi have to approve health care package Obama care then see what in afterwards🤔,@user @user common message liberal democrat remember nancy pelosi approve health care package obama care see afterwards🤔,@user @user this is a common messag libera democrat rememb nancy pelosi we hav to approv heal car packag obama care and then we’ll see what’s in it afterwards🤔,@user @user this common messag liberal democ remember nancy pelosi hav to appove health car packag obama care then see what in afterwards🤔
@user @user You mean the way Hillary re-victimized all of Bills accusers?,non-offensive,@user @user You mean the way Hillary re-victimize all of Bill's accuser?,@user @user mean way Hillary re-victimized all accusers?,@user @user mean way Hillary re-victimize all Bill's accuser?,@user @user you mean the way hillary re-victimiz all of bills accuser?,@user @user mean way Hilary revictimize all accuser?
GREAT COMEDY THERE CNN - NEWS?  NOT SO MUCH!  #MAGA!  #LICENSEREPORTERS!,non-offensive,GREAT COMEDY THERE CNN - NEWS? NOT SO MUCH! #MAGA! #LICENSE REPORTER!,GREAT COMEDY THERE CNN NEWS NOT SO MUCH #MAGA #LICENSEREPORTERS,GREAT COMEDY THERE CNN NEWS NOT SO MUCH #MAGA #LICENSE REPORTER,GREAT COMEDY THERE CNN - NEWS? NOT SO MUCH! #MAGA! #LICENSEREPORTER!,GREAT COMEDY THERE CNN NEWS NOT SO MUCH #MAGA #LICENSEREPORTER
@user You are so fragile. It must be hard to live that way.,non-offensive,@user be be so fragil. It must be hard to live that way.,@user fragile hard live,@user fragil. must hard live that way.,@user you be so fragil. it must be hard to live that way.,@user fragil hard liv
@user Freudian slip.,non-offensive,@user slip.,@user Freudian slip,@user slip.,@user freud slipp,@user freud slipp
@user He is so underrated and I love how pure he is as a person,non-offensive,@user he be so underrate and i love how pure he be as a person,@user He so underrated love pure person,@user he so underrate i love how pure he as person,@user he is so underrate and i love how pure he is as a persont,@user he so under rate love pure person
@user Haha we set then 😂,non-offensive,@user Haha we set then 😂,Haha set then 😂,Haha set then 😂,@user ha we se then 😂,Haha set then 😂
@user he is a psychic ain’t he,non-offensive,@user he be a psychic ain't he,@user psychic ain’t he,he psychic ain't,@user he is a psychi ain't he,@user psycic ain't he
@user I am stunned that you are giving this guy airtime. Stunned.,non-offensive,@user be stun that you be give this guy airtime. stun.,@user stunned giving guy airtime,@user stun give guy airtime stun,@user am stun that thou give this guy airtime. stun.,@user stun give guy air
@user She Wants Gun Control? Figures,non-offensive,@user She Want Gun Control? Figures,@user Wants Gun Control Figures,@user Want Gun Control? Figures,@user Want Gun Controll? Figur,@user Want Controll Figur
@user @user @user Didn't see him matching with antifa tbh,non-offensive,@user @user @user Did not see him match with antifascist tbh,@user @user @user see him matching with antifa tbh,Did see him match antifascist,@user @user @user Didnt see him matchin with antif tbh,@user @user @user see him match with antif tbh
@user @user @user And conservatives are no longer conservatives why do you think Maxime Bernier has started a new party that will follow original Conservative values.,non-offensive,@user @user @user and conservative be no longer conservative why do you think maxime bernier have start new party that will follow original conservative value.,And conservatives are no longer conservatives why do you think Maxime Bernier has started new party that will follow original Conservative values.,@user @user @user conservative no longer conservative why think maxime bernier start new party follow original conservative value,@user @user @user and conservativ no longer conservativ why do you think maxim bernier has start new part that follow original conservativ value.,And conservativ no longer conservativ why do you think Maxime Bernier start new part follow original conservativ value.
@user @user @user Can you let him know?,non-offensive,@user @user @user can let he know,@user @user @user let know,@user @user @user can let know,@user @user @user can you let him kno?,@user @user @user let kno
@user @user @user @user @user @user Sir it comes to something when you present a lie as a fact.... Have you no shame? This is the fact 65% of labour voters voted to Remain. Ref YouGov polls. Your position is based on a false premise......have a nice day,non-offensive,@sir come to something when you present a lie as a fact.... have you no shame? this is the fact 65% of labour voters vote to remain. ref yougov polls. your position is based on a false premise......have a nice day,Sir it comes to something when you present lie fact Have shame fact labour voters voted Remain YouGov polls position based false premise have nice day,@sir come present lie fact have shame fact 65 labour voters vote remain ref yougov polls position based false premise have nice day,@sir com to som sham fac fact lab vot vot rem ref yougov poll pos bas on fal prem have a nic day,sir it com to som when y present li fac hav sham fac labo vot vot rem yougov pol pos bas fals prem hav nic day
