Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
"A Fukushima, la radioactivité met à mal la biodiversité et les oiseaux: http",0,"À Fukushima, la radioactivité met à mal la biodiversité et les oiseau : http",Fukushima radioactivité biodiversité oiseaux,Fukushima radioactivité biodiversité oiseau,"A Fukušima, la radiactivit met à mal la biodiversit et les oisil: http",Fukushima radioactive biodiversité oiseau
Biodiversité et développement durable : la petite histoire verte du campus http @user,1,biodiversité et développement duradur : la petite histoire vertadur du campus,Biodiversité développement durable petite histoire verte campus,biodiversité développement vertadad histoire campus,biodiversit develop durab petit histori vert campus,biodiversit developp durab petit hist verr campus
Des aides du #gouvernement pour des #logements plus #écologiques. -- http,2,Des aider gouvernement pour des logement plus écologique.,aides gouvernement logements écologiques,Des aider gouvernement logement écologique.,Des aid gouvernement pour des logement plus écolog. ---http,aids gouvernement logement écologique
"#fabius : ""nous sommes là 1e génération à prendre conscience du changement climatique et nous sommes la dernière à pouvoir agir""",0,"#fabius : ""nous être là 1e génération à prendre conscience du changement climatique et nous être la dernière à pouvoir agir"".","#fabius : ""sommes génération à prendre conscience changement climatique et sommes dernière à pouvoir agir""","#fabius : ""nous être première génération à prendre conscience changement climatique et nous être dernière pouvoir agir"".","#fabius : ""nous somme là 1e génération à pren consciousness du changem climatique et nous somme la dernire à pouvoir agir"".","#fabius : ""sommes génération à prendre conscience changement climatique et sommes dernière à pouvoir agir"""
Des arbres sur des maisons écologiques à Ho-Chi-Minh-Ville au Vietnam - http via @user,1,Des arbre sur des maison écologique à Ho-Chi-Minh-Ville au Vietnam - http via @user,arbres maisons écologiques Ho-Chi-Minh-Ville Vietnam http via @user,arbre maison écologique Ho-Chi-Minh-Ville Vietnam,Des arbre sur des maison écolog via @user,arbres maisons écologiques Ho-Chi-Minh-Ville Vietnam http via @user
"Grâce au nouveau pack étudiant, #Github souhaite initier les jeunes développeurs à leur écosystème. #Malin le chat! http",2,"Grâce au nouveau pack étudiant, Github souhaiter initier les jeune développeur à leur écosystème. Malin le chat!",#Github souhaite initier jeunes développeurs à écosystème. #Malin chat!,Github souhaiter initier jeune développeur écosystème. Malin chat!,"Grâce au nouvèl pack étudiant, #Ghithub souhaiti initièr les jèn dévellop, ài écosystèm. #Mallin le chat!",#Github souhait init jeune developp à écosystème. #Malin chat!
#climat Ceux qui ont peur du réchauffement consomment plus d'électricité que les sceptiques !  via @user http,0,#climat Celui avoir peur du réchauffement consommer plus d'électricité que le sceptique!  via @user http,#climat Celui qui avoir peur du réchauffement consommer plus d électricité que sceptique!***,#climat Celui réchauffement consommer électrique sceptique!,#climat cett qui ont peur du rchauffement consomme plu dlectricit que les sceptque!  vi @user http,#climat Celui qui avoir peur du réchauffement consommer plus d électricité que sceptique!***
@user @user @user  je caille … je grelotte les éoliennes à coté de chez moi …. ne tournent pas depuis 5 jours …,1,@user @user @user je crier … je trembler les éolien à coté de chez moi …. ne tourner pas depuis 5 jour …,je caille je grelotte éoliennes coté chez moi ne tournent pasjours,je crier trembler éolien chez moi tourner jour,@user @user @user j caille … j grelotte l éolienne à coté de chez moi …. n tourne pas depuis 5 jour …,je caill éoli n cot journ tur
Cameroun RDC Guinée Éthiopie &amp; Ouganda peuvent produire suffisamment d’énergie hydroélectrique de l'#Afrique @user http,2,Cameroun RDC Guinée Éthiopie Ouganda pouvoir produire suffisamment énergie hydroélectrique #Afrique @user,Cameroun RDC Guinée Éthiopie Ouganda produire suffisamment énergie hydroélectrique Afrique,Cameroun RDC Guinée Éthiopie Ouganda pouvoir produire suffisamment énergie hydroélectrique #Afrique @user,Cameroun RDC Guinée Éthiopie Ouganda peuvent produire suffisamment d'énerg hydroélectrique de l#Afrique @user,Cameroun RDC Guinée Éthiopie Ouganda produc suffis énerg hydroélectr
"Subsides aux énergies renouvelables décapités: après l'Allemagne, au tour de l'Italie via @user",0,"Subsidie energie_renouvelable decapiter: apres allemand, au_tour d_italie",Subsides énergies renouvelables décapités après Allemagne tour Italie via,Subsidie energie_renouvelable decapiter tour d_italie,"Subsidès énergies renouvelabls décapitès: aprè Allemagne, tou Italie via @user",Subsid énerg renouv décap après Allem tour Italie via
