Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
Normal bin ich ja ned der mensch dwer sich beschwert wegen dem essen aber diese Pizza von Joeys...boah wie ekelhaft,0,"Normal bin ich ja nicht der Mensch, der sich beschwert wegen dem Essen, aber diese Pizza von Joey ist boah ekelhaft.",Normal bin ich ja ned der mensch beschwert wegen essen aber Pizza von Joeys boah ekelhaft,"Normal bin ich nicht der Mensch, der sich beschwert wegen der Pizza, aber diese ist boah ekelhaft.","
Normalisiert version:
Normal bin ich ja ned der Mensch dwer sich beschwert wegen dem Essen aber diese Pizza von Joeys...boah wie ekelt.",Normal bin ich ja ned der mensch beschwert wegen essen aber Pizza von Joey boah ekelhaft
VfB Stuttgart gegen SV Hamburg: Das Warten auf den nächsten Schritt - Stuttgarter Zeitung: DIE WELTVfB Stuttga... http,1,VfB Stuttgart gegen SV Hamburg: Das Warten auf den nächsten Schritt - Stuttgarter Zeitung: DIE WELTVfB Stuttgart gegen SV Hamburg: Das Warten auf den nächsten Schritt - Stuttgarter Zeitung: DIE WELT,VfB Stuttgart gegen SV Hamburg: Warten auf nächsten Schritt - Stuttgarter Zeitung: WELTVfB Stuttgart,VfB Stuttgart gegen SV Hamburg: Warten auf nächsten Schritt - Stuttgarter Zeitung: WELTVfB Stuttgart gegen SV Hamburg: Warten auf nächsten Schritt - Stuttgarter Zeitung: WELT,VfB Stuttg gegen SV Hamb: Das Warten auf den n Schritt - Stuttg Zeitung: DIE WELTVfB Stuttga... http,VfB Stuttg gegen SV Hamb: Warten auf nächsten Schritt - Stuttg Zeitung: WELTVfB Stuttg
@user @user @user @user @user @user @user @user fühlt sich schon so spät an 😚😚😚,2,@user @user @user @user @user @user @user @user fühlt sich schon so spät an,@user fühlt schon spät an,@user fühlt sich schon spät an,@user @user @user @user @user @user @user @user fühlt sich schon so spaet an,@user fühlt schon spät an 
@user glaub ich! XD 30€ sind echt not bad T___T *grübel*,0,@user glaub ich! XD 30€ ist echt nicht schlecht *grübel*,@user glaub XD 30€ sind not bad T___T *grübel*,glaub ich! XD 30€ echt schlecht *grübel*,@user glaub ich! XD 30€ sind echt not bad T___T *grübel*,"
@user glaub XD 30€ sind not bad T___T *grübel* 
 @user glaub XD 30€ sind not bad T___T *gruebel*
 version: "
@user. Diviertete,1,@user. Diviertete,@user. Diviertete,@user. Diviertete,@user. diviertet.,"@user. Diviertete stems to: 
@user. Diviertet"
"@user @user plopp plopp plopp: frisches Popcorn rüber reich. Coke? klar, kein Thema!",2,"@user @user plopp plopp plopp: frisches Popcorn rüber reichen. Coke? klar, kein Thema.","@user plopp plopp plopp: frisches Popcorn rüber reich. klar, kein Thema!","frisches Popcorn rüber reichen. Coke? klar, kein Thema.","@us @us plopp plopp plopp: frisch pop rüber reich. coke? klar, kein thema.",@user plopp plopp plopp: frisch plopp reich klar kein Thema
"Ach Scheiss drauf, dann eben nich",0,"Ein Achse drauf, dann eben nicht",Ach Scheiss dann eben nich,"Achse drauf, dann eben nicht","Ach Schei drauf, dann eben nich",Ach Schei dann eben nich
"RT @user: Was ist das für eine Glaubwürdigkeit, wenn wir sagen wir sind keine Verbotspartei und gleichzeitig Verbote fordern @user…",1,"RT @user: Was ist die für eine Glaubwürdigkeit, wenn wir sagen wir sind keine Verbotspartei und gleichzeitig Verbote fordern @user","RT @user: Glaubwürdigkeit, Verbotspartei, Verbote",RT @user: Glaubwürdigkeit Verbotspartei Verbote,"RT @user: ist das für eine glaubwürdigkeit, wenn wir sagen wir sind keine verbotspartei und gleichzeitig verbote fordern @user",
He's so charming. Man muss ihn einfach lieben #samuhaber #tvog,2,He sein so charming. Man muss ihn einfach lieben.,He's so charming. muss lieben #samuhaber #tvog,He so charming. muss ihn lieben.,#samuhaber #tvog,"tvog
sam 
hab 
charm 
love "
"Dieses Gefühl, wenn man von Personen enttäuscht wird...",0,"Dieses Gefühl, wenn man von Person enttäuscht wird.",Dieses Gefühl enttäuscht wird,"Gefühl, enttäuscht, Person.",Dies Gefühl wenn man von Person enttäuscht wird,Dies Gefühl enttäuscht wird
Sieben künstlerische Projekträume ausgezeichnet http #Berlin,1,Sieben künstlerische Projekte ausgezeichnet,künstlerische Projekträume ausgezeichnet,künstlerische Projekte,Sieben kunstl Projektr Raum ausgez http #Berl,künstl projektraum ausgez
@user Cool! Keine weiteren Fragen. ;-),2,@user Cool! Keine weitere Frage. ;-),@user Cool! Fragen.,@user Cool Frage,@user cool keine weiteren fragen. ;-),@user Cool! frag.
@user kamu syahrenong:-(,0,@user kamu syahrenong:-(,@user syahrenong:,@user syahrenong:-(',@user kamu syahrenong:-(,@user syahrenong:
"Wer muss bis 8 in Krefeld arbeiten, geht dann direkt ins Fitnessstudio und muss dann nachts zu Hause die Spülmaschine ausräumen?",1,"Wer muss bis 8 in Krefeld arbeiten, geht dann direkt ins Fitnessstudio und muss dann nachts zu Hause die Spülmaschine ausräumen?","Wer muss arbeiten, geht direkt ins Fitnessstudio und muss dann nachts die Spülmaschine ausräumen?","Wer muss arbeiten, geht dann direkt ins Fitnessstudio und muss dann nachts die Spülmaschine ausräumen?","Wer muss bis 8 in Krefeld arbeiten, geht dann direkt ins Fitnessstudio und muss dann nachts zu Hause die Spülmaschine ausräumen.",wer muss arbeiten geht direkt ins fitnessstudio und muss dann nachts die spuelmaschine ausrueumen
