Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
estoy hasta el ojete de que me digáis que tengo cara de mala leche,0,Estoy hasta el ojete de que me digáis que tengo cara de mala leche.,hasta ojete mala leche,Estoy hasta de que me digáis cara de mala leche.,estoy hasta el de que me dig que cara de mala leche,hasta mala leche
@user Por?  Tenía pensado verla después de la segunda de Daredevil,1,@user ¿por qué?  Tenía pensado verla después de la segunda de Daredevil,Tenía pensado verla después de la segunda de Daredevil.,@user ¿qué? Tenía pensado verla después Daredevil.,@user Por?  Tenia pensado verla despues de la segunda de Daredevil,"
Tenía pensado verla después de segunda de Daredevil."
Esto de estar feliz mola,2,Este de estar feliz mola.,Feliz mola,Feliz mola.,Estar feliz mola,feliz mola
Ya no es tan divertido,0,Ya no es tan divertido se convierte en Ya no es tan divertido.,Ya divertido,Ya no tan divertido convierte.," not applicable, as it is a short sentence with no complex words)",Ya divertido stems to 'divertido'.
"@user te recuerdo que soy una persona que tiene criterio, equivocado, pero lo tengo",1,"@usuario te recuerdo que soy una persona que tiene criterio, pero lo tiene.",@user recuerdo soy persona equivocado,@usuario te recuerdo que soy persona tiene criterio pero tiene.,"@user te recuerdo que soy una persona que tiene criter, equivoc, pero lo tengo","@user recuerd soy persona equivoc 
@user recuerdo soy persona equivoc @user recuerd soy persona equivoc 
@user recuerd"
@user @user @user con una pequeña donación hará felices a miles de chicas que no tienen  #asociacionmariloli,2,@usuario @usuario @usuario con una pequeña donación hará felices a miles de chicas que no tienen asociación.,con pequeña donación hará felices miles chicas que no tienen,@usuario con donación hará felices a miles de chicas que no tienen asociación.,@user @user @user con una pequena donacion hara felices a miles de chica que no tienen  #asociacionmariloli,con pequeña dona hará feliz milla que no tien
He probado una nueva espuma para el pelo y sí que lo deja más rizado pero se queda como efecto gomina y no me gusta.,0,He probado una nueva espuma para el cabello y sí que lo deja más rizado pero se queda como efecto gomina y no me gusta.,Probado nueva espuma deja rizado efecto gomina no gusta.,Probado nueva espuma cabello deja rizado efecto gomina gusta.," paragraph:
'goma' is not present but 'gomina' is used here, 'gom' is the stem of 'gomina'.
'pelos' is not present but 'pelo' is used here, 'pel' is the stem of 'pelo'. 
'programa' is not present but 'espuma' is used here, 'espum' is the stem of 'espuma'. 
'He prob un nueva espum para el pel y sí que lo deja más rizado pero se queda como efect gomina y no me gusta.' ",
@user Ojalá pudiera darte el abrazo en vivo o al menos acompañarte hoy. Siento mucho lo de tu primo,1,Ojalá pudiera darte el abrazo en vivo o al menos acompañarte hoy. Siento mucho lo de tu primo.,Ojalá pudiera darte el abrazo vivo acompañarte hoy Siento mucho de tu primo,Ojalá darte abrazo vivo acompañarte hoy siento mucho primo.,@user Ojalá pudie abraz o acompañ hoy. Siento mucho lo de tu primo,Ojalá pudier el abrazo vivocompaniar hoy Siento mucho de tu primo
@user aquí tienes a mi bae aka una egipcia preciosa que esta aprendiendo español. Os llevareis bien  @user,2,@usuario aquí tienes a mi novia aka una egipcia preciosa que está aprendiendo español. Os llevaréis bien @usuario.,@user aquí bae aka egipcia preciosa aprendiendo español llevareis bien @user,@usuario aquí tienes a mi novia aka preciosa que está aprendiendo español. Llevareis bien @usuario.,@user aquí tienes a mi bae aka una egipcia preciosa que esta aprendiendo espaniol. os llevareis bien @user,@user aquí bae aka egipcia preciosa aprendiendo espanol llevareis bien @user
"@user ya somos dos, que triste",0,"@usuario ya estamos, que triste.",@user ya triste,@usuario triste.,"@user ya somos dos, que triste.","
@user ya triste stems to:
@user ya triste stems to: @user ya triste"
