Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
seeing ppl walking w/ crutches makes me really excited for the next 3 weeks of my life,irony,seeing people walk with crutch make me really excited for the next 3 week of my life,seeing walking crutches really excited weeks life,seeing people walk with crutch make really excited next week of life,seeing ppl walk w/ crutch make me really excit for the next 3 week of my life,see walk crutch real excit week life
"look for the girl with the broken smile, ask her if she wants to stay while, and she will be loved. 💕🎵",non irony,"look for the girl with the broken smile, ask her if she want to stay while, and she will be love. 💕🎵",look girl broken smile ask want stay loved 💕🎵,"look girl broken smile, ask her want stay, and she will love. 💕🎵","look for girl with broken smile, ask her if she want stay while, and she will love. 💕🎵",look girl break smile ask want stay love ❤️🎵
Now I remember why I buy books online @user #servicewithasmile,irony,Now I remember why I buy book online @user #servicewithasmile,Now remember buy books online @user #servicewithasmile,Now remember buy book online @user #servicewithasmile,now i rememb buy book online @user #servicewithasmile,now rememb buy book onlin @user #servicwithasmil
@user @user So is he banded from wearing the clothes?  #Karma,irony,@user @user so be band wear clothes #Karma,@user @user he banded clothes Karma,so be band wear clothes,@user @user so is he band from wear the clothe #karm,@user @user he band clothe Karm
Just found out there are Etch A Sketch apps.  #oldschool #notoldschool,irony,Just find out there be app.  #oldschool #notoldschool,Just found out Etch A Sketch apps #oldschool #notoldschool,find appoldschoolnotoldschool,just find out there are etch a sketch app.  #oldschool #notoldschool,Just find out etch sketch app oldschool notoldschool
"Hey what do you know, one of the witnesses supporting Darren Wilson's story lied! And is racist! Mind blown!",irony,"hey what do you know, one of the witness support darren wilson's story lie! and be racist! mind blow!",Hey witnesses supporting Darren Wilson's story lied racist Mind blown,hey know witness support darren wilson's story lie be racist mind blow,"hey wat do u knw, one f th wtnss sptrng drn wn's st li! nd rsn! mnd blwn!",hey witnes suppor darren wilson's story lii racis mind blow
@user on stage at #flzjingleball at the @user in #Tampa #iheartradio,non irony,@user on stage at flzjingleball at the @user in Tampa iheartradio,on stage #flzjingleball user Tampa #iheartradio,on stage flzjingleball Tampa iheartradio,@us on stag at #flzjingleball at the @us in #Tamp #iheartradi,on stag #flzjingleball us Tampa #iheartradi
You know it's going to be a great day when you're Garmin resets itself and you spill some cinnamon down yourself  #slowclap,irony,you know it's going to be a great day when you be garmin reset and you spill some cinnamon down yourself  #slowclap,Garmin resets cinnamon slowclap,it's going great day when you garmin reset and you spill cinnamon yourself #slowclap,you know it's goin gonna be a great day when you're garmin reset resets itself and you spill some cinnamon down yourself  #slowclap,Garmin reset cinnamon slowclap
Halfway thorough my workday ... Woooo,irony,Halfway through my workday... Woooo.,Halfway workday Woooo,Halfway workday Woooo,Halfway throurgh my workday... Woooo,Halfway workday Wooo
Would like to thank my nephew for giving me his horrible cold & sore throat etc.. Much appreciated!,irony,Would like to thank my nephew for giving me his horrible cold & sore throat etc.. Much appreciated!,Thank nephew giving horrible cold sore throat Much appreciated!,Would like thank nephew giving horrible cold sore throat Much appreciated!,would like to thank my nephew for givin me his horribl col & sores thro etc.. much appreciat!,Thanks neph giv horrible col sore thrat Much appreci！
I forked node!  Get ready for the future.  (Where's my interviews),non irony,I fork node get ready for the future where be interview,I forked node! Get ready for the future. Where interviews,fork node get ready future interview,i forkn get readi futur (wher's my interviw),i fork node! get ready for the futur. where intervieu
"@user @user @user @user I'm off to visit great-nephew very ill, only 20  fair",non irony,"@user @user @user @user I be off to visit great-nephew be ill, only 20  fair",I off visit great-nephew ill only 20 fair,"I off visit great-nephew ill, only 20 fair","@user @user @user @user i'm off to visit great-nephew ver ill, onl 20  fair",i off visit great-nephew ill only 20 fair
