Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
"I L VE working for a cause! Yesterday""s balloon decor for SNN 11th Annual Back 2 School Health…",smiling face with hearteyes,I love working for a cause. Yesterday's balloon decor for SNN 11th Annual Back to School Health.,L V working cause! Yesterday balloon decor SNN 11th Annual Back School Health…,love working cause. Yesterday balloon decor SNN 11th Annual Back School Health.,I LOVE work for a caus. Yesterday's ballon decor for SNN 11th Annual Back 2 School Health.,"caus 
annu 
working 
decor 
yesterda 
sch 
back 
balloon 
health"
I took a pic with Eminem! *still not over that performance vibe from #parrisproject!…,smiling face with hearteyes,"I take a picture with Eminem. 
*still not over that performance atmosphere from Parris Project.*",'took pic Eminem! still over performance vibe #parrisproject',take picture Eminem still not over performance atmosphere Parris Project.,I tok a pic with Eminem. *still not ov that perfomance vib from #parrisproject.,took pic Emine #parrisproject
"I L VE working for a cause! Yesterday""s balloon decor for SNN 11th Annual Back 2 School Health…",smiling face with hearteyes,I love working for a cause. Yesterday's balloon decor for SNN 11th Annual Back to School Health.,L V working cause! Yesterday balloon decor SNN 11th Annual Back School Health…,love working cause Yesterday balloon decor SNN 11th Annual Back School Health,I LOVE working for a caus. Yesterday's balloon decor for SNN 11th Annual Back 2 School Health.,L V work cause! Yesterday ball decor 11th Annu Back Schoo Health
Sundays are all about the cute babies and dogs! #Ballard #sundaymarket #littelestmodel…,smiling face with hearteyes,Sundays be all about the cute babies and dogs. #Ballard #sundaymarket #littlestmodel,cute babies dogs #Ballard #sundaymarket #littelestmodel,cute babies dogs #Ballard #sundaymarket #littlestmodel,sundays are all about the cute baby and dog. #ballard #sundaymarket #littlemodel,cute baby dog #ballard #sundaymarket #littlemodel
"I think it""s nap time for us @ Los Angeles, California",smiling face with hearteyes,"I think it is nap time for us @ Los Angeles, California",think time us Los Angeles California,think nap time us Los Angeles California,"I think it""s nap tim for us @ Los Angelis, Califo.",think time us Los Angeles Californi
"I L VE working for a cause! Yesterday""s balloon decor for SNN 11th Annual Back 2 School Health…",smiling face with hearteyes,I love working for a cause. Yesterday's balloon decor for SNN 11th Annual Back to School Health.,"'LVE working cause! Yesterday""s balloon decor Annual Back School Health…'",love working cause Yesterday balloon decor Annual Back School Health,I LOVE work for a caus. Yesterdays baloon decor for SNN 11th Annual Back 2 School Health.,work caus yesterdays balon decor annu back schol health
"Here""s to the start of a great adventure. Niners today, Alaska tomorrow. #grams @ Levi""s Stadium",smiling face with hearteyes,"Here's to the start of a great adventure. Niners today, Alaskans tomorrow. #grams @ Levi's Stadium",'great adventure Niners Alaska Levi's Stadium',"'adventure', 'Niners', 'Alaskans', 'Levi's', 'Stadium'","Here's to the start of a great adventur. Niners todays, Alaskas tomorrow. #gram @ Levis Stadium",great adventur Niners Alask Levi's Stadiu
Absolutely in love with this ethereal glow on holytolidoitseric. Who would rock this look?…,smiling face with hearteyes,Absolutely in love with this beautiful glow on holy place. Who would wear this look?,'Absolutely love this glow holytolidoitseric rock look.',Absolutely love this glow on place. Would wear this look.,Absolutely in love with this ethereal glow on holytolidoitseric. Who would rock this look.,Absolutely lov this glow holy rock look.
"My lady love beautiful friend #doubleLtrouble #leilavie #beachour @ Stinson Beach, California",smiling face with hearteyes,"My lady love beautiful friend #beauty #love #beach #at Stinson Beach, California","My lady love beautiful friend #doubleLtrouble #leilavie #beachour @ Stinson Beach, California",beautiful lady love friend #beauty #love beach Stinson California,"My lady love beauti friend #doubt #life #beach @ Stinson Beach, Californi","My lady lov beautiful friend #doubt #liv #beach @ Stinson Beach, Californi"
My date for tonight @ Hotel Las Rocas,smiling face with hearteyes,My date for tonight at Hotel Las Rocas,Hotel Las Rocas,My date at Hotel Las,my dat for toni @ hotl las rocas,hotel
Acquired this stunner today at my new favorite spot Sharks Tooth #crassula.…,smiling face with hearteyes,Acquire this beautiful thing today at my new favourite place Shark Tooth #crassula.,Acquired stunner today favorite spot Sharks Tooth #crassula.,Acquire beautiful thing today favourite place Shark Tooth #crassula.,acquir #crassula.,"Acquir, stun, favor, spot, Shark, Tooth #crassul."
today was my first day of work at Victoria Secret SO happy and SO…,smiling face with hearteyes,today be my first day of work at Victoria Secret be happy and be,today my first day work Victoria Secret happy,today my first day work Victoria Secret happy,today be my first day of work at victoria secret so happy and so,today my first day work Victori Secret happy
Love this picture of me and baby Eve at Disneyland earlier today …,smiling face with hearteyes,Love this picture of me and baby Eve at Disneyland earlier today.,Love picture baby Eve Disneyland,Love picture baby Eve Disneyland today,lov this pictur of me and baby ev at disneyland earli today …,love picture baby love disneyland
"Love my bed @ Downey, California",smiling face with hearteyes,Love my bed @ Downey California,Love bed Downey California,Love bed @ Downey California,lov my bed @ downey calif,lov bed downy californi
