filename,column,perc_correct_stems_Snowball
cardiffnlp_portuguese_test_Llama-3.1-8B-Instruct_en-prompt_,Text_stemmed,0.4384
cardiffnlp_portuguese_test_Llama-3.1-8B-Instruct_pt-prompt_,Text_stemmed,0.4761
cardiffnlp_portuguese_test_Phi-4-mini-instruct_en-prompt_,Text_stemmed,0.4162
cardiffnlp_portuguese_test_Phi-4-mini-instruct_pt-prompt_,Text_stemmed,0.3638
cardiffnlp_portuguese_test_Qwen2.5-7B-Instruct_en-prompt_,Text_stemmed,0.4898
cardiffnlp_portuguese_test_Qwen2.5-7B-Instruct_pt-prompt_,Text_stemmed,0.4649
cardiffnlp_portuguese_test_gemma-2-9b-it_en-prompt_,Text_stemmed,0.5036
cardiffnlp_portuguese_test_gemma-2-9b-it_pt-prompt_,Text_stemmed,0.5738
cardiffnlp_portuguese_test_gemma-3-4b-it_en-prompt_,Text_stemmed,0.4819
cardiffnlp_portuguese_test_gemma-3-4b-it_pt-prompt_,Text_stemmed,0.4932
cardiffnlp_portuguese_train_Llama-3.1-8B-Instruct_en-prompt_,Text_stemmed,0.4425
cardiffnlp_portuguese_train_Llama-3.1-8B-Instruct_pt-prompt_,Text_stemmed,0.4798
cardiffnlp_portuguese_train_Phi-4-mini-instruct_en-prompt_,Text_stemmed,0.4241
cardiffnlp_portuguese_train_Phi-4-mini-instruct_pt-prompt_,Text_stemmed,0.3701
cardiffnlp_portuguese_train_Qwen2.5-7B-Instruct_en-prompt_,Text_stemmed,0.5003
cardiffnlp_portuguese_train_Qwen2.5-7B-Instruct_pt-prompt_,Text_stemmed,0.4699
cardiffnlp_portuguese_train_gemma-2-9b-it_en-prompt_,Text_stemmed,0.5003
cardiffnlp_portuguese_train_gemma-2-9b-it_pt-prompt_,Text_stemmed,0.5745
cardiffnlp_portuguese_train_gemma-3-4b-it_en-prompt_,Text_stemmed,0.4830
cardiffnlp_portuguese_train_gemma-3-4b-it_pt-prompt_,Text_stemmed,0.4934
