filename,column,perc_correct_stems_Snowball
cardiffnlp_german_test_Llama-3.1-8B-Instruct_de-prompt_,Text_stemmed,0.5740
cardiffnlp_german_test_Llama-3.1-8B-Instruct_en-prompt_,Text_stemmed,0.5804
cardiffnlp_german_test_Phi-4-mini-instruct_de-prompt_,Text_stemmed,0.4574
cardiffnlp_german_test_Phi-4-mini-instruct_en-prompt_,Text_stemmed,0.5059
cardiffnlp_german_test_Qwen2.5-7B-Instruct_de-prompt_,Text_stemmed,0.4839
cardiffnlp_german_test_Qwen2.5-7B-Instruct_en-prompt_,Text_stemmed,0.5292
cardiffnlp_german_test_gemma-2-9b-it_de-prompt_,Text_stemmed,0.6123
cardiffnlp_german_test_gemma-2-9b-it_en-prompt_,Text_stemmed,0.6821
cardiffnlp_german_test_gemma-3-4b-it_de-prompt_,Text_stemmed,0.5826
cardiffnlp_german_test_gemma-3-4b-it_en-prompt_,Text_stemmed,0.6503
cardiffnlp_german_train_Llama-3.1-8B-Instruct_de-prompt_,Text_stemmed,0.5725
cardiffnlp_german_train_Llama-3.1-8B-Instruct_en-prompt_,Text_stemmed,0.5903
cardiffnlp_german_train_Phi-4-mini-instruct_de-prompt_,Text_stemmed,0.4486
cardiffnlp_german_train_Phi-4-mini-instruct_en-prompt_,Text_stemmed,0.5109
cardiffnlp_german_train_Qwen2.5-7B-Instruct_de-prompt_,Text_stemmed,0.4933
cardiffnlp_german_train_Qwen2.5-7B-Instruct_en-prompt_,Text_stemmed,0.5342
cardiffnlp_german_train_gemma-2-9b-it_de-prompt_,Text_stemmed,0.6090
cardiffnlp_german_train_gemma-2-9b-it_en-prompt_,Text_stemmed,0.6871
cardiffnlp_german_train_gemma-3-4b-it_de-prompt_,Text_stemmed,0.5837
cardiffnlp_german_train_gemma-3-4b-it_en-prompt_,Text_stemmed,0.6590
