Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
@user mi fa sbagliare tutte le paroleeeee.,0,@utente mi fa sbagliare tutte le parole.,@user mi fa sbagliare parole.,@utente mi fa sbagliare parole.,@user mi fa sbaglia tutte le parole.,@user mi fa sbagliare parola.
@user perfetto hai visto poi alla fine anche oggi e passato..,1,'@utente perfetto hai visto poi alla fine anche oggi e passato',@user perfetto visto oggi passato.,@utente perfetto hai visto passato,@utente hai visto poi alla fine anche oggi e passato.,@utente visto oggi passato.
"Rutelli: appoggio al governo #monti, sta lavorando bene #ballarò #osservatoriotivvù",2,"Rutelli: appoggio al governo #monti, sta lavorando bene #ballare #osservare",Rutelli: #monti sta lavorando bene #ballarò #osservatoriotivvù,Rutelli:  lavorando bene ballare osservare,"Rutelli: appoggio al governo #monti, sta lavoran #balla #osservatori",Rutelli: #monti sta lavor bene #ballar #osservatorio
RT @user: Non legalizzano la #cannabis Ma iper tassano le cartine. Questi sono geni della finanza. #governoletta #proibizionismo,0,RT @utente: Non legalizzano la #cannabis Ma iper tassano le carte. Questi sono geni della finanza. #governoletta #proibizionismo,"governoletta 
legalizzano la cannabis
iper tassano le cartine
RT @user: 
Questi sono geni della finanza
proibizionismo",'RT @utente: legalizzano la cannabis tassano carte geni finanza governoletta proibizionismo',RT @user: Non legalizzano la #cannab  Ma iper tassano le cart . Questi sono geni della finanz. #governoletta #proibizionismo,"iper tassa cartina
governo
Questo è genio finanza
RT @user: 
legalizza cannabis
proibizionismo"
"@user @user @user c'è da vergognarsi, ha fatto bene a cancellare il suo profilo lol",1,"@utente @utente @utente c'è da vergognarsi, ha fatto bene a cancellare il suo profilo lol",c'è vergognarsi fatto bene cancellare profilo,c'è  vergognarsi fatto  profilo lol,"is reduced to: 
 to:
@utente @utente @utente c'è da vergognarsi, ha fatto bene cancellare lol 
@utente @utente @utente c'è da vergognarsi, ha fatto bene a cancellare il suo profilo lol 
@utente @utente @utente c'è da vergognarsi, ha fatto cancellare lol 
@utente @utente @utente c'è vergognarsi, cancella lol 
 
@utente @utente @utente c'è da vergognarsi, ha fatto bene a cancellare il profilo lol 
@utente @utente @utente c'è vergognarsi, cancellare lol 
@utente @utente @utente c'è vergognarsi, cancella 
@utente @utente @utente c'è da vergognarsi, ha cancellare lol 
@utente @utente @utente c'è vergognarsi cancella 
@utente @utente @utente c'è da vergognarsi, cancellare lol 
@utente @utente @utente c'è da vergognarsi, ha fatto bene a cancellare profilo lol 
is reduced to:",'c'è vergognarsi fatto cancellare profilo'
@user lo so amore grazie..,2,@utente lo so amare grazie,amore,@utente amare,@user lo so amore grazie,amor
RT @user: Siamo dei falsi. I ragazzi vogliono le ragazze timide e poi stanno con le troie. Le ragazze vogliono i dolci e poi amano con…,0,Siamo falsi. I ragazzi vogliono le ragazze timide e poi stanno con le donne di facili costumi. Le ragazze vogliono i dolci e poi amano con gli uomini.,Siamo falsi. Vogliono timide e poi stanno con troie. Vogliono dolci e poi amano.,Siamo falsi. Vogliono timide poi stanno con donne di facili costumi. Vogliono dolci poi amano con uomini.,RT @user: Siamo falso. I ragazzo voglio la ragazza timido e poi sta con la troia. La ragazza voglio il dolce e poi ama con.,Siamo falso. Vogliono timido e poi stanno con troia. Vogliono dolce e poi amano.
in vendita Villa Stupenda a Santo Domingo http,1,in vendita villa stupenda a Santo Domingo http.,Villa Stupenda Santo Domingo,vendita villa stupenda Santo Domingo,in vendita villa stupenda a santo dominio http,Villa Stupenda Santo Domini
RT @user: ditemi se non è una delle cose più belle del mondo http,2,RT @user: chiedimi se non è una delle cose più belle del mondo,RT @user: ditemi belle del mondo,chiedimi se è una delle cose più belle del mondo,RT @utente: dìmi se non è una delle còse più bella del mund http,RT @user: ditemi del mondo
"Pensioni, la falsa equità di Monti: di Sante Moretti Il governo Monti vuole eliminare il... http",0,"Pensioni, la falsità di Monti: di Sante Moretti Il governo Monti vuole eliminare il...","Pensioni, falsa equità Monti: Sante Moretti governo Monti vuole eliminare...","Pensioni, falsità Monti: Sante Moretti governo Monti vuole eliminare...","pensione, la falsa equita di monte: di santo moretti il governo monte vuole eliminare il... http"," paragraph:
pensione, falsa equità Monti: Sante Moretti governo Monti vuole eliminare"
RT @user: TROVA LE DIFFERENZE. http,1,RT @user: Trova le differenze.,TROVA DIFFERENZE,Trova differenze.,RT @user: TROVA LE DIFFERENZA. http,trova differenza
GOVERNO MONTI: SODDISFAZIONE PER LA COMPOSIZIONE DEL NUOVO ESECUTIVO http #terni,2,Il governo di Monti: soddisfazione per la composizione del nuovo esecutivo http #terni,GOVERNO MONTI: SODDISFAZIONE NUOVO ESECUTIVO,governo Monti: soddisfazione composizione esecutivo,,"GOVERNO MONTI: SODDISFAZIONE NUOVO ESECUTIVO stems to:
GOVERNO: MONTI: SODDISFAZIONE: NUOVO: ESECUTIVO"
