,Text,Label
0,estoy hasta el ojete de que me digáis que tengo cara de mala leche,0
1,@user Por?  Tenía pensado verla después de la segunda de Daredevil,1
2,Esto de estar feliz mola,2
3,Ya no es tan divertido,0
4,"@user te recuerdo que soy una persona que tiene criterio, equivocado, pero lo tengo",1
5,@user @user @user con una pequeña donación hará felices a miles de chicas que no tienen  #asociacionmariloli,2
6,He probado una nueva espuma para el pelo y sí que lo deja más rizado pero se queda como efecto gomina y no me gusta.,0
7,@user Ojalá pudiera darte el abrazo en vivo o al menos acompañarte hoy. Siento mucho lo de tu primo,1
8,@user aquí tienes a mi bae aka una egipcia preciosa que esta aprendiendo español. Os llevareis bien  @user,2
9,"@user ya somos dos, que triste",0
10,JUAS ahora dicen que la paja se la van a hacer con Tracer y su novia. Porque siempre se puede caer más bajo aún ¿no?,1
11,#2AñosDeLegiónHolk Llevo como unos 8 meses Talvez menos o mas no sé Me enseñaron y demostraron que LH es algo magico,2
12,"🌼 severus snape 🌼  -pobresito  -nunca le odié, me parecía muy estricto e injusto pero sabía que algo pasaba...",0
13,"@user es chevre las letras!! sabes q dia es mañana,....",1
14,Se echa de menos  #digital #art #life @ Escuela Superior de Arte y Tecnología (ESAT) http,2
15,"Esta ceniza me tiene harta, me arden los ojos",0
16,¿Aprender Motion Graphics en #Barcelona sin que me cueste un riñón es posible? ¿Alguien conoce algún sitio?,1
17,@user No. tampoco soy cursi,2
18,En fin estoy hasta los huevos del 90% de las personas así que.,0
19,"@user jajajajaja, ¡qué linda! Yo también me puse re feliz cuando me enteré, nos dejan un álbum antes que TOP se vaya al servicio",1
20,@user     Ya está preparando cosillas nuevas jeje,2
21,"@user Jo, yo que me había ilusionado",0
22,Si la U cerró todo... entonces yo estoy libre hasta el lunes,1
23,Hoy toca escuchar a #MiguelRios con otros grandes artistas...  #Insurrección...,2
24,"@user @user qué tendrá brozas.. jaajajaja que me descontrola, será la mala influencia",0
25,@user Katy le dió like en instagram y en mis Rt hace dos días los vieron juntos,1
26,"Voy a jugar mi primera ranked de 10. Hmm no se si la liaré o no, pero bronce V me espera y mañana jugaré poco o nada, so a jugársela",2
27,Cuando le he dicho a la bollo que estoy morena se ha reído en mi cara,0
28,@user @user @user @user lo importante es saber cuando! Por si hay que evitar compras foráneas,1
29,Sin duda @user fue una experiencia preciosa  @user @user Y habrá más!,2
30,"Como sé que les re interesa, les actualizo: me dijo que sí a ver una peli pero me habló de un pibe dándome a entender que están saliendo",0
31,como entraba una conversación de estas largas de hablar toda la noche con alguien,1
32,una Go-Pro de calidad! proteccion bajo el agua y soporte de cabeza    porq ago tantas caras...OK EN FIN!,2
33,Se que la pena de muerte no es algo bueno . Pero que diablos podemos hacer con los violadores ! Yo no le veo otra salida,0
34,"@user se llama Wolf, es la mascota #SeSalen en apoyo a los deportistas paralímpicos  Más inf http 😃",1
35,Que dicha que hay trabajo y salud y vacaciones también,2
36,@user Impresionante. Una pena que hoy no pueda hacer una foto del atardecer.. P.d Gracias guapiño,0
37,"Este viernes iré al cine a ver #NoRespires para celebrar mi cumple. Por cierto, no estáis invitados",1
38,La pulsera es preciosa tio,2
39,@user es lamentable un tema tan sensible jamás con ese enfoque,0
40,"-Me caes muy bien  -Tienes que jugar más partidas al lol con Russel y conmigo -Por qué tan Otako, deja de ser otako -Haber si me muero",1
41,"@user, vaya, felicidades atrasadas y muchas gracias",2
42,"@user  Otra cosa es que no tuviera seguridad social, porqe no era obligatorio en su situacion. Lee, los libros no muerden",0
43,"Trato de manejar esa sensación de: ""no me soporto a mi misma"" de estos ultimos 2 días ¡qué dolor! Es que no soy yo misma. #malditoandres",1
44,@user Que bonita la gente educada un gran abrazo para vos 🤗,2
45,"@user En Espanya la prensa ni es libre, ni es independiente, ni muchísimo menos plural  Síntoma de nuestra pobre democracia.",0
46,@user fuera del típico saludo navideño tengo una duda: pasan Navidad juntos o cada uno con su familia? Saludos desde Lima,1
47,@user Feliz Navidad Felino!!! Jaja! Saludos y abrazos a la familia!,2
48,Se me rompió el pantalón horizontalmrnnte por el muslo hasta debajo de la nalga... Ya estoy a la moda,0
49,"Estimada @user, reciba un cordial saludo, nosotros somos el 1er Centro de Ozonoterapia en el Perú, contamos con muchos tratamientos",1
50,FF a los geniales de @user !!,2
51,"90% para designar a quienes somos muy aficionados a todos este mundo nippon y aunque la elicación suene que tiene un ""final feliz"" mmm",0
52,sería muy chuzo tener una gopro pero yo de mi casa no salgo así que no tendría mucho sentido.,1
53,2. Si. Eres mi crush máximo aunque te considere de mis mejores amigos,2
54,"Nunca dejes el fb abierto y tu hermana a lado, es un PELIGRO!",0
55,"Tanto ritmo en el restaurant #DonMarcelo Si vienes a #Cusco, no olvides visitarlo @ Plaza de…",1
56,@user Google luego se encarga de asociar el contenido (bien escrito) con la búsqueda que se hizo (mal escrita).,2
57,Ayay quiero grrabar un trocito de Drown con el ukelele porque tiene que quedar preciosa. Pero tengo la voz fatal,0
58,@user debería liarla en el @user con un stand que proyectara desde el público a las pantallas del concierto  #MTVDcode2016.,1
59,"@user que ricoooo, me abriste el apetito!! Solo una cosa. Las aceitunas tienen que ser las negras",2
60,"Pero como no tengo una puta mierda en común pues nadie me mete para ningún grupo ni nada, claro",0
61,Me gusta mucho ir a Chepén y estar con la familia de Kike. Lo que no me gusta es tener que trabajar el lunes siguiente,1
62,"Bueno,gracias a algunos(casi gratis) por confiar su salud en mi(un año más) no se enfermen mucho este año pues, jaja mentira, saludos",2
63,Que le pasa a @user que no puede estar en Twitter y WhatsApp a la vez? Las 2 fiestas están igual de buenas y se esta perdiendo una!,0
64,"Haces un update con tu pata de intercambio. Te pregunta, entre otras cosas, por tu vida amorosa. Suena ""brillas"" de León Larregui.",1
65,Hace tres días que entre a @user y hoy me he pegado el segundo clip  1080 desde lo alto del ala del caza http,2
66,Cuando pasan de tu p*** cara  😢,0
67,@user la divaza te tiene cansado toda la noche no te deja dormir,1
68,Tengo una perrina adorable... Sabéis que me acompaña hasta la a habitación cuando me voy a dormir?,2
69,"No me puedo quedar dormida ni un ratito, porque para mi mamá ya estoy anémica de nuevo",0
70,"@user No se , creo que no . Yo solo mire mi fecha",1
71,"Con lo cual he abierto todas las ventanas y he conectado el móvil a los altavoces, a ver si ahora suena mejor",2
72,"@user Tio entonces piensas que mosca es un insulto, yo creo que eso es un poco irrespetuoso a las pobres",0
73,"@user hoy tengo libre JAJA , viernes no puedo",1
74,@user @user ahora se me despierta la curiosidad de saber cuáles eran esos antiguos nombres...,2
75,"@user Si, lástima que el bicho grandote sirva para sembrar destrucción y muerte",0
76,"ayer me dio mi dio mi ataque de panico retrocedi a cuando tenia 5 años, me despertaba sola en cama y comenzaba a gritar pq no habia nadie",1
77,Sólo la Karlita me entiende y me da buenos consejos,2
78,"Ya no tengo libro para leer ni serie para ver, mis noches se están volviendo aburridas",0
79,Con entusiasmo y optimismo en este primer día del año. Todo depende de lo que Dios me tiene preparado. #VamosConFe,1
80,Tengamos un día lleno de magia y lindos momentos,2
