Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
"A Fukushima, la radioactivité met à mal la biodiversité et les oiseaux: http",0,"Fukushima radioactivité mettre mal biodiversité oiseau. 
","Fukushima radioactivité mal biodiversité oiseaux. 
","Fukushima radioactivité mal biodiversité oiseau.  
","Fukushima radioactivite met mal biodiversité oiseau 
","fukushima radioactiv mal biodivers oiseaux 
"
Biodiversité et développement durable : la petite histoire verte du campus http @user,1,"biodiversité et développement durable : petite histoire verte campus. 
","Biodiversité développement durable petite histoire verte campus. 
","biodiversité développement durable histoire verte campus.  
","biodiversité developpement durable petite histoire vert campus 
","biodiversité developpement durable petit histoire vert campus. 
"
Des aides du #gouvernement pour des #logements plus #écologiques. -- http,2,"Aides gouvernement logement écologique. 
","aides gouvernement logements écologiques. 
","Aides gouvernement logement écologique.  
","aide gouvernement logement écologique. 
","aide gouvernement logement écologique.  
"
"#fabius : ""nous sommes là 1e génération à prendre conscience du changement climatique et nous sommes la dernière à pouvoir agir""",0,"#fabius : ""nous sommes la première génération à prendre conscience du changement climatique et nous sommes la dernière à pouvoir agir"". 
","fabius 1e génération conscience changement climatique dernière agir. 
","fabius première génération conscience changement climatique dernière pouvoir agir.  
","nous sommes la 1e génération à prendre conscience du changement climatique et nous sommes la dernier à pouvoir agir 
","fabius 1e gener conscient changement climatic dernier agir. 
"
Des arbres sur des maisons écologiques à Ho-Chi-Minh-Ville au Vietnam - http via @user,1,"arbre sur maison écologique à Ho-Chi-Minh-Ville au Vietnam - http via @user 
","arbres maisons écologiques Ho-Chi-Minh-Ville Vietnam  http via user 
","arbre maison écologique Ho-Chi-Minh-Ville Vietnam  via  user 
","arbre maison écologiqu Ho-Chi-Minh-Ville Vietnam - http via user 
","arbre maison ecolgique Ho-Chi-Minh-Ville Vietnam  http via user 
"
"Grâce au nouveau pack étudiant, #Github souhaite initier les jeunes développeurs à leur écosystème. #Malin le chat! http",2,"Grâce nouveau pack étudiant, Github vouloir initier jeune développeur écosystème. Malin le chat. 
","nouveau pack étudiant Github initier jeunes développeurs écosystème Malin chat  
","nouveau pack étudiant Github vouloir initier jeune développeur écosystème. Malin chat.  
","grâce nouveau pack étudian #Github souhait initier jeune developpeur à leur écosystème. #Malin le chat! http 
","nouv pack étud github initier jeune develop écosyst malin chat  
"
#climat Ceux qui ont peur du réchauffement consomment plus d'électricité que les sceptiques !  via @user http,0,"climat ceux qui ont peur réchauffement consommer plus électricité que sceptique  
","climat peur réchauffement consomment électricité sceptiques  
","climat peur réchauffement consommer électricité sceptique  
","#climat cel qui peur du rechauff consomme plus d'electricit que le sceptique  via @user http 
","climat peur rechauffement consomm sceptique  
"
@user @user @user  je caille … je grelotte les éoliennes à coté de chez moi …. ne tournent pas depuis 5 jours …,1,"je caille je grelotte les éoliennes à côté de chez moi ne tourner pas depuis 5 jours 
","caille grelotte éoliennes  coté  tournent  jours 
","caille grelotte éoliennes côté ne tourner jours  
","user user user je caille je grelotte eolien a cote chez moi ne tourn pas depuis 5 jour 
","caill  grol  éolien  côté  tourn  jour 
"
Cameroun RDC Guinée Éthiopie &amp; Ouganda peuvent produire suffisamment d’énergie hydroélectrique de l'#Afrique @user http,2,"Cameroun RDC Guinée Éthiopie Ouganda peuvent produire suffisamment d'énergie hydroélectrique d'Afrique. 
","Cameroun RDC Guinée Éthiopie Ouganda produire énergie hydroélectrique Afrique. 
","Cameroun RDC Guinée Éthiopie Ouganda produire énergie hydroélectrique Afrique.  
","Cameroun RDC Guinée Éthiopie & Ouganda peuvent produire suffisament d'energ hydroélectrique de #Afrique @user http 
","Cameroun RDC Guinée Éthiopie Ouganda prod énergie hydroélectrique Afrique. 
"
"Subsides aux énergies renouvelables décapités: après l'Allemagne, au tour de l'Italie via @user",0,"Subsidie énergie renouvelable décapiter: après Allemagne, tour Italie. 
","Subsides énergies renouvelables décapités Allemagne Italie. 
","Subsidie énergie renouvelable décapiter Italie.  
","subsid énerg renouvelable decapité: après l'allemand, au tour de l'italie 
","subsid énerg renouvelable decapit allemagne italie. 
"
[#Energie #innovation #solaire #baterie] - Une cellule solaire qui stocke sa propre énergie: http http,1,"énergie innovation solaire batterie - cellule solaire qui stocke propre énergie. 
","cellule solaire stocke énergie  
","énergie innovation solaire batterie cellule solaire stocke propre énergie.  
","energie innov solar bateri -  cell solar qui stock son propre energie: http http 
","cellule solaire stocke energie  
"
@user @user le rendement des éoliennes est quasiment au niveau théorique. Le solaire thermodynamique n'est pas encore top,2,"rendement éolienne est quasiment niveau théorique. solaire thermodynamique n'est pas encore top. 
","rendement éoliennes niveau théorique solaire thermodynamique pas top 
","rendement éolienne niveau théorique. solaire thermodynamique top.  
","rendement éolien est quasiment niv théorique. solaire thermodynamique n'est pas encore top 
","rendement éolien niveau théorique solaire thermodynamique pas top 
"
#biodiversité L'Assemblée autorise les éleveurs à abattre les loups : Ségolène Royal a franchi la limite http,0,"biodiversité assemblée autoriser éleveur abattre loup ségolène royal franchir limite 
","Assemblée autorise éleveurs abattre loups Ségolène Royal franchi limite. 
","biodiversité assemblée éleveur abattre loup Ségolène Royal franchir limite  
","#biodiversit assemble autoris eleveur abat loup : segolene royal franchi limite 
","assembl autoris eleveur abat loup segolene royal franchit limit. 
"
#Suède : une alternative écologique aux batteries au lithium http,1,"Suède alternative écologique batterie lithium 
","Suède alternative écologique batteries lithium 
","Suède alternative écologique batterie lithium 
","Suède : alternativ écolog aux batt au lithium 
","Suède altern écolog batt lithium 
"
