Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
"A Fukushima, la radioactivité met à mal la biodiversité et les oiseaux: http",0,"'Fukushima, radioactivité met à mal biodiversité et oiseaux: http'","Fukushima, radioactivité, mal, biodiversité, oiseaux, http","Fukushima, radioactivité, biodiversité, mal, oiseaux, http","fukushima, radioactivité met à mal biodiversité et oiseaux: http","fukushima, radioactivité, mal, biodiversité, oiseaux, http"
Biodiversité et développement durable : la petite histoire verte du campus http @user,1,biodiversité et développement durable : la petite histoire verte du campus http @user,Biodiversité développement durable histoire verte campus http @user,biodiversité développement durable : petite histoire verte du campus http @user,biodiversité et développement durable : la petite histoire verte du campus http @user,biodiversité développement durable histoire verte campus http @user
Des aides du #gouvernement pour des #logements plus #écologiques. -- http,2,Aides du gouvernement pour des logements plus écologiques. -- http.,aides du gouvernement pour des logements plus écologiques. -- http,aides gouvernement logements plus écologiques http.,aides du gouvernement pour des logements plus écologiques. -- http,aides du gouvernement pour des logements plus écologiques. -- http
"#fabius : ""nous sommes là 1e génération à prendre conscience du changement climatique et nous sommes la dernière à pouvoir agir""",0,nous sommes la première génération à prendre conscience du changement climatique et nous sommes la dernière à pouvoir agir,"#fabius : ""nous sommes 1e génération à prendre conscience du changement climatique et nous sommes la dernière à pouvoir agir""",nous sommes première génération prise conscience changement climatique et dernière pouvoir agir,"#fabius : ""nous sommes là 1e génération à prendre conscience du changement climatique et nous sommes la dernière à pouvoir agir""","#fabius : ""sommes 1e génération à prendre conscience du changement climatique et nous sommes la dernière à pouvoir agir"""
Des arbres sur des maisons écologiques à Ho-Chi-Minh-Ville au Vietnam - http via @user,1,des arbres sur des maisons écologiques à Ho-Chi-Minh-Ville au Vietnam - http via @user,'arbres maisons écologiques Ho-Chi-Minh-Ville Vietnam http via @user','arbres maisons écologiques Ho-Chi-Minh-Ville Vietnam http via @user',des arbres sur des maisons écologiques à Ho-Chi-Minh-Ville au Vietnam - http via @user,arbres maisons écologiques Ho-Chi-Minh-Ville Vietnam http via @user
"Grâce au nouveau pack étudiant, #Github souhaite initier les jeunes développeurs à leur écosystème. #Malin le chat! http",2,"grâce au nouveau pack étudiant, #Github souhaite initier les jeunes développeurs à leur écosystème. #Malin le chat! http",grâce nouveau pack étudiant Github souhaite initier jeunes développeurs à leur écosystème Malin le chat http,"grâce nouveau pack étudiant, Github souhaite initier jeunes développeurs à leur écosystème. Malin le chat! http","grâce au nouveau pack étudiant, #Github souhaite initier les jeunes développeurs à leur écosystème. #Malin le chat! http",grâce nouveau pack étudiant Github souhaite initier jeunes développeurs à leur écosystème Malin le chat http
#climat Ceux qui ont peur du réchauffement consomment plus d'électricité que les sceptiques !  via @user http,0,climat ceux qui ont peur du réchauffement consomment plus d'électricité que les sceptiques! via @user http,#climat Peur Réchauffement Consommation Électricité Sceptiques via @user http,climat peur réchauffement consomment plus sceptiques! via @user http,climat ceux qui ont peur du réchauffement consomment plus d'électricité que les sceptiques! via @user http,climat peur réchauffement consommation électrict sceptiques via user http
@user @user @user  je caille … je grelotte les éoliennes à coté de chez moi …. ne tournent pas depuis 5 jours …,1,je caille … je grelotte les éoliennes à coté de chez moi …. ne tournent pas depuis 5 jours,caille grelotte éoliennes à coté de chez moi ne tournent pas depuis 5 jours,caille grelotte éoliennes à coté de chez moi ne tournent pas depuis 5 jours,je caille … je grelotte les éoliennes à coté de chez moi …. ne tournent pas depuis 5 jours …,gaille glotte éoliennes à coté de chez moi ne tournent pas depuis 5 jours
Cameroun RDC Guinée Éthiopie &amp; Ouganda peuvent produire suffisamment d’énergie hydroélectrique de l'#Afrique @user http,2,Cameroun RDC Guinée Éthiopie & Ouganda peuvent produire suffisamment d’énergie hydroélectrique de l'Afrique @utilisateur http,Cameroun RDC Guinée Éthiopie Ouganda peuvent produire suffisamment d’énergie hydroélectrique Afrique @user http,Cameroun RDC Guinée Éthiopie Ouganda peuvent produire suffisamment d’énergie hydroélectrique de l'Afrique @utilisateur http,Cameroun RDC Guinée Éthiopie & Ouganda peuvent produire suffisamment d’énergie hydroélectrique de l'Afrique @user http,Cameroun RDC Guinée Éthiopie Ouganda peuvent produire suffisamment d’énergie hydroélectrique Afrique @user http
"Subsides aux énergies renouvelables décapités: après l'Allemagne, au tour de l'Italie via @user",0,"subsides aux énergies renouvelables décapités: après l'Allemagne, au tour de l'Italie via @user","'Subsides energies renouvelables décapités: après Allemagne, tour Italie via @user'","subsides aux énergies renouvelables décapités: après l'Allemagne, au tour de l'Italie via @user","subsides aux énergies renouvelables décapités: après l'Allemagne, au tour de l'Italie via @user","subsides energies renouvelables décapités: après Allemagne, tour Italie via @user"
