Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
estoy hasta el ojete de que me digáis que tengo cara de mala leche,0,estoy hasta el ojete de que me digáis que tengo cara de mala leche.,estoy hasta el ojete de que me digáis que tengo cara de mala leche,ojete que me digáis que tengo cara de mala leche.,estoy hasta el ojete de que me digáis que tengo cara de mala leche,estoy hasta el ojete de que me digáis que tengo cara de mala leche
@user Por?  Tenía pensado verla después de la segunda de Daredevil,1,tener pensado verla después de la segunda de Daredevil,'@user Por? Tenía pensado verla después de la segunda de Daredevil',verla después de la segunda de Daredevil,por tener pensado verla después de la segunda de Daredevil,Por? Tenía pensado verla después de la segunda de Daredevil.
Esto de estar feliz mola,2,está feliz mola,feliz mola,feliz mola,Esto de estar feliz mola.,feliz mola
Ya no es tan divertido,0,no es tan divertido,no es tan divertido,es tan divertido,no es tan divertido,no es tan divertido
"@user te recuerdo que soy una persona que tiene criterio, equivocado, pero lo tengo",1,"yo te recuerdo que soy una persona que tiene criterio, equivocado, pero lo tengo","soy una persona que tiene criterio, equivocado, pero lo tengo.","recuerdo que tengo criterio, equivocado, pero lo tengo.","te recuerdo que soy una persona que tiene criterio, equivocado, pero lo tengo.","soy una persona que tiene criterio, equivocado, pero lo tengo."
@user @user @user con una pequeña donación hará felices a miles de chicas que no tienen  #asociacionmariloli,2,con una pequeña donación hará felices a miles de chicas que no tienen  #asociacionmariloli,con una pequeña donación hará felices a miles de chicas que no tienen  #asociacionmariloli,con una pequeña donación hará felices a miles de chicas que no tienen  #asociacionmariloli,con una pequeña donación hará felices a miles de chicas que no tienen  #asociacionmariloli,con una pequeña donación hará felices a miles de chicas que no tienen  #asociacionmariloli
He probado una nueva espuma para el pelo y sí que lo deja más rizado pero se queda como efecto gomina y no me gusta.,0,'He probado una nueva espuma para el pelo y sí que lo deja más rizado pero se queda como efecto gomina y no me gusta.','prueba espuma nuevo pelo rizado efecto gomina no gusta.','prueba espuma nuevo pelo rizado efecto gomina no gusta.',probar una nueva espuma para el pelo y sí que lo deja más rizado pero se queda como efecto gomina y no me gusta.,prueba espuma nuevo pelo rizado efecto gomina no gusta.
@user Ojalá pudiera darte el abrazo en vivo o al menos acompañarte hoy. Siento mucho lo de tu primo,1,ojalá pudiera dar el abrazo en vivo o al menos acompañarte hoy. siento mucho lo de tu primo.,Ojalá pudiera darte el abrazo en vivo o al menos acompañarte hoy. Siento mucho lo de tu primo.,pudiera dar abrazo en vivo o al menos acompañarte hoy. siento mucho lo de tu primo.,ojalá pudiera dar abrazar en vivo o al menos acompañar hoy. siento mucho lo de tu primo,ojalá pudiera darabrazos en vivo o al menosacompañarte hoy. sentimolucho lo de tu primo.
@user aquí tienes a mi bae aka una egipcia preciosa que esta aprendiendo español. Os llevareis bien  @user,2,aquí tienes a mi bae aka una egipcia preciosa que está aprendiendo español. os llevaréis bien  @user,auser aquí tienes a mi bae aka una egipcia preciosa que esta aprendiendo español. Os llevareis bien ,aquí tienes mi bae una egipcia preciosa que está aprendiendo español os llevaréis bien @user,auser aquí tened a mi bae aka una egipcia preciosa que esta aprendiendo español. os llevareis bien ,auser aquí tienes mi bae aka una egipcia preciosa que esta aprendiendo español. os llevareis bien.
"@user ya somos dos, que triste",0,"somos dos, que triste","dos, triste","dos, triste","esos somos dos, que triste","dos, triste"
JUAS ahora dicen que la paja se la van a hacer con Tracer y su novia. Porque siempre se puede caer más bajo aún ¿no?,1,'JUAS ahora dicen que la paja se la van a hacer con Tracer y su novia. Porque siempre se puede caer más bajo aún ¿no?','JUAS ahora dicen que la paja se la van a hacer con Tracer y su novia. Porque siempre se puede caer más bajo aún ¿no?','JUAS ahora dicen que la paja se la van a hacer con Tracer y su novia. Porque siempre se puede caer más bajo aún ¿no?',juas ahora dicen que la paja se la van a hacer con tracer y su novia. porque siempre se puede caer más bajo aún ¿no?,juas ahora dicen que la paja se la van a hacer con tracer y su novia. porque siempre se puede caer más bajo aún ¿no?
#2AñosDeLegiónHolk Llevo como unos 8 meses Talvez menos o mas no sé Me enseñaron y demostraron que LH es algo magico,2,'2AñosDeLegiónHolk Llevo como unos 8 meses Talvez menos o mas no sé Me enseñaron y demostraron que LH es algo magico',L2AñosLegiónHolk Llevo como unos 8 meses quizás menos o mas no sé Me enseñaron y demostraron que LH es algo magico,AñosDeLegiónHolk Llevo como unos 8 meses quizás menos o mas no sé Me enseñaron y demostraron que LH es algo magico.,años de legion holk llevo como unos 8 meses quizás menos o mas no sé me enseñaron y demostraron que lh es algo magico,L2AñosLegiónHolk Llevo como unos 8 meses quizás menos o mas no sé Me enseñaron y demostraron que LH es algo magico.
