Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
"""Ben Smith / Smith (concussion) remains out of the lineup Thursday, Curtis #NHL #SJ""",neutral,"Ben Smith / Smith remain out of lineup Thursday, Curtis be in NHL SJ.",Ben concussion remains lineup Thursday Curtis,"Ben Smith / Smith remain lineup Thursday, Curtis NHL SJ.","Ben Smth / Smth (concuss) remain out lineup Thurs, Curtis #NHL #SJ",ben concuss remain lineup thursdays curtis
Sorry bout the stream last night I crashed out but will be on tonight for sure. Then back to Minecraft in pc tomorrow night.,neutral,Sorry bout the stream last night I crash out but will be on tonight for sure. Then back to Minecraft in PC tomorrow night.,Sorry bout crashed tonight sure back Minecraft pc tomorrow night,Sorry bout stream last night crash out tonight sure Then back Minecraft PC tomorrow night,Sorry bout the stram last nite I crash out but will be on tonite for sure. Then back to Minecraf in pc tomorow nite.,Sorry bout crash tonight sure back Minecraft pc tomorrow night
Chase Headley's RBI double in the 8th inning off David Price snapped a Yankees streak of 33 consecutive scoreless innings against Blue Jays,neutral,Chase Headley's RBIs double in the 8th inning off David Price snapped a Yankees' streak of 33 consecutive scoreless innings against Blue Jays.,Chase Headley double inning David Price snapped Yankees streak consecutive Blue Jays,Chase Headley's double snapped streak.,Chase Headley's RBI doub in the 8th inn off David Pric snap a Yankees streak of 33 consecut scorless inn against Blue Jays.,Chase Headlei doubli inning David Prici snap Yankees streak consecutiv Blue Jay.
@user @user CENA & AJ sitting in a tree K-I-S-S-I-N-G 1st goes AJ's  job then John's cred then goes Vicki with the GM position.,neutral,@user @user be sitting in a tree kiss-ing 1st go AJ's job then John's credit then go Vicki with the general manager position.,CENA AJ K-I-S-S-I-N-G 1st goes AJ's job then John's cred then goes Vicki GM position.,kiss-ing AJ's job John's credit Vicki general manager position,@us @us cen & aj sitt in a tre k-i-s-s-i-n-g 1st go aj s job then john s cred then go vicki with the gm posit.,CENA AJ KISSING 1st goes AJ's JOB then JOHN'S CRED then goes VICKI GM POSITION.
@user Well said on HMW. Can you now address why Texans fans file out of the stadium midway through the 4th qtr of every game?,neutral,@user Well said on HMW. Can you now address why Texans fan leave out of the stadium in middle of fourth quarter of every game?,Well said Texans fans file out stadium midway 4th qtr game.,Well said on HMW. Can now address Texans fan leave out of stadium middle fourth quarter every game.,@user well said on hmw. can you now address why texans fans file out of the stadium midway thru the 4th qtr of every game.,Well said Texan fan file out stadium midway 4th quart game.
Just said hello to Dennis Kucinich as he walked casually through campus with his #hotwife. He's on 22nd st!,neutral,Just say hello to Dennis Kucinich as he walk through campus with his #hotwife. He be on 22nd st.,Just said hello Dennis Kucinich walked casually campus hotwife He 22nd st,Just hotwife Dennis Kucinich walk campus #hotwife 22nd st.,Just said hello to Denni Kuci as he walk casual through campus with his #hott. He's on 22nd st.,Just said hello Dennis Kucinich walk casual campus hotwife He twenty st
@user  6 tickets for Sam smith concert  Sept 30 cheap! Flew our family of 6 here fir the concert! BEYOND UPSET!,neutral,"@user  6 tickets for Sam smith concert  Sept 30 cheap 
Flew our family of 6 here for the concert 
BEYOND upset",@user  cheap! BEYOND UPSET!,"Sam smith Sept 30 cheap 
upset","@user  6 ticket for Sam smith concert  sept 30 cheap 
flew our family of 6 here for the concert 
beyond upset",@us  cheap BEYOND UPSET
"""Fiorentina have reportedly opened talks with Chelsea over taking the 20yr old Kurt Zuoma on loan in January.""",neutral,Fiorentina have reportedly open talk with Chelsea over take the 20-year-old Kurt Zuoma on loan in January.,Fiorentina reportedly opened talks with Chelsea over taking Kurt Zuoma loan in January.,Kurt Zuoma loan January.,Fiorentina hav reportedly open talk with Chelsea oer tak the 20yr old Kurt Zuoma on loan in Januar.,Fiorentina reportedly open talk with Chelsea over take Kurt Zuoam loan in Januari.
What is Jamie Foxx doing sitting next to Niall like you could've sat in a better spot just saying lol,neutral,What be Jamie Foxx do sitting next to Niall like you could have sat in a better spot just say lol,Jamie Foxx sitting next to Niall better spot just saying lol,Jamie Foxx sitting next to Niall better spot just say lol,what is jamie foxx do sitting next to niall like you could've sat in a better spot just say lol,jamie foxx sittin next to niall bett spot just sayin lol
"@user @user 1st uneasyness was when he got v defensive about the Charlie Hebdo stuff, even tho he had pals patiently explaining""",neutral,"@user @user 1st unease was when he got defensive about the Charlie Hebdo stuff, even though he had pals patiently explaining",uneasyness defensive Charlie Hebdo explaining,"1st unease was when he got defensive about Charlie Hebdo stuff, though he had pals explaining.","@us 1st uneas  was when he got defens about the charlie hebdo stuff, even tho he had pal expla",uneasiness defensive Charlie Hebdo explain
