,Text,Label
0,Normal bin ich ja ned der mensch dwer sich beschwert wegen dem essen aber diese Pizza von Joeys...boah wie ekelhaft,0
1,VfB Stuttgart gegen SV Hamburg: Das Warten auf den nächsten Schritt - Stuttgarter Zeitung: DIE WELTVfB Stuttga... http,1
2,@user @user @user @user @user @user @user @user fühlt sich schon so spät an 😚😚😚,2
3,@user glaub ich! XD 30€ sind echt not bad T___T *grübel*,0
4,@user. Diviertete,1
5,"@user @user plopp plopp plopp: frisches Popcorn rüber reich. Coke? klar, kein Thema!",2
6,"Ach Scheiss drauf, dann eben nich",0
7,"RT @user: Was ist das für eine Glaubwürdigkeit, wenn wir sagen wir sind keine Verbotspartei und gleichzeitig Verbote fordern @user…",1
8,He's so charming. Man muss ihn einfach lieben #samuhaber #tvog,2
9,"Dieses Gefühl, wenn man von Personen enttäuscht wird...",0
10,Sieben künstlerische Projekträume ausgezeichnet http #Berlin,1
11,@user Cool! Keine weiteren Fragen. ;-),2
12,@user kamu syahrenong:-(,0
13,"Wer muss bis 8 in Krefeld arbeiten, geht dann direkt ins Fitnessstudio und muss dann nachts zu Hause die Spülmaschine ausräumen?",1
14,"@user hab keine, bin lieb zu dir. ^_^",2
15,NDR. Seniorenchor. Absolute Fassungslosigkeit meinerseits.,0
16,Der #Klassiker ! #Knirps #T2 zum #Sonderpreis ! Der Name spricht für sich - der #Schirm schlechthin ! http,1
17,When we were younger (8),2
18,"@user Hi, könnt Ihr bitte Oceans Twelve prüfen? Nach einer halben Std. fehlerhaft :( Andere Serien u. Filme laufen problemlos. Gruß",0
19,RT @user: 1/2 Hammerstory v @user: EU-Kommisar Oettinger streicht unliebsame Zahlen zur Subvention von Fossil u AKW. ht…,1
20,@user guten abend. bitte folge mir mal. dann kann ich dir das erklären. danke ^l,2
21,@user Nicht gut. =(,0
22,@user Breizh sur seine.,1
23,@user Schlaf gut und träume was schönes. &lt;3,2
24,@user BUT NOT REALLY GUYS,0
25,"Berlin, Schadenregulierer (m/w) Sach Schaden für das Regulierungsgebiet Ostsachsen http Jobs Versicherung",1
26,"RT @user: BISON #Multichannel-Studie: Wut- und Frust-Käufe zu 76% weiterhin via Offline-Handel ;) Danke @user, heute Aben…",2
27,"@user Nee, klappt nicht:/",0
28,"Extrem flacher, berührungsloser Winkelsensor http",1
29,Voll schöner Vintage-Spiegel. Oder Retro. Weiß nicht genau. Eher vintage! #latergram #shabby #vintage http,2
30,@user die deutsche regierung ist nicht unfaehig ...sie hat nur nix zuppa melden . Ich lach michele tot wie die sich aufblasen,0
31,"""Niemand weiß, wie weit seine Kräfte gehen, bis er sie versucht hat."" Johann Wolfgang von Goethe",1
32,"@user Gourmet sozusagen...sehr schön! ... Oh...ganz schön tief...na macht nix, muss ich halt bisschen üben... hmm...^ . ^",2
33,"@user Ey! Nichts gegen den Ruhrpott. &gt;:( (Aber ja, teilweise kommen die echt hier wech.)",0
34,Gratis Beauty-Box ab 15€ Einkauf http,1
35,"#Museum, #Planes, #Red_Bull, #Friedrichshafen, #Nice, #Cool, #Good, #Fast, #Speed. @ Dornier Museum… http",2
36,Hätte vielleicht doch was langes anziehen sollen..,0
37,@user nichts.,1
38,"@user geil, abends Äpfel essen, morgens besoffen \o/",2
39,RT @user: Täglich fließen 300 Tonnen verseuchtes Wasser vor #Fukushima ins Meer und die Regioerung pocht auf die Sicherheit von Atomkr…,0
40,Nicht vergessen: Das bissige #Musical Vergnügen heute im König Albert Theater! http,1
41,Huzur kumsalda :) (@ Beach Bar) http,2
42,Routentracing zu dem Server zeigt jedenfalls nichts gutes an. Habe nirgendwo sonst Probleme. Spiele aber auch kaum was anderes online.,0
43,RT @user: #Atmosphäre #Meer #Kalk #Kiel #Miesmuscheln Miesmuscheln wachsen auch im sauren Meer http,1
44,Gott sei Dank. Das 1:1. #Eintracht #SGE,2
45,@user light mann light Nahrung #Opfer,0
46,kein wunder (@user http,1
47,@user nope stimmt nicht (/.\) *wegschmelz*,2
48,Unsicher? Ich? Da Lache ich doch. HA!,0
49,Grunderwerbsteuer wird erhöht: Der Immobilienkauf wird teurer http,1
50,Im Allgemeinwissen bin ich am 'besten' #omg,2
51,@user ein grauenhaftes erlebnis. war auch dort. unglaublich. einfach unglaublich.,0
52,TV Beitrag: Reinsdorf Classic Cup 2013 - Zweiter Durchgang Lauf 01 http,1
53,@user nachtiii&lt;3,2
54,&lt;- möchte milde kotzen,0
55,"@user Mit Blindheit geschlagen sein,ist hoffentlich nicht ansteckend #BTW13 http Zwangsbehandlungsgesetz 26.02.13",1
56,Neue Kollektion kommt! - Wir freuen uns demnächst die streng limitierte Seldom Nasty Kollektion... http,2
57,"RT @user: @user ihr macht euch öffentlich und wollt diskurs, also klag nicht, dass er öffentlich stattfindet @user…",0
58,RT @user: Führungsstreit beendet: BER-Technikchef Amann abgesetzt http,1
59,...an mit rein durfte ;D bzw.... eigentlich pennte er ja im Sessel als ich ins Bad schlich ;D ;D na ja.. nun bin ich wieder wach :)),2
60,endlich Bus erreicht ihr mongos #Matze_der_babo #ha_gayy,0
61,Neue Autos stossen weniger Abgase aus: http #News #Liechtenstein,1
62,"@user Könnt ihr bitte für gute Laune sorgen, die ich eigentlich schon habe, und Best Song Ever von One Direction spielen ? #Wunschhits :)",2
63,Das interessiert mich gerade echt nicht. #Domian,0
64,Langsam wird's hell draußen.,1
65,Süßer kleiner Elefant: Bad Wünnenberg | Kann zur Blumenablage genutzt werden!Bitte Abholung! http,2
66,Halloween III spar ich mir. Aus Gründen. #Halloween http,0
67,"05:00 Die Bewölkung nimmt zu, es wird wärmer. In den nächsten 12 bis 24 Stunden sind Niederschläge möglich. Windig.",1
68,@user klare Linie bei dt. Außenpolitik wird jetzt schon gebraucht und von Schwarz-Gelb kommt nichts! #r2g wäre also klarer Fortschritt,2
69,YOU CAN'T TWERK WITH US! *Gretchen Weiner voice.,0
70,Wo? ortseingang Lichtenau! Genauer? B68! Richtung? aus Richtung Paderborn kommend! Wann? 30.08.2013 17:14 Uhr!,1
71,@user @user jetzt erst recht geteerten und auf Seltsames aufmerksam machen ;),2
72,sorry meine Internetverbindung ist schlecht der Live Stream wurde abgebrochen nächstes Mal am zehnten elften kommt ein neuer live stream,0
73,"Preisabschlag 50% Preis: 18,40 €. Textilien: Noppies Damen Umstandsmode Shirt/ Top, All over Druck 30311, Gr... http",1
74,Photo: Seebrücke um 02:02 Uhr. War schön :) (hier: Seebrücke) http,2
75,RT @user: Obama trifft sich wegen #Schnowden Asyl nicht mit Putin. Menschenrechtsverletzungen der Russen waren bislang keine Absage …,0
76,Hazard/Gefahr: AKW Fukushima: Radioaktiv belastetes Wasser fließt tonnenweise ins Meer http via @user,1
77,Lebe frei! http http #Freiheit,2
78,"Das Wetter?! RT @user: Macht kaputt, was euch nachts wach liegen lässt!",0
79,Transfer angeblich perfekt - Real zahlt 99 Millionen Euro für Gareth Bale http,1
