Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
estoy hasta el ojete de que me digáis que tengo cara de mala leche,0,"estoy hasta el límite de que me digáis que tengo cara de mala leche. 
","hasta ojete que digáis cara mala leche. 
","límite que digáis cara mala leche.  
","estoy hasta el ojet de que me digáis que tengo cara de mala leche 
","hasta ojete que dija cara mal leche.  
"
@user Por?  Tenía pensado verla después de la segunda de Daredevil,1,"usuario Por? Tenía pensado verla después de la segunda de Daredevil. 
","pensado verla después segunda Daredevil. 
","usuario Por? Pensado verla después segunda Daredevil.  
","@user Por?  pensar ver despues segunda Daredevil. 
","pensad ver despueg second Daredevil.  
"
Esto de estar feliz mola,2,"Esto estar feliz mola. 
","Feliz mola. 
","Feliz mola.  
","Esto estar feliz mol 
","Feliz mol. 
"
Ya no es tan divertido,0,"Ya no ser tan divertido. 
","divertido 
","no divertido.  
","Ya no es tan diver. 
","divert. 
"
"@user te recuerdo que soy una persona que tiene criterio, equivocado, pero lo tengo",1,"usuario recuerdo que soy persona que tiene criterio, equivocado, pero lo tengo. 
","persona criterio equivocado lo tengo. 
","usuario recuerdo persona criterio equivocado pero lo tengo.  
","@user te record que soy persona que tiene criteri, equivocad, pero lo tengo. 
","persona criter equivocado lo tengo.  
"
@user @user @user con una pequeña donación hará felices a miles de chicas que no tienen  #asociacionmariloli,2,"con una pequeña donación hará feliz a miles de chica que no tienen asociaciónmariloli. 
","donación hará felices miles chicas no tienen asociacionmariloli. 
","donación feliz miles chica asociaciónmariloli.  
","@user @user @user con una pequeñ donacion hara feliz a miles de chica que no tienen  #asociacionmariloli 
","donacion hara feliz mil chica no tien asociacionmariloli. 
"
He probado una nueva espuma para el pelo y sí que lo deja más rizado pero se queda como efecto gomina y no me gusta.,0,"Probar una nueva espuma para el pelo y sí que dejar más rizado pero quedar como efecto gomina y no gustar. 
","probado espuma pelo deja rizado efecto gomina gusta. 
","Probar espuma pelo dejar rizado efecto gomina gustar.  
","He prob una nuev espuma para el pelo y si que lo deja mas rizad pero se queda como efecto gomina y no me gust. 
","prob test espuma pelo dej rizado efect gomina gust.  
"
@user Ojalá pudiera darte el abrazo en vivo o al menos acompañarte hoy. Siento mucho lo de tu primo,1,"Ojalá pudiera dar el abrazo en vivo o al menos acompañarte hoy. Sentir mucho lo de tu primo. 
","Ojalá pudiera darte abrazo vivo o acompañarte hoy. Siento mucho lo de tu primo. 
","Ojalá pudiera dar abrazo vivo o al menos acompañarte hoy. Sentir mucho lo de primo.  
","@user Ojalá pudiera dar el abras en viv o al menos acompañarte hoy. Siento mucho lo de tu prim. 
","Ojalá podria dar abras viv o acompañat ho. Siento mucho lo de tu prim.  
"
@user aquí tienes a mi bae aka una egipcia preciosa que esta aprendiendo español. Os llevareis bien  @user,2,"Aquí tienes a mi pareja una egipcia preciosa que está aprendiendo español. Os llevaréis bien. 
","bae egipcia preciosa aprendiendo español. llevareis bien. 
","pareja egipcia preciosa aprendiendo español. llevaréis bien.  
","user aqui tien a mi bae aka una egipcia preciou que esta aprendiendo espanyol. os llevareis bien user 
","bae egipcia preci aprendiendo español. llevareis bien.  
"
"@user ya somos dos, que triste",0,"usuario ya ser dos, que triste 
","dos triste 
","usuario dos triste 
","@user ya somos dos, que trist 
","dos trist 
"
JUAS ahora dicen que la paja se la van a hacer con Tracer y su novia. Porque siempre se puede caer más bajo aún ¿no?,1,"Jua ahora dicen que la paja se la van hacer con Tracer y su novia. Porque siempre se puede caer más bajo aún ¿no? 
","JUAS ahora dicen paja Tracer novia. Siempre caer más bajo. 
","Jua ahora dicen paja Tracer novia. Siempre caer más bajo. 
","JUAS ahora dicen que la paj se la van hacer con Tracer y su novia. Porque siempre se puede caer mas bajo aun ¿no? 
","JUAS ahora dic papag Tracer novia. Siempre caer mas bajo.  
"
#2AñosDeLegiónHolk Llevo como unos 8 meses Talvez menos o mas no sé Me enseñaron y demostraron que LH es algo magico,2,"Llevo como unos 8 meses Tal vez menos o más no sé Me enseñaron y demostraron que LH es algo mágico. 
","2AñosDeLegiónHolk Llevo meses Talvez menos mas no sé Me enseñaron demostraron que LH algo magico 
","8 meses Tal vez menos más no sé Me enseñaron demostraron LH mágico.  
","#2AñosDeLegiónHolk Llevo como unos 8 mes Tal vez menos o mas no sé Me enseñaron y demostraron que LH es algo magico 
","2AnioDeLegionHolk Llevo mes tal vez menos mas no se Me enseñaron demostraron que LH algo magic.  
"
"🌼 severus snape 🌼  -pobresito  -nunca le odié, me parecía muy estricto e injusto pero sabía que algo pasaba...",0,"🌼 severus snape 🌼  -pobre -nunca le odié, me pareció muy estricto e injusto pero sabía que algo pasaba... 
","Severus Snape  pobresito nunca le odié parecía muy estricto injusto sabía que algo pasaba. 
","Severus Snape  pobre nunca le odié pareció estricto injusto sabía algo pasaba.  
","🌼 severus snape 🌼  -pobre -nunca le odié, me pareci estricto e injusto pero sabía que algo pas... 
","Severus Snape pobre never le odié parec muy estricto injusto sabía que algo pas.  
"
"@user es chevre las letras!! sabes q dia es mañana,....",1,"usuario ser chévere las letras sabe qué día ser mañana. 
","chevre letras sabes dia mañana 
","usuario chévere letras sabe día mañana.  
","@user es chevre let. sabe q dia es manana. 
","chevre let saber dia manana  
"
Se echa de menos  #digital #art #life @ Escuela Superior de Arte y Tecnología (ESAT) http,2,"Echar menos digital arte vida Escuela Superior de Arte y Tecnología (ESAT) 
","echa menos  #digital #art #life @ Escuela Superior de Arte y Tecnología (ESAT) 
","menos digital arte vida Escuela Superior de Arte y Tecnología ESAT  
","ech men #digital #art #life @ Escuela Superior de Arte y Tecnologí (ESAT) http 
","ech men #digital #art #life @ Escuela Superior de Arte y Tecnologia (ESAT)  
"
"Esta ceniza me tiene harta, me arden los ojos",0,"Esta ceniza me tiene harta, me arden los ojos. 
","Ceniza harta ojos arden. 
","Ceniza harta ojos arden.  
","Esta ceniz me tiene hart, me ard los ojo. 
","Ceniz harto ojo ard. 
"
¿Aprender Motion Graphics en #Barcelona sin que me cueste un riñón es posible? ¿Alguien conoce algún sitio?,1,"¿Aprender Motion Graphics en Barcelona sin que me cueste un riñón es posible? ¿Alguien conocer algún sitio? 
","Aprender Motion Graphics Barcelona cuesta riñón posible alguien conoce sitio. 
","Aprender Motion Graphics Barcelona cueste riñón posible alguien conocer sitio.  
","¿Aprender Motion Graphic en #Barcelona sin que me cost un riñon es posible? ¿Alguno conoc algun sitio? 
","Aprender Motion Graphic Barcelona cost riñón posible alguien conoc sitio. 
"
@user No. tampoco soy cursi,2,"usuario no ser cursi 
","soy cursi 
","usuario ser cursi 
","@user No tampoco cursi 
","soy curs 
"
En fin estoy hasta los huevos del 90% de las personas así que.,0,"En fin estoy hasta los huevos del 90 por ciento de las personas así. 
","Estoy huevos 90% personas. 
","Estoy huevos 90 por ciento personas.  
","En fin estoy hasta los huev del 90% de las person así que. 
","Estoy huev 90% person.  
"
"@user jajajajaja, ¡qué linda! Yo también me puse re feliz cuando me enteré, nos dejan un álbum antes que TOP se vaya al servicio",1,"usuario jajaja, qué linda yo también me puse feliz cuando me enteré, nos dejan un álbum antes que top se vaya al servicio 
","jajajajaja linda me puse feliz cuando enteré nos dejan álbum antes TOP vaya servicio 
","jajajaja linda puse feliz enteré dejan álbum antes top vaya servicio  
","@user jajajaja, que linda! yo tambien me puse re feliz cuando me enteré, nos dejan un album antes que top se vaya al servici. 
","jajaja linda me puse feliz cuando enteré nos dejan album antes top vaya servici 
"
@user     Ya está preparando cosillas nuevas jeje,2,"@user Ya preparar cosa nueva jeje 
","preparando cosillas nuevas 
","preparar cosa nueva  
","@user ya prepar prepar cos nuevas jeje 
","preparando cosilla nuev 
"
"@user Jo, yo que me había ilusionado",0,"Yo que me había ilusionado. 
","@user ilusionado 
","me había ilusionado.  
","@user yo que me había ilusiona 
","@user ilusion 
"
