Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
A woman who you fucked multiple times saying yo dick small is a compliment you know u hit that spot 😎,hate,A woman who you fuck multiple times saying yo dick small is a compliment you know u hit that spot.,woman you fucked multiple times saying yo dick small compliment you know u hit that spot 😎,woman fuck multiple times saying yo dick small compliment you know u hit that spot.,a woman who you fuck multiple times saying yo dick small is a compliment you know u hit that spot cool,woman you fucked multiple times saying yo dick small compliment you know u hit that spot 😎
@user @user real talk do you have eyes or were they gouged out by a rapefugee?,hate,do you have eyes or were they gouged out by a rapefugee,'@user @user real talk have eyes or gouged out rapefugee',do you have eyes or were they gouged out by a rapefugee,user user real talk have eyes or were eyes gouged out by rapefugee,user real talk have eyes or gouged out rapefugee
your girlfriend lookin at me like a groupie in this bitch!,hate,your girlfriend look at me like a groupie in this bitch,girlfriend lookin at me like groupie in this bitch!,girlfriend look at me like groupie in this bitch,girlfriend lookin at me like a groupie in this bitch!,girlfriend lookin at me like groupie in this bitch!
I AM NOT GOING AFTER YOUR EX BF YOU LIEING SACK OF SHIT ! I'm done with you dude that's why I dumped your ass cause your a lieing 😂😡 bitch,hate,I be not go after your ex BF you lieing sack of shit I be done with you dude that's why I dump your ass cause your lieing 😂😡 bitch,AM GOING AFTER YOUR EX BF YOU LIEING SACK OF SHIT! I'M DONE WITH YOU DUE THAT'S WHY I DUMPED YOUR ASS CAUSE YOUR A LIEING 😂😡 BITCH,I go after your ex BF you lying sack of shit I done with you dude that's why I dump your ass cause your lying 😂😡 bitch,am not going after your ex bf you lying sack of shit i am done with you dude thats why i dumped your ass cause your a lieing 😂😡 bitch,going after your ex bf you lying sack of shit i am done with you thats why i dumped your ass cause your lying 😂😡 bitch
"Send home migrants not in need of protection, Peter Dutton tells UN, HEY DUTTON HOW ABOUT THE ONES THAT HAVE STAYED AND NOT LEFT THE COUNTRY WHEN THEY SHOULD OVERSTAYERS ? WHY DONT YOU GO AND ROUND ALL THEM UP ?",hate,"send home migrants not in need of protection, Peter Dutton tells UN, hey Dutton how about the ones that have stayed and not left the country when they should be overstayers, why don't you go and round all them up?",'Send home migrants not need protection Peter Dutton tells UN HEY DUTTON HOW ABOUT ONES HAVE STAYED NOT LEFT COUNTRY WHEN THEY OVERSTAYERS WHY DONT YOU GO AND ROUND ALL THEM UP',send home migrants need protection Peter Dutton tells UN hey Dutton how about ones have stayed not left country when should be overstayers why don't you go round all them up,"send home migrants not in need of protection, Peter Dutton tells UN, hey Dutton how about the ones that have stayed and not left the country when they should overstayers, why dont you go and round all them up?",send home migrants not need protection Peter Dutton tells UN hey Dutton how about ones have stayed not left country when they overstayers why dont you go and round all them up
"Cory Booker and Kamala Harris competing for Most Hysterical Woman at the Kavanaugh hearings, Coulter hilariously tweeted.And yes, liberals immediately got triggered on Twitter, saying her joke was offensive. To them we say, suck it up, snowflakes.",hate,"Cory Booker and Kamala Harris competing for Most Hysterical Woman at the Kavanaugh hearings, Coulter hilariously tweeted. And yes, liberals immediately got triggered on Twitter, saying her joke was offensive. To them we say, suck it up, snowflakes.",Cory Booker Kamala Harris competing Most Hysterical Woman Kavanaugh hearings Coulter hilariously tweeted liberals immediately got triggered Twitter her joke offensive To them suck up snowflakes.,Cory Booker Kamala Harris competing Most Hysterical Woman Kavanaugh hearings Coulter hilariously tweeted liberals immediately got triggered Twitter her joke offensive To them suck up snowflakes.,"cory booker and kamala harper competing for most hysterical woman at the kavanaugh hearings, coulter hilariously tweeted.and yes, liberals immediately got triggered on twitter, saying her joke was offensive.to them we say, suck it up, snowflakes.",cory booker kamala competing most hysterical woman kavanaugh hearings coulter hilariously tweeted liberals immediately got triggered twitter her joke offensive to them suck up snowflakes.
Should have let the Libyan Manchester bomber rot in his own country. How many more mass murderers did the Royal Navy import to Britain? How many more terrorists do the NGO's rescue from international waters? #RefugeesNotWelcome,hate,'Should have let the Libyan Manchester bomber rot in his own country. How many more mass murderers did the Royal Navy import to Britain? How many more terrorists do the NGO's rescue from international waters? #RefugeesNotWelcome','let Libyan Manchester bomber rot country? how many more mass murderers Royal Navy import Britain? how many more terrorists NGO's rescue international waters? #RefugeesNotWelcome','let Libyan Manchester bomber rot country? how many more mass murderers Royal Navy import Britain? how many more terrorists NGO's rescue international waters? #RefugeesNotWelcome',should let libyan manchester bomber rot in own country. how many more mass murderers did royal navy import to britain? how many more terrorists do ngo's rescue from international waters? #refugeesnotwelcome,let Libyan Manchester bomber rot country? how many more mass murderers Royal Navy import Britain? how many more terrorists NGO's rescue international waters? #RefugeesNotWelcome
"This account was temporarily inactive due to an irrational woman reporting us to Twitter. What a lack of judgement, shocking. #YesAllMen",hate,"'This account be temporarily inactive due to an irrational woman report us to Twitter. What a lack of judgement, shocking. #YesAllMen'",This account was temporarily inactive due to irrational woman reporting us to Twitter. What lack of judgement shocking. #YesAllMen,account temporarily inactive irrational woman report us Twitter lack judgement shocking YesAllMen,"this account was temporarily inactive due to an irrational woman reporting us to twitter. what a lack of judgement, shocking. #yesallmen",this account was temporarily inactive due to irrational woman reporting us to Twitter. what lack of judgement shocking. #yesallmen
listen... i love lil b but i would not fuck with dej loaf at all. she prob got poison up in her nail polish like that bitch from holes,hate,i love lil b but i would not fuck with dej loaf at all. she probably got poison up in her nail polish like that bitch from holes.,lil b dej loaf poison nail polish bitch holes,i love lil b but fuck dej loaf at all. she probably got poison up in her nail polish like that bitch from holes.,listen i love lil b but i would not fuck with dej loaf at all. she prob got poison up in her nail polish like that bitch from holes.,bdejloafpoisonnailpolishbitchholes
@user @user keep calling her a bitch and a whore dude real grown up.,hate,user keep call her a bitch and a whore dude real grown up.,'@user @user calling her bitch whore dude grown up.',keep call her bitch whore dude grown up.,userusercallherbitchwhoregrownup,calling her bitch whore dude grown up.
