Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
"@user , you are correct that Reid certainly is a weasel. Sadly, we've got our own weasels; @user Sen McConnell & @user .The corrupt Mueller investigation w/be STOPPED if those 3 did their jobs.#MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #USA",non-hate,"@user, you be correct that Reid certainly be is a weasel. Sadly, we've got our own weasels; @user Sen McConnell & @user.The corrupt Mueller investigation w/be stop if those 3 did their job.#MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #USA","@user,correctReidcertainlyweaselSadlywevegotourownweaselsSenMcConnellThecorruptMuellerinvestigationwSTOPPEDdidtheirjobsMAGAKAGPOTUSDATRUMPNEWSVoteRedNoDACAAUSA","@user, Reid certainly weasel. Sadly, got own weasels; @user Sen McConnell & @user. corrupt investigation w/ stop if did job. #MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #USA","@user, you are correct that Reid certa is a weas. sadly, we ve got our own weas; @user Sen McConnell & @user.the corrup mueller investigat w/ be STOPPED if th 3 di th ir jobs.#MAGA #KAG #POTUS #Trum #NEWS #VotRed #NoDACA #USA","@user,corrReidcertainweasSadwevegotoweasSenMcConnellThcorruptMuellinvestigwSTOPPEDdidtheirjobMAGAKAGPOUSDATRUMPNESVotRedNoDACAAUS"
Whoever just unfollowed me you a bitch,hate,Whoever just unfollow me you a bitch,Whoever just unfollowed me bitch,Whoever just unfollow bitch,Whoevr jst unfoll m Y u b bch,whoevr jst unfoll m bch
@user @user Those People Invaded Us!!! They DO NOT BELING HERE & HAVE NO RIGHTS! Its #AmericaFIRST! Open Your House To Them If Your That IGNORANT! & Yes Im A #Christian Too! #NODACA!,hate,@user @user Those people invade us!!! they do not bring here & have no right! it is #americafirst! open your house to them if you are that ignorant! & yes i am a #christian too! #nodaca!,@user @user People Invaded Us!!! THEY NOT BELONG HERE & HAVE NO RIGHTS! Its #AmericaFIRST! Open Your House To THEM If YOUR IGNORANT! & Yes IM A #Christian TOO! #NODACA!,@user @user people invade us!!! do bring here & have right! #americafirst! open your house to them if you ignorant! yes christian too! #nodaca!,@user @user those peopl invade us!!! they do no notbel here & hav no right! its #americafirst! open your house to them if your that ignorant! & yes im a #christian too! #nodaca!,@user @user peopl invade us!!! the not belong here & have no right! its #americafir! open your house to the if your ignoran! & yes im a #christ too! #nodca!
"stop JUDGING bitches by there cover, jus cuz she bad don't mean she's a catch shawdy could be a whore 👀 das opposite of a keeper",hate,"stop judge bitch by their cover, just cuz she bad don't mean she's a catch shawdy could be a whore 👀 das opposite of a keeper",JUDGING bitches cover cuz bad mean catch shawdy could be whore 👀 das opposite keeper,judge bitch just cuz bad don't mean she's catch shawdy could be whore das opposite keeper,"stop judg bitt by thre ther, jus cuz sh bad dont mean shs a cat shawd yessop operside of a keep",JUDG bitches cov cuz bad mea catch shawdy could be whor 👀 das opp opposit keep
how about i knock heads off and send them gift wrapped to your moms house you dumb raggedy bird bitch ass hoes,hate,how about i knock head off and send them gift wrap to your mom's house you dumb raggedy bird bitch ass hoe,knock heads off send gift wrapped moms house dumb raggedy bird bitch ass hoes,knock head off send gift wrap mom's house dumb raggedy bird bitch ass hoe,howabou ti knock head off and send them gift wrap to your mom house you dumb raggedy bird bitch ass ho,knock head off send gift wrap mom house dumb ragged bird bitch ass hoe
@user @user @user Always #NoDACA.I AM BORN IN #USA AND #USA FIRST.,non-hate,@user @user @user always no_daca i born in usa and usa first,@user @user @user #NoDACA I BORN USA #USA FIRST,@user @user @user no_daca born usa first,@user @user @user alwai nodaca i am bor in usa and usa first,@user @user @user #NoDACA I BORNO USA #USA FIRST
@user friends ? that's my BLOOD brother bitch .. he in yo city !! i'm hours away . ill be through there tomo…,non-hate,@user friend? that be my blood brother bitch.. he be in yo city!! i be hours away. ill be through there tomo….,@user friends that my BLOOD brother bitch he yo city i'm hours away ill be through there tomo,@user friend? be blood brother bitch he be city ill be there tomo,@user frien? tha's my BLOD brother bitch.. he in yo ci!! i'm hour away. ill be thre tomo…,@user frie blood bro bitch ye citi im hour away ill be thre tomo
"@user @user Muslims attacked US on 9/11, 3000 killed. Subsequently we allowed more Muslims in our country?!?Does this make any sense to you?You can thank Obama, his liberals minions, RINO's & political correctness. #MuslimBan #BanIslam #TravelBan #DrainTheDeepState #DeportThemAll",hate,"@user @user Muslim attack US on 9/11, 3000 kill. Subsequently we allow more Muslim in our country?!? Does this make any sense to you? You can thank Obama, his liberal minion, RINO, & political correctness. #MuslimBan #BanIslam #TravelBan #DrainTheDeepState #DeportThemAll",@user @user attacked US 9/11 3000 killed subsequently allowed more Muslims country Does make sense you can thank Obama liberals minions RINO's political correctness #MuslimBan #BanIslam #TravelBan #DrainTheDeepState #DeportThemAll,"@user @user attack US 9/11, 3000 kill. Subsequently we allow more Muslim country?!? Does make any sense you? can thank Obama, liberal minion, RINO, political correctness. #MuslimBan #BanIslam #TravelBan #DrainTheDeepState #DeportThemAll","@user @user Muslimm attack US on 911, 3000 kill. Subseq we allow more Muslimm in our country?!?Does this make any sens to you?You can than Obamm, his liberal minion, RINO & polit correct. #MuslimBan #BanIslam #TravelBan #DrainTheDeepState #DeportThemAll",@user @user attack us 911 3000 kill subsequently allow more muslim country does make sense you can thank obama liberal minion rino politic correct #muslimban #bislam #travelban #drainthedeepstate #deportthemall
@user @user Like he ever kept out any threats. He's lying as usual. #BuildThatWall,non-hate,@user @user like he ever keep out any threat. he lie as usual. #buildthatwall,@user @user he kept threats. lying usual. #BuildThatWall,@user @user keep threat. lie usual. #buildthatwall,@user @user like he ever keep out any threat. he lie as usual. #buildthatwall,@user @user kee threat. lii usua. #BuilThatWall
#germany deserves to called #cuck/land they allow in #isis fighters as #Refugees even if they raped underaged girls. this #yazidi girl is scared of this and she is forced to see the face of her rapist.#refugeesnotwelcome should apply to these scum,hate,#germany deserve to call #cuck/land they allow in #isis fighter as #refugee even if they rape underaged girl. this #yazidi girl be scare of this and she be force to see face of her rapist. #refugeesnotwelcome should apply to these scum,#germany deserves called #cuck/land allow #isis fighters #Refugees even raped underaged girls this #yazidi girl scared forced see face rapist #refugeesnotwelcome apply scum,#germany deserve call #cuckland allow #isis fighter refugee even rape underaged girl this #yazidi girl scare face rapist #refugeesnotwelcome apply scum,#germni deserv to call #cuck/land thay allow in #iss fight as #refug even if th rap underagd girl. ths #yazi girl is scra of ths and sh is forc to see th fac of h rapis.#refugnotwelc shoul appl to ths scum,#germny deserv call #cucklnd allow #isis fight refug even rap underagd girl this #yazid girl scare forc se face rap refug notwelcom appl scum
