Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
"I L VE working for a cause! Yesterday""s balloon decor for SNN 11th Annual Back 2 School Health…",smiling face with hearteyes,'I live working for a cause! Yesterday's balloon decor for SNN 11th Annual Back 2 School Health…',"'I LVE working for a cause! Yesterday""s balloon decor for SNN 11th Annual Back 2 School Health…'",'I live working cause! Yesterday's balloon decor SNN 11th Annual Back 2 School Health…',"I live working for a cause! Yesterday""s balloon decor for SNN 11th Annual Back 2 School Health…","love working for a cause! yesterday""s balloon decor for SNN 11th Annual Back 2 School Health…"
I took a pic with Eminem! *still not over that performance vibe from #parrisproject!…,smiling face with hearteyes,took a pic with Eminem! *still not over that performance vibe from #parrisproject!*,'I took pic Eminem! *still not over performance vibe from Parrisproject!',took pic Eminem! *still not over that performance vibe from Parrisproject!*,took pic with Eminem! *still not over that performance vibe from #parrisproject!…,took pic Eminem! *still not over perfomance vibe from Parrisproject!
"I L VE working for a cause! Yesterday""s balloon decor for SNN 11th Annual Back 2 School Health…",smiling face with hearteyes,'I live working for a cause! Yesterday's balloon decor for SNN 11th Annual Back 2 School Health…',"'I LVE working for a cause! Yesterday""s balloon decor for SNN 11th Annual Back 2 School Health…'",'I live working cause! Yesterday's balloon decor SNN 11th Annual Back 2 School Health…',"I live working for a cause! Yesterday""s balloon decor for SNN 11th Annual Back 2 School Health…","love working for a cause! yesterday""s balloon decor for SNN 11th Annual Back 2 School Health…"
Sundays are all about the cute babies and dogs! #Ballard #sundaymarket #littelestmodel…,smiling face with hearteyes,sundays be all about the cute babies and dogs! #Ballard #sundaymarket #littelestmodel…,Sundays cute babies dogs #Ballard #sundaymarket #littelestmodel,sundays cute babies dogs #Ballard #sundaymarket #littelestmodel,sundays are all about the cute babies and dogs! #ballard #sundaymarket #littelestmodel,sundays cute babies dogs ballard littleestmodel
"I think it""s nap time for us @ Los Angeles, California",smiling face with hearteyes,"'I think it is nap time for us in Los Angeles, California'","'I think it's nap time for us @ Los Angeles, California'","'I think nap time for us in Los Angeles, California'",it think its nap time for us Los Angeles California,"it's think it's nap time for us @ Los Angeles, California"
"I L VE working for a cause! Yesterday""s balloon decor for SNN 11th Annual Back 2 School Health…",smiling face with hearteyes,'I live working for a cause! Yesterday's balloon decor for SNN 11th Annual Back 2 School Health…',"'I LVE working for a cause! Yesterday""s balloon decor for SNN 11th Annual Back 2 School Health…'",'I live working cause! Yesterday's balloon decor SNN 11th Annual Back 2 School Health…',"I live working for a cause! Yesterday""s balloon decor for SNN 11th Annual Back 2 School Health…","love working for a cause! yesterday""s balloon decor for SNN 11th Annual Back 2 School Health…"
"Here""s to the start of a great adventure. Niners today, Alaska tomorrow. #grams @ Levi""s Stadium",smiling face with hearteyes,"'Here be to the start of a great adventure. Niners today, Alaska tomorrow. #grams @ Levi""s Stadium'","""Here to start great adventure Niners today Alaska tomorrow #grams @Levis Stadium""","'Here be to start great adventure Niners today Alaska tomorrow #grams @ Levi""s Stadium'","here to the start of a great adventure. niner today, alaska tomorrow. #gram @ levis stadium.",here to start great adventure niners today alaska tomorrow #grams @levis stadium
Absolutely in love with this ethereal glow on holytolidoitseric. Who would rock this look?…,smiling face with hearteyes,love with this glow on holytolidoitseric. who would rock this look?,love glow ethereal holytolidoitseric rock look…,love glow holytolidoitseric who rock look,love with ethereal glow holytolidoitseric who rock look…,love glow ethereal holytolidoitseric rock look
"My lady love beautiful friend #doubleLtrouble #leilavie #beachour @ Stinson Beach, California",smiling face with hearteyes,"my lady love beautiful friend #doubleLtrouble #leilavie #beachour @ Stinson Beach, California","My lady love beautiful friend #doubleLtrouble #leilavie #beachour @ Stinson Beach, California","my lady love beautiful friend #doubleLtrouble #leilavie #beachour @ Stinson Beach, California",my lady love beautiful friend doubleltrouble leilavie beachour stinson beach california,my lady love beautiful friend doubleltrouble leilavie beachour stinson beach california
My date for tonight @ Hotel Las Rocas,smiling face with hearteyes,my date for tonight at hotel Las Rocas,My date tonight @ Hotel Las Rocas,my date hotel Las Rocas,my date for tonight @ hotel las rocas,my date tonight @ hotel las rocas
