Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
@user Bono... who cares. Soon people will understand that they gain nothing from following a phony celebrity. Become a Leader of your people instead or help and support your fellow countrymen.,non-offensive,"user bono who care soon people understand that they gain nothing from follow phony celebrity become leader of your people instead or help and support your fellow countryman. 
","Bono phony celebrity Become Leader people instead help support fellow countrymen. 
","user bono care soon people understand gain nothing follow phony celebrity become leader people instead help support fellow countryman.  
","@user bono... who car soon peopl will understand that they gain nothin from follow a phon celeb. becam a lead of your peopl instead or help and support your fellow countriman. 
","bono phon celeb become lead peopl inst help support fellow countri.  
"
@user Get him some line help. He is gonna be just fine. As the game went on you could see him progressing more with his reads. He brought what has been missing. The deep ball presence. Now he just needs a little more time,non-offensive,"user get him some line help. he be just fine. as the game go on you could see him progress more with his read. he bring what have be missing. the deep ball presence. now he just need a little more time. 
","user Get him line help. gonna fine. game went could see progressing reads. brought missing. deep ball presence. needs time. 
","user get him line help. he be fine. game go on could see him progress read. he bring what have missing. deep ball presence. now he just need time.  
","@user get him som line help. he is gonna be just fine. as the game went on you could see him progress mor with his read. he brought what has been miss. the deep ball present. now he just need a littl mor time. 
","user get him line help. gonna fine. game went could see progress. brought miss. deep ball present. need time.  
"
@user @user She is great. Hi Fiona!,non-offensive,"user user she be great. hi fiona. 
","user user great Fiona  
","user user she great. hi fiona.  
","@user @user she great. hi fiona. 
","user great fiona  
"
"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user This is the VetsResistSquadron"""" is Bullshit.. They are girl scout veterans, I have never met any other veterans or served with anyone that was a gun control advocate? Have you?""""",non-offensive,"user user user user user user user user user user user user user user this be VetResistSquadron be bullshit. they be girl scout veteran, i have never meet any other veteran or serve with anyone that be gun control advocate? have you? 
","VetsResistSquadron Bullshit They girl scout veterans have never met veterans served anyone gun control advocate Have 
","user user user user user user user user user user user user user this VetResistSquadron bullshit they girl scout veteran i have never meet any other veteran or serve with anyone that be gun control advocate have you 
","@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user this is the vetresistsquadron"" is bullshit.. they ar girl scout veteran, i hav never met any other veteran or serv with anyon that was a gun control advocat? hav you? 
","vet resist squad bull shit they girl scout veteran never meet veteran serv any gun control advocat have  
"
@user @user Lol. Except he’s the most successful president in our lifetimes. He’s undone most of the damage Obummer did and set America on the right path again. #MAGA,non-offensive,"user user lol. except he be most successful president in our lifetime. he undone most of the damage obummer did and set america on the right path again. maga. 
","Lol. Except he’s most successful president lifetimes. He’s undone most damage Obummer did set America right path again. MAGA. 
","user user lol. except he most successful president lifetime. he undone most damage obummer did set america right path again. maga.  
","@user @user lol. except he's the most success president in our lifetime. he's undon most of the damage obummer did and set america on the right path again. #maga 
","Lol. except he's most success president life. he's undon most dam Obummer did set America right path again. MAGA.  
"
@user Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics?,non-offensive,"be Willie fan since before most of you be born....love that he be hold rally with Beto.... exactly which fan be furious? could you give some specific? 
","Willie fan since before most you were born LOVE he holding rally Beto Exactly fans furious Could give specifics 
","Willie fan since before most you born....love he hold rally Beto.... exactly which fan furious? could give some specific?  
","@user been willie fan sinc before most of you were born....love that he is hold rally with beto.... exact which fan furious? could you give some specific? 
","Willie fan sinc before most you were born LOVE he hold rally Beto exact fan furious Could give specific  
"
@user Here's a link to my channel with a plethora of topics to peruse:,non-offensive,"user here link to my channel with plethora of topic to peruse. 
","user Here's link channel plethora topics peruse. 
","user here link channel plethora topic peruse.  
","@user here's a link to my channel with a plenti of topic to perus: 
","user here's link channel plenti topic perus.  
"
@user Friend ordered 100 pair of Levi’s and then called to cancel! Over Gun control! Wow getting wild!,non-offensive,"user friend order 100 pair of levi and then call to cancel over gun control wow get wild 
","Friend ordered 100 pair Levi’s and then called cancel! Over Gun control! Wow getting wild! 
","user friend order 100 pair levi call cancel gun control wow get wild  
","@user friend order 100 pair of levi's and then call to cancel! over gun control! wow get wild! 
","friend order 100 pair levi's and then call cancel! over gun control! wow get wild! 
"
@user @user Lmfaoooooo,non-offensive,"laugh  laugh 
","Lmfaoooooo 
","laugh laugh 
","user user lmfaoo 
","lmfao 
"
@user Goodell should have been fired over a year ago. Looks like the owners will let him steer the ship right into the iceberg. Oh well.,non-offensive,"user Goodell should have be fire over a year ago. look like the owner will let him steer the ship right into the iceberg. oh well. 
","Goodell should fired over year ago. Looks like owners will let him steer ship right iceberg. Oh well. 
","user Goodell should fire over year ago look owner let him steer ship right iceberg oh well  
","@user goodell should hav bee fir over a year ago. look lik the owner will let him steer the ship right into the iceberg. oh well. 
","goodell should fired over year ago. look like owner will let him steer ship right iceberg. oh well.  
"
