filename,column,perc_correct_stems_Snowball
cardiffnlp_spanish_test_Llama-3.1-8B-Instruct_en-prompt_,Text_stemmed,0.4927
cardiffnlp_spanish_test_Llama-3.1-8B-Instruct_es-prompt_,Text_stemmed,0.5238
cardiffnlp_spanish_test_Phi-4-mini-instruct_en-prompt_,Text_stemmed,0.4591
cardiffnlp_spanish_test_Phi-4-mini-instruct_es-prompt_,Text_stemmed,0.4448
cardiffnlp_spanish_test_Qwen2.5-7B-Instruct_en-prompt_,Text_stemmed,0.5460
cardiffnlp_spanish_test_Qwen2.5-7B-Instruct_es-prompt_,Text_stemmed,0.5162
cardiffnlp_spanish_test_gemma-2-9b-it_en-prompt_,Text_stemmed,0.6434
cardiffnlp_spanish_test_gemma-2-9b-it_es-prompt_,Text_stemmed,0.6261
cardiffnlp_spanish_test_gemma-3-4b-it_en-prompt_,Text_stemmed,0.5488
cardiffnlp_spanish_test_gemma-3-4b-it_es-prompt_,Text_stemmed,0.5583
cardiffnlp_spanish_train_Llama-3.1-8B-Instruct_en-prompt_,Text_stemmed,0.4811
cardiffnlp_spanish_train_Llama-3.1-8B-Instruct_es-prompt_,Text_stemmed,0.5141
cardiffnlp_spanish_train_Phi-4-mini-instruct_en-prompt_,Text_stemmed,0.4580
cardiffnlp_spanish_train_Phi-4-mini-instruct_es-prompt_,Text_stemmed,0.4401
cardiffnlp_spanish_train_Qwen2.5-7B-Instruct_en-prompt_,Text_stemmed,0.5496
cardiffnlp_spanish_train_Qwen2.5-7B-Instruct_es-prompt_,Text_stemmed,0.5248
cardiffnlp_spanish_train_gemma-2-9b-it_en-prompt_,Text_stemmed,0.6318
cardiffnlp_spanish_train_gemma-2-9b-it_es-prompt_,Text_stemmed,0.6168
cardiffnlp_spanish_train_gemma-3-4b-it_en-prompt_,Text_stemmed,0.5374
cardiffnlp_spanish_train_gemma-3-4b-it_es-prompt_,Text_stemmed,0.5479
