,Text,Label
0,"A Fukushima, la radioactivité met à mal la biodiversité et les oiseaux: http",0
1,Biodiversité et développement durable : la petite histoire verte du campus http @user,1
2,Des aides du #gouvernement pour des #logements plus #écologiques. -- http,2
3,"#fabius : ""nous sommes là 1e génération à prendre conscience du changement climatique et nous sommes la dernière à pouvoir agir""",0
4,Des arbres sur des maisons écologiques à Ho-Chi-Minh-Ville au Vietnam - http via @user,1
5,"Grâce au nouveau pack étudiant, #Github souhaite initier les jeunes développeurs à leur écosystème. #Malin le chat! http",2
6,#climat Ceux qui ont peur du réchauffement consomment plus d'électricité que les sceptiques !  via @user http,0
7,@user @user @user  je caille … je grelotte les éoliennes à coté de chez moi …. ne tournent pas depuis 5 jours …,1
8,Cameroun RDC Guinée Éthiopie &amp; Ouganda peuvent produire suffisamment d’énergie hydroélectrique de l'#Afrique @user http,2
9,"Subsides aux énergies renouvelables décapités: après l'Allemagne, au tour de l'Italie via @user",0
10,[#Energie #innovation #solaire #baterie] - Une cellule solaire qui stocke sa propre énergie: http http,1
11,@user @user le rendement des éoliennes est quasiment au niveau théorique. Le solaire thermodynamique n'est pas encore top,2
12,#biodiversité L'Assemblée autorise les éleveurs à abattre les loups : Ségolène Royal a franchi la limite http,0
13,#Suède : une alternative écologique aux batteries au lithium http,1
14,C’est une première : des scientifiques élaborent une cellule #solaire qui stocke sa propre énergie - @user - ►► http #ENR,2
15,#Ecologistes et #communistes sans merci à La Rochelle  http via @user,0
16,Ecologie c'est tout ce que j'entend,1
17,"@user: construction, Transition énergétique. Développement durable, Économie. par ici la monnaie! http",2
18,#Canada : Espèces en péril: écologistes et industriels s'unissent contre Ottawa http,0
19,#Leclanché et #EPFL testent un nouveau système de #stockage d'énergie solaire | http via @user,1
20,Les raccordements d'installations d'énergies #renouvelables progresse en France. En route vers la #transition http,2
21,"Ce matin dans @user, une interview de @user : ""je ne veux pas que l'écologie soit punitive"". #ecologie #verts #gouvernement",0
22,"PayinTech, un écosystème technologique de paiement et de services: La ""Start-up de la semaine"", rubrique lancée par… http",1
23,"#ecologie Suppression de l'écotaxe : « On vit sous l'effet des lobbies », selon la sénatrice EELV Benbassa http",2
24,Comment imaginer une pareille chose???????? La SQ démantèle un réseau de voleurs d'huile de friture http,0
25,@user tchiiiiiiiiip STI2D : Sciences et technique de l'industrie et du développement durable,1
26,"@user On s'étonne qu'elle soit ouverte, cette pêche à l'anguille. Sauf si pêcher une espèce menacée est une forme de protection...",2
27,1 300 espèces menacées : comment les oiseaux sont en train de disparaître dans l… http,0
28,"Ils ne croient plus à la politique des partis et des urnes. Ils sont anarchistes, socialistes, écologistes et... http",1
29,Quelle bonne idée a eu #Duflot de refuser l'écologie. Avec #RoyalSégolène ce ministère agit sans calcul bassement politique.,2
30,"Le marché, l’écosystème, les technologies, les ressources humaines, l'argent sont totalement en votre défaveur /14",0
31,"@user, @user Et si on parlait des solutions du 21ième siècle !  Énergie renouvelable, partage du temps de travail, produits durables.",1
32,Eolien en mer : les 80 éoliennes du parc de Global Tech I installées avec succès #offshore #energie #AREVA http,2
33,Ces pièges horribles tuent (ou laissent agoniser...) sans distinction des espèces protégées et même nos animaux... http,0
34,"Avec Valls 2, on sabre le champagne chez les rentiers de l'immobilier au mépris des urgences sociales, écologiques et démocratiques.",1
35,Beauté des paysages et services écologiques – Espace pour la vie – Blogues – Voir.ca http,2
36,"Cette année, la neige groenlandaise n'est pas simplement un peu sombre. Elle l'est comme jamais. http via @user",0
37,"Déplacement de Ségolène Royal, Ministre de l'Écologie, du Développement durable ... http #Royal http",1
38,"Mais avec @user , on a pris un peu d’avance à la maison et au bureau. 100% de l’énergie que nous consommons est déjà renouvelable !",2
39,Virginie Schwarz quitte la DG de l’Ademe pour la DGEC (Premium) http #ecologie GreenUnivers,0
40,Énergies vertes : l’État finalise le nouveau système de soutien http http,1
41,Les supercalculateurs : source d'inspiration pour les panneaux solaires http #Tech #innovation,2
42,"Éoliennes, béton, abandon du patrimoine, vandalisme municipal!L'impérialisme du laid! Le poids ds enveloppes!#FranceDéfigurée #FranceBradée",0
43,Entrevue donnée par bibi ds le cadre du #FME2014 au sujet de la @user &amp; son rôle dans l'écosystème culturel. http,1
44,160000 logements anciens rénovés par an:le chiffre le plus bas en matière de rénovation qu'à jamais connue la France #transitionenergetique,2
45,on va voir les maires s'ils sont punis des magouilles pour les éoliennes! cinq ans de prison et un grosse amende! suivons de près,0
46,L'îlot d'ashdawai is out! http Stories via @user,1
47,"Découvertes surprenantes en Egypte: Preuve de haute technologie très ancienne, dont des machines à d... | @user http",2
48,"L'éco-taxe abandonnée... J'allais faire un tweet pessimiste sur l'écologie, mais heureusement, Hollande rencontre Schwarzenegger. O__O",0
49,"#Environnement #Ecologie #Consommation  Les magasins ""#zéroemballage"" font un carton  (via @user)  http",1
50,Je viens de voir un #renard dans mon jardin. C'est beau mais j'imaginais ça plus gros. #campagne #biodiversité,2
51,[@user] : Contre la privatisation des centrales hydroélectriques http  #PG #RéseauFDG,0
52,"@user Tututuuu... fallait bien 10 ans d'endoctrinement pour ""sortir"" du nucleaire productif et installer des eoliennes improductives!",1
53,"Brétigny, un an après : réagir, soutenir, accompagner http http",2
54,"Moins médiatisé que le réchauffement climatique, l'acidification des océans représente pourtant un phénomène... http",0
55,Une 6ème République pour un développement humain durable http via @user,1
56,"#Documentaire #Transition : Découvrir de belles initiatives vers la transition énergétique, économique,... http",2
57,@user aucune honte ! En plus nommé à une commission sur le développement durable ! Ne pas se plaindre de la montée de l'extémisme,0
58,"PayinTech, un écosystème technologique de paiement et de services #NFC http via @user cc @user @user",1
59,"Intervention sur ""Les TIC au service de l’environnement et du développement durable"" le 23/09 à @user http",2
60,#Environnement 1300 espèces menacées:comment les oiseaux sont en train de disparaître dans l'indifférence générale http,0
61,[GNT] Windows Phone : écosystème fragmenté et dominé ( pour le moment ) par Nokia http,1
62,"... Mais il est temps de me reposer, je laisse l'hydroélectricité à d'autres ... entre de bonnes mains ... que je connais bien :))",2
63,@user en bons gauchistes Obama/ Kerry ont enfin découvert qu’il existe un plus grand danger que le réchauffement climatique @user,0
64,Éoliennes de l'Érable plus de 8 millions en voirie http,1
65,"#ONVPSM ""On peut aussi toujours espérer une remise en question de notre majorité vers la gauche et les écologistes"" @user",2
66,[Communiqué] @user et @user ont annoncé la suspension sine die du dispositif de l'écotaxe http,0
67,Réchauffement climatique : le point culminant de la Suède sur le point de passer en deuxiè me position… http,1
68,#ecologie L'écotaxe poids lourds repoussée pour mieux être enterrée http,2
69,"@user Les éoliennes défigurent nos jolies campagnes.Un désastre financé par le contribuable.Un pur délire idéologique,un de plus!",0
70,"Ouai mais tu nage plus vite, énergie hydraulique",1
71,Bien assurer sa maison et ses équipements écologiques http via @user,2
72,Mauvaise recolte du blé la faute o mauvais temps a bon moi j'dirais plutot la faute au réchauffement climatique et sa s' intensifira #soir3,0
73,#WIF - Mégasommet économique lundi prochain à @user  | http http via @user,1
