Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
@user @user what do these '1/2 naked pics' have to do with anything? They're not even like that.,neutral,@user @user what do these half naked pictures have to do with anything. They are not even like that.,these naked pics have do with anything They're even like that,half naked pictures anything They not like that.,@user @user what do these '1/2 naked pic' have to do with any thing they're not even like that.,these naked pic have do with any thing they're even like that
OH: “I had a blue penis while I was this” [playing with Google Earth VR],neutral,I had a blue penis while I was this [playing with Google Earth VR],'OH: “I had blue penis while playing Google Earth VR”',blue penis playing Google Earth VR,"OH: ""I had a blue penis while I was this"" [playing with Google Earth VR]","OH: ""I have blue penis while playing Google Earth VR"""
"@user @user That's coming, but I think the victims are going to be Medicaid recipients.",neutral,"@user @user that be coming, but I think the victim be go to be Medicaid recipient.",@user That's victims Medicaid recipients.,@user victim think Medicaid recipient.,@us @us that's com @us think the victim be go medicaid recipi,"@user That's victims Medicaid recipients. 
@user That's victim Medicaid recipient."
Savchenko now Saakashvili took drug test live on Ukraine TV. To prove they are not drug-fueled loonies?,neutral,Savchenko now Saakashvili take drug test live on Ukraine TV. To prove they be not drug-fueled loonies.,Savchenko Saakashvili test live Ukraine TV prove drug-fueled loonies,Savchenko now Saakashvili drug test live Ukraine TV prove drug-fueled loonies.,Savchenko now Saakashvili took drug test live on Ukrain* TV. To prove they are not drug-fuel* loon*.,"'Savchenko' -> 'Savchenko'
'Saakashvili' -> 'Saakashvili'
'test' -> 'test'
'live' -> 'live'
'Ukraine' -> 'Ukraine'
'TV' -> 'TV'
'prove' -> 'prove'
'drug-fueled' -> 'drugfueled'
'loonies' -> 'loonie'

Savchenko Saakashvili test live Ukraine TV prove drugfueled loonie"
How many more days until opening day? 😩,neutral,How many more day until open day.,How many days until day,day open,how many more day until open day,how mani day until day.
All CSG and Fracking all around Australia is to cease and Mining Entities held Accountable! - Sign the Petition!,neutral,All CSG and Fracking all around Australia be to cease and Mining Entity hold Accountable. - Sign the Petition.,CSG Fracking Australia cease Mining Entities Accountable Sign Petition,CSG Fracking Australia cease Mining Entity Accountable. - Sign Petition.,all csg and fracking all around australia is to cease and mining entity held accountable - sign the petition,CSG Frack Austr frack Mining Entit Account Sign Petit
An interesting security vulnerability - albeit not for the everyday car thief,neutral,An interesting security vulnerability - albeit not for the everyday car thief.,interesting security vulnerability - albeit not everyday car thief,interesting security vulnerability - albeit not everyday car thief,An interest secu vuln - alit not for the evryday car thief.,interesting security vulnerabil - albeit not every day car thief
#GilmoreGirlsTop4 1. Spoke2. Paris3. Emily4. PattyInvisible number 5. Richard,neutral,"#GilmoreGirlsTop4 
1. Speak 
2. Paris 
3. Emily 
4. Patty 
5. Richard","#GilmoreGirlsTop4 
1. Spoke 
3. Emily 
4. Patty 
5. Richard","#GilmoreGirlsTop4 
1. Speak 
2. Paris 
3. Emily 
4. Patty 
5. Richard","#gilmoregirlsTop4 
1. spoke 
2. paris 
3. emily 
4. patty 
5. richard","#GilmoreGirlsTop4 
1. Speak 
2. Emily 
3. Patty 
4. Richard"
@user ohhh ok i see 🤔 what if u have medical marijuana clearance? Does that make a difference,neutral,@user oh ok i see what if you have medical marijuana clearance does that make a difference,ohhh ok u have medical marijuana clearance make difference,oh ok see clearance make difference,@us ok i see what if u have medic marijuana clearanc does that make a diffrance,oh ok u have medic marijuana clear make differ.
OPINION: The Anti-#Trump #Riots Are a #SmokeScreen:,neutral,OPINION: The anti Trump riots be a smoke screen.,OPINION: Anti- Trump Riots a SmokeScreen:,OPINION: anti Trump riots smoke screen.,OPINION: The Anti-trump Riots Are a SmokeScreen:,OPINION: Anti- Trump Riot a SmokeScreen:
