Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
@user mi fa sbagliare tutte le paroleeeee.,0,"utente mi fa sbagliare tutte le parole. 
","user fa sbagliare paroleeeee.  
","utente fa sbagliare parole.  
","@user mi fa sbaglià tutte le parol. 
","user fa sbaglià parol.  
"
@user perfetto hai visto poi alla fine anche oggi e passato..,1,"utente perfetto hai visto poi alla fine anche oggi è passato 
","perfetto visto fine anche oggi passato 
","utente perfetto hai visto fine oggi passato 
","@user perfet hav vist poi alla fin anche oggi e pass. 
","perfett vist fin anche oggi pass  
"
"Rutelli: appoggio al governo #monti, sta lavorando bene #ballarò #osservatoriotivvù",2,"Rutelli: appoggio al governo #monti, sta lavorando bene #ballarò #osservatoriotivvù 
","Rutelli appoggio governo monti sta lavorando bene ballarò osservatoriotivvù 
","Rutelli appoggio governo monti sta lavorando bene ballarò osservatoriotivvù  
","Rutelli: appogg al govern #monti, sta lavorand bene #ballarò #osservatoriotivvù 
","Rutelli appogg govern monti sta lavorando bene ballarò osservatorivvù 
"
RT @user: Non legalizzano la #cannabis Ma iper tassano le cartine. Questi sono geni della finanza. #governoletta #proibizionismo,0,"RT @user: non legalizza la #cannabis ma iper tassare le cartine. questi sono geni della finanza. #governoletta #proibizionismo 
","legalizzano cannabis iper tassano cartine geni finanza governoletta proibizionismo 
","legalizza cannabis iper tassare cartine geni finanza governoletta proibizionismo  
","RT @user: non legalizz  la #cannabis ma ipertass  le cartin. questi son geni della finanz. #governoletta #proibizionism 
","legalizz legali cannabis hiper tass cartin gen finanz govern prohibizionism  
"
"@user @user @user c'è da vergognarsi, ha fatto bene a cancellare il suo profilo lol",1,"c'è da vergognarsi, ha fatto bene a cancellare il suo profilo lol 
","vergognarsi fatto bene cancellare profilo lol 
","vergognarsi fatto bene cancellare profilo lol  
","c'è da vergognars, ha fatt bene a cancellà il sò profil lol 
","vergogn fact bene cancell profil lol  
"
@user lo so amore grazie..,2,"io so amore grazie 
","user so amore grazie.  
","amore grazie  
","@user so amor grazie.. 
","user so amor grazie.  
"
RT @user: Siamo dei falsi. I ragazzi vogliono le ragazze timide e poi stanno con le troie. Le ragazze vogliono i dolci e poi amano con…,0,"Siamo dei falso. I ragazzo vogliono le ragazza timido e poi stanno con le troia. Le ragazza vogliono i dolce e poi aman con.  
","RT @user: falsi ragazzi ragazze timide troie ragazze dolci amano 
","falso ragazzo vogliono ragazza timido poi stanno troia ragazza vogliono dolce aman  
","RT @user: siamo dei fals. i ragazzi volent le ragazze timid e poi stant con le troi. le ragazze volent i dolc e poi aman con… 
","RT @user: fals ragazzo ragazza timid troia ragazza dolc aman  
"
in vendita Villa Stupenda a Santo Domingo http,1,"in vendita villa stupenda a Santo Domingo 
","Villa Stupenda Santo Domingo 
","villa stupenda Santo Domingo 
","vend villa stupend a sant doming  
","vill stupend sant doming 
"
RT @user: ditemi se non è una delle cose più belle del mondo http,2,"RT @user: dimmi se non è una delle cose più belle del mondo 
","RT @user: ditemi se non è una delle cose belle mondo  
","RT @user: dimmi cose belle mondo  
","RT @user: ditemi se non è una delle cose più bell del mond http 
","RT @user: ditemi se non è una delle cose bell mond  
"
"Pensioni, la falsa equità di Monti: di Sante Moretti Il governo Monti vuole eliminare il... http",0,"Pensione, la falsa equità di Monti: di Sante Moretti il governo Monti vuole eliminare il... http 
","Pensioni falsa equità Monti Sante Moretti governo Monti vuole eliminare.  
","Pensione falsa equità Monti Sante Moretti governo Monti vuole eliminare.  
","Pensioni, la fals equità di Monti: di Sante Moretti il govern Monti vol eliminare il... http 
","pensioni fals equità monti sant moretti governo monti vol elimin.  
"
RT @user: TROVA LE DIFFERENZE. http,1,"RT @user: trova le differenze. http 
","TROVA DIFFERENZE. 
","trova differenze.  
","RT @user: trov le differenz. http 
","trov differenz.  
"
GOVERNO MONTI: SODDISFAZIONE PER LA COMPOSIZIONE DEL NUOVO ESECUTIVO http #terni,2,"GOVERNO MONTI: SODDISFAZIONE PER LA COMPOSIZIONE DEL NUOVO ESECUTIVO  
","GOVERNO MONTI SODDISFAZIONE COMPOSIZIONE NUOVO ESECUTIVO  terni 
","GOVERNO MONTI SODDISFAZIONE COMPOSIZIONE NUOVO ESECUTIVO  
","GOVERNO MONT: SODDISFAZION PER LA COMPOSIZIONE DEL NUOVO ESECUTIV  
","GOVERNO MONT SODDISFAZIONE COMPOSIZIONE NUOVO ESECUTIVO  tern 
"
"Invece di chiedersi perché #Grillo riempie le piazze, tutti pensano solo a dargli del populista!!! Roba da non credere!!!",0,"Invece di chiedersi perché #Grillo riempie le piazze, tutti pensa solo a dargli del populista!!! Roba da non credere!!! 
","di chiedersi perché Grillo riempie piazze tutti pensano dargli populista Roba credere.  
","di chiedersi perché Grillo riempie piazze tutti pensa dargli populista Roba da non credere  
","Invece di chied  perché #Grill riempie le piazz, tutt pens  solo a dargli del popul!!! Roba da non cred!!! 
","di chied  perché grill riemp piazze tutti pens  dargli popul rob cred.  
"
\n\t\t\t\tBossi ribadisce: «Aut-aut a Silvio o Formigoni o il governo Monti»\n\t\t\t: «Nessun gioco delle parti:... http,1,"Bossi ribadisce: «Aut-aut a Silvio o Formigoni o il governo Monti» Nessun gioco delle parti:... http 
","Bossi ribadisce Aut-aut Silvio Formigoni governo Monti Nessun gioco parti 
","Bossi ribadisce Aut-aut Silvio Formigoni governo Monti Nessun gioco parti. 
","Bossi ribadisce: «Aut-aut a Silvio o Formigoni o il governo Monti» : «Nessun gioco delle parti:... http 
","Bossi ribadisce Aut-aut Silvio Formigoni govern Monti nessun gioc part.  
"
Però diciamoci la verità. L'amore alla fine é una cosa di cui non possiamo fare a meno con tutto ciò che porta. Ci fa crescere ogni volta,2,"Però diciamo la verità. L'amore alla fine è una cosa di cui non possiamo fare a meno con tutto ciò che porta. Ci fa crescere ogni volta. 
","diciamoci verità amore fine cosa non possiamo fare tutto porta fa crescere 
","diciamo verità amore fine cosa non possiamo fare tutto porta fa crescere 
","Però diciamoci la verità. L'amor alla fin é una cosa di cui non poss fa a meno con tut ciò che port. Ci fa cres ogni volta. 
","dici verità amor fin cosa no poss fa tut porta fa cresci  
"
"#Grillo vuol fare il #Berlusconi del '94. Sparigliare i partiti e prendere il potere. Ho i brividi, a un tale vichingo preferisco il nulla.",0,"Grillo vuol fare il Berlusconi del '94. Sparigliare i partiti e prendere il potere. Ho i brividi, a un tale vichingo preferisco il nulla. 
","Grillo vuol fare Berlusconi del Sparigliare partiti prendere potere. Brividi, un tale vichingo preferisco nulla. 
","Grillo vuol fare Berlusconi  Sparigliare partiti prendere potere. Brividi, tale vichingo preferisco nulla.  
","#Grillu vuol far il #Berluscon del '94. sparigliare i partit e prendere il potere. ho i brividi, a un tale vichingo preferisco il nulla. 
","Grill vuol far Bersil del Sparigliare partiti prend potere. Brividi, un tale vichingo preferisco null.  
"
@user #Grillo dacci un giudizio netto su #Monti. E dicci c'è una forza politica con la quale faresti alleanze? Di Pietro sì o no?,1,"@user #Grillo dacci un giudizio netto su #Monti. E dicci c'è una forza politica con la quale faresti alleanza? Di Pietro sì o no? 


","Grillo giudizio netto Monti. forza politica alleanze? Pietro sì no? 
","Grillo giudizio netto Monti. forza politica alleanza? Pietro sì no.  
","@user #Grillo dacci un giudizio nett su #Monti. E dicci c'è una forza politic con la quale faresti alleanz? Di Pietro sì o no? 
","grill giudizio nett mont. forza politic alleanz? pietro sì no? 
"
"@user anche io..però ci credo.. @user sarà decisivo, me lo sento #ForzaMilan",2,"anche io per credo sarà decisivo io lo sento forza Milan 
","io credo  decidivo sento ForzaMilan 
","credo sarà decisivo sento forza Milan  
","anche io..però cred..sarà decisiv, me lo sent forzamilan 
","io cred decidivo sent ForzaMilan 
"
"L'ultima mania di #ClaudiaB è prendersela con Mario Monti. Dubito, però, che sappia davvero chi sia #dubbi #certezze",0,"L'ultima mania di ClaudiaB è prendersela con Mario Monti. Dubito, però, che sappia davvero chi sia.  
","ultima mania ClaudiaB prendersela Mario Monti. Dubito però che sappia davvero chi sia dubbi certezza.  
","ultima mania ClaudiaB prendersela Mario Monti. Dubito però che sappia davvero chi sia.  
","ultima mani di #ClaudiaB è prendersla con Mario Monti. dubit, però, che sappi davvero chi sia #dubbi #certezze 
","ultima mani ClaudiaB prenders Mario Monti. dubit però che sapia davvero chi sia dubbi cert.  
"
"la riunione del 18 è spostata a data da definire, importante dovete partecipare almeno alla metà delle lezioni pena esclusione dal gruppo",1,"la riunione del 18 è spostata a data da definire, importante voi partecipate almeno alla metà delle lezioni pena esclusione dal gruppo. 
","riunione 18 spostata data definire importante partecipare metà lezioni pena esclusione gruppo 
","riunione 18 spostata data definire importante partecipate metà lezioni pena esclusione gruppo.  
","la riunione del 18 è spostata a data da definire, importan dovete partcipà almeno alla metà delle lezion pena esclusione dal grupp. 
","riunione 18 spostata data definire import participar meta lezion pena esclusione grupp  
"
@user Grazie al mio CATANIA e una grande JUVE il campionato è ufficialmente RIAPERTO...,2,"@user Grazie al mio Catania e una grande Juve il campionato è ufficialmente riaperto. 
","CATANIA JUVE campionato RIAPERTO 
","Catania grande Juve campionato riaperto.  
","@user grz al mio CATAN e una grand JUVE il campionat è ufficial RIAPERT. 
","CATANIA JUVE campioni RIAPERT  
"
Certo che il professor Monti poteva dare una mano alla moglie in cucina... E che c... #cotechinoelenticchie,0,"Certo che il professor Monti poteva dare una mano alla moglie in cucina... E che c... #cotechinoelenticchie. 
","Certo professor Monti poteva mano moglie cucina  #cotechinoelenticchie 
","Certo professor Monti poteva mano moglie cucina  #cotechinoelenticchie.  
","cert che il professor monti poteva dare una mano alla moglie in cucina... e che c... #cotechinoelenticchie 
","certo professor monti poteva mano moglie cucina  #cotechinoelenticchie 
"
@user tu dovresti fare un video con @user,1,"tu dovresti fare un video con tu 
","user dovresti fare video user 
","dovresti fare video  
","@user tu dovrest far un vid con @user 
","user dovresh far video user 
"
"@user @user #Grillo #ServizioPubblico sto cominciando a pensare di votarlo, e non l'avevo mai fatto prima",2,"utente utente #Grillo #ServizioPubblico sto cominciare a pensare di votarlo, e non l'avevo mai fatto prima. 
","pensare votarlo mai fatto 
","utente #Grillo #ServizioPubblico cominciare pensare votarlo non fatto prima.  
","@user @user #Grillo #ServizioPubblico sto cominciando a pensà votarlo, e non l'avv fatto prima 
","pensar votat mai fat 
"
http L'errore di Pdl e Pd che non vogliono una base politica per il governo Monti http,0,"l'errore di Pdl e Pd che non vogliono una base politica per il governo Monti 
","errore Pdl Pd vogliono base politica governo Monti 
","errore Pdl Pd vogliono base politica governo Monti  
","http l'err di pdl e pd che non vol un base politic per il govern monti http 
","errore pdl pd volere base politic govern monti 
"
@user ciao Claudio tutto ok?,1,"utente ciao Claudio tutto ok 
","user ciao Claudio tutto ok 
","utente ciao Claudio tutto ok  
","@user ciao Claudio tut ok? 
","user ciao claudio tut ok 
"
In Mario Monti we trust! #acasa,2,"In Mario Monti noi fidare! #acasa 
","Mario Monti trust! #acasa 
","Mario Monti fidare! #acasa  
","In Mari Monti we trust! #acasa 
","Mario Monti trust! #acasa 
"
@user non mi portano fuori perchè il caro tommaso deve fare i compiti,0,"utente non mi porta fuori perché il caro Tommaso deve fare i compito.  
","user non portano fuori perchè tommaso fare compiti 
","utente non porta fuori perché Tommaso deve fare compito.  
","@user non mi portan fuori perchè il car tommas deve far i compit. 
","user no portar fuori perchè tommas fa compit  
"
Controindicazioni del governo Monti?.. http via @user,1,"Controindicazione governo Monti?.. http via @user 
","Controindicazioni governo Monti  http via @user 
","Controindicazione governo Monti http via user 
","controindicazion govern mont?.. http via @user 
","controindicazion govern mont  http via @user 
"
@user sei stato bravissimo ieri..non ti devi fare nessun problema...,2,"tu essere stato bravo ieri..tu non devi fare nessun problema.. 
","user stato bravissimo ieri non devi fare nessun problema 
","tu stato bravo ieri..non devi fare nessun problema..  
","@user sei stat bravissim ieri..non ti devi far nessun problema.. 
","user stat bravissim ieri non devi far nessun problem  
"
l'ultima cazzata sul governo Monti: metterà la tassa sul possesso di animali domestici! ma roba da matti....,0,"l'ultima cazzata sul governo Monti: metterà la tassa sul possesso di animale domestico! ma roba da matto.... 
","ultima cazzata governo Monti: metterà tassa possesso animali domestici! roba matti.... 
","ultima cazzata governo Monti: metterà tassa possesso animale domestico! roba matto....  
","l'ultima cazzat sul govern mont: mettar la tass sul possess di animal domestic! ma rob da matt.... 
","ultima cazzat govern mont: mett tass possess animal domestic! rob matt....  
"
[ ] i miei vestiti[xxx] la mia vita[xxx] la macchina dei miei[ ] la mia scuola [xx] mie scarpe,1,"i miei vestiti la mia vita la macchina miei la mia scuola mie scarpe 
","vestiti vita macchina miei scuola scarpe 
","vestiti vita macchina scuola scarpe 
","i mie vestit la mia vita la macchina dei mie la mia scuola mie scarpa 
","vestiti vita machina mie scuola scarpa 
"
"Mario Monti: ""L'Italia si riscatti, non siamo noi i deboli"": ROMA ""Intendo adempiere a questo compito con sens... http",2,"Mario Monti: ""L'Italia si riscatta, non siamo noi i deboli"": ROMA ""Intendo adempiere a questo compito con senso"". 
","Mario Monti: ""Italia riscatti, noi deboli"": ROMA ""Intendo adempiere compito con sens... http"" 
","Mario Monti: ""Italia riscatta, siamo deboli"": ROMA ""Intendo adempiere compito senso"".  
","Mario Monti: ""L'Italia si riscatt, non siamo noi i debol"": ROMA ""intendo adempiere a quest compito con sens..."" 
","Mario Monti: ""Italia riscatti, noi debol"": ROMA ""intendo adempiere compito con sens... http"" 
"
-_- lo odio,0,"lo odio 
","odio 
","odio 
","odi 
","odi  
"
RT @user: #Onfray e #Escobar su #Camus e la lezione appresa da #Nietzsche  @user copertina @user,1,"RT @user: Onfray e Escobar su Camus e la lezione appresa da Nietzsche  copertina user. 
","RT @user: Onfray Escobar Camus lezione appresa Nietzsche  @user copertina @user 
","RT @user: Onfray Escobar Camus lezione appresa Nietzsche copertina user.  
","RT @user: #Onfray e #Escobar su #Camus e la lezion appresa da #Nietzsche  @user copertina @user 
","RT @user: Onfr Escobar Camus lezion apprsu Nietzsche  @user copertina @user  
"
Mario Monti sereno e molto determinato ad andare avanti. http,2,"Mario Monti sereno e molto determinato andare avanti. 
","Mario Monti sereno determinato andare avanti.  
","Mario Monti sereno determinato andare avanti.  
","Mario Monti seren e molt determinat andà avanti.  
","Mario Monti seren determinat andà avanti.  
"
@user ...continuano a corrermi brividi lungo la schiena....il governo Monti non mi tranquillizza nemmeno un poco.,0,"continuano correre brivido lungo la schiena il governo Monti non tranquillizza nemmeno poco. 
","continuano corrermi brividi schiena governo Monti tranquillizza poco.  
","continuano correre brivido schiena governo Monti non tranquillizza poco.  
","@user continuan corr brividi lung la schiena il govern Monti non mi tranquill nemmeno un poco. 
","continu continu brividi schiena govern monti tranquillizza poc.  
"
