Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
A woman who you fucked multiple times saying yo dick small is a compliment you know u hit that spot 😎,hate,A woman who you had sex with multiple times saying your penis is small is a compliment you know you hit that spot,woman fucked multiple times dick small compliment hit spot,woman who had sex multiple times saying penis small compliment you know hit spot,A woman who you fukked multiple timiz sayin yo dick smalliz a komplimenz you no u hit that spot,woman fuck multiple time dick small compli hit spot
@user @user real talk do you have eyes or were they gouged out by a rapefugee?,hate,@user @user real talk do you have eyes or were they gouged out by a refugee?,real talk rapefugee gouged out,real talk gouged refugee,@user @user real talk do you have eye or were they gouged out by a refugee?,real talk refuge gouge out
your girlfriend lookin at me like a groupie in this bitch!,hate,your girlfriend look at me like a groupie in this place.,lookin bitch,look girlfriend groupie place,your girlfri lookin at me like a group in this bitch,
I AM NOT GOING AFTER YOUR EX BF YOU LIEING SACK OF SHIT ! I'm done with you dude that's why I dumped your ass cause your a lieing 😂😡 bitch,hate,I am not go after your ex bf you lying sack of shit! I'm done with you dude that's why I dump your ass cause you are lying bitch.,LIEING SACK SHIT! done dude why dumped cause lieing bitch.,sack shit lying dump ass lying bitch,I am not going after your ex bf you lying sack of shit! I'm done with you dude that's why i dumped your ass cause you are lying bitch.,lie sack shit! done dude why dump cause lie.
"Send home migrants not in need of protection, Peter Dutton tells UN, HEY DUTTON HOW ABOUT THE ONES THAT HAVE STAYED AND NOT LEFT THE COUNTRY WHEN THEY SHOULD OVERSTAYERS ? WHY DONT YOU GO AND ROUND ALL THEM UP ?",hate,"Send home migrant not in need of protection, Peter Dutton tells UN, HEY DUTTON how about the one that have stay and not leave the country when they should overstay, why do you go and round all them up?",'home migrants need protection Dutton tells UN DUTTON ONES STAYED LEFT COUNTRY OVERSTAYERS WHY YOU GO ROUND THEM UP','home migrant Peter Dutton HEY DUTTON migrant have stay overstay Dutton them',"send home migrat not in need of protec, peter dutton tell un, hey dutton how about the on that have stay and not left countr when they should overstayer? why dont you go and round all them up?",home migrant need protect Dutton tell UN DUTTON one stay left country overstayer why you go round them up
"Cory Booker and Kamala Harris competing for Most Hysterical Woman at the Kavanaugh hearings, Coulter hilariously tweeted.And yes, liberals immediately got triggered on Twitter, saying her joke was offensive. To them we say, suck it up, snowflakes.",hate,"To them we say, suck up, snowflake.
And yes, liberal immediately get trigger on Twitter, say her joke was offend. 
Cory Booker and Kamala Harris compete for Most Hysterical Woman at the Kavanaugh hearing, Coulter hilariously tweet. ",Cory Booker competing Kavanaugh hearings Coulter tweeted liberals immediately got Twitter saying joke offensive. To them we say suck it up snowflakes.,"Cory Booker compete Most Hysterical Woman Kavanaugh hearing, Coulter hilariously tweet. 
suck snowflake.
liberal get trigger Twitter, joke was offend. ","Cory Booker and Kamala Harris compet for Most Hysterical Woman at the Kavanaugh hear, Coulter hilariously tweet. And yes, liberal immedi get trigger on Twitter, say her joke was offens. To them we say, suck it up, snowflake.",Cory Booker compet Kavanaugh hear Coulter tweet liberal immedi get Twitter say joke offens. To them we say suck it up snowflake.
Should have let the Libyan Manchester bomber rot in his own country. How many more mass murderers did the Royal Navy import to Britain? How many more terrorists do the NGO's rescue from international waters? #RefugeesNotWelcome,hate,Should have let Libyan man rot in his own country. How many more mass murderer did Royal Navy import to Britain? How many more terrorist do NGO rescue from international water. #RefugeeNotWelcome,Should Libyan Manchester bomber rot country. Many mass murderer import Britain. Many terrorist rescue international waters. #RefugeesNotWelcome,Libyan man rot country. mass murderer Royal Navy Britain. terrorist NGO international water. #RefugeeNotWelcome,Should hav let the libyan manchester bomber rot in his own countr. How mani more mass murd did the royal navy import to britain. How mani more terorist do the ngos rescu from internation water. #refugee not welcom,Should libyan manchester bomber rot country. Many mass murderer import britain. Many terrorist rescue internat waters. #refugeesnotwelcome
"This account was temporarily inactive due to an irrational woman reporting us to Twitter. What a lack of judgement, shocking. #YesAllMen",hate,"This account be inactive due to a irrational woman report us to Twitter. What a lack of judgement, be shocking. #YesAllMen",irrational woman reporting us Twitter lack judgement shocking,irrational woman report us Twitter lack judgement shocking,"This accout be temporarily inactive due to an irration woman report us to Twitter. What a lack of judgement, shock. #YesAllMen",irrational woman report us Twitter lack judg shock
listen... i love lil b but i would not fuck with dej loaf at all. she prob got poison up in her nail polish like that bitch from holes,hate,listen... i love lil b but i would not fuck with dej loaf at all. she prob have poison up in her nail polish like that bitch from holes.,love lil b but would fuck dej loaf all. prob got poison nail polish bitch holes,lil b poison nail polish bitch holes,"listen 
fuck 
b 
holes
nail polish 
poison 
not 
 
bitch 
prob 
all 
love 
dej loaf ","prob got poison nail polish bitch
love lil but would fuck dej all "
@user @user keep calling her a bitch and a whore dude real grown up.,hate,@user @user keep calling her a woman and a prostitute and real be grown up.,bitch whore dude,@user calling woman prostitute real grown up,@us @us keep call her a bitch and a whore dude real grown up., version of a paragraph that contains profanity. Is there something else I can help you with?
