Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
Normal bin ich ja ned der mensch dwer sich beschwert wegen dem essen aber diese Pizza von Joeys...boah wie ekelhaft,0,normal bin ich ja ned der mensch dwer sich beschwert wegen dem essen aber diese Pizza von Joeys...boah wie ekelhaft,mensch beschwert essen Pizza Joeys ekelhaft,Mensch beschwert essen Pizza Joeys ekelhaft,normal bin ich ja ned mensch beschwert wegen essen aber diese Pizza von Joeys...boah wie ekelhaft,"mensch beschwer essen Pizza Joeys ekelhaft
"
VfB Stuttgart gegen SV Hamburg: Das Warten auf den nächsten Schritt - Stuttgarter Zeitung: DIE WELTVfB Stuttga... http,1,VfB Stuttgart gegen SV Hamburg: Das Warten auf den nächsten Schritt - Stuttgarter Zeitung: DIE WELTVfB Stuttgart,VfB Stuttgart gegen SV Hamburg Warten nächsten Schritt Stuttgarter Zeitung WELTVfB Stuttga,VfB Stuttgart gegen SV Hamburg Schritt VfB Stuttgart,VfB Stuttgart gegen SV Hamburg: Das Warten auf den nächsten Schritt - Stuttgarter Zeitung: DIE WELTVfB Stuttga,VfB Stuttgart gegen SV Hamburg warten nächsten Schritt Stuttgarter Zeitung WELTVfB Stuttga
@user @user @user @user @user @user @user @user fühlt sich schon so spät an 😚😚😚,2,@user @user @user @user @user @user @user @user fühlt sich schon so spät an 😚😚😚,user fühlt sich spät, fühlt sich spät an 😊😊😊,@user @user @user @user @user @user @user @user fühlt sich schon so spät an 😚😚😚,"user fühlt sich spät
"
@user glaub ich! XD 30€ sind echt not bad T___T *grübel*,0,@user glaub ich! XD 30€ sind echt not bad T___T *grübel*,glaub echt not bad grübel,user believe really not bad grumble,@user glaub ich! XD 30€ sind echt not bad T___T *grübel*,"glaub echt not bad grübel
"
@user. Diviertete,1,@user. Divertete,"Divertete
","Diverte
","@user. divertete
","Diverte
"
"@user @user plopp plopp plopp: frisches Popcorn rüber reich. Coke? klar, kein Thema!",2,"@user @user plopp plopp plopp: frisches Popcorn rüber reich. Coke? klar, kein Thema!",user user plopp plopp plopp frisches Popcorn rüber reich Coke klar kein Thema,user user plopp plopp plopp frisches popcorn rüber reich Coke klar kein Thema,"@user @user plopp plopp plopp: frisches popcorn rüber reich. coke? klar, kein thema!","user user plopp plopp plopp frisches Popcorn rüber reich coke klar kein thema
"
"Ach Scheiss drauf, dann eben nich",0,"ach scheiss drauf, dann eben nicht",Scheiss drauf eben nicht,"auf drauf nicht
","Ach scheiss drauf nich
","Scheiss drauf eben nicht
"
"RT @user: Was ist das für eine Glaubwürdigkeit, wenn wir sagen wir sind keine Verbotspartei und gleichzeitig Verbote fordern @user…",1,"was sein für glaube, wenn wir sagen wir keine verbote partei und gleichzeitig verbote fordern","Was Glaubwürdigkeit, sagen keine Verbotspartei fordern.","glaube wenn sagen verbote fordern
","RT @user: Was ist das für eine Glaubwürdigkeit, wenn wir sagen wir sind keine Verbotspartei und gleichzeitig Verbote fordern @user…
",Was glaubwürdigkeit sagen keine verbots Partei fordern
He's so charming. Man muss ihn einfach lieben #samuhaber #tvog,2,He is so charming. Man muss ihn einfach lieben #samuhaber #tvog,"charming
muss
lieben
samuhaber
tvog","charming
muss
lieben
samuhaber
tvog",He's so charming. Man muss ihn einfach lieben #samuhaber #tvog,"charming
muss
lieben
samuhaber
tvog"
"Dieses Gefühl, wenn man von Personen enttäuscht wird...",0,"Dieses Gefühl, wenn man von Personen enttäuscht wird","Gefühl Personen enttäuscht
","Gefühl Personen enttäuscht
","dies gefühl, wenn man von person enttäuscht wird","Gefühl Person enttäuscht
"
Sieben künstlerische Projekträume ausgezeichnet http #Berlin,1,Sieben künstlerische projekträume ausgezeichnet berlin,künstlerische Projekträume ausgezeichnet Berlin,künstlerische projekträume ausgezeichnet berlin,Sieben künstlerische Projekträume ausgezeichnet http #Berlin,"künstlerisch projekt träum auszeichn berlin
"
@user Cool! Keine weiteren Fragen. ;-),2,"@user cool keine weiteren fragen ;-
","user Cool Questions Keine weiteren 
","@user cool fragen 
","@user cool keine weiteren fragen ;-)
","user cool question keine weitere
"
@user kamu syahrenong:-(,0,"@user kamu syahrenong:-(\
","user kamu syahrenong
",@user kamu,"@user kamu syahrenong:-(\
","user kamu syahrenong
"
"Wer muss bis 8 in Krefeld arbeiten, geht dann direkt ins Fitnessstudio und muss dann nachts zu Hause die Spülmaschine ausräumen?",1,"wer muss bis acht in krefeld arbeiten, gehen dann direkt ins fitnessstudio und muss dann nachts zu hause die spülmaschine ausräumen",Wer arbeitet Krefeld Fitnessstudio nachts Hause Spülmaschine ausräumen,"arbeiten gehen fitnessstudio nachts Hause spülmaschine räumen
","wer muss bis 8 in krefeld arbeiten, geht dann direkt ins fitnessstudio und muss dann nachts zu hause die spülmaschine ausräumen",Wer arbeitet Krefeld Fitnessstudio nachts Hause Spülmaschine ausräumen
"@user hab keine, bin lieb zu dir. ^_^",2,"@user hab keine, bin lieb zu dir. ^_^
","user hab keine bin lieb dir
","user lieb dir
","@user hab keine, bin lieb zu dir. ^_^
","user hab keine bin lieb dir
"
NDR. Seniorenchor. Absolute Fassungslosigkeit meinerseits.,0,"NDR. Seniorenchor. Absolute Fassungslosigkeit meinerseits.
",Seniorenchor Fassungslosigkeit meinerseits,"Seniorenchor
Fassungslosigkeit
meinerseits
",NDR. Seniorenchor. Absolute Fassungslosigkeit meinerseits.,"Seniorenchor Fassungslosigkeit meinerseits
"
Der #Klassiker ! #Knirps #T2 zum #Sonderpreis ! Der Name spricht für sich - der #Schirm schlechthin ! http,1,Der klassiker schirm schlechthin sprechen fÃ¼r sich - der knirps t2 zum sonderpreis.,Klassiker Sonderpreis Schirm,klassiker sprechen preis knirps,Der #Klassiker! #Knirps #T2 zum #Sonderpreis! Der Name spricht für sich - der #Schirm schlechthin! http,"Klassiker Sonderpreis Schirm
"
When we were younger (8),2,when we were younger (8),When we younger 8,we younger,"When we were younger (8)
","When we younger 8
"
"@user Hi, könnt Ihr bitte Oceans Twelve prüfen? Nach einer halben Std. fehlerhaft :( Andere Serien u. Filme laufen problemlos. Gruß",0,"@user hi, könnt ihr bitte oceans twelve prüfen? nach einer halben std. fehlerhaft :( andere serien u. filme laufen problemlos. gruss","user Hi, please Oceans Twelve check? After half hour error :( Other series films run problems. Greeting","user hi prüfen andere serien filme problemlos gruss
","@user Hi, könnt Er bitte Oceans Twelv prüf. Nach einer halben Std. fehlerhaft :( Andere Seri u. Filme lauf problemlos. Gruss","user Hi, please Oceans Twelve check? After half hour error :( Other series films run problems. Greeting"
RT @user: 1/2 Hammerstory v @user: EU-Kommisar Oettinger streicht unliebsame Zahlen zur Subvention von Fossil u AKW. ht…,1,story v kommisar streicht unliebsame zahlen zur subvention fossil akw ht,EU-Kommisar Oettinger streicht Zahlen Subvention Fossil AKW.,story kommisar streicht zahlen subvention fossil akw,"RT @user: 1/2 hammerstory v @user: eu-kommisar oettinger streich unliebsame zahlen zur subvention fossil u akw. ht…
",EU-Kommisar Oettinger streich Zahl Subvention Fossil AKW
@user guten abend. bitte folge mir mal. dann kann ich dir das erklären. danke ^l,2,@user guten abend. bitte folge mir mal. dann kann ich dir das erklären. danke ,"user abend bitte folge mir dann erklären danke
","user abend bitte folge mir dann erklären danke
",@user guten abend. bitte folge mir mal. dann kann ich dir das erklären. danke ^l,"user abend bitte folge mir dann erklär danke
"
@user Nicht gut. =(,0,"@user Nicht gut. =(.
","user gut 
","user gut 
","@user nicht gut. =(.
","user gut
"
@user Breizh sur seine.,1,"@user breizh sur seine
",Breizh seine,user breizh seine,"@user breizh seine
","Breizh seine
"
@user Schlaf gut und träume was schönes. &lt;3,2,"schlaf gut und träume was schönes
","Schlaf träume
","schlaf träume
",@user schlaf gut und träum was schön,"Schlaf träume
"
@user BUT NOT REALLY GUYS,0,@user but not really guys,"BUT GUYS
","user but really guys
","@user but not really guys
","BUT GUYS
"
"Berlin, Schadenregulierer (m/w) Sach Schaden für das Regulierungsgebiet Ostsachsen http Jobs Versicherung",1,"Berlin, Schadenregulierer (m/w) Sach Schaden für das Regulierungsgebiet Ostsachsen http Jobs Versicherung",Berlin Schadenregulierer m w Sach Schaden für Regulierungsgebiet Ostsachsen Jobs Versicherung,Berlin Schadenregulierer m w Sach Schaden für Regulierungsgebiet Ostsachsen Jobs Versicherung,"Berlin, Schadenregulierer (m/w) Sach Schaden für das Regulierungsgebiet Ostsachsen http Jobs Versicherung",Berlin Schadenregulierer m w Sach Schaden für Regulierungsgebiet Ostsachsen Jobs Versicherung
