Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
@user Can U Help?||More conservatives needed on #TSU + get paid 4 posting stuff like this!||YOU $ can go to,non irony,"can help you
more conservatives needed on tsu
get paid for posting stuff like this
you can go to",user Can Help More conservatives needed on TSU get paid posting stuff like this YOU can go to,'can help you more conservatives needed on tsu get paid for posting stuff like this you can go to',can help user more conservatives needed on tsu get paid for posting stuff like this you can go to,user can help more conservatives needed on TSU get paid posting stuff like this you can go to
"Just walked in to #Starbucks and asked for a ""tall blonde"" Hahahaha #irony",irony,"'Just walk in to #Starbucks and ask for a ""tall blonde"" Hahahaha #irony'",'walked Starbucks tall blonde irony','walk in to Starbucks ask tall blonde Hahahaha irony',walked in to Starbucks and ask for a tall blonde Hahahaha irony,walk tall blonde irony
#NOT GONNA WIN,non irony,not gonna win,GONNA WIN,gonna win,notwin,WIN
@user He is exactly that sort of person. Weirdo!,non irony,he be exactly that sort of person. weirdo!,'@user He exactly sort person. Weirdo!',he be exactly sort person weirdo!,he is exactly that sort of person weirdo,he sort person weirdo
So much #sarcasm at work mate 10/10 #boring 100% #dead mate full on #shit absolutely #sleeping mate can't handle the #sarcasm,irony,so much sarcasm at work mate ten ten boring one hundred percent dead mate full on shit absolutely sleeping mate cant handle the sarcasm,#sarcasm work mate 10/10 boring 100% dead mate full on shit absolutely sleeping mate can't handle sarcasm,so much sarcasm at work mate ten ten boring one hundred percent dead mate full on shit absolutely sleeping mate cant handle the sarcasm,so much sarcasm at work mate 10 10 boring 100% dead mate full on shit absolutely sleeping mate cant handle sarcasm,work mate 10/10 boring 100% dead mate full on shit absolutely sleeping mate cant handle sarcasm
Corny jokes are my absolute favorite,non irony,'corny joke be my absolute favorite','corny jokes absolute favorite','corny joke absolute favorite',corny jokes are my absolut favorite,corny jokes absolut favorite
"People complain about my backround pic and all I feel is like ""hey don't blame me, Albert E might have spoken those words"" #sarcasm #life",irony,"people complain about my background picture and all I feel is like ""hey don't blame me, Albert E might have spoken those words"" #sarcasm #life",People complain about my background pic and all I feel like hey don't blame me Albert E might have spoken those words sarcasm life,people complain about my background picture and all I feel like hey don't blame me Albert E might have spoken those words sarcasm life,"""peopl complain abou my backround pic and all I feel is lik ""hey don't blame me, Albert E might have spoken those words"" #sarcasm #life""",people complain about my background pic and all I feel like hey don't blame me Albert E might have spoken those words sarcasm life
"@user @user Darn, my sock joke needs fixing?",non irony,"user user, my sock joke need fixing?",user user Darn sock joke fixing?,user my sock joke need fixing?,user user darn sock joke fix?,user user Darn sock joke fixing?
"if Christian expects Fifa to sleep in my bed with me tonight, he's wrong 👿",non irony,"if Christian expect Fifa sleep in my bed with me tonight, he be wrong 👿","Christian expects Fifa to sleep in my bed with me tonight, he's wrong 👿.","'Christian expect Fifa sleep in bed tonight, he wrong 👿'","if Christ expect Fifa sleep in bed with me night, he's wrong 👿","christian expects fifa to sleep in my bed with me tonight, he's wrong 👿."
"People who tell people with anxiety to ""just stop worrying about it"" are my favorite kind of people #not #educateyourself",irony,"people who tell people with anxiety to ""just stop worry about it"" are my favorite kind of people #not #educateyourself",People who tell people with anxiety to just stop worrying about it are my favorite kind of people educate yourself #not,"'people who tell people with anxiety to ""just stop worry about it"" are my favorite kind of people #not #educateyourself'",people who tell people with anxiety to just stop worrying about it are my favorite kind of people not educate yourself,people tell people with anxiety to just stop worrying about it are my favorite kind of people educate yourself not
Most important thing I've learned in school,non irony,'most important thing I learned in school','important thing learned school',most important thing learned school,most important thing learned school,thing learned schoo
#OrionLaunch underway - yeah! #Orion,non irony,#orion launch underway - yeah! #orion,#OrionLaunch underway yeah #Orion,#orion launch underway yeah #orion,orionlaunchunderwayyeahorion,orionlaunch underway yeah orion
