Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
@user Can U Help?||More conservatives needed on #TSU + get paid 4 posting stuff like this!||YOU $ can go to,non irony,@user Can U help?||More conservatives needed on #TSU + get paid 4 posting stuff like this!||YOU $ can go to,@user Help More conservatives needed on #TSU get paid posting stuff like this YOU can go,@user help More conservatives needed on #TSU get paid posting stuff like this YOU $ can go,@user Can U Help?||More conservativ need on #TSU + get paid 4 posting stuff like this!||YOU $ can go to,@user Help More conservativ need on #TSU get paid post stuff like this yu can go
"Just walked in to #Starbucks and asked for a ""tall blonde"" Hahahaha #irony",irony,Just walk in to Starbucks and ask for a tall blonde Hahahaha irony,walked Starbucks asked tall blonde Hahahaha irony,walk Starbucks ask tall blonde Hahahaha irony,"Just walked in to #Starbucks and asked for a ""tall blonde"" Hahahaha #irony",walked Starbucks asked tall blonde Hahahaha irony
#NOT GONNA WIN,non irony,"not gonna win
","GONNA WIN
","gonna win
","# NOT GONNA WIN
","WIN
"
@user He is exactly that sort of person. Weirdo!,non irony,@user he be exactly that sort of person. weirdo!,user person Weirdo,user he be exactly sort person weirdo,@user he is exact that sort person. weirdo!,user person weird
So much #sarcasm at work mate 10/10 #boring 100% #dead mate full on #shit absolutely #sleeping mate can't handle the #sarcasm,irony,so much sarcasm at work mate 10/10 boring 100 percent dead mate full on shit absolutely sleeping mate can't handle the sarcasm,sarcasm work mate boring 100 dead shit absolutely sleeping mate handle sarcasm,sarcasm work mate 10 boring 100 percent dead mate full shit absolutely sleeping mate can't handle sarcasm,So much sarcasm at work mate 10/10 boring 100% dead mate full on shit absolutely sleeping mate cant handle sarcasm,"sarcasm work mate boring 100 dead shit absolutely sleeping mate handle sarcasm
"
Corny jokes are my absolute favorite,non irony,Corny jokes be my absolute favorite,Jokes favorite.,Jokes favorite,Corny jokes are my absolute favorite,"Jokes favorite.
"
"People complain about my backround pic and all I feel is like ""hey don't blame me, Albert E might have spoken those words"" #sarcasm #life",irony,"people complain about my background pic and all i feel is like ""hey don't blame me, he be go"" #sarcasm #life",People complain my backround pic all feel hey don't blame me Albert E might have spoken words sarcasm life,people complain background pic feel hey don't blame me he be go sarcasm life,"People complain about my backround pic and all I feel is like “hey don’t blame me, Albert E might have spoke those words” #sarcasm #life",People complain my backround pic all feel hey don't blame me Albert E might have spoken words sarcasm life
"@user @user Darn, my sock joke needs fixing?",non irony,"@user @user darn, my sock joke needs fixing",Darn my sock joke needs fixing,"darn my sock joke needs fixing
","@user @user Darn, my sock joke needs fixing?",Darn my sock joke needs fix
"if Christian expects Fifa to sleep in my bed with me tonight, he's wrong 👿",non irony,"if Christian expect Fifa to sleep in my bed with me tonight, he be wrong 👿",Christian expects Fifa sleep bed me tonight he's wrong 👿,Christian expect Fifa sleep bed me tonight he be wrong 👿,"if Christian expects Fifa to sleep in my bed with me tonight, he’s wrong 👿",Christian expects Fifa sleep bed me tonight hes wrong 👿
"People who tell people with anxiety to ""just stop worrying about it"" are my favorite kind of people #not #educateyourself",irony,People who tell people with anxiety to “just stop worrying about it” are my favorite kind of people #not #educateyourself,People tell people anxiety stop worrying it favorite kind people not educateyourself,People tell people anxiety stop worrying it favorite kind people not educateyourself,People whos tell people with anxiet to just stop worryin about it ar my favorit kind of people #not #educateyourself,"People tell people anxiety stop worrying it favorite kind people not educateyourself
"
Most important thing I've learned in school,non irony,most important thing I have learned in school,Important thing learned school,important thing learned school,Most important thing I’ve learn in school,"Important thing learned school
"
#OrionLaunch underway - yeah! #Orion,non irony,Orionlaunch underway - yeah! Orion,OrionLaunch underway yeah Orion,Orionlaunch underway yeah Orion,#OrionLaunch underway - yeah! #Orion,"OrionLaunch underway yeah Orion
"
I love context and large ensemble Fridays!!!!! Der my most favourite #Sarcasm #GetTheFuckOut,irony,I love context and large ensemble Fridays!!!!! My most favourite #sarcasm #getthefuckout,love context large ensemble Fridays!!!!! Der most favourite Sarcasm GetTheFuckOut,love context large ensemble Fridays My most favourite #sarcasm #getthefuckout,I love context and large ensemble Fridays!!!!! Der my most favourite #Sarcasm #GetTheFuckOut,love context large ensemble Fridays!!!!! Der most favourite SarcasmGetTheFuckOut
Oh boy... @user in the house. Warm up the DJ booth @user,non irony,Oh boy... user in house. Warm up DJ booth user.,boy user house warm DJ booth user,Oh boy user house Warm up DJ booth user,Oh boy... @user in house. Warm up DJ booth @user,"boy user house warm DJ booth user
"
"LIAR, i've never denied the 532 murders in Chicago in 2012 @user @user @user @user @user",non irony,"liar, i have never denied the 532 murders in Chicago in 2012 at user at user at user at user at user",LIAR never denied murders Chicago 2012 user user user user user,liar i have never denied 532 murders Chicago 2012 user user user user user,"LIAR, i've never denied the 532 murders in Chicago in 2012 @user @user @user @user @user",LIAR never denied murder Chicag 2012 user user user user user
"Always classy, never trashy and just a little sassy.",non irony,"always classy, never trashy and just a little sassy",classy never trashy sassy,"classy, trashy, sassy","Always classy, never trashy and just a little sassy.
",classy never trashy sassy
