Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
"New phone for mom (at @user in Albuquerque, NM)",smiling face with hearteyes,"new phone for mom (at @user in albuquerque, nm)",New phone mom user Albuquerque NM,new phone mom user albuquerque nm,"new phon for mom (at @user in albuquerque, nm)",New phon mom us Albuquerque NM
Today was chest day but for some reason I find myself easily distracted. hdenisedelay #wifey,smiling face with hearteyes,Today be chest day but for some reason I find self easily distract. hdenisedelay #wifey,Today chest day find myself easily distracted hdenisedelay #wifey,Today chest day find self easily distract hdenisedelay #wifey,today was chest day but for some reason i find mysef easily distract hdenis delay #wifey,Today chest day find my self easil distr act argu delay wifey
My new live in chef is familiarizing himself with his new kitchen jcordoba81 #purehappiness,smiling face with hearteyes,My new live in chef be familiarize himself with his new kitchen,new chef familiarizing new kitchen purehappiness,My new live chef familiarize himself new kitchen,My new liv in chef is familiari with his new kitche jcordoba81 #purehappi,new chef familiarize new kitchen purehappiness
Our second favorite spot #statepark #fall #autumn #newyork @ Heckscher State Park,smiling face with hearteyes,Our second favorite spot statepark fall autumn newyork Heckscher statepark,#statepark #fall #autumn #newyork Heckscher State Park,second favorite spot statepark fall autumn newyork Heckscher statepark,#statepark #fall #autumn #newyork @ hecksher stat park,#staterpark #fall #autumn #newyork Hecksher Staterpark
Ommmmgggg guys!!!! Chickpea Nuggets!!!! Vegan childhood complete (and I threw in some,smiling face with hearteyes,Omg guys!!!! Chickpea Nugget!!!! Vegan childhood complete (and I threw in some,Chickpea Nuggets Vegan childhood complete threw some,Omg guys!!!! Chickpea Nugget!!!! Vegan childhood complete,Ommg gg guys!!!! Chickpea Nugget!!!! Vegan childh complte (and I threw in some,Chickpea Nugget Vegan childh compl compete throw some
Um. 2 bravoleberities in one night? #summerhouse #rhod #dallas #nyc #bravotv @ Industry Bar,smiling face with hearteyes,Um. 2 brave celebrity in one night? #summerhouse #rhod #dallas #nyc #bravotv @ industry bar,2 bravoleberities #summerhouse #rhod #dallas #nyc #bravotv @ Industry Bar,2 brave celebrity #summerhouse #rhod #dallas #nyc #bravotv @industry bar,Um. 2 bravoceleb in one night? #summehouse #rhd #dls #nyc #bravtv @ Industr Bar,2 bravo leb erity #sum merh ouse #r hod #da l拉斯 #n yc #bra vo tv @ ind us try b ar
"An entire restaurant, dedicated to mac n cheese @ macbar",smiling face with hearteyes,"An entire restaurant, dedicate to mac n cheese @ macbar","An restaurant, dedicated mac n cheese @ macbar",An restaurant dedicate mac n cheese @macbar,"'an entir restaurat, dedicato mac n chees @ macbar'","an resturant, dedicat mac n chees @ macbar"
Sunset above Lake Michigan @ Maryland,smiling face with hearteyes,Sunset above Lake Michigan @ Maryland,Sunset Lake Michigan Maryland,Sunset Lake Michigan Maryland,sunset above lake michigan @ maryland,Sunset Lak Mich Md
"my side dish! @ College Station, Texas",smiling face with hearteyes,"my side dish! @ college station, texas",my side dish! College Station Texas,my side dish! college station texas,"my sid dis! @ Colle Stat, Tex",my sid dis! Collin Stat Tex
"Drummer dude #mommysonlyson @ Beaumont, Texas",smiling face with hearteyes,"Drummer dude #mommysonlyson @ beaumont, texas",Drummer dude Beaumont Texas,Drummer dude Beaumont Texas,Drum dude #mommysonlyson @ Beat Bea Texas,Drum dude Beaumont Texас
#besthairsalonnyc end result #love #gorgeous #shiny #hair #vibrant #color #longhair #mocha,smiling face with hearteyes,#besthair salon end result love gorgeous shiny hair vibrant color long hair mocha,#besthairsalonnyc endresult love gorgeous shiny hair vibrant color longhair mocha,#besthair salon end result love gorgeous shiny hair vibrant color long hair mocha,#besthair salonny end resul love gorgeous shiny hair vibrant color longhair mocha,#besthair salonny endresul love gorgeous shiny hair vibr color longhair moch
Pandora is INCREDIBLE @ Pandora - The World Of Avatar,smiling face with hearteyes,Pandora be incredible @ Pandora - The World Of Avatar,Pandora INCREDIBLE World Avatar,Pandora incredible Pandora - World Avatar,Pandora is INCREDIBIL - THE WORL OF AVATAR,Pandora INCREDIBL World Avatar
"I just took this picture because I LOVE HER THAT""S WHY. @ Durham, North Carolina",smiling face with hearteyes,"i just take this picture because i love her that's why. @ durham, north carolina","just took picture LOVE HER THAT""S WHY Durham North Carolina",just take picture love her Durham North Carolina,"i just tak this pictur bec i LOV HER THAT""S WHY. @ durham, north carolin","just take pictur LOVE HER THAT""S WHY durham north carolina"
#acapella #gig twitter by #songbirds performing #fixyou by #coldplay @ Twitter HQ,smiling face with hearteyes,#acapella #gig twitter by #songbird perform #fixyou by #coldplay @ twitter hq,#acapella #gig performing #fixyou #coldplay,#acapella #gig #songbird #fixyou #coldplay,#acappella #gig twitter by #songbird performing #fixby #coldplay @ twitter hq,#acappella #gig perform #fixyou #coldplay
"#photography #sunday @ Colfax, Washington",smiling face with hearteyes,"#photo #sun @ colfax, washington",#photography #sunday Colfax Washington,#photo #sun @colfaxwashington,"#photo #sun @ colf, washingt",#photogr #sund Colfax Washingt
Lunch views #portlandcitygrill #KVinPDX @ Portland City Grill,smiling face with hearteyes,Lunch view #portlandcitygrill #KVinPDX @ portland city grill,Lunch views #portlandcitygrill #KVinPDX @PortlandCityGrill,Lunch view portlandcitygrill KVinPDX,Lunch views #portlandcitygrill #KVinPDX @ portland city grill,Lunch views #port #KV @port
Does it get much better than this?? On a layover here in Vegas so we checked out the airport,smiling face with hearteyes,does it get much better than this? on a layover here in vegas so we check out the airport,Does get much better than this On layover here Vegas so checked out airport,get better vegas check airport,does it get much better than this? on a lay here in veg so we check out the air,does get much better than this on layover here vegas so checked out airport
"Sorry Keaton, you""ve been replaced double time @ Toy Story Mania",smiling face with hearteyes,"sorry keaton, you have been replace double time @ toy story mania","Sorry Keaton, replaced Toy Story Mania",sorry keaton replace double time toy story mania,"sorry keaton, you've been replac double time @ toy story mania","Sorry Keaton, replac toy stor mania"
"The dream, I""m in love ........#sweet #kitchen #instalove #design #webstagram #homes",smiling face with hearteyes,"The dream, I be in love........#sweet #kitchen #instalove #design #webstagram #home",in love sweet kitchen instalove design webstagram homes,dream love sweet kitchen instalove design webstagram home,"The dream, I""m in lov........#swee #kitch #instalov #desig #webstagr #hom",in lov sweet kitch insta design webst gram home
Hana garden is my favorite korean restaurant,smiling face with hearteyes,Hana garden be my favorite Korean restaurant,Hana garden favorite korean restaurant,Hana garden favorite Korean restaurant,hana garden is my favorit kore restaurant,Hana garden favori koreen restauran
Miss this! #pregnancy #snow #foxinthesnow #throwback @ Fox in the Snow Cafe,smiling face with hearteyes,miss #pregnant #snow #fox #throwback @ fox in the snow cafe,Miss this! #pregnancy #snow #foxinthesnow #throwback @FoxintheSnowCafe,#pregnant #snow #fox #throwback @foxinthesnowcafe,Miss this! #pregnanci #snou #foxinthesnou #throwback @ foxinthesnou cafe,Miss thi! #pregg #snw #fxnthsnnw #thrbsk @FxntSnwCf
"A paper adventure if you tried to figure me me you""d be confused. Just carpe diem @ Lancaster",smiling face with hearteyes,A paper adventure if you try to figure me you'd be confused. Just seize the day @ Lancaster.,paper adventure tried figured confused Just carpe diem @Lancaster,paper adventure try figure confuse seize day,a pap adventur if you try to fig me me youd be confus just carp diem @ lancaster,paper advent try fig confus just carp diem @Lancaster
we were on a ferris wheel above #edc but all I could take pictures of was you @ Electric Daisy,smiling face with hearteyes,we be on a ferris wheel above but all i could take picture of was you @,we ferris wheel above edc take pictures was you Electric Daisy,we on ferris wheel above but all i could take picture of was you,we be on a ferris wheel abov edc but all i could tak picture of was you electric daisy,we ferris wheel above edc take picture was you electric daisy
The Docto/Cooper/Schoen Family photo! I love these peoples. #GulfShores @ Alabama Gulf Shores,smiling face with hearteyes,The Doctor Cooper Schoen Family photo! I love these people. #GulfShores @ Alabama Gulf Shores,Docto Cooper Schoen Family photo! love peoples. #GulfShores Alabama Gulf Shores,Doctor Cooper Schoen Family photo! love people. #GulfShores Alabama,/The Doc/Coop/Scho Family pho! I lo these peo. #GulfShors @ Alab Gulf Shors,Doc茎 Coop茎 Schoe茎 Famil茎 phot茎 lov茎 peopl茎 #GulfShor茎 Alabam GulfShor茎
Room is packed @ Steppenwolf Theatre Company,smiling face with hearteyes,Room be pack @ Steppenwolf Theatre Company,Room packed Steppenwolf Theatre Company,Room pack Steppenwolf Theatre Company,Room pack @ Steppenwolf Theatrie Company,Room pack Steppenwolf Theat Company
makeup by me @ Shenandoah University,smiling face with hearteyes,make by I @ Shenandoah University,makeup Shenandoah University,make Shenandoah University,makeup by me @ Shenandooh Universit,makeup Shenandoh Univ
"Lexi + Rendon #rendonsealsthedeolTheir wedding day was such a dream @ South Lake Tahoe,",smiling face with hearteyes,"Lexi + Rendon #rendonsealsthedeol Their wedding was such a dream @ South Lake Tahoe,",Lexi + Rendon Their wedding day was dream South Lake Tahoe,Lexi + Rendon Their wedding was dream South Lake Tahoe,"Lexi + Rendons #rendonsealsdeolTheir wedding day was such a dream @ South Lake Tahoe,'",Lexi + Rendon Thirr weddin day wass dreem South Lak Tahoe
He likes me! He really likes me! We showed Coco that Mel was good,smiling face with hearteyes,He like me! He really like me! We show Coco that Mel be good.,He likes me! He really likes me! showed Coco that was good,He like me! really like me! show Coco that be good.,He lik me! He really lik me! We show Coco that Mel be good,He lik me! He really lik me! show Coco that was good
"Are ready for tax free shopping tomorrow???? @ Julie""s Gifts &amp;",smiling face with hearteyes,Are be for tax free shop tomorrow??? @ Julie's Gifts &,"ready tax free shopping tomorrow @ Julie""s Gifts",tax free shop tomorrow,"are readi for tax free shoppi tomorrow @ julie""s gift &","read tax free shop tomorrow @ Julie""s Gift"
Best place to be atm #thisiswod17 #wodchi17 @ Copernicus Center,smiling face with hearteyes,best place be atm thisiswod17 wodchi17 @ copernicus center,Best place atm #thisiswod17 #wodchi17 @ Copernicus Center,best place atm wodchi17 @ copernicus center,Best placeto be atm #thisiswod17 #wodchi17 @ Copernicus Centr,Best plc atm #thsswod17 #wodchi17 @ Cpnusn Cntr
#happybirthday Baby Shy @user #fashinova #love #issasnobb #fashion #exoticwomen,smiling face with hearteyes,#happy birthday baby shy @user #fashinova #love #issasnobb #fashion #exotic woman,#happybirthday Baby Shy @user #fashinova #love #fashion #exoticwomen,#happy birthday baby @user #love #fashion woman,#happibirthd Baby Shy @user #fashinova #lov #issasnobb #fashon #exoticwom,#happibirthd Baby Shy @user #fashinov #lov #fash #exoticwom
vegan_canibal at yellowjacketsocialclub #Art #Mexico #VeganCannibal #GROSS #TheProjecto,smiling face with hearteyes,vegan_canibal in yellowjacket_socialclub #Art #Mexico #VeganCannibal #GROSS #TheProjecto,vegan_canibal yellowjacketsocialclub Art Mexico VeganCannibal GROSS TheProjecto,vegan_canibal yellowjacket_socialclub Art Mexico VeganCannibal GROSS TheProjecto,vegan_cani at yellowjacket soc #Art #Mexi #VeganCani #GROS #TheProj,vegan_canibal yellowjaw socialclub art mexico vegan_cannibal gross theproj projecto
Caramel glaze for caramel cheesecake. @ Lord Baltimore Hotel,smiling face with hearteyes,caramel glaze for caramel cheesecake. @ lord baltimore hotel,Caramel glaze caramel cheesecake Lord Baltimore Hotel,caramel glaze caramel cheesecake lord baltimore hotel,caramель glaz для caramель cheesecak. @ lord baltimor hotel,caramel glaz caramel cheesecak lord baltimor hotel
Amazing @ Zion National Park,smiling face with hearteyes,Amazing @ be Zion National Park,Amazing Zion National Park,Amazing Zion National Park,amaz @ zion national park,amaz park
I love her @user @user @ Marina Village,smiling face with hearteyes,I love her @user @user @ be,I love Marina Village,I love her,I lov her @user @user @ Marina Villag,I lov Marina Villag
My little Scotsman #kilts #kiltlife #gotkilt? #RenFest @ Michigan,smiling face with hearteyes,My little Scotsman kilt kilt gotkilt? RenFest @ Michigan,Scotsman kilt RenFest Michigan,Scotsman kilt RenFest Michigan,My littl Scotsman #kilt #kiltlif #gotkilt? #RenFest @ Michig,Scotsman kilt RenFest Michigан
WALL DROP. CLAIM IN COMMENTS. LARGE PEREFCT T AND TC LEGGINGS @ Lularoe By Nikki C,smiling face with hearteyes,WALL DROP CLAIM IN COMMENT LARGE PERFECT T AND TC LEGGINGS BY LULAROE BY NIKKI C,WALL DROP CLAIM IN COMMENTS LARGE PEREFCT T TC LEGGINGS Lularoe Nikki C,WALL DROP CLAIM COMMENT LARGE PERFECT LEGGINGS LULAROE Nikki C,WALL DROP. CLAIM IN COMMENT. LARGE PERFECT T AND TC LEGGING @ LULAROE BY NIKKI C,WALL DROP CLAIM IN COMMENT LARGE PERFECT T T LEGGING LUAROE NIKKI C
Glad to have him home @ Casa De La Castillo,smiling face with hearteyes,Glad to have him home at Casa De La Castillo,Glad home Casa De La Castillo,Glad have him home Casa De La Castillo,Glad to have him hom @ cas de la castill,Glad hom Casa De La Castill
Always the apple of my eye #tampatravels @ Ballast Point,smiling face with hearteyes,Always apple be #tampatravels @ Ballast Point,Always apple eye #tampatravels Ballast Point,Always apple #tampatravels Ballast Point,Alw ay app le o f my ey e # t amp a tr av el s @ B all ast P o int,Always appl ey #tampatravels ballast point
Yo @user gave me my WHOLE life last night!!! The baddest in,smiling face with hearteyes,Yo user give me my whole life last night The baddest in,Yo @user gave life last night!!! baddest,Yo user give whole life last night baddest,Yo @user giv me my WHOL life last night!!! The badd in,Yo @user giv life last night!!! baddest
"(@ SKECHERS Factory Outlet - @user in McAllen, TX)",smiling face with hearteyes,"(@ SKECHERS Factory Outlet - @user in McAllen, TX)",(@SKECHERSFactoryOutlet-@userinMcAllenTX),(SKECHERS Factory Outlet user McAllen TX),(@ skech outlet - @user in mcallen tx),(@skechersfactoryoutlet-@userinmcallen tx)
