Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
estoy hasta el ojete de que me digáis que tengo cara de mala leche,0,estoy hasta ojete de que me digas tener cara de mala,hasta ojete digáis tengo cara mala leche,hasta ojete tener cara mala,estoy hasta el ojete de que me digáis que tengo cara de mal,hasta ojete digais tener cara mal leche
@user Por?  Tenía pensado verla después de la segunda de Daredevil,1,@user por tener pensado verla después de la segunda de estar,@user Tenía pensado verla segunda Daredevil,tenido ver después segunda estar,@user por ten pensado verla despues de la segund de daredevil,@user Tenía pensado verla segund daredeville
Esto de estar feliz mola,2,esto estar feliz gustar,Esto feliz mola,estar feliz gustar,Esto de estar felí mola,Esto felic mola
Ya no es tan divertido,0,Ya no ser divertido,Ya divertido,Ya divertido.,Ya no es tan diverti.,Ya divirti
"@user te recuerdo que soy una persona que tiene criterio, equivocado, pero lo tengo",1,"@user te recordar soy una persona que tener criterio, equivocado, pero lo tener",soy persona que tiene criterio equivocado pero lo tengo,te recordar soy persona que criterio equivocado pero lo tener,"@user te recuerdo que soy una persona que tiene criterio, equivoco, pero lo tengo",soy persona que tener criterio equivocado pero tener
@user @user @user con una pequeña donación hará felices a miles de chicas que no tienen  #asociacionmariloli,2,@user @user @user con una pequeña donación hará feliz a miles de chica que no tiene  #asociacionmariloli,con pequeña donación hará felices a miles chicas no tienen #asociacionmariloli,con pequeña donación hará feliz miles chica no tiene #asociacionmariloli,@user @user @user con un pequen florec hará felices a miles de chica que no tienen  #asociamarili,con peq SMALL_donación hará feliz a miles chica no tienen #asoc mariloli
He probado una nueva espuma para el pelo y sí que lo deja más rizado pero se queda como efecto gomina y no me gusta.,0,He probar una nueva espuma para el pelo y sí que lo dej más rizado pero se quede como efecto gomina y no me gust.,probado nueva espuma pelo sí deja más rizado pero queda efecto gomina me gusta,probar nueva espuma pelo sí dej más rizado quede efecto gomina me gust,He proba un nou espum per pel i si que lo deix mas riz pero se queda com efect gomina i no me gust.,probado nuevo espuma pelo si deja mas rizado pero quedar efecto gomina me gusta
@user Ojalá pudiera darte el abrazo en vivo o al menos acompañarte hoy. Siento mucho lo de tu primo,1,@user ojalá pudiera dar abrazo vivo o al menos acompañar hoy. siento mucho lo de tu primo,Ojalá pudiera darte abrazo vivo o al menos acompañarte hoy. Siento mucho lo de tu primo,dar abrazo vivo acompañar siento mucho primo,@user ojala pudier pudier accompagn tod tu prim,Ojalá pudiera dar abrazo vivo o al menos accompániate hoy. Siento mucho lo de tu prim.
@user aquí tienes a mi bae aka una egipcia preciosa que esta aprendiendo español. Os llevareis bien  @user,2,@aqui tienes a mi bae aka una egipcia preciosa que esta aprendiendo espanol. os llevaris bien @user,@user tienes mi bae aka egipcia preciosa aprendiendo español. Os llevareis bien  @user,tienes mi bae aka una egipcia preciosa que esta aprendiendo espanol. os llevaris bien @user,@user aki tienes a mi bae aka una egipcia preciosa que esta aprendi espagnol. os llevai bien  @user,@user ten mi bae aka egipcia preciosa aprendi español. os llevi bien  @user
"@user ya somos dos, que triste",0,"@user ya seremos dos, que triste.",ya somos dos triste,seremos triste,"@user ya somos dos, que trist.",ya somos dos trist
