Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
Hartford executive #39;s stock sale probed,Business,Hartford executive's stock sale be probed.,Hartford executive sale probed,Hartford executive stock sale probed.,Hartford execut's stock sale probed,hartford execut sale probe
Cool Batman Photo!,Sci/Tech,Cool Batman Photo.,Batman Photo,Batman Photo.,"'cool' 
'batman' 
'photo'",Batman Phot
Stocky Monkey in Himalayas Becomes Newest Primate Species,Sci/Tech,Stocky monkey in Himalayas becomes newest primate species.,Monkey Himalayas Newest Species,monkey species Himalayas," version:
Stocky Monkey in Himalayas Become Newest Primate Species",monkey himalaya new specie
"Bush, Kerry Don''t Worry About Tech",Sci/Tech,"Bush, Kerry don't worry about technology.",Bush Kerry Worry Tech,"Bush, Kerry worry about technology.","Bush, Kerry Don't Worry About Tech",Bush Kerry Worry Tech
The Teeming Crowd in Video Games,Sci/Tech,The teeming crowd in video games.,Crowd Video Games,teeming crowd video games, Crowd in Vid Game,crowd video game
Report: VoIP to Top 12M Homes by 2009,Sci/Tech,Report: VoIP to top 12M homes by 2009,Report: VoIP Top Homes 2009,VoIP top homes 2009.,Report: VoIP to Top 12M Homes by 2009,report: voip top home 2009
Free Yahoo X1 desktop search,Sci/Tech,Free Yahoo X1 desktop search.,Yahoo X1 desktop search,'Yahoo X1 desktop search.',free yahoo x1 desk search,yahoo x1 desk search
Black Duck #39;s protexIP  Safer Open Source Code Usage,Sci/Tech,Black duck be #39s protexIP  safer open source code usage.,Black Duck protexIP Safer Source Code Usage,duck safer source code.,black duck #39 s protexip safer open source code usage,black duck protex safer source code usage
Apple breeze past the 200 Million iTunes mark,Sci/Tech,Apple breeze past the 200 million iTunes mark.,Apple past mark,Apple past 200 million iTunes mark.,Apple breeze past the 200 million itune mark,"'appl', 'past','mark'"
"RealNetworks Halves Music Prices, Sees Wider Loss (Reuters)",Sci/Tech,"RealNetworks halves music prices, sees wider loss.",RealNetworks Halves Music Prices Sees Wider Loss,RealNetworks halves music prices sees wider loss.,RealNetworks halve music price see wider loss (reuter),RealNetwork halv musi pric see wider los.
Stocks Set to Open Higher,Business,Stocks set to open higher.,Stocks Higher,Stocks.,Stocks set to open high,Stocks
"PeopleSoft Defies Oracle Bid, Pursues IBM",Sci/Tech,PeopleSoft Defies oracle Bid Pursues IBM,PeopleSoft Defies Pursues IBM,Defies oracle Pursues IBM,peoplesoft defies oracle bid pursues ibm,peoplesoft defies pursues ibm
Tech Groups Want Induce Hearings,Sci/Tech,'tech group want induce hearing'.,Tech Groups Want Hearings,'group want induce hearing'.,"
  
Tech Group Want Induce Hear
Tech Group Want Induce Hear ",Tech Group Want Hear
TI Unveils Digital TV Chip for Cell Phones,Sci/Tech,TI unveils digital TV chip for cell phone.,TI Unveils Chip Phones.,TI unveils chip phone.,TI unveils digit TV chip for cell phone.,ti unveil chip phone.
IBM Expands RFID Offerings (NewsFactor),Sci/Tech,IBM expand RFID offering.,IBM Expands RFID Offerings,IBM expand RFID.,IBM Expand RFID Offer,IBM Expand RFID Offering
McAfee #39;s Trojan error ires developer,Sci/Tech,McAfee's Trojan error irritates developer,McAfee Trojan error,McAfee Trojan developer,McAfee #39;s trojan error ires developer,McAfee Trojan error
Quake Shakes Mount St. Helens,Sci/Tech,Shake Shake Mount St. Helens,Quake Shakes Mount Helens,Mount St. Helens,quake shake mount st helen,Shakes Mount Helens
"Earthlink, Yahoo test new antispam system",Sci/Tech,"Earthlink, Yahoo test new anti-spam system.","Earthlink, test new system.","Earthlink, Yahoo test system.","Earthlink, Yahoo test new anti spam system","Earthlink, test new syste."
Volcano Appears to Rest After Letting Off Steam,Sci/Tech,Volcano appear to rest after let off steam.,Volcano Appears Rest After Letting Steam,Volcano appear rest steam.,Volcano appeare to rest after lett off steam.,Volcano Appear Rest After Let Steam
Gateway Debuts Cool New PC,Sci/Tech,Gateway debut cool new PC.,Debuts New PC,debut cool PC.,Gateway Debut Cool New PC,Debut New PC
Waterproof IPod Housing All Wet,Sci/Tech,Water proof Ipod housing all wet.,IPod Housing Wet,Ipod housing wet.,waterproof ipod housin all wet,iPod hous wet
Boston Scientific goes shopping,Business,Boston Scientific go shopping.,Boston Scientific shopping.,Boston Scientific shopping.,Boston Scientif go shopp.,boston scientifc shopp.
FCC Insists Broadband Deployment Improving,Sci/Tech,FCC insist broadband deployment improve.,FCC Deployment Improving,FCC deployment improve.,FCC Insists Broadband Deploy Improv,Improving
Holiday Online Sales Growth To Slow This Year (NewsFactor),Sci/Tech,Holiday online sales growth to slow this year (newsfactor).,Holiday Online Sales Growth Slow This Year,growth year,Holiday onlin sales grow slow this year (NewsFakt),Holiday Online Sales Grow Slow This Year
