Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
"New phone for mom (at @user in Albuquerque, NM)",smiling face with hearteyes,"New phone for mother (at user in Albuquerque, New Mexico)",phone mom Albuquerque user,phone mother Albuquerque New Mexico,New phon for mom at user in Albquerque NM,phone mom user
Today was chest day but for some reason I find myself easily distracted. hdenisedelay #wifey,smiling face with hearteyes,Today be chest day but for some reason I find myself easily distracted. hidden delay #wife,Today chest day distracted hdenisedelay #wifey,Today chest day reason distracted delay #wife,"Today was chest day but for some reason I find myself easily distract. 
hdenisedelay #wifey",Today chest day distract hid delay #wifey
My new live in chef is familiarizing himself with his new kitchen jcordoba81 #purehappiness,smiling face with hearteyes,My new live in be familiar with his new kitchen.,live chef familiarizing kitchen jcordoba81 #purehappiness,live familiar kitchen,My new liv in cheff is familiariz with his new kitch,live chef famili* kitch* jcordoba81 #purehappiness
Our second favorite spot #statepark #fall #autumn #newyork @ Heckscher State Park,smiling face with hearteyes,Our second favourite spot #statepark #fall #autumn #newyork @ Heckscher State Park,Our favorite spot newyork Heckscher State Park,Our favourite spot #statepark #fall #autumn #newyork @ Heckscher Park,our sec fav spot #statpark #fall #autumn #newyork @ hecksch stat park,our favorite spot newyork hecksher state park
Ommmmgggg guys!!!! Chickpea Nuggets!!!! Vegan childhood complete (and I threw in some,smiling face with hearteyes,"guys, chickpea, throw, vegan, childhood, complete",'Ommmmgggg guys!!!! Chickpea Nuggets!!!! Vegan childhood complete threw some',"chickpea, throw, vegan, childhood, complete",Ommmmggg guy!!!! chickpea nugget!!!! vegan childhood complete (and i throw some),'omggg guy!!! chickpea nugget!!! vegan child complet throw some'
Um. 2 bravoleberities in one night? #summerhouse #rhod #dallas #nyc #bravotv @ Industry Bar,smiling face with hearteyes,Um. 2 bravery in one night. #summer #house #rod #Dallas #NYC #bravo @ Industry Bar,'bravoleberities #summerhouse #rhod #dallas #nyc #bravotv @ Industry Bar','bravery night Dallas NYC #bravo @ Industry Bar',Um. 2 bravol * 1 night. #summ * #rhod #dallas #nyc #bravot * @ Indust * Bar,bravolebr * #summ * #rhod #dallas #nyc #bravotv @ Indust * Bar
"An entire restaurant, dedicated to mac n cheese @ macbar",smiling face with hearteyes,An entire restaurant dedicated to mac n cheese at mac bar.,macbar mac n cheese,mac n cheese mac bar,An entire restaurant dedicated to mac n cheese @ macbar,macbar mac n chees
Sunset above Lake Michigan @ Maryland,smiling face with hearteyes,Sunset above lake Michigan at Maryland,Sunset Lake Michigan Maryland,Sunset Michigan Maryland,sunse above lak michig @ maryland,sunset lake michigan maryland
"my side dish! @ College Station, Texas",smiling face with hearteyes,my side dish @ college station texas,dish College Station Texas,dish college station,my side dish @ coll stn tex,dish college station texas
"Drummer dude #mommysonlyson @ Beaumont, Texas",smiling face with hearteyes,'Drummer man mommy only son @ Beaumont Texas',Dude Drummer,'Drummer mommy son',drum# dud# mommys# beaum# tex#,"'Drummer' stems to 'drum'

Dud drum
'Dude' stems to 'dud' or 'dude' "
#besthairsalonnyc end result #love #gorgeous #shiny #hair #vibrant #color #longhair #mocha,smiling face with hearteyes,#best hair salon end result #love #be gorgeous #be shiny #hair #be vibrant #color #hair #be long #be mocha,"#gorgeous 
#hair 
#love 
#shiny 
#longhair 
#color 
#mocha
#besthairsalonnyc 
#vibrant ",#best hair salon end result #love #be gorgeous #be shiny #be vibrant #color #be long #mocha,#bestsalonnyc end result #lov #gorge #shin #hair #vibr #col #longhair #mocha,"#gorgeous 
#hair 
#love 
#shiny 
#longhair 
#color 
#mocha
#bestsalonnyc 
#vibrant "
Pandora is INCREDIBLE @ Pandora - The World Of Avatar,smiling face with hearteyes,Pandora be INCREDIBLE @ Pandora - The World Of Avatar,Pandora INCREDIBLE Pandora World Avatar,INCREDIBLE Pandora,pandora is incredibl  @ pandora - the world of avatar,pandor pandor world avat
"I just took this picture because I LOVE HER THAT""S WHY. @ Durham, North Carolina",smiling face with hearteyes,"I just take this picture because I love her that is why. @ Durham, North Carolina","LOVE HER THAT""S WHY Durham North Carolina",picture love Durham North Carolina,i just tok this pictur because i lov her thats why @ durham north carolina,lov her that's why durham north carolina
#acapella #gig twitter by #songbirds performing #fixyou by #coldplay @ Twitter HQ,smiling face with hearteyes,"#gig 
#acapella 
#songbirds performing #be sung by #coldplay @ #hq",#acapella #gig songbirds performing fixyou coldplay Twitter HQ,"#coldplay
#songbirds 
#acapella ",#acapella #gig twitter by #songbird performing #fixyou by #coldplay @ Twitter HQ,#acapell #gig songbird perform fix you coldplay twitter headquarter
"#photography #sunday @ Colfax, Washington",smiling face with hearteyes,"#photography #sunday at Colfax, Washington",#photography sunday Colfax Washington,#photography sunday Colfax Washington,"@ Colfax, Washington
#photograph 
#sund ",#photograph sunday Colfax Washington
Lunch views #portlandcitygrill #KVinPDX @ Portland City Grill,smiling face with hearteyes,Lunch view #portlandcitygrill #KVinPDX @ portland city grill,Lunch #portlandcitygrill #KVinPDX @ Portland City Grill,'view #portlandcitygrill #KVinPDX portland city grill','view' lunch #portlandcitygrill #kvinpdx @ portland city grill,lunch portland city grill #portland #kvin #portland
Does it get much better than this?? On a layover here in Vegas so we checked out the airport,smiling face with hearteyes,Does it be good better than this. On a lay over here in Vegas so we check out the airport.,'get better layover Vegas checked airport',good better lay over Vegas check airport,Does it get much bett than this?? On a layovr here in Vag so we check out the airp.,get better layover Vegas check airport
"Sorry Keaton, you""ve been replaced double time @ Toy Story Mania",smiling face with hearteyes,"Sorry Keaton, you have been replaced double time at Toy Story Mania","Keaton, been replaced Toy Story Mania","Keaton, replaced double time at Story Mania",,"Keaton, been replac Toy Stor Mania"
"The dream, I""m in love ........#sweet #kitchen #instalove #design #webstagram #homes",smiling face with hearteyes,"The dream, I am in love with be sweet in kitchen with instalove of design on webstagram of home.","'dream, love #sweet #kitchen #instalove #design #webstagram #homes'",dream love sweet instalove design webstagram home,"The drea, I'm in lov #sweet #kitchen #instalov #design #webstagra #homes","dream, love #sweet #kitch #instal #des #webst #home"
Hana garden is my favorite korean restaurant,smiling face with hearteyes,Hana garden be my favorite Korean restaurant,Hana garden my favorite korean restaurant,Hana garden favorite Korean restaurant,hana gard is my fav korean rest.,han garden my favorit korean restauran
Miss this! #pregnancy #snow #foxinthesnow #throwback @ Fox in the Snow Cafe,smiling face with hearteyes,Miss this. #pregnancy #snow #fox #in #the #snow #throwback @ Fox in the Snow Cafe.,Miss #pregnancy #snow #foxinthesnow #throwback Fox snow Cafe,Miss. #pregnancy snow fox throwback @ Fox Snow Cafe.,"miss 
fox 
cafe
this 
pregn 
snow ",Miss #pregnanc #snow #fox #cafe
"A paper adventure if you tried to figure me me you""d be confused. Just carpe diem @ Lancaster",smiling face with hearteyes,A paper adventure if you tried to figure me you'd be confused. Just seize the day @ Lancaster.,paper adventure figure confused carpe diem @ Lancaster,'paper adventure figure confused seize day Lancaster',A paper adventur if you tri to figur me me youd be confus. Just carpe diem @ Lancast.,paper adventur figur confus carpe diem @ Lancast
we were on a ferris wheel above #edc but all I could take pictures of was you @ Electric Daisy,smiling face with hearteyes,We be on a ferris wheel above but all I could take pictures of be you at Electric Daisy.,ferris wheel #edc Electric Daisy,ferris wheel Electric Daisy,we be on a ferris wheel above #edc but all i could take picture of was you @ electric daisy,wheel #edc elec elec daisi
The Docto/Cooper/Schoen Family photo! I love these peoples. #GulfShores @ Alabama Gulf Shores,smiling face with hearteyes,The Doctor Cooper Schoen Family photo. I love these people. #GulfShore @ Alabama Gulf Shore,Cooper Schoen Family photo! love peoples #GulfShores @ Gulf Shores,Cooper Schoen Family photo. love people. #GulfShore @ Alabama Gulf Shore,The Docto Cooper Schoen Famil photo I lov these peopl #GulfShores @ Alabama Gulf Shores,#GulfShor love peoples Cooper Schoen Famili phot #GulfShor
Room is packed @ Steppenwolf Theatre Company,smiling face with hearteyes,Room be packed @ Steppenwolf Theatre Company.,'packed Steppenwolf Theatre Company',Room packed @ Steppenwolf Theatre Company.,"
room be pack @ steppenwolf theatre company",packed Steppenwolf Theatre Compani
makeup by me @ Shenandoah University,smiling face with hearteyes,make by I @ Shenandoah University,makeup @ Shenandoah University,make @ Shenandoah University,make up by me @ Shenandoah Universitie,make @ univ
"Lexi + Rendon #rendonsealsthedeolTheir wedding day was such a dream @ South Lake Tahoe,",smiling face with hearteyes,Lexi + Rendon #rendon be seal the deed Their wedding day be such a dream @ South Lake Tahoe.,Lexi Rendon #rendonsealsthedeol Their wedding day was such a dream @ South Lake Tahoe,Lexi + Rendon #rendon seal deed Their wedding day dream @ South Lake Tahoe,Lexi + Rendon #rendon stem deolTheir wed day was such a dream @ South Lake Tahoe,lexi rendon #rendon #sealsthedream their weddingday was such a dream @ south lake tahoe
He likes me! He really likes me! We showed Coco that Mel was good,smiling face with hearteyes,He like me. He really like me. We show Coco that Mel be good.,"Mel
Coco 
really 
likes ","Coco 
like 
really 
Mel",He lik me! He real lik me! We show Coco that Mel was good.,"Mel
Coco 
really 
likes "
"Are ready for tax free shopping tomorrow???? @ Julie""s Gifts &amp;",smiling face with hearteyes,Are be ready for tax free shopping tomorrow @ Julie's Gifts &,ready tax free shopping tomorrow,ready tax free shopping Julie's Gifts,Are ready for tax free shop tomorrow @ Julie's Gift,ready tax free shop tomorow
Best place to be atm #thisiswod17 #wodchi17 @ Copernicus Center,smiling face with hearteyes,Best place to be at #this is #wo d #wo ch @ Copernicus Center,Best place atm #wod17 @ Center,'place to be #wo d #wo ch @ Copernicus Center',"#wochi 
#thisiswo 
@ Copernicus Centr",'best place atm #wod17 @ center'
#happybirthday Baby Shy @user #fashinova #love #issasnobb #fashion #exoticwomen,smiling face with hearteyes,#happybirthday Baby Shy @user #fashion love #is be #fashion exotic woman,#happybirthday Baby exoticwomen #fashinova #love #issasnobb #fashion,#happybirthday Baby exotic woman #fashion love #fashion,#happi birthday Baby Shy @user #fashi nov #lov #issasnob #fashi #exoti wom,#happi birthday Baby exoticwom #fashio #love #sasnobb #fashion
vegan_canibal at yellowjacketsocialclub #Art #Mexico #VeganCannibal #GROSS #TheProjecto,smiling face with hearteyes,vegan canibal at yellow jacket social club #Art #Mexico #Vegan Cannibal #GROSS #The Project,vegan_canibal yellowjacketsocialclub #GROSS #Projecto,Vegan cannibal yellow jacket social club #Vegan Cannibal #GROSS,vegan canibal at yellowjacket social club #Art #Mexic #VeganCannibal #GROSS #TheProject,vegan canibal yellowjacket social club #gros #project
Caramel glaze for caramel cheesecake. @ Lord Baltimore Hotel,smiling face with hearteyes,Caramel glaze for caramel cheesecake. @ lord baltimore hotel.,Caramel glaze cheesecake Lord Hotel,Caramel glaze cheesecake.,Caramel glaze for caramel cheesecak. @ Lord Baltimor Hotel,caramel glaze cheesecak hotel
Amazing @ Zion National Park,smiling face with hearteyes,"'Amazing' 
'Park'
'Zion' 
'@' 
'National' ",Amazing Zion National Park,Amazing Zion Park,amazing @ zion national park,amazing zion nation park
I love her @user @user @ Marina Village,smiling face with hearteyes,I love her.,love @user @ Marina Village,love,I lov her @us @us @ Marin Villag,love @user @ marin
My little Scotsman #kilts #kiltlife #gotkilt? #RenFest @ Michigan,smiling face with hearteyes,My little Scotsman be wear kilts have kilts go RenFest at Michigan.,little Scotsman #kilts #kiltlife #gotkilt? #RenFest Michigan,My Scotsman wear kilts RenFest Michigan.,my little scotsman #kilte #kiltlife #gotkilt #renfest @ michigan,little scotsman #kilts #kilt #kilt #got #renfest michigan
