Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
"A Fukushima, la radioactivité met à mal la biodiversité et les oiseaux: http",0,"À Fukushima, la radioactivité met à mal la biodiversité et les oiseaux : http.","Fukushima, la radioactivité met à mal la biodiversité et les oiseaux : http","Fukushima, radioactivité met à mal biodiversité et oiseaux : http.","A Fukushima, la radioactivite met a mal la biodiversite et les oiseaux : http",
Biodiversité et développement durable : la petite histoire verte du campus http @user,1,Biodiversité et développement durable : la petite histoire du campus.,Biodiversité développement durable : petite histoire verte du campus,Biodiversité développement durable la petite histoire du campus.,,"biodivers, developpement, dur, petite, histoire, verte, campus"
Des aides du #gouvernement pour des #logements plus #écologiques. -- http,2,Des aides du gouvernement pour des logements plus écologiques.,Aides gouvernement logements écologiques.,Aides du gouvernement pour logements écologiques.,aide gouvernement loge ecolog,Aide gouvernement logement écologique
"#fabius : ""nous sommes là 1e génération à prendre conscience du changement climatique et nous sommes la dernière à pouvoir agir""",0,"#fabius : ""nous sommes là 1e génération à prendre conscience du changement climatique et nous sommes la dernière à pouvoir agir"".","#fabius : ""nous sommes la 1e génération à prendre conscience du changement climatique et sommes la dernière à pouvoir agir'","#fabius : ""nous sommes 1e génération à prendre conscience du changement climatique et nous sommes la dernière à pouvoir agir""","#fabius : ""nous sommes là génération prendre conscience changement climatique et nous sommes dernière pouvoir agir""",
Des arbres sur des maisons écologiques à Ho-Chi-Minh-Ville au Vietnam - http via @user,1,Des arbres sur des maisons écologiques à Ho-Chi-Minh-Ville au Vietnam - http via l'utilisateur.,Arbres sur maisons écologiques à Ho-Chi-Minh-Ville au Vietnam - http via @user,Arbres sur maisons écologiques à Ho-Chi-Minh-Ville au Vietnam.,Des arbres sur des maisons ecologiques à Ho Chi Minh Ville au Vietnam http via @user,Arbre sur maison ecologique a HoChiMinhVille au Vietnam - http via user
"Grâce au nouveau pack étudiant, #Github souhaite initier les jeunes développeurs à leur écosystème. #Malin le chat! http",2,"Grâce au nouveau pack étudiant, GitHub souhaite initier les jeunes développeurs à leur écosystème. Malin le chat!",#Github souhaite initier les jeunes développeurs à leur écosystème. #Malin le chat! http,Malin le chat,"développeur 
jeune 
chat 
github 
écosystème
initier 
écosystème 
malin ","#malin 
#chat 
#écosystème 
#http
#jeune 
#github 
#init 
#développeur "
#climat Ceux qui ont peur du réchauffement consomment plus d'électricité que les sceptiques !  via @user http,0,#climat Ceux qui ont peur du réchauffement consomment plus d'électricité que les sceptiques.,Ceux qui ont peur du réchauffement consomment plus d'électricité que les sceptiques.,Ceux qui ont peur du réchauffement consomment plus d'électricité que les sceptiques.,"via user
peur réchauff consomme sceptique 
#climat climat climat ",Ceux qui ont peur du réchauff consomment plus d'électric que les sceptiques.
@user @user @user  je caille … je grelotte les éoliennes à coté de chez moi …. ne tournent pas depuis 5 jours …,1,@utilisateur @utilisateur @utilisateur  je suis froid … je grelotte les éoliennes à côté de chez moi …. ne tournent pas depuis 5 jours …,je caille je grelotte les éoliennes à coté de chez moi ne tournent pas depuis 5 jours,"Suis froid, grelotte les éoliennes à côté de chez moi, ne tournent pas depuis 5 jours.","
je 
@utilisateur ",je caille je grelote les éolienne à coté de chez moi ne tourne pas depuis 5 jours
Cameroun RDC Guinée Éthiopie &amp; Ouganda peuvent produire suffisamment d’énergie hydroélectrique de l'#Afrique @user http,2,Cameroun RDC Guinée Éthiopie &amp; Ouganda peuvent produire suffisamment d’énergie hydroélectrique de l'Afrique.,Cameroun RDC Guinée Éthiopie &amp; Ouganda peuvent produire suffisamment d’énergie hydroélectrique de l'#Afrique @user,Cameroun RDC Guinée Éthiopie Ouganda produire suffisamment d’énergie hydroélectrique de l'Afrique.,Cameroun RDC Guinée Éthiopie &amp; Ouganda peuvent produire suffisamment d’énergie hydroélectrique de l'#Afrique @user,Cameroun RDC Guinée Éthiopie & Ouganda peuvent produire suffisamment d'énergie hydroélectrique de l'Afrique.
"Subsides aux énergies renouvelables décapités: après l'Allemagne, au tour de l'Italie via @user",0,"Subsidies aux énergies renouvelables décapités : après l'Allemagne, au tour de l'Italie via @user","Subsides décapités : après l'Allemagne, l'Italie","Subsidies aux énergies renouvelables décapités : après l'Allemagne, l'Italie via @user",subsides_énergies_renouvelables décapités après_italie,"Subsid décapité : après l'Allemagne, l'Italie"
