Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
#ibelieveblaseyford is liar she is fat ugly libreal #snowflake she sold her  herself to get some cash !! From dems and Iran  ! Why she spoke after  #JohnKerryIranMeeting ?,offensive,#ibelieve blasey for be liar she be fat ugly lib real #snowflake she sell her self to get some cash! from dem and iran! why she speak after #johnkerryiranmeeting?,#ibelieveblaseyford liar fat ugly libreal #snowflake sold herself cash JohnKerryIranMeeting,#ibelieveblaseyliarshelieafatuglylibreal#snowflakesellselfcashjohnkerryiranmeeting,#ibeliave blas liar sh fat ugli lib real #snowflak sh sol her self to get some cas!! fr dems and iran! why sh spok after  #johnkerriranmeetin?,#ibeliebl liar fat ugly libreal #snowflak sell hersel cash JohnKerryIranMeet
@user @user @user I got in a pretty deep debate with my friend and she told me that latinos for Trump and blacks for Trump were paid supporters 😂 then I said you mean antifa are paid domestic terrorist and she said No they are  anti-fascist then I said they are the fascist are you kidding me?!,non-offensive,@user @user @user i get in a pretty deep debate with my friend and she tell me that latino for trump and black for trump are paid supporter 😂 then i say you mean antifa are paid domestic terrorist and she say no they are anti-fascist then i say they are the fascist are you kidding me?!,@user @user @user got pretty deep debate friend told latinos Trump blacks Trump paid supporters then said mean antifa paid domestic terrorist said No they anti-fascist said fascist kidding,@user @user @user get pretty deep debate friend tell Latino Trump black Trump paid supporter then say mean Antifa paid domestic terrorist say no Antifa anti-fascist say fascist kidding,@user @user @user i got in a pretty deep debat with my frien and she tell me that latino for trump and black for trump were pay support 😂 then i say you mean antifac are pay domest terrorist and she say no they are  anti-fascist then i say they are the fascis are you kiddin?!,@user @user @user got pretty dee debate frien told latino Trump black Trump pay support then say mean antifa pay domestick terrotor say No they anti-fascist say fascist kiddin
"...if you want more shootings and more death, then listen to the ACLU, Black Lives Matter, or Antifa. If you want public safety, then listen to the police professionals who have been studying this for 35 years."""" -AG Jeff Sessions",non-offensive,"...if you want more shooting and more death, then listen to the ACLU, Black Lives Matter, or Antifa. If you want public safety, then listen to the police professional who has been studying this for 35 year.",want shootings death listen ACLU Black Lives Matter Antifa want public safety listen police professionals studying,if want more shooting death then listen ACLU Black Lives Matter Antifa want public safety then listen police professional studying 35 year,"...if you want more shoot and more death, then listen to the ACL, Black Live Matter, or AntiFa. If you want public safet, then listen to the polic profesion who have been study this for 35 year."""" -AG Jeff Session",want shoot death listen aclu black live matter antifa want public safet listen polic profes studi
Angels now have 6 runs. Five of them have come courtesy Mike Trout homers. Trout connects on a 3-2 pitch with runners on second and third,non-offensive,Angels now have run. Five have come courtesy Mike Trout homer. Trout connect on a pitch with runner on second and third.,Angels runs Mike Trout homers connects 3-2 pitch runners second third,Angels run. Five come courtesy Mike Trout homer. Trout connect pitch runner second third.,Angl now hav 6 run. Fiv of thm hav com courtesi Mik Trut hom. Trut connct on a 3-2 pich wit runn on second and third,Angels run Mike Trout home connect 3-2 pitch runner second third
"#Travel #Movies and Unix #Fortune combined  Visit #Salisbury, see the sights, but wherever you go there you are, the same old you, why not travel as an international spy? Find yourself at the centre of a vast international conspiracy when you return home.   Recall Recall Recall.",non-offensive,"#Travel #Movie and Unix #Fortune combine  Visit Salisbury, see the sight, but wherever you go there you are, the same old you, why not travel as an international spy? Find yourself at the center of a vast international conspiracy when you return home.   Recall Recall Recall.",#Travel #Movies Unix #Fortune combined Visit Salisbury see sights wherever go return home why not travel international spy Find yourself centre vast international conspiracy return home Recall Recall Recall,#Travel #Movie Unix #Fortune combine Visit Salisbury see sight travel international spy Find yourself center vast international conspiracy return home Recall Recall Recall,"#Travl #Movie and Unix #Fortun combine  Visi #Salisburi, see the sight, but whereever you go there you are, the same old you, why not travl as an internation spy? Find thyself at the centra of a vast internation conspirac when you return home.   Recal Recal Recal.",#Travl #Movie Unix #Fortun combin Visits Visit Salisbury see sight where go return hom why not travl internation spyn Find thyself centerv vast internation conspirac return hom Recal Recal Recal
#naturephotography. #nature. #birds #wild in #Wisconsin #photography. #picoftheday. #pics #fridaymotivation. #fridayfeeling. #instagramers. I hope you are having an #amazing day,non-offensive,#naturephotography. #nature. #bird #wild in #wisconsin #photography. #picofday. #pic. #fridaymotivation. #fridayfeeling. #instagramer. i hope you are having an #amazing day,#naturephotography #nature #birds #wild #wisconsin #photography #picoftheday #fridaymotivation #fridayfeeling #instagramers I hope you having #amazing day,#naturephotography #bird #wild #wisconsin #photography #picofday #pic #fridaymotivation #fridayfeeling #instagramer i hope you having #amazing day,#naturphot. #natur. #bird #wild #wisconsin #photograph. #picofday. #pic #fridmotiv. #fridfeel. #insta. i hop you are havin #amaz day,#naturephotograp #natur #bird #wild #wisconsin #photograph #picofday #fridaymotivat #fridayfeel #instagramer I hop you havin #amaz day
#i2 This speaks for itself (NSFW),non-offensive,#i2 this speak for itself,#i2 speaks itself,this speak itself,#i2 thiS spokE fOr itsElF (NSFW),#i speak itself
"#WomenWednesday: Meet multiple-award-winning designer @user BFA 82. She is the in-demand @user grad is behind @user recent redesign:    Lacava, centre, is pictured with classmates at #Concordia in 1981. #CUalumni",non-offensive,"#WomenWednesday: Meet multiple-award-winning designer @user BFA 82. She be the in-demand @user grad be behind @user recent redesign:    Lacava, centre, be pictured with classmates at #Concordia in 1981. #CUalumni","#WomenWednesday: Meet multiple-award-winning designer @user BFA 82. She the in-demand @user grad behind @user recent redesign:    Lacava, centre, pictured with classmates at #Concordia 1981. #CUalumni","#WomenWednesday: Meet multiple-award-winning designer @user BFA 82. She the in-demand @user grad behind @user recent redesign: Lacava, centre, pictured with classmates at #Concordia 1981. #CUalumni","#WomnWednssd: Met multi-awrd-wndng desgnr @usr BFA 82. Sh is th ndmnd @usr grd is bck @usr rcent redsgn:    Lacv, cnc, is pictrd wth clssmth @ #Concndia in 1981. #CAlumn","#WomnWednssd: Mt mlt-awrd-wndng dsgnr @usr BFA 82. Sh th n-dmd @usr grad bck @usr rcent rdsn:    Lcv, ctr, ptchd wth clssms t #Cnd 1981. #CAlumn"
". a grown ass woman, probably 10 years older than me is currently spreading rumors rather than talking to me about it, nice work you got there satan ❤️",offensive,"a grow ass woman, probably 10 year older than me be currently spread rumor rather than talk to me about it, nice work you got there satan ❤️",".grown ass woman, years older than me currently spreading rumors rather than talking to me about it nice work you got there satan ❤️","grow woman, year older, currently spread rumor, talk to, nice work, satan ❤️",". a grow ass woman, probab 10 year older than me is current spread rumor rath talk to me about it, nice work you got ther satan ❤️",".grown ass womann, year older than me current spreadin rumor rather talk to me abou it nice work you got there satan ❤️"
#RAP is a form of ART! Used to express yourself freely. It does not gv the green light or excuse the behavior of acting like an animal! She is not in the streets of the BX where violence is a way of living. Elevate yourself boo and get on @user level for longevity! #QUEEN👑,non-offensive,#rap be a form of art express self freely do not give the green light or excuse the behavior of act like an animal she be not in the street of the bx where violence be a way of living elevate self boo and get on user level for longevity #queen👑,#RAP a form ART! Used express yourself freely. does gv the green light or excuse the behavior acting like animal! she not in the streets BX where violence is a way living. Elevate yourself boo and get on @user level for longevity! #QUEEN👑,#rap express self freely do not give the green light or excuse the behavior of act like an animal she not in the street of the bx where violence be a way of living elevate self boo and get on user level for longevity #queen👑,#Rap is a form of Art! Use to express self freely. It do not gv the green light or excus the behavior of act like an animl! She is not in the strret of the Bx where violenc is a way of livin. Elevat self boo and get on @user level for longevi! #Queen👑,#RAP form ART! Use express self freely. do gv green light or excuse behavior act like animal! she not in street BX where violen a way livin. elevat self boo and get on @user level for longev! #QUEEN👑
