Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
@user Bono... who cares. Soon people will understand that they gain nothing from following a phony celebrity. Become a Leader of your people instead or help and support your fellow countrymen.,non-offensive,@user be a leader of your people instead or help and support your fellow countrymen.,Bono who cares people understand gain nothing phony celebrity Leader people help fellow countrymen,leader people instead help fellow countrymen,@us bono who care soon peopl will understan that thei gain nothin from follo a phony celebriti become a leder of your peopl instea or help and support your felo countiman.,Bono who care people understod gain nothng phony celebrity Leader people help fellow countryman
@user Get him some line help. He is gonna be just fine. As the game went on you could see him progressing more with his reads. He brought what has been missing. The deep ball presence. Now he just needs a little more time,non-offensive,@user Get him some line help. He be go just fine. As the game go on you can see him progress more with his read. He bring what have be missing. The deep ball presence. Now he just need a little more time.,@user help. fine. game on him progressing reads. brought missing. deep ball presence. time.,@user Get him help. He go fine. As game on you see him progress with read. He bring missing. Deep ball presence. Now he need time.,@user Get him some help. He is gonna be fine. As the game went on you could see him progress more with his reads. He brought what has been missing. The deep ball presence. Now he just needs a little more time.,@user help. fine. game on him prog. reads. brought miss. ball pres. time.
@user @user She is great. Hi Fiona!,non-offensive,@user @user She be great. Hi Fiona!,She great Fiona,great. Hi Fiona.,@us @us sh is grt. hi fiona.,She great Fiona
"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user This is the VetsResistSquadron"""" is Bullshit.. They are girl scout veterans, I have never met any other veterans or served with anyone that was a gun control advocate? Have you?""""",non-offensive,"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user This be the VetsResistSquadron is Bullshit.. They be girl scout veteran, I have never meet any other veteran or serve with anyone that was gun control advocate. Have you?",VetsResistSquadron Bullshit.. girl scout veterans gun control advocate,VetsResistSquadron Bullshit They girl scout veteran I never meet veteran serve anyone gun control advocate,@us @us @us @us @us @us @us @us @us @us @us @us @us @us This is the VetsResistSquad @stem is Bullshit.. They ar @stem girl scout veteran @stem I hav @stem met any oth @stem veteran @stem or serv @stem with anyon @stem was @stem gun control advocat @stem Hav @stem?,vetresist squad bullshits girlscout veter v guncontrol advocat
@user @user Lol. Except he’s the most successful president in our lifetimes. He’s undone most of the damage Obummer did and set America on the right path again. #MAGA,non-offensive,@user @user laugh. Except he be the most successful president in our lifetimes. He be undo most of the damage Obama do and set America on the right path again. #MAGA,Lol. successful president lifetimes undone damage America path.,"'laugh','successful', 'president', 'lifetimes', 'damage', 'undo', 'America', 'right', 'path'",@user @user Lol. Except he's the most successest president in our lifetimes. He's undone most of the damage Obummer did and set America on the right path again. #MAGA,Lol. success presid lifetimes undone damag Americ path.
@user Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics?,non-offensive, '@user be a Willie fan since before most of you be born....LOVE that he be hold a rally with Beto.... Exactly which fan be furious?  Could you give some specific?',Willie fan since most born.... LOVE rally Beto....  fans furious?  specifics?,' Willie fan LOVE hold rally Beto furious specific Willie fan LOVE hold rally Beto furious specific',@us been a willie fan since before most of you were born....love that he is holding a rally with beto.... exactly which fan be furious could you give some specif.,willie fan since most born.... love rally beto.... fans furious specifics
@user Here's a link to my channel with a plethora of topics to peruse:,non-offensive,"
@user Here be a link to my channel with a plethora of topic to peruse:
@user Here's a link to my channel with a plethora of topics to peruse: 
 ",@user channel plethora topics,@user link channel plethora topic peruse,@user here's a link to my channl with a pler of topis to peruse:,@user channel topic
@user Friend ordered 100 pair of Levi’s and then called to cancel! Over Gun control! Wow getting wild!,non-offensive,"@user friend order 100 pair of Levi's and then call to cancel 
over gun control 
wow get wild",@user Friend ordered 100 pair Levi's called cancel! Gun control! getting wild!,friend pair Levi's cancel gun control wild,@user friend order 100 pair of levi and then call to cance! over gun controll! wow get wild!,@user friend order 100 pair levi stem cancel gun control get wild
@user @user Lmfaoooooo,non-offensive,@user @user laugh,@user Lmfaoooooo,@user laugh,@us @us,@us Lmfao
@user Goodell should have been fired over a year ago. Looks like the owners will let him steer the ship right into the iceberg. Oh well.,non-offensive,@user Goodell be have be fired over a year ago. Look like the owner will let him steer the ship right into the iceberg. Oh well.,@user Goodell fired year ago iceberg steer ship,@user Goodell fired over a year ago. Look like owner let him steer into iceberg. Oh well.,@user Goodell should hav been fir over a year ago. Look lik the owner will let him steer the ship right into the iceberg. Oh wel.,@user goodell fired year ago iceber * steer ship
@user @user This is a common message from liberals and Democrats.   Remember Nancy Pelosi we have to approve the health care package -Obama care and then we’ll see what’s in it afterwards🤔,non-offensive,"Remember Nancy Pelosi we have to approve the health care package -Obama care and then we’ll see what be in it afterwards.
@user @user This be a common message from liberal and Democrat. ",common message liberals Democrats approve health care package Obama care see afterwards,"Nancy Pelosi approve health care Obama care afterwards.
@user This common message liberal Democrat ",@us @us This is a common messag from liber and democrat.  Remember Nancy Pelosi we have to approv the health car packag -Obam car and then we'll see what's in it afterwar.,common messag liberal Democrat approv health car packag Obama car see afterwar
@user @user You mean the way Hillary re-victimized all of Bills accusers?,non-offensive,@user @user you mean the way hillary re-victimize all of bill's accuser,re-victimized accusers,hillary re-victimize bill's accuser,"
@us @us you mean the way hilary re-victimise all of bill's accus
 version:
@us @us you mean the way hilary re-victimised all of bill's accus ",victimized
GREAT COMEDY THERE CNN - NEWS?  NOT SO MUCH!  #MAGA!  #LICENSEREPORTERS!,non-offensive,great comedy there CNN - news?  not so much  #make America great again  #license reporters,GREAT COMEDY CNN NEWS  #MAGA!  #LICENSEREPORTERS!,great comedy CNN news  #make America again  #license reporters,"not so much 
#licensereporters
#maga 
great comedy there cnn - news ",great comedy news  #maga  #licensereporters
@user You are so fragile. It must be hard to live that way.,non-offensive,@user you be so fragile. it must be hard to live that way.,fragile live,@user be fragile. must hard live that way.,@user you are so fragil. it must be hard to liv that way.,live
@user Freudian slip.,non-offensive,@user be slip.,@user Freudian slip.,be slip.,@user Freudian slip.,@user freudian slip.
@user He is so underrated and I love how pure he is as a person,non-offensive,@user he be so underrated and i love how pure he be as a person,@user underrated love pure,@user underrated love pure,@user he is so underrate and i love how pure he is as a person,@user underrate love pure
@user Haha we set then 😂,non-offensive,@user haha we set then,@user Haha we set 😂,haha set,"@us 
set 
then
we ",@user Haha we set
@user he is a psychic ain’t he,non-offensive,@user he be a psychic ain't he,@user psychic ain't,@user psychic,"@user he is a psychic ain't he
 version: ","@user psychi ain't
 to "
@user I am stunned that you are giving this guy airtime. Stunned.,non-offensive,@user I be stunned that you give this guy airtime. Stunned.,@user stunned giving guy airtime.,stunned guy airtime,@user i am stun that you are give this guy airtime. stun.,@user stun giving guy airtime.
@user She Wants Gun Control? Figures,non-offensive,@user She want control. Figures.,Wants Gun Control Figures,She want control.,@user She Want Gun Control? Figure,want controll figure
@user @user @user Didn't see him matching with antifa tbh,non-offensive,@user @user @user did not see him match with antifa tbh,@user Didn't see him matching with antifa,match antifa,@user @user @user didnt see him match with antifa tbh,@user Didnt see him match with antifa
@user @user @user And conservatives are no longer conservatives why do you think Maxime Bernier has started a new party that will follow original Conservative values.,non-offensive,@user @user @user And conservative be no longer conservative why do you think Maxime Bernier have start new party that will follow original conservative value.,@user Maxime Bernier started a new party that will follow original values.,Maxime Bernier start party original conservative value.,@user @user @user And conservat *  are no longer conservat *  why do you think Maxime Bernier has started a new part *  that will follow origin *  conservat *  valu *.,@user maxim start new parti that will follow origin valu.
@user @user @user Can you let him know?,non-offensive,@user @user @user can you let him know,@user @user @user know,@user @user @user can him know,@us @us @us Can you let him know?,@us @us @us know
