filename,column,perc_correct_lemmas
cardiffnlp_portuguese_test_Llama-3.1-8B-Instruct_en-prompt_,Text_lemmatized,0.6104
cardiffnlp_portuguese_test_Llama-3.1-8B-Instruct_pt-prompt_,Text_lemmatized,0.6182
cardiffnlp_portuguese_test_Phi-4-mini-instruct_en-prompt_,Text_lemmatized,0.7025
cardiffnlp_portuguese_test_Phi-4-mini-instruct_pt-prompt_,Text_lemmatized,0.6891
cardiffnlp_portuguese_test_Qwen2.5-7B-Instruct_en-prompt_,Text_lemmatized,0.7024
cardiffnlp_portuguese_test_Qwen2.5-7B-Instruct_pt-prompt_,Text_lemmatized,0.6887
cardiffnlp_portuguese_test_gemma-2-9b-it_en-prompt_,Text_lemmatized,0.6612
cardiffnlp_portuguese_test_gemma-2-9b-it_pt-prompt_,Text_lemmatized,0.6037
cardiffnlp_portuguese_test_gemma-3-4b-it_en-prompt_,Text_lemmatized,0.6472
cardiffnlp_portuguese_test_gemma-3-4b-it_pt-prompt_,Text_lemmatized,0.6179
cardiffnlp_portuguese_train_Llama-3.1-8B-Instruct_en-prompt_,Text_lemmatized,0.6257
cardiffnlp_portuguese_train_Llama-3.1-8B-Instruct_pt-prompt_,Text_lemmatized,0.6250
cardiffnlp_portuguese_train_Phi-4-mini-instruct_en-prompt_,Text_lemmatized,0.7058
cardiffnlp_portuguese_train_Phi-4-mini-instruct_pt-prompt_,Text_lemmatized,0.6894
cardiffnlp_portuguese_train_Qwen2.5-7B-Instruct_en-prompt_,Text_lemmatized,0.7009
cardiffnlp_portuguese_train_Qwen2.5-7B-Instruct_pt-prompt_,Text_lemmatized,0.6917
cardiffnlp_portuguese_train_gemma-2-9b-it_en-prompt_,Text_lemmatized,0.6477
cardiffnlp_portuguese_train_gemma-2-9b-it_pt-prompt_,Text_lemmatized,0.5966
cardiffnlp_portuguese_train_gemma-3-4b-it_en-prompt_,Text_lemmatized,0.6368
cardiffnlp_portuguese_train_gemma-3-4b-it_pt-prompt_,Text_lemmatized,0.6177
