Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
"New phone for mom (at @user in Albuquerque, NM)",smiling face with hearteyes,"new phone for mom (at @user in Albuquerque, NM)",New phone mom @user Albuquerque NM,new phone mom @user Albuquerque NM,"new phone mom (at @user in Albuquerque, NM)",new phone mom @user Albuquerque NM
Today was chest day but for some reason I find myself easily distracted. hdenisedelay #wifey,smiling face with hearteyes,Today was chest day but for some reason I find myself easily distracted. hdenizedelay #wifey.,chest day but for some reason I find myself easily distracted. hdenisedelay #wifey,chest day but for some reason I find myself easily distracted. hdenizedelay #wifey.,Today was chest day but for some reason I find myself easily distracted. hdenized delay #wifey.,chest day but for some reason I find myself easily distracted. hdenized delay #wifey
My new live in chef is familiarizing himself with his new kitchen jcordoba81 #purehappiness,smiling face with hearteyes,my new live in chef is familiarizing himself with his new kitchen joy #purehappiness,'new live chef familiarizing himself kitchen jcordoba81 #purehappiness','new live in chef familiarizing himself kitchen joy #purehappiness',my new live in chef is familiarizing himself with his new kitchen joybada #purehappiness,new live chef familiarizing himself kitchen jcordoba81 #purehappiness
Our second favorite spot #statepark #fall #autumn #newyork @ Heckscher State Park,smiling face with hearteyes,our second favorite spot statepark fall autumn newyork @ Heckscher State Park,#statepark #fall #autumn #newyork @Heckscher State Park,'favorite spot statepark fall autumn newyork @ Heckscher State Park',our second favorite spot statepark fall autumn newyork @ Heckscher State Park,statepark fall autumn newyork Heckscher state park
Ommmmgggg guys!!!! Chickpea Nuggets!!!! Vegan childhood complete (and I threw in some,smiling face with hearteyes,'mmmmgggg guys!!!! chickpea nuggets!!!! vegan childhood complete (and I threw in some',Ommmmgggg guys!!!! Chickpea Nuggets!!!! Vegan childhood complete (and I threw in some,'mmmgggg guys!!!! chickpea nuggets!!!! vegan childhood complete (and I threw in some',omgg guys veg nugget veg child complete (and I threw in some),omgg guys veg nugget veg child complete (and I threw in some)
Um. 2 bravoleberities in one night? #summerhouse #rhod #dallas #nyc #bravotv @ Industry Bar,smiling face with hearteyes,bravoleberities in one night? #summerhouse #rhod #dallas #nyc #bravotv @ Industry Bar,bravoleberities night summerhouse rhod dallas nyc bravotv Industry Bar,bravoleberities one night? summerhouse rhod Dallas NYC bravotv Industry Bar,bravoleberities bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol bravolebravol,bravoleberities night summerhouse rhod dallas nyc bravotv industry bar
"An entire restaurant, dedicated to mac n cheese @ macbar",smiling face with hearteyes,entire restaurant dedicated mac n cheese @ macbar,'entire restaurant dedicated mac n cheese macbar',entire restaurant dedicated mac n cheese @ macbar,entire restaurant dedicated mac n cheese macbar,entire restaurant dedicated mac n cheese macbar
Sunset above Lake Michigan @ Maryland,smiling face with hearteyes,sunset above lake michigan at maryland,Sunset Lake Michigan Maryland,sunset lake michigan maryland,sunset above lake michigan at maryland,sunset lake michigan maryland
"my side dish! @ College Station, Texas",smiling face with hearteyes,"my side dish! @ College Station, Texas.","my side dish! @ College Station, Texas","my side dish! @ College Station, Texas.","side dish! @ College Station, Texas","side dish! @ College Station, Texas"
"Drummer dude #mommysonlyson @ Beaumont, Texas",smiling face with hearteyes,drummer dude mommysonlyson Beaumont Texas,"Drummer dude #mommysonlyson @ Beaumont, Texas",drummer dude mommysonlyson Beaumont Texas,drummer dude mommysonlyson Beaumont Texas,drummer dude mommysonlyson Beaumont Texas
