Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
"A Fukushima, la radioactivité met à mal la biodiversité et les oiseaux: http",0,"a f Fukushima, radiactivite mettre a mal biodiversite et oiseau: http",Fukushima radioactivité biodiversité oiseaux,Fukushima radiactivite mettre mal biodiversite oiseau,"A Fukushima, la radiactivit met à mal la biodiversit et les oisiv: http",Fukushima radiaiosit biodivsio oisio
Biodiversité et développement durable : la petite histoire verte du campus http @user,1,biodiversite et developpement dur : la petite histoire verte du campus,biodphrétvélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélél,biodiversite developpement dur petite histoire verte campus,Biodiversit Develop Durabil Vert Campus,biodphefrélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélélél
Des aides du #gouvernement pour des #logements plus #écologiques. -- http,2,des aider gouvernement pour des logement plus écologique.,aides gouvernement logements écologiques,aider gouvernement logement plus écologique,Des aide du gouvernement pour des logement plus écologique.,aide gouvernement logement écologique
"#fabius : ""nous sommes là 1e génération à prendre conscience du changement climatique et nous sommes la dernière à pouvoir agir""",0,"#fabius : ""nous être là 1e génération à prendre conscience changement climatique et nous être dernière à pouvoir agir""","fabius : ""sommes génération à prendre conscience changement climatique et sommes dernière à pouvoir agir""","#fabius : ""nous 1e génération à prendre conscience changement climatique et nous dernière à pouvoir agir""","#fab : ""nous somm 1e genn 1e pren conçu chng clmat et nous somm la dern pouv agir"".","fabius : ""somme génération à prendre conscience changement et sommes dernière à pouvoir agir""."
Des arbres sur des maisons écologiques à Ho-Chi-Minh-Ville au Vietnam - http via @user,1,des arbre sur des maison écologique à ho-chi-minh-ville au vietnam - http via @user,arbres maisons écologiques Ho-Chih-Minh-Ville Vietnam http user,arbre maison écologique ho-chi-minh-ville vietnam,Des arbre sur des maison écologique à Ho-Chi-Minh-Ville au Vietnam - http via @user,arbre maison écologique Ho Chi Minh Ville Vietnam utilisateur
"Grâce au nouveau pack étudiant, #Github souhaite initier les jeunes développeurs à leur écosystème. #Malin le chat! http",2,"grâce au nouveau pack étudiant, github souhaiter initier les jeune developper à leur écosystème. malin le chat!",Github souhaite initier jeunes développeurs écosystème Malin chat,grace nouveau pack étudiant github souhaiter initier jeune developper leur écosystème malin chat,"Grâce au nouveau pack étudiant, #Github souhaite initier les jeunes développeur à leur écosystème. #Malin le chat! http",Github souhait initier jeune developp ecosyste malin chat
#climat Ceux qui ont peur du réchauffement consomment plus d'électricité que les sceptiques !  via @user http,0,#climat ceux avoir peur réchauffement consommer plus électricité que sceptique!,#climat ceux peur réchauffement consomment plus électricité que sceptiques,climat peur réchauffement consommer électricité sceptique,#climat Celui qui a peur du réchauffement consomme plus d'électricité que celui qui doute!  via @user http,#climat peur réchauffement consomme plus électricité que sceptique
@user @user @user  je caille … je grelotte les éoliennes à coté de chez moi …. ne tournent pas depuis 5 jours …,1,@user @user @user je crier … je trembler les éolien à coté de chez moi …. ne tourner pas depuis 5 jour ….,caille grelotte éoliennes coté chez moi tournent,je crier trembler éolien chez moi ne tourner pas depuis 5 jour,je cai je grlot eoli ne turn nep tôt,caille grelotte oléolienne coté chez moi tourn
Cameroun RDC Guinée Éthiopie &amp; Ouganda peuvent produire suffisamment d’énergie hydroélectrique de l'#Afrique @user http,2,Cameroun RDC Guinée Éthiopie & Ouganda pouv produceduire suffisamment d'énergie hydroélectrique de l'Afrique @user,Cameroun RDC Guinée Éthiopie Ouganda produire suffisamment énergie hydroélectrique Afrique,Cameroun RDC Guinée Éthiopie Ouganda produceduire suffisamment énergie hydroélectrique Afrique,Cameroun RDC Guinée Éthiopie & Ouganda peuvent produire suffisamment d'énergie hydroélectrique de l#Afrique @user http,Cameroun RDC Guinée Éthiopie Ouganda produire suffisamment énergi hydroélectri Afrique
"Subsides aux énergies renouvelables décapités: après l'Allemagne, au tour de l'Italie via @user",0,"subsister énergie renouvelable décaper: après allemand, au tour italie via @user","Subsides énergies renouvelables décapités: après Allemagne, tour Italie via @user",subsister énergie renouvelable décaper après tour italie via,"Subsidium energetibus renovablibus decapitatum: after allacania, au tour italiæ via @user","Subsidium energi renouvelbil decapit: apr Alemanie, tour Italie"
