,Text,Label
1,"""Ben Smith / Smith (concussion) remains out of the lineup Thursday, Curtis #NHL #SJ""",neutral
2,Sorry bout the stream last night I crashed out but will be on tonight for sure. Then back to Minecraft in pc tomorrow night.,neutral
3,Chase Headley's RBI double in the 8th inning off David Price snapped a Yankees streak of 33 consecutive scoreless innings against Blue Jays,neutral
9,@user @user CENA & AJ sitting in a tree K-I-S-S-I-N-G 1st goes AJ's  job then John's cred then goes Vicki with the GM position.,neutral
10,@user Well said on HMW. Can you now address why Texans fans file out of the stadium midway through the 4th qtr of every game?,neutral
11,Just said hello to Dennis Kucinich as he walked casually through campus with his #hotwife. He's on 22nd st!,neutral
14,@user  6 tickets for Sam smith concert  Sept 30 cheap! Flew our family of 6 here fir the concert! BEYOND UPSET!,neutral
15,"""Fiorentina have reportedly opened talks with Chelsea over taking the 20yr old Kurt Zuoma on loan in January.""",neutral
19,What is Jamie Foxx doing sitting next to Niall like you could've sat in a better spot just saying lol,neutral
20,"@user @user 1st uneasyness was when he got v defensive about the Charlie Hebdo stuff, even tho he had pals patiently explaining""",neutral
22,"""Gonna do a movie marathon with my friend today and tomorrow. Twilight, New Moon, Eclipse, BD1, The Runaways, Adventureland, (c)""",neutral
23,Oscars Well makes his debut over fences at Punchestown tomorrow. It looks as though he\u2019ll have Plan A and Darwins Fox to overcome.,neutral
24,Q2 10:30. Philip Rivers pass to Eddie Royal to the San Diego 19 for 7 yards. 3rd & 1.,neutral
25,"@user Work colleague of mine on Thursday night: """"oh, look, they're showing the Bee Gees on video."""" 23-yr old colleague: """"who?""""""",neutral
26,Who's going to get them Gucci foams tomorrow,neutral
29,Ryan Braun returned to the lineup on Wednesday after missing two games with lower back tightness.,neutral
30,"""#Ichiro has nothing. If you want to see hustle: Kenny Lofton, 17 October 1995, scores from second base on a past ball. #GoTribe #ALDS""",neutral
32,Gonna go to the north game tomorrow night. I better see some of you north kiddos,neutral
35,"""last day of august, waiting for frank ocean to pull a beyonce.",neutral
36,#INFO --> Grand opening sharetea bubble tea with @user 2 nov 2012 mall taman anggrek 11:00 - 14:00 * Jadwal ke-1 besok !,neutral
38,Gucci pants himself store january lay open the span thine atomic irruptive concomitant so that cons comburent:...,neutral
39,still not over how Nicki snapped like a 12th grader on their last day of high school,neutral
44,"""TFI Friday doesn't look like it's coming back, as Chris Evans focuses on new-look Top Gear",neutral
45,#np The Way You Make Me Feel - 2012 Remaster by Michael Jackson from the album Bad 25th Anniversary.,neutral
48,#days #dool Tuesday Hope has to pick up Ciara. Rafe wants a real case not just publicity like Justin,neutral
49,Seth Rollins talks &amp; talks every Monday on RAW for about 45 minutes,neutral
52,@user #MLBCentral David Wright crushing a dinger on his first swing since April 14th. I didn't think he would pull a Wilmer Flores!,neutral
54,Anyone want to see Sam smith with me on October 6th?,neutral
56,"""You can't shit talk Kpop. Every group is so in sync and vocally on point. It may not be your thing, but it's talent.""",neutral
57,I hope Milan mom say that she can come over on the 28th,neutral
58,Don\u2019t forget Mitch Daniels is going to be on Steven Colbert\u2019s show Thursday.  Think this will come up as a topic?,neutral
64,Cherie Blair is sat on our coach going to the games! #Olympics2012,neutral
65,continued : Emmanuel Adebayor has not travelled with the squad for our Europa League away tie in Greece tomorrow evening.,neutral
68,"@user Last Wednesday, when I saw you dressed as Robin, all I can think about is ""Who's Batman? Where's the Teen Titans?""",neutral
69,@user Brock lesnar live from madison square garden sounds like it could just be a live feed of him sat on a chair for 3 hours,neutral
70,@user Frank ocean releasing his second album december 31st 2015 on new years eve. heres the interview...,neutral
72,@user SCOTUS based their argument on the 14th. No matter how you stretch it race was not involved.,neutral
74,"""Rahul Gandhi held Indian citizenship from day one: Congress: New Delhi, Nov 18: Dismissing BJP leader Subraman...",neutral
75,"""I'm going to Paramore at Rock Im Park in Nuremburg, Germany - Jun 8",neutral
79,"""Shows how much you can trust drivers answering these questions. Alonso was still saying on Monday that Ferrari split is """"""""just a rumor."""""""" #F1""",neutral
85,"""Church tonight, who will you bring????""",neutral
87,Pics of the March Fourth Marching Band at the Oregon Country Fair closing out the show Sunday night. Their...,neutral
91,The Hitchhiker's Guide to the Galaxy Game - 30th Anniversary Edition Need to sign up with the BBC online.,neutral
93,"""Chuck Close shares his best-kept secrets with @user on the eve of his new show, opening Thursday @user",neutral
97,"Googled the snake I stepped over on the trail Sunday. Baby timber rattler. So time to Google ""snake-proof hiking boots.""",neutral
99,Ricky Ponting and I now have something in common. Today he passed 23\u002c000 1st class runs. Last night at training\u002c i was hit for 23\u002c000 runs.,neutral
100,Ted Nugent talks to us about #hunting and other stuff he\u2019s got on his mind @user this Saturday at 7am on the Great Outdoors\u002c #nuge,neutral
101,Check out Newsha Tavakolian at the Saatchi Gallery in London. Her photos of Iran may interest some of you!,neutral
102,Mansbridge destroyed Justin tonite the polls for the lib's should tank tomorrow! Wake up people he is NOT ready!!,neutral
103,For the ones tomorrow sunday in Milan (Italy): Aperitif and evening at Fiat Open Lounge:,neutral
104,"""J'regarde des infos sur Ragnarok (le film) &amp;bon: """"Thor will make it out of the third movie[..]Loki, on the other hand may not be so Lucky.""""""",neutral
105,"@user Donald trump said the same thing about the tax rate.  Fact check said he was a liar ""pant of fire""",neutral
106,"""If you\u2019re calling this little thing right here a \""""""""party\"""""""" then Friday night\u2019s gonna be Project X\u002c Y\u002c & Z.""",neutral
114,first Hasek now Modano want to come back...who's next Mario Lemieux for the 4th time!,neutral
116,@user how was your day today? Did you enjoy watching softball. We missed you on tiger woods,neutral
117,And to think I wrote this Dustin Johnson Tweet after the second round of the British Open,neutral
118,Just Turned the corner into Ghetto n #Roma 1st thing I saw a group of Muslims! Now that's tourism for ya. It's a sm world after all #peace,neutral
120,Who wants to be my date to the White Sox vs Red Sox game Tuesday,neutral
127,'Frank Ocean' appeared on Sunday 16 at the 11th place in the Top20 of Dallas-Ft. Worth's Trends: #trndnl,neutral
128,"""Also may take years to figure out if the song reaching #1 or John Cena co-opting """"I Can't Feel My Face"""" as his signature tagline is stranger""",neutral
131,Has anyone ever seen @user and Iron Maiden's Bruce Dickinson together in the same room?,neutral
132,Why does everyone want to give Eli Manning credit for every win. The truth is Sunday\u2019s game should have been a blowout.,neutral
134,I think this was the first night of Louis with Briana? (That's not her tho) I saved it on April 17 but I DK,neutral
135,On Monday im going to eat so much you might as well call me Jordan and Ally. Im so fucking hungry.,neutral
136,"""Be prepared to listen about Nicki and Miley tomorrow at school, or maybe Kanye""",neutral
137,@user I just wonder how peter is the 1st pope when the Romans crucified him 200 years before Christianity was legalized in Rome,neutral
138,Sky : Melo and Perisic are set to debut in the Inter shirt against Milan in next Sunday's derby. Icardi is also probable.,neutral
139,"@user You really want to go there? He had a gr8 Milan team from 03 to 06. He finished 1st, 2nd and 2nd to a team that was relegated 4..""",neutral
140,"""Christianity is nothing else but the imitation of God\u2019s nature.  We seek a relationship with God through Jesus ...\""""""""Lord that I may see\"""""""".""",neutral
142,@user big ups SL!!! Copped the 10.5 Gucci's missed out Friday!!!,neutral
147,2nd half about to start. No subs for the Red Stars to begin the half. WNY kicking off. 45 to go....,neutral
151,@user yea I was just thinking that! Btw Reece is going to be in Kyle and Jackie O tomorrow I think.... In the studio,neutral
152,Our paper needs to be turned into blackboard and Google by midnight on friday it needs to be less than 17 % on blackboard!!! #aumrsch,neutral
154,Imagine if this was clashing with tomorrow's Celebrity Big Brother launch though. I'd be so torn.,neutral
155,"""Off to ER, for the Edinburgh Derby, c'mon the Hibs""",neutral
157,Randy Orton is going to be in Lawton tomorrow,neutral
159,Delhi police says report about Sunanda Pushkar's death inconclusive: Delhi Police said Friday the forensic evi...,neutral
162,@user @user Is Wednesday normally Cascades help day? I might want to make a trip at some point before January 21st.,neutral
167,"""Frank Gifford, dies at 84 - The Washington Post. I worked with Frank way back at Wide World of Sports. Class Act. RIP",neutral
170,"""Sumlin says he put Kyler Murray in for Kyle Allen during 1st half as a """"change of pace quarterback."""" That pace: Fast. Murray has some wheels""",neutral
175,"""Go Set a Watchman comes out tomorrow! Do you plan to read it?   I have to reread TKAM first, but then I definitely...",neutral
176,#RAW Aaaaaand Randy Orton becomes the 3rd person ever to pin Rusev. Whoever's booking Rusev should step down or resign.,neutral
181,@user Mate\u002c how are you lads enjoying Andy Carroll over there? Can we have him back in January? We\u2019re a bit desperate!,neutral
182,A future Big Brother might be able to see you in the dark ..,neutral
183,I\u2019m going to Roger Sanchez at Factory in Toronto\u002c Canada - Dec 7,neutral
184,During nap time I will: watch the end of Hart of Dixie\u002c set up Activity Corner for tomorrow\u002c & study more genetics stuff. #hotdiggitydog,neutral
185,@user @user @user I get it. You're like the caster version of Chuck Norris. You're just waiting for @user Championship Sunday,neutral
187,Rousey to fight former boxer - Mixed martial arts star Ronda Rousey said Friday she will face female boxer Holly H...,neutral
188,"""Tomorrow at work, when people talk to me, I'm just going to slap my crotch and twerk in response. See if I get the same reaction Nicki did.""",neutral
190,BIG BANG CONCERT IS TOMORROW. OH MY LORD !! BOO HOO HOOOO )\u2019: *Cries all the 7 seas*,neutral
192,I don\u2019t doubt the 2nd coming will be in Jerusalem AND Missouri\u002c but when is it due?,neutral
195,"""Bryan sophomore Mykenzi Greenler gets by a Redskins defender Wednesday in Port Clinton. The Golden Bears, the No....",neutral
200,"""Nolan Arenado, Kris Bryant, Manny Machado and Miguel Sano are gonna won the 3rd base spot for the next 5-10 seasons""",neutral
202,"""Where's the sun mommy?"" ""It's asleep like you should be"" ""But Harper's a moon mommy""  Dammit kid.",neutral
203,@user Im sure it will replay on NFL network tomorrow too.,neutral
204,iPhone 6s Launch: More Details Leak Ahead of Apple's September 9 Event: iPhone 6s launch on Wednesday is just ...,neutral
209,Naruto is the 10th Nakama and would be the last Strawhat Crew. Just my opinion. Sorry.,neutral
210,Support CEO Keith Bradshaw as he spends a night sleeping at Adelaide Oval on THURSDAY raising money for the homeless,neutral
211,"@user @user yes, download avaiable 30 aug, but after can't play. waiting 1 sep . you read this in PS4  after finish download. good luck""",neutral
213,Rahul Gandhi the kid is planning jail bharo with all his supporters on 19 Dec. Great. The judge will have less trouble arriving at verdict.,neutral
215,@user I'm literally struggling as we speak--I'm traveling in March and I listen to soooo much KPop that it's past time!,neutral
216,Did I just see what I think I did on @user Real Madrid signed a 7th old? #wow,neutral
217,"Honestly, lack of 3rd party support should have been expected. its not the company's fault for not siding with Nintendo",neutral
219,"I started #TheAmericans on Friday courtesy my vacationing cat-owning neighbors with Amazon Prime. Oops. Uh, I'm not paying Amazon myself.",neutral
220,Next sunday I'm going to CiTY Nightclub just to hear @user play.,neutral
223,The Kee to Bala just got Drizzy: Intimate concert in one of greatest venues with rapper @user this Saturday pm in #Muskoka's @user,neutral
224,"@user May favorite one EVER on iOS is Harbaugh, it autocorrects to Garbage",neutral
227,"""Nymburk shouldn't start any more games without floor spacers on the wing position. Need Simmons out there. Raivio 6th man, just fine..""",neutral
228,"""White: UFC not going to Dallas in December, Rousey's next fight in Vegas via @user",neutral
229,@user just sent you a request off the app. I'll get my PS4 on the 15th,neutral
231,Anybody not taking the PSAT want to go to Original House of Pancakes tomorrow morning?,neutral
236,Monday night RAW opens up with Paul Heyman and Brock Lesnar in the ring and Paul calling for a rematch.  Live...,neutral
238,LEAVING ON SUNDAY... But I still have a Jason Aldean ticket for $30!!! Let me know if ya want it,neutral
241,@user fell asleep during Magic Mike XXL.....guess we are just gonna have to rewatch it tomorrow.....daaaarn,neutral
244,@user we just confirmed Nipsey Hussle Dec. 29th @user Hall tix on sale Friday!,neutral
249,just sat in on Bruno Mars interviews,neutral
250,I am gonna Meryl Streep the fuck out of this tomorrow,neutral
255,Just caught the end of TFI Friday. Chris Evans is like the Harold Zidler of Wetherspoons.,neutral
259,@user tbh this game is bunk...I just wanna watch Monday's game with Messi,neutral
260,High point. Ice Cube's son was the mvp of this movie. Whoever played Eazy should get 6th man of the year. Whoever casted Snoop shoot them.,neutral
263,"""This Wednesday, beat the cold front @user with a celebration of George Harrison + The Beatles with Here Comes The Sun! Doors 7:30.""",neutral
264,@user @user @user @user :If she's like Michelle Obama that may not be true?,neutral
265,Randy Orton may be leaving WWE if he doesn't get a part-time deal with them! #WWE,neutral
267,Little blurry but this is the crowd I play for every Thursday at Plan B with Madison\u2019s hottest DJ\u002c Brook Bartels,neutral
270,"Ben Lederman may well end up being the first American to play for Barca but, for the time being, it sounds like he's heading to Florida.",neutral
272,I'm going to orientation naked tomorrow,neutral
273,"""http://t.co/JJVDi4lW Wednesday's Featured Property of the Day is Knollwood Place Apartments, in...",neutral
276,"@user And it's like 1/10th as insane as it was in Dark Souls. I was like """"oh, is that all?"""" lol""",neutral
278,Van Halen and LL Cool J talk about Michael Jackson (LMJ May 3rd 2013) via @user,neutral
279,"""MTA agent to me: \""""This card has been damanged since yesterday morning.\"""" Me: \""""But I used it last night.\"""" MTA: \""""No you didn't.\""""""",neutral
284,I still think they should have let Nicki continue what she was going to say rather then cut her off cuz it may hurt Miley's feelings,neutral
285,"@user I smirked, I promise not to tease you about it tomorrow lol. Same, lots of Bad Blood though.""",neutral
287,@user I keep 2 cells. 2nd one is the lovely Katbonn K9. Available for under 1.5k. Value for money. Feels like old Nokia. Solid battery.,neutral
290,September 8: [More] Justin spotted out and about in New York...,neutral
296,"I saw this during the 1st season of Game of Thrones, so it's not technically their 1st kiss #bb17",neutral
301,My heart hurts I really need to shawn when he goes on my bday to Texas in October I hope I find tickets some how:(,neutral
303,n VOW is likely to return from a midsummer break in the Prix de Royallieu at Longchamp on Saturday.: Trainer Wil...,neutral
305,@user June:) Isn't that the one with the outfits from Styled To Rock?,neutral
310,#Fantasy Recommendation by @user :Jackie #Bradley Jr. While the Red Sox season may b... #Alarm,neutral
311,"""The mantra from Republicans to Democrats today is, 'if you don't like our plan, then where is your plan\""""The mantra from Republicans t...""",neutral
319,"@user is it just me or does \""""""""Danny\"""""""" seem a lot like Billy Crystal in the first 1/3rd of When Harry Met Sally?""",neutral
322,Why would you not want to spend all Sunday at a Youth Soccer turnament? Mequon cup Baby. (4100 W Highland Road 128N),neutral
326,"""Entered the Cape Argus Pick n Pay Cycle Tour happening on Sun, 10 Mar 2013! 12th time, going for that elusive 3h30 with @user",neutral
