Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
estoy hasta el ojete de que me digáis que tengo cara de mala leche,0,estoy hasta ojete de que me digáis tener cara mala leche,cara mala,hasta ojete digáis tener cara mala leche,"estoy hasta el ojete de que me digáis que tengo cara de mala leche  
estoy hasta el ojete de que me digáis que tengo cara de mala leche",cara mal
@user Por?  Tenía pensado verla después de la segunda de Daredevil,1,Por tener pensado verla después de la segunda de Daredevil.,Tenía pensado verla después segunda Daredevil,tener pensado verla segunda Daredevil,@user Por? Tenía pensado verla después de la segund de daredev.,Tenía pensand ver segund daredeville
Esto de estar feliz mola,2,este de estar feliz gustar,esto feliz mola,estar feliz gustar,esto de estar felic mola,este felic mola
Ya no es tan divertido,0,Ya no ser divertido.,ya divertido,Ya no divertido.,Ya no es tan diverti.,ya diverti
"@user te recuerdo que soy una persona que tiene criterio, equivocado, pero lo tengo",1,"te recuerdo que soy una persona que tiene criterio, equivocado, pero lo tengo",recuerdo persona que tiene criterio equivocado pero lo tengo,recuerdo persona tiene criterio equivocado pero tengo,"@user te recuerdo que soy una persona que tiene criterio, erron, pero lo tengo",recuerd persona que ten criterio equivoc pero lo ten
@user @user @user con una pequeña donación hará felices a miles de chicas que no tienen  #asociacionmariloli,2,con una pequeña donación hará felices a miles de chicas que no tienen #asociacionmariloli,con pequeña donación hará felices a miles chicas no tienen #asociacionmariloli,hará felices chicas no tienen,@user @user @user con un pequeñ_donar hará feliz a miles de chica que no tienen  #asociacionmariloli,con pechlla donac hara felices a miles chil no ten #asocimariloli
He probado una nueva espuma para el pelo y sí que lo deja más rizado pero se queda como efecto gomina y no me gusta.,0,He probar una nueva espuma para el pelo y sí que lo deja más rizado pero se queda como efecto goma y no me gusta.,probado nueva espuma pelo sí deja más rizado pero se queda efecto gomina no me gusta,probar nueva espuma pelo sí deja más rizado pero queda efecto goma no me gusta,He probado un nuev espuma p el pelo y s que lo dej m s riz pero se quede c efecto gomin y no me gust.,probad nuevo espum pelo sí dej más rizado pero se quede efect gomin no me gust
@user Ojalá pudiera darte el abrazo en vivo o al menos acompañarte hoy. Siento mucho lo de tu primo,1,ojalá pudir dar abrazo vivo o al menos acompañar hoy. sintir mucho lo de tu primo,Ojalá pudiera dar abrazo vivo o al menos acompañarte hoy. Siento mucho lo primo,ojalá dar abrazo vivo o al menos acompañar hoy sintir mucho lo de primo,@user ojala pudiere dar te el abrazo en vivo o al menos accompaine hoy. siento mucho lo de tu prim,Ojalá pudiera dar abrazo viva o al menos accompianarte hox. Siento mucho lo prim.
@user aquí tienes a mi bae aka una egipcia preciosa que esta aprendiendo español. Os llevareis bien  @user,2,@user aqui tienes a mi bae aka una egipcia preciosa que esta aprendiendo espanol. os llevareis bien @user,@user tienes mi bae aka egipcia preciosa aprendiendo español os llevaréis bien @user,@aqui tienes mi bae aka una egipcia preciosa que esta aprendiendo espanol os llevareis bien @user,@user aq mi bae aka una egiptica preciosa q esta aprendiendo esp. os llevareis bien @user,@user ten mi bae aka egipcia preciosa aprened espagn os llevsar bien @user
"@user ya somos dos, que triste",0,"ya ser dos, que triste",ya somos dos triste,ser dos triste,"@us ya soms d, q trsle",ya somos dos trist
JUAS ahora dicen que la paja se la van a hacer con Tracer y su novia. Porque siempre se puede caer más bajo aún ¿no?,1,juas ahora decir que la paja se la van a hacer con tracer y su novia. porque siempre se puede caer más bajo aún ¿no?,JUAS dicen paja van hacer Tracer novia Porque siempre caer más bajo aún,decir paja hacer tracer novia caer bajo,juar ahora dicen que la paj se la van a hacer con tracer y su novia. porque siempre se puede caer más bajo aún ¿no?,juar decir paja van hacer tracer novio porque siempre caer más bajo aún
#2AñosDeLegiónHolk Llevo como unos 8 meses Talvez menos o mas no sé Me enseñaron y demostraron que LH es algo magico,2,#2AñosDeLegiónHolk Llevo como unos 8 meses Talvez menos o mas no sé Me enseñaron y demostraron que LH es algo magico,#2AñosDeLegíaHolk Llevo 8 meses Me enseñaron y demostraron que LH es algo mágico,#2AñosDeLegíaHolk Llevo 8 meses Me enseñaron y demostraron que LH es algo mágico,#2An DeL Llevo Como Uns 8 Mes Enseñaron Y Demostraron Que LH Es Algo Magic,#2AñosDeLegíaHolk Llev 8 mes Me enseñ y demostr que LH es algo mgico
"🌼 severus snape 🌼  -pobresito  -nunca le odié, me parecía muy estricto e injusto pero sabía que algo pasaba...",0,"🌼 sever snape 🌼  -pobres  -nunca le odie, me parecia muy estrito e injusto pero sabia que algo pasaba...",severussnapenobresitovunecoleiedoigualsabíasalgo,sever snape pobres nunca le odie parecia estrito injusto sabia algo pasaba,"🌼 seve snapp 🌼  -poberit  -nunca le odie, me parecia muy estric e injusto pero sabia que algo pas...",severussnapenoobreitovunecoleieiodigualsebiasalgo
"@user es chevre las letras!! sabes q dia es mañana,....",1,"@user ser chevre letra!! saber que dia ser mañana,....",@user chevre letras!! sabes dia mañana,"@user chevre letra!! saber dia mañana,","@user es chevra letre!! sabes q dia es mañan,...",@user chevre letre!! sabe di mañana
Se echa de menos  #digital #art #life @ Escuela Superior de Arte y Tecnología (ESAT) http,2,Se echar de menos  #digital #art #life @ estar Escuela Superior de Arte y Tecnología (ESAT) http,echa menos digital art life Escuela Superior Arte Tecnología ESAT,echar menos digital art life estar Escuela Superior Arte Tecnología ESAT,Se ech de men #digit #arte #vida @ Ecu Superior de Arte y Tcnolog (ESAT) htttp,ech men digit art lif escuel super arti tecnolog ESAT
"Esta ceniza me tiene harta, me arden los ojos",0,"esta ceniza me tener harto, me arder ojo",ceniza tengo harta ojos arden,ceniza harto arder ojo,"Esta ceniz harto, me ard ojo.",ceniz harto oj arden
