filename,column,perc_correct_stems_Snowball
cardiffnlp_italian_test_Llama-3.1-8B-Instruct_en-prompt_,Text_stemmed,0.3960
cardiffnlp_italian_test_Llama-3.1-8B-Instruct_it-prompt_,Text_stemmed,0.4013
cardiffnlp_italian_test_Phi-4-mini-instruct_en-prompt_,Text_stemmed,0.3863
cardiffnlp_italian_test_Phi-4-mini-instruct_it-prompt_,Text_stemmed,0.3433
cardiffnlp_italian_test_Qwen2.5-7B-Instruct_en-prompt_,Text_stemmed,0.4758
cardiffnlp_italian_test_Qwen2.5-7B-Instruct_it-prompt_,Text_stemmed,0.4636
cardiffnlp_italian_test_gemma-2-9b-it_en-prompt_,Text_stemmed,0.5531
cardiffnlp_italian_test_gemma-2-9b-it_it-prompt_,Text_stemmed,0.4989
cardiffnlp_italian_test_gemma-3-4b-it_en-prompt_,Text_stemmed,0.4624
cardiffnlp_italian_test_gemma-3-4b-it_it-prompt_,Text_stemmed,0.4874
cardiffnlp_italian_train_Llama-3.1-8B-Instruct_en-prompt_,Text_stemmed,0.4005
cardiffnlp_italian_train_Llama-3.1-8B-Instruct_it-prompt_,Text_stemmed,0.4130
cardiffnlp_italian_train_Phi-4-mini-instruct_en-prompt_,Text_stemmed,0.3838
cardiffnlp_italian_train_Phi-4-mini-instruct_it-prompt_,Text_stemmed,0.3393
cardiffnlp_italian_train_Qwen2.5-7B-Instruct_en-prompt_,Text_stemmed,0.4703
cardiffnlp_italian_train_Qwen2.5-7B-Instruct_it-prompt_,Text_stemmed,0.4695
cardiffnlp_italian_train_gemma-2-9b-it_en-prompt_,Text_stemmed,0.5799
cardiffnlp_italian_train_gemma-2-9b-it_it-prompt_,Text_stemmed,0.5182
cardiffnlp_italian_train_gemma-3-4b-it_en-prompt_,Text_stemmed,0.4635
cardiffnlp_italian_train_gemma-3-4b-it_it-prompt_,Text_stemmed,0.4887
