Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
Normal bin ich ja ned der mensch dwer sich beschwert wegen dem essen aber diese Pizza von Joeys...boah wie ekelhaft,0,"Normal bin ich ja nicht der Mensch, der sich beschwert wegen dem Essen, aber diese Pizza von Joey...boah, wie eklig.",Normal bin ich ja der Mensch der sich beschwert wegen dem Essen aber diese Pizza von Joey...boah wie ekelhaft.,"Normal bin Mensch, der sich beschwert wegen Essen, aber Pizza von Joey...boah, wie eklig.",Normal bin ich ja ned der mensch dwer sich beschwert wegen dem essen aber diese Pizza von Joey...boah wie eklaft.,Normal bin ich ja der Mensch der sich beschwert wegen dem Essen aber diese Pizza von Joey...boah wie ekelhaft.
VfB Stuttgart gegen SV Hamburg: Das Warten auf den nächsten Schritt - Stuttgarter Zeitung: DIE WELTVfB Stuttga... http,1,VfB Stuttgart gegen SV Hamburg: das warten auf den nächsten schritt - stuttgarter zeitung: die weltvfb stuttga...,VfB Stuttgart gegen SV Hamburg: Warten auf den nächsten Schritt - Stuttgarter Zeitung: WELTVfB Stuttgart... http,VfB Stuttgart gegen SV Hamburg: warten auf nächsten Schritt - Stuttgarter Zeitung: Weltvfb Stuttgart...,VfB Stuttg gegen SV Hamb: Das Wart auf den nächst Schritt - Stuttg Zeitung: DIE WELTVfB Stuttg,VfB Stt gegen SV Hmbg: Warten auf den nächsten Str - SttZ: WELTVfB Stt... http
@user @user @user @user @user @user @user @user fühlt sich schon so spät an 😚😚😚,2,@user @user @user @user @user @user @user @user fühlt sich schon so spät an,@ fühlt sich schon so spät an,@user fühlt sich schon spät an,@user @user @user fühlt sich schon so spät an,@ fühlt sich schon so spät an
@user glaub ich! XD 30€ sind echt not bad T___T *grübel*,0,@user glaub ich! XD 30€ sind echt not bad T___T *grübel*,@user glaub XD 30€ not bad T___T *grübel*,glaub ich! XD 30€ sind echt not bad T___T *grübel*,@user glaub! XD 30€ sind echt not bad T___T *grübel*,glaub grübel
@user. Diviertete,1,@user. Diviertete,@user Diviertete,@user Diviertete,@user. Diviert.,@user Diviert
"@user @user plopp plopp plopp: frisches Popcorn rüber reich. Coke? klar, kein Thema!",2,"@user @user plopp plopp plopp: frisches @nomen Popcorn @nomen rüber @verb reich. @nomen Coke? @adverb klar, @adverb kein @nomen Thema!'.","@user plopp plopp plopp: frisches Popcorn rüber reich. Coke? klar, kein Thema!","@user plopp plopp plopp: frisches Popcorn rüber reich. Coke? klar, kein Thema!","@user @user plopp plopp plopp: frisches popcorn rüber reich. coke? klar, kein thema!","@user plopp plopp plopp: frisches korngemisch rüber reich. coke? klar, kein thema."
"Ach Scheiss drauf, dann eben nich",0,"Ach Scheiße drauf, dann eben nicht.",Ach Scheiss drauf dann eben nich,Ach Scheiße drauf dann eben nicht.,"Ach schei drauf, dann eben nich",Ach Schei drauf dann eben nich
"RT @user: Was ist das für eine Glaubwürdigkeit, wenn wir sagen wir sind keine Verbotspartei und gleichzeitig Verbote fordern @user…",1,RT @user: was ist für eine glaubwürdigkeit wenn wir sagen wir sind keine verbotspartei und gleichzeitig verbot fordern @user,"Was Glaubwürdigkeit, wenn wir sagen wir keine Verbotspartei und gleichzeitig Verbote fordern @user",was glaubwürdigkeit wenn wir sagen wir keine verbotspartei und gleichzeitig verbot fordern,"RT @user: Was ist d Glaubwürdigkeit, wenn wir sagen wir sind keine VerbPrti und gleichzeitig Verbte fordern @user","Was Glaubwürdigkeit, wenn wir sagen wir keine Verbotspartei und gleichzeitig Verbote fordern @user"
He's so charming. Man muss ihn einfach lieben #samuhaber #tvog,2,er ist so charmant man muss ihn einfach lieben #samuhaber #lieben,He so charming. Man muss ihn einfach lieben #samuhaber #tvog,charmant muss ihn einfach lieben #samuhaber #lieben,'he charm charme lieb lieben #samuhaber #tvog',He so charm. Man muss ihn einf lieben #samuhab #tvo
"Dieses Gefühl, wenn man von Personen enttäuscht wird...",0,Dieses Gefühl wenn man von Personen enttäuscht wird.,Dieses Gefühl wenn man Personen enttäuscht wird,Dies Gefühl wenn man Personen enttäuscht wird.,Dies Gefühl wenn man von Person enttäuscht wird,Dies Gefühl wenn man Person enttäuscht wird
