Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
Normal bin ich ja ned der mensch dwer sich beschwert wegen dem essen aber diese Pizza von Joeys...boah wie ekelhaft,0,normal bin ich ja ned der mensch dwer sich beschweren wegen dem essen aber diese pizza von joey boah wie ekelhaft,Normal bin ich ja boah wie ekelhaft,normal ja ned mensch dwer beschweren Essen aber pizza Joey ekelhaft,normal bin ich ja ned der mensch dwer sich beschwert wegen dem essn aber diese pizz von joey boah wie ekelhaft,normal bin ich ja boah wie ekelhaft
VfB Stuttgart gegen SV Hamburg: Das Warten auf den nächsten Schritt - Stuttgarter Zeitung: DIE WELTVfB Stuttga... http,1,vfb stuttgart gegen sv hamburg: das warten auf den naechsten schritt - stuttgarter zeitung: die weltvfb stuttga...,Stuttgart gegen Hamburg Warten nächsten Schritt Stuttgarter Zeitung WELT Stuttgart,vfb stuttgart gegen sv hamburg warten naechsten schritt stuttgarter zeitung weltvfb,vfb stuttgарт gegen sv hamburg das warten auf dеn nёchtenlich schritt stuttgарт Zeitung die weltvfb stuttgарт...,stutt gegen hamburg warten neste schritt stutt zeit welt stutt
@user @user @user @user @user @user @user @user fühlt sich schon so spät an 😚😚😚,2,@user @user @user @user @user @user @user @user fühlen sich schon so spät an 😚😉😉😉,fühlt sich schon so spät an 😚😊😊,fühlen sich schon so spät an 😚😉😉😉,@user @user @user @user @user @user @user @user fühl spät an 😚😊😊,fühlt sich spät an 😚😊😊
@user glaub ich! XD 30€ sind echt not bad T___T *grübel*,0,@user glaub ich! XD sind echt not bad T___T *grübel*,@user glaub ich! XD not bad T___T grübel,@glaubnotbad,@user glaub ich! xd 30€ sind echt not bad t___t *gruell*,@g ub ich! XD n bd T___T gr ubel
@user. Diviertete,1,@user. diviertet,Diviertete,diviertet,diviert,divert
"@user @user plopp plopp plopp: frisches Popcorn rüber reich. Coke? klar, kein Thema!",2,"@user @user plopp plopp plopp: frisch popcorne rüberreich. coke? klar, kein thema!",@user @user plopp plopp plopp: frisches rüber reich. Coke klar Thema!,@user @user plopp plopp plopp: frisch popcorne rüberreich. coke klar kein thema,"@user @user plopp plopp plopp: frisch pop rüber reich. coke? klar, kein thema!",@user @user plopp plopp plopp: frisch rüber reich. coke klar thema!
"Ach Scheiss drauf, dann eben nich",0,"Ach scheißen drauf, dann eben nicht",Ach Scheiss drauf dann eben,Ach sche drauf dann eben,ach schei drauf dann eben nich,Ach Schei drauf dann eben
"RT @user: Was ist das für eine Glaubwürdigkeit, wenn wir sagen wir sind keine Verbotspartei und gleichzeitig Verbote fordern @user…",1,"RT @user: was ist das für eine glaubwürdigkeit, wenn wir sagen wir sind keine verbotspartei und gleichzeitig verbote fordern @user…",Was Glaubwürdigkeit wenn sagen Verbotspartei gleichzeitig Verbote fordern,RT @user: glaubwürdigkeit sagen verbotsparteit gleichzeitig verbote,was ist das fr eine glaubwürdigkeit wenn wir sagen wir sind nke verbotsparteet und gleichzeitig verbote fordern,Was Glaubwürdig verboten gleichzeit fordern
He's so charming. Man muss ihn einfach lieben #samuhaber #tvog,2,He sein so charman. Man muss ihn einfach lieben.,He charming. muss ihn lieben #samuhaber #tvog,He charman. Man muss ihn einfach lieben.,He's charm. Man muss ihn einfach lieb. #samhaber #tvog,He charm muss ihn lieb #samuhaber #tvog
"Dieses Gefühl, wenn man von Personen enttäuscht wird...",0,"Dieses Gefühl, wenn man von Personen enttäuscht wird....",Dieses Gefühl wenn man Personen enttäuscht wird,Gefühl enttäuscht,dies gefühl wenn man von persn enttstd wird,dieses Gefühl wenn man persn enttäuscht wird
