filename,column,perc_correct_lemmas
cardiffnlp_german_test_Llama-3.1-8B-Instruct_de-prompt_,Text_lemmatized,0.5937
cardiffnlp_german_test_Llama-3.1-8B-Instruct_en-prompt_,Text_lemmatized,0.5772
cardiffnlp_german_test_Phi-4-mini-instruct_de-prompt_,Text_lemmatized,0.5815
cardiffnlp_german_test_Phi-4-mini-instruct_en-prompt_,Text_lemmatized,0.5800
cardiffnlp_german_test_Qwen2.5-7B-Instruct_de-prompt_,Text_lemmatized,0.6446
cardiffnlp_german_test_Qwen2.5-7B-Instruct_en-prompt_,Text_lemmatized,0.6397
cardiffnlp_german_test_gemma-2-9b-it_de-prompt_,Text_lemmatized,0.6450
cardiffnlp_german_test_gemma-2-9b-it_en-prompt_,Text_lemmatized,0.5921
cardiffnlp_german_test_gemma-3-4b-it_de-prompt_,Text_lemmatized,0.6735
cardiffnlp_german_test_gemma-3-4b-it_en-prompt_,Text_lemmatized,0.6448
cardiffnlp_german_train_Llama-3.1-8B-Instruct_de-prompt_,Text_lemmatized,0.6076
cardiffnlp_german_train_Llama-3.1-8B-Instruct_en-prompt_,Text_lemmatized,0.5904
cardiffnlp_german_train_Phi-4-mini-instruct_de-prompt_,Text_lemmatized,0.5965
cardiffnlp_german_train_Phi-4-mini-instruct_en-prompt_,Text_lemmatized,0.5648
cardiffnlp_german_train_Qwen2.5-7B-Instruct_de-prompt_,Text_lemmatized,0.6413
cardiffnlp_german_train_Qwen2.5-7B-Instruct_en-prompt_,Text_lemmatized,0.6572
cardiffnlp_german_train_gemma-2-9b-it_de-prompt_,Text_lemmatized,0.6440
cardiffnlp_german_train_gemma-2-9b-it_en-prompt_,Text_lemmatized,0.6039
cardiffnlp_german_train_gemma-3-4b-it_de-prompt_,Text_lemmatized,0.6807
cardiffnlp_german_train_gemma-3-4b-it_en-prompt_,Text_lemmatized,0.6541
