Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
@user mi fa sbagliare tutte le paroleeeee.,0,@user fare sbagliare tutti la parola,@user paroleeeee,@user sbagliare tutti parola,@user mi fa sbagliare tutte le paroleeee.,@user parole
@user perfetto hai visto poi alla fine anche oggi e passato..,1,@user perfetto hai vedere poi alla fine anche oggi e passare..,perfetto visto finale oggi passato,perfetto vedere poi fine oggi passare..,@user perfett vedere poi poi oggi pass...,perfett fin fin pass
"Rutelli: appoggio al governo #monti, sta lavorando bene #ballarò #osservatoriotivvù",2,"rutello: appoggio al governo #monti, sta lavorare bene #ballarò #osservatorio tivù",Rutelli governo montot ballarò osservatoriotivvù,appoggio governo montt lavorare ballarò osservatorio tivù,"Rutell: appoggio al govern #montt, sta lavor bene #ballar #osservatoriivù",rutell government mont ballar observatori
RT @user: Non legalizzano la #cannabis Ma iper tassano le cartine. Questi sono geni della finanza. #governoletta #proibizionismo,0,Non legalkizzare La #cannabis Ma iper taxano Le cartine. Questi siano gene Della finanza. #governoletta #proibizionismo,RT @user: legalizzano cannabis iper tassano cartine geni finanza governoletta proibizionismo,legalkizzare cannabis iper taxano cartine gene finanza governo proibizionismo,RT @user: Non legalizzan #canabi Ma iper tassan carti. Queste son gene della finanz. #govletta #proibizinismo,RT @user: legalizz lega cannabis tass cart gen finanz gov letta proibizionismo
"@user @user @user c'è da vergognarsi, ha fatto bene a cancellare il suo profilo lol",1,@c'è da vergognarsi ha fare bene a cancellare il suo profilo lol,@c'è da cancellare fattoprofilolol,@c'è da fare bene取消,"@c'è da vergognarsi, ha fatto bene a cancellare il suo profilo lol",@c è da cancella fatto profilo
@user lo so amore grazie..,2,lo sapere amore dire,@user so amore grazie..,sapere amore dire,@user so amore grazie..,@user so amar grazie..
RT @user: Siamo dei falsi. I ragazzi vogliono le ragazze timide e poi stanno con le troie. Le ragazze vogliono i dolci e poi amano con…,0,siamo del falso. ragazzo voler ragazza timido e poi stare con troia. ragazza voler dolce e poi amar con…,S dei falsi. ragazzi vogliono ragazze timide e poi stanno con troie. ragazze vogliono dolci e poi amano con…,del fesso ragazzo voler ragazza timido poi troia ragazza voler dolce poi amar,S user: siume di fals. i ragazz vogli le ragazz timide e poi stanno con le troi. le ragazz vogli i dolc e poi am con,s f falso. ragazz volea ragazz timida e p sta con troia. ragazz volea dolce e p amare con...
in vendita Villa Stupenda a Santo Domingo http,1,in vendita villa stupenda a santo domingo,Villa Stupenda Santo Domingo,vendita villa stupenda Santo Domingo,villa stupenda santo doming,Villa Stupendo Santo Domingo
RT @user: ditemi se non è una delle cose più belle del mondo http,2,ditemi se non è una delle cose più belle del mondo http,ditemi cose belle mondo,diteme cose più belle del mondo,rt @user: dittem se non è una delle cose più belli del mondo http,dimeti cose bel mondo
"Pensioni, la falsa equità di Monti: di Sante Moretti Il governo Monti vuole eliminare il... http",0,"pensione, l'equità falso di monte: di sante moretti il governo monte vuole eliminare il",Pension equità Moretti governo Monte eliminare,pensione equità falso monte sante moretti governo eliminare,"pension, falsa equit di sant moretti gouv monte vuol elimin equit il",Pension equit government mont elimina
RT @user: TROVA LE DIFFERENZE. http,1,TROVARE DIFFERENZA.http,TROVA DIFFERENZE.http,DIFFERENZA,RT @user: TROV LE DIFFERENZE. http,TROV DIFFERENZ.http
GOVERNO MONTI: SODDISFAZIONE PER LA COMPOSIZIONE DEL NUOVO ESECUTIVO http #terni,2,Governo: Soddisfazione Per La Composizione Del Nuovo Esecutivo,GOVERNO MONTI COMPOSIZIONE NUOVO ESECUTIVO,Governo Soddisfazione Composizione Nuovo Esecutivo,GOVERN MONTI: SODDISFAZ PER LA COMPOSIZ DEL NUOVO ESECUTIV http #TERNIN,GOVERN MONTI COMPOSIZI NUOVA ESECUTIV
"Invece di chiedersi perché #Grillo riempie le piazze, tutti pensano solo a dargli del populista!!! Roba da non credere!!!",0,"Invece di chiedersi perché grillo riempie piazza, tutti pensano solo a dargli del populista!!! Roba da non credere!!!",#Grillo riempie piazze populista Roba da non credere,Invece chiedersi perché grillo riempie piazza pensano solo dargli populista Roba da non credere,"Invece di chiedersi perché #Grill riempie le piazze, tutti pensano solo a dargli del popулisti!!! Roba da non credere!!!",#grill riemp piaz populist rob da non credib
\n\t\t\t\tBossi ribadisce: «Aut-aut a Silvio o Formigoni o il governo Monti»\n\t\t\t: «Nessun gioco delle parti:... http,1,"Bossi ribadisce: ""Aut-aut a Silvio o Formigoni o il governo Monti"" : ""Nessun gioco delle parti:...",Bossi ribadisce Aut-aut Silvio Formigoni governo Monti Nessun gioco delle parti,Bossi ribadisce Aut-aut Silvio Formigoni governo Monti Nessun gioco delle parti,"Boss ribaide: ""Aut-aut a Silvio o Formigoni o il governo Monti"" : ""Nessun gioco delle parti:... http'",Boss ribab aut Aut Silvio Formigoni govern Monti Nessun gioco delle parti
Però diciamoci la verità. L'amore alla fine é una cosa di cui non possiamo fare a meno con tutto ciò che porta. Ci fa crescere ogni volta,2,Però dicesi la verità. L'amore alla fine é una cosa di cui non possiamo fare a meno con tutto ciò che porta. Ci fa crescere ogni volta.,Perché amore fine cosa possiamo porti fa crescere,Però verità amore fine cosa faremo porta crescere ogni volte.,Per diciam verità. Amor à fine é una cosa di cui non possiamo fare a meno con tutto ciò che porta. Ci fa cresc every volta.,perch amore fin cosa poss port cresc
"#Grillo vuol fare il #Berlusconi del '94. Sparigliare i partiti e prendere il potere. Ho i brividi, a un tale vichingo preferisco il nulla.",0,"#grillo vuol fare il #berlusconi del '94. sparigliare i partito e prendere il potere. ho i brivido, a un tale vichingo preferisco il nulla.",#Grillo vu fare Berlusconi del '94 Sparigliare partiti prendere potere Ho brividi preferisco nulla,#grillo vu fare berlusconi del '94 sparigliare partito prendere potere ho brivido preferisco nulla,"#grill vuol fare il #berluc del '94. sparigliar i partit e prende il poter. ho i brivid, a un tal vichingo preferisco il nulla.",#grill vu far berluc del '94 sparigli part prendi poter ho brivid preferi nulla
