Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
"""Ben Smith / Smith (concussion) remains out of the lineup Thursday, Curtis #NHL #SJ""",neutral,"Ben Smith / Smith (concussion) remain out of the lineup Thursday, Curtis #NHL #SJ",Ben Smith remains out lineup Thursday Curtis NHL SJ,Ben Smith remain out lineup Thursday Curtis,"Ben Smith / Smith (concuss) remain out lineup Thursday, Curtis NHL SJ",Ben Stm Rms Out Lnl Thursday Curt Nhl Sj
Sorry bout the stream last night I crashed out but will be on tonight for sure. Then back to Minecraft in pc tomorrow night.,neutral,sorry about the stream last night i crash out but will be on tonight for sure then back to minecraft in pc tomorrow night.,Sorry bout stream last night crashed out but will be on tonight for sure. Then back to Minecraft in pc tomorrow night.,sorry stream last night crash out will be on tonight sure back minecraft pc tomorrow night.,sorry bout the streem last night i crasched out but will be on tonight for sure. then back to mc in pc tomorrow night.,sorry bout stream last night crashe but will be on tonight for sure. then back to mc in pc tomorrow night.
Chase Headley's RBI double in the 8th inning off David Price snapped a Yankees streak of 33 consecutive scoreless innings against Blue Jays,neutral,Chase Headley RBI double in the 8th inning off David Price snap a Yankees streak of 33 consecutive scoreless innings against Blue Jays,Chase Headley RBI double 8th inning David Price Yankees streak Blue Jays,Chase Headley RBI double 8th inning David Price Yankees streak Blue Jays,Chas Headley's RBI doubl in the 8th inn off David Pri snap a Yankees str of 33 consec scoreless inn against Blue Jay,Chase Headl RBI doubl 8th inn David Pric Yankees str Blue Jay
@user @user CENA & AJ sitting in a tree K-I-S-S-I-N-G 1st goes AJ's  job then John's cred then goes Vicki with the GM position.,neutral,@user @user sit in a tree kiss 1st go AJ's job then John's cred then go Vicki with the GM position.,CENA AJ sitting tree KISSING 1st goes job then cred then goes Vicki GM position.,sit tree kiss first go AJ job then John cred then go Vicki GM position,@user @user CEN & AJ sittin in a tree KISS 1st goes AJs job then Johns cred then goes Vicki with the GM positoin.,CENAJ sit tree KISS 1st go job then cred then go VICKI GM positio
@user Well said on HMW. Can you now address why Texans fans file out of the stadium midway through the 4th qtr of every game?,neutral,@user say well say hmw. can you now address why texans fan file out of the stadium midway through the 4th qtr of every game?,Well said HMW address Texans fans file out of stadium midway through 4th qtr game,say well say hmw can you now address why texans fan file out of the stadium midway through 4th qtr every game,@user well say on hmw. can you now addr why texan fan fil out of the stad midway thru the 4th qtr of evry game?,Well say HMW addr texan fan file out of stadia midway thro 4th qtr game
Just said hello to Dennis Kucinich as he walked casually through campus with his #hotwife. He's on 22nd st!,neutral,just say hello to dennis kucinich as he walk casually through campus with his hot wife. he be on 22nd st!,said hello Dennis Kucinich walked casually campus hotwife He's 22nd st,say hello Dennis Kucinich walk casually campus wife be 22nd st!,Just say hello to Dennis Kucinich as he walk casuall through campus with his hotwife. He's on 22nd st!,said hello denniss kucinich walked casually campus hotwife hes 22nd st
@user  6 tickets for Sam smith concert  Sept 30 cheap! Flew our family of 6 here fir the concert! BEYOND UPSET!,neutral,@user  ticket for Sam smith concert  Sep upset! Fly our family of 6 here for the concert! BEYOND UPSET!,@userticketsSamsmithconcertSeptcheapflewfamilyconcertBEYONDUPSET,@userticketSamsmithconcertSepupsetFlyfamilyhereconcertBEYONDUPSET,@user  ticke famil conc chea! fli ou family 6 he fir the conc BEYON UPSE!,@userticketsSamsmithconcertSeptcheaphlefamilyconcertBEYONDUPSET
"""Fiorentina have reportedly opened talks with Chelsea over taking the 20yr old Kurt Zuoma on loan in January.""",neutral,Fiorentina have report open talk with Chelsea over take 20 year old Kurt Zuoma on loan in January.,Fiorentina reportedly opened talks Chelsea taking 20yr old Kurt Zuoma loan January,Fiorentina report talk Chelsea take Kurt Zuoma loan January,Fiorenstin have reportin open talk with Chelseain over takin the 20yr old Kurt Zuomain loan in Januari.,Fiorentin report open talk Chelse take 20 yr old Kurt Zom loan Januar
What is Jamie Foxx doing sitting next to Niall like you could've sat in a better spot just saying lol,neutral,What be Jamie Foxx do sitting next to Niall like you could've sit in a better spot just say lol,Jamie Foxx sitting Niall better spot saying lol,Jamie Foxx sitting Niall spot say lol,what is jamie foxx do sit next to niall like u could sat in a better spot just say lol,Jamie sit Niall good spot say lol
"@user @user 1st uneasyness was when he got v defensive about the Charlie Hebdo stuff, even tho he had pals patiently explaining""",neutral,"@user @user 1st uneasiness was when he got very defensive about the Charlie Hebdo stuff, even though he had friends patiently explaining.",@user @user defensive charlie hebdo stuff pals patiently explaining,@user @user defensive Charlie Hebdo stuff friends explaining,"@user @user 1st uneasyness was when he got v defensive about the charlie hebdo stuff, even tho he had pals patiently explain",@user @user defensiv charlihebdo stuf pal patient explain
"""Gonna do a movie marathon with my friend today and tomorrow. Twilight, New Moon, Eclipse, BD1, The Runaways, Adventureland, (c)""",neutral,"gonna do a movie marathon with my friend today and tomorrow. twilight, new moon, eclipse, bd1, the runaways, adventureland, (c)",do movie marathon friend today tomorrow Twilight New Moon Eclipse BD1 The Runaways Adventureland,do movie marathon friend today tomorrow twilight new moon eclipse bd1 runaways adventureland (c),"gonna do movi marath with my frien today and tomorrow. twiligh, new moon, eclips, bd1, the runawa, advanceland, (c)",do movi marath friend today tomorrow twilight new moon eclipse bd1 the runaway adventureland
Oscars Well makes his debut over fences at Punchestown tomorrow. It looks as though he\u2019ll have Plan A and Darwins Fox to overcome.,neutral,Oscar well make his debut over fence at Punchestown tomorrow. It look as though he will have plan and Darwin fox to overcome.,Oscars Well debut fences Punchestown tomorrow looks Plan A Darwins Fox overcome,Oscar debut fence Punchestown tomorrow look plan Darwin fox overcome,Oscar Well make debut over fence at Punchestown tomorrow. It look as though he'll have Plan A and Darwin's Fox to overcom.,Oscar well dep deb fence Punchestown tomor look plan Darw fox overcom
Q2 10:30. Philip Rivers pass to Eddie Royal to the San Diego 19 for 7 yards. 3rd & 1.,neutral,Q2 10:30. Philip pass to Eddie to the San Diego 19 for 7 yard. 3rd & 1.,Philip Rivers pass Eddie Royal San Diego 19 yards 3rd & 1.,Philip pass Eddie San Diego 19 7 yard 3rd 1,Q2 10:30. Philipp pass to Eddie to the San Diego 19 for 7 yard. 3rd & 1.,Philipp pass Eddie Royal San Diego 19 yard 3rd & 1.
"@user Work colleague of mine on Thursday night: """"oh, look, they're showing the Bee Gees on video."""" 23-yr old colleague: """"who?""""""",neutral,"@user work colleague of mine on thursday night: ""oh, look, they show the bee gees on video."" 23-yr old colleague: ""who?""",@user Work colleague Thursday night oh look showing Bee Gees video 23 yr old colleague who,"@user work colleague mine Thursday night ""oh look show bee gees video"" 23 yr old colleague ""who""","@user work colleg colleague thur night: ""oh, look, they show bee gees video."" 23 yr old colleg: ""who?""",@user work colleg Thurs night oh look show Bee Gees video 23 yr old colleg who
Who's going to get them Gucci foams tomorrow,neutral,Who be go get them foam tomorrow,Who going get Gucci foams tomorrow,Who go get them foam tomorrow,Who's goin to get them Gucci foam tomorrow,Who go get Gucci foam tomorrow
Ryan Braun returned to the lineup on Wednesday after missing two games with lower back tightness.,neutral,Ryan return to the lineup on Wednesday after miss two game with lower back tightness.,Ryan Braun returned lineup Wednesday missing games lower back tightness.,Ryan return lineup Wednesday miss game lower back tightness.,Ryan braun return to the line up on wednesd after miss two game with lower back tightn.,Ryan return lineup Wednesday miss game lower back tightness.
"""#Ichiro has nothing. If you want to see hustle: Kenny Lofton, 17 October 1995, scores from second base on a past ball. #GoTribe #ALDS""",neutral,"#ichigo have nothing. if you want to see hustle: kenny lofton, 17 october 1995, score from second base on a past ball. #gotribe #alds","#Ichiro has. If want see hustle: Kenny Lofton, 17 October 1995, scores from second base on past ball. #GoTribe #ALDS","#ichigo have. want see hustle: kenny lofton, october, score second base past ball. #gotribe #alds","#ichir has nthing. if u want t see hustl: kenny lofton, 17 octob scor frst bas on a past ball. #gotrib #alds","#Ichir hav. If want see hust: Kenn Lofton, 17 Oct 1995, scor fr sec bas on pas bal. #GoTri #ALDS"
Gonna go to the north game tomorrow night. I better see some of you north kiddos,neutral,gonna go to the north game tomorrow night. i better see some of you north kid,Gonna go north game tomorrow night better see some north kiddos,gonna go north game tomorrow night better see some you north kid,Gonna go to the north gam tomorrow night. I better see some of you north kid.,Gonna go noth gam tomorr better see some noth kid
"""last day of august, waiting for frank ocean to pull a beyonce.",neutral,"last day of august, waiting for frank ocean to pull a beyonce.",last day august waiting frank ocean pull beyonce,last day august waiting frank ocean pull beyonce,"last day aug, wait frank ocean pull bey.",last day aug wait franc oce pull beyon
#INFO --> Grand opening sharetea bubble tea with @user 2 nov 2012 mall taman anggrek 11:00 - 14:00 * Jadwal ke-1 besok !,neutral,#INFO --> grand open sharetea bubble tea with @user 2 nov 2012 mall taman anggrek 11:00 - 14:00 * jadwal ke-1 besok!,#INFO --> Grand opening sharetea bubble tea mall taman anggrek Jadwal ke-1 besok,#INFO --> open sharetea bubble tea nov 2012 mall taman anggrek jadwal besok!,#INFO --> grand open sharette bubble tea with @user 2 nov 2012 mall taman anggrek 11:00 - 14:00 * jadwal ke-1 besok!,#INFO --> grand open sharette bubble tea mall taman anggrek jadwal ke-1 besok
Gucci pants himself store january lay open the span thine atomic irruptive concomitant so that cons comburent:...,neutral,gucci pant self store january lay open the span thine atomic irruptive concomitant so that cons comburent:...,Gucci pants store january span atomic irruptive concomitant cons comburent:...,gucci pant store january open span atomic irruptive concomitant cons comburent,gucc pant self stor janu lay open span thine atom irrupt concom so that cons combur,Gucci pant store januari atomi irrupt concomit comburent:...
still not over how Nicki snapped like a 12th grader on their last day of high school,neutral,still not over how nicki snap like a 12th grader on their last day of high school,still Nicki snapped 12th grader last day high school,still Nicki snap 12th grader last day high school,still not over how nicki snap like a 12th grader on their last day of high school,still Nicki snap 12th grader last day high schoo
"""TFI Friday doesn't look like it's coming back, as Chris Evans focuses on new-look Top Gear",neutral,"TFI Friday does not look like it come back, as Chris Evans focus on new-look Top Gear",TFI Friday Chris Evans focuses new-look Top Gear,"TFI Friday look come back, Chris Evans focus new-look Top Gear",tfi fri focus new top gear,TFI Friday Chris Ev program new-look Top Gear
#np The Way You Make Me Feel - 2012 Remaster by Michael Jackson from the album Bad 25th Anniversary.,neutral,#np The Way You Make Me Feel - 2012 Remaster by Michael Jackson from the album Bad 25th Anniversary.,#np Way Make Feel 2012 Remaster Michael Jackson album Bad 25th Anniversary,#np Way Make Feel 2012 Remaster Michael Jackson album Bad 25th Anniversary,#np way feel - 2012 remast by michael jackson from album bad 25th anniversary.,#np way make feel 2012 remast michael jackson alb bad 25th anniv
#days #dool Tuesday Hope has to pick up Ciara. Rafe wants a real case not just publicity like Justin,neutral,#day #do Tuesday hope have pick up Ciara. Rafe want case not just publicity like Justin,#days #dool Tuesday Hope pick up Ciara Rafe wants real case publicity Justin,#day #do Tuesday hope pick up Ciara. Rafe want case just publicity like Justin,#day #dool tuesday hope have to pick ciara. rafe want real case not just public like justin,#day #dool Tues hope pick up Ciara raf want real case pub Justin
Seth Rollins talks &amp; talks every Monday on RAW for about 45 minutes,neutral,Seth Rollins talk every Monday on RAW for about 45 minute,Seth Rollins talks talks Monday RAW 45 minutes,Seth Rollins talk RAW Monday 45 minute,Seth talk every Monday on RAW for about 45 minute,Seth talk Monday RAW 45 minute
@user #MLBCentral David Wright crushing a dinger on his first swing since April 14th. I didn't think he would pull a Wilmer Flores!,neutral,@user #MLBCentral David crush a dinger on his first swing since April 14th. I not think he would pull a Wilmer Flores!,David Wright crushing dinger first swing April 14th thought Wilmer Flores,David crush dinger first swing April 14th think Wilmer Flores,@user #MLBCentr al Wrig ht crush ing a d inge ron h is firs t swi ng sinc e Apr il 14 th. I d idn't thi nk h e woul d pull a Wilmr Flo r s!,David Wright crush dinger first swing April thought Wilmer Flores
Anyone want to see Sam smith with me on October 6th?,neutral,Any want see Samsmith with me on October sixth?,Anyone want see Sam smith October 6th?,want see Samsmith,Anywant see Sam smi with me on Octob 6th?,Anywant se Sam smi Octobr 6th?
"""You can't shit talk Kpop. Every group is so in sync and vocally on point. It may not be your thing, but it's talent.""",neutral,"You can shit talk Kpop. Every group is so in sync and vocal on point. It may not be your thing, but it is talent.",shit talk Kpop group sync vocally talent,shit talk Kpop group sync vocal talent,"you can't shittalk kpop. every group is so insync and vocal on point. it may not be your thing, but it's talent.",shit talk Kpop group sync vocal talent
I hope Milan mom say that she can come over on the 28th,neutral,I hope Milan mom say that she can come over on the 28th,I hope Milan mom say that she can come over on 28th,I hope Milan mom say that she can come over 28th,I hope Milam mom say that she can come over on the 28th,I hope Milam mom say that she can come over on 28th
Don\u2019t forget Mitch Daniels is going to be on Steven Colbert\u2019s show Thursday.  Think this will come up as a topic?,neutral,do not forget be go to be on think will come up as a topic,Mitch Daniels Steven Colbert's show Thursday Think topic,forget be go be on think will come up,don't forget daniell be on colbe show thurs.  think this will come up as a topic?, Mitch Dan Steven Colb's sh Thu Think top
Cherie Blair is sat on our coach going to the games! #Olympics2012,neutral,Cherie Blair be sit on our coach go to the game! #Olympics2012,Cherie Blair sat coach going games! #Olympics2012,Cherie Blair sit coach game Olympics2012,Cheriblair is sat on our couch going to the game! #Olympic2012,Cherie Blair sat coache goin game! #Olympic2012
continued : Emmanuel Adebayor has not travelled with the squad for our Europa League away tie in Greece tomorrow evening.,neutral,continued : Emmanuel Adebayor have not travel with the squad for our Europa League away tie in Greece tomorrow evening.,Emmanuel Adebayor travelled Europa League away tie Greece tomorrow evening.,Emmanuel Adebayor travel Europa League away tie Greece tomorrow evening.,continued : emmanuël adebayor has not travel with the squad for our europaleague away tie in greece tomorrow evening.,Emmanuellaadebro travell eurolaue away ti greec tomorrow evenin
"@user Last Wednesday, when I saw you dressed as Robin, all I can think about is ""Who's Batman? Where's the Teen Titans?""",neutral,"@user last wednesday, when i see you dress as robin, all i can think is who be batman, where be teen titans","Last Wednesday saw dressed Robin think ""Who's Batman? Where's Teen Titans?""",@user wednesday see dress robin think batman teen titans,"@user last wednesd ay, when i saw y ou dress as robb, all i can think ab out is who's batman? where's the teen titans?",Last Wednesd see Robi think Who Batman Teen Titan
@user Brock lesnar live from madison square garden sounds like it could just be a live feed of him sat on a chair for 3 hours,neutral,@user Brock lesnar live from madison square garden sounds like it could just be a live feed of him sit on a chair for 3 hours,Brock lesnar live Madison Square Garden sounds could just be live feed sat chair hours,@user Brock lesnar live Madison Square Garden sounds could just be live feed sit chair hours,@user brock lesnar live from madison square garden sounds like it could just be a live feed of him sat on a chair for 3 hour,brok live madison squar garden sound could just be live feed sat chair hour
@user Frank ocean releasing his second album december 31st 2015 on new years eve. heres the interview...,neutral,@user Frank release his second album december 31st 2015 on new year's eve. here the interview...,Frank ocean releasing second album december 31st 2015 new years eve heres interview,Frank release second album december 31st 2015 new year's eve interview,@user frank ocean releas second album decembe 31st 2015 on new yeare eva. heres the intervie...,frank ocean releas second album decemb rst 2015 new year ev heres interwiev
@user SCOTUS based their argument on the 14th. No matter how you stretch it race was not involved.,neutral,@user supreme court base their argument on the fourteenth. no matter how you stretch it race be not involve.,@user SCOTUS argument 14th stretch race involved,@user supreme court argument fourteenth matter stretch race involve,@user SCOTUS bas their argum on the 14th. No mat ter how you stretc it rac was not involv.,@user SCOTUS argumen 14th strett rac involv
"""Rahul Gandhi held Indian citizenship from day one: Congress: New Delhi, Nov 18: Dismissing BJP leader Subraman...",neutral,"Rahul Gandhi hold Indian citizenship from day one: Congress: New Delhi, Nov 18: dismiss BJP leader Subraman...",Rahul Gandhi held Indian citizenship day one Congress New Delhi Nov 18 Dismissing BJP leader Subraman,Rahul Gandhi hold Indian citizenship day one Congress New Delhi Nov 18 dismiss BJP leader Subraman,"Rahul Gandhi hold India citizenship from day one: Congress: New Delhi, Nov 18: dismiss BJP leader subrama...",Rahul Gandhi hold India citizenship day one Congress New Delhi Nov dismiss BJP leader subrama
"""I'm going to Paramore at Rock Im Park in Nuremburg, Germany - Jun 8",neutral,"I go to Paramore at Rock Im Park in Nuremburg, Germany - Jun 8",going Paramore Rock Im Park Nuremburg Germany Jun 8,I Paramore Rock Im Park Nuremburg Germany Jun 8,I go Param Rock Im Par Nuremberg Germany - Jun 8,going paramore rock im park nuremberg germany jun 8
"""Shows how much you can trust drivers answering these questions. Alonso was still saying on Monday that Ferrari split is """"""""just a rumor."""""""" #F1""",neutral,Show how much you can trust driver answer these question. Alonso was still say on Monday that Ferrari split is just a rumor. #F1,Shows trust drivers answering questions Alonso still saying Monday Ferrari split rumor F1,Show trust driver answer question. Alonso still say Monday Ferrari split just rumor. #F1,Shows show much you can trus driver answer this question. Alonso still say on Monday Ferrari split is just a rumour. #F1,Shows trus driv answe question Alonso stil say Mon Ferr split rumour F1
"""Church tonight, who will you bring????""",neutral,church tonight who will you bring,"Church tonight, bring",church tonight bring,churc tonight who will you brin????,"Churc tonight, brin"
Pics of the March Fourth Marching Band at the Oregon Country Fair closing out the show Sunday night. Their...,neutral,Pics of the March Fourth March Band at the Oregon Country Fair closing out the show Sunday night. Their...,March Fourth Marching Band Oregon Country Fair closing out show,March Fourth March Band closing out show Sunday night,Pics o f th Mar Fth Mar Band at th Ore Ctry Fair clos out th shw Sun n. Thir...,March March March Band Ore Country Fair closing out show
The Hitchhiker's Guide to the Galaxy Game - 30th Anniversary Edition Need to sign up with the BBC online.,neutral,The Hitchhiker's Guide To The Galaxy Game - 30th Anniversary Edition Need To Sign Up With The BBC Online.,Hitchhiker's Guide Galaxy Game 30th Anniversary Edition Sign up BBC online.,Hitchhiker's Guide Galaxy Game 30th Anniversary Edition Need Sign Up BBC Online,The Hitchhikr's Gudie t2g t2e Galx Game - 30th Anniv Ed - nd t2 sgn up w2t bbc onln.,Hitchhikr's Gyl Game 30th Anniv Ed Sign up BBC onlin.
