Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
@user Can U Help?||More conservatives needed on #TSU + get paid 4 posting stuff like this!||YOU $ can go to,non irony,@user can u help more conservative needed on tsu get paid for posting stuff like this you can go,@user Help More conservatives needed TSU get paid posting stuff YOU can go,@user help conservative needed tsu get paid posting stuff this you can go,@user can u help||more conservat need on #tsu + get pay 4 post stuff like this||you $ can go to,@user help conserv need tsu get pay post stuff you can go
"Just walked in to #Starbucks and asked for a ""tall blonde"" Hahahaha #irony",irony,Just walk in to Starbucks and ask for a tall blonde Hahahaha irony,Just walked Starbucks asked tall blonde Hahahaha irony,walk Starbucks ask tall blonde Hahahaha irony,Just walk in to Starbucks and ask for a tall blonde Hahahaha iron,Just walk Starbuck ask tall blond iron
#NOT GONNA WIN,non irony,#NOT GO WIN,# Gonna Win,#GOWIN,#NO-GONN WIN,# Gonna Win
@user He is exactly that sort of person. Weirdo!,non irony,@user he be exact that sort of person. weirdo!,@user exactly person Weirdo!,he exact sort person weirdo!,@user he be exact that sort person. weido!,@user persn wrd!
So much #sarcasm at work mate 10/10 #boring 100% #dead mate full on #shit absolutely #sleeping mate can't handle the #sarcasm,irony,so much sarcasm work mate 10/10 boring 100% dead mate full on shit absolutely sleeping mate can't handle the sarcasm,much sarcasm work 10/10 boring 100% dead mate full on shit sleeping mate can't handle,sarcasm work 10/10 boring 100% dead mate full on shit absolutely sleeping mate can't handle,so mani sarcas mat wor fiul shi absolu sleep mat can hanl sarc,much sarcasm work 10/10 bore 100% dead mate full on shit sleep mate can't handle
Corny jokes are my absolute favorite,non irony,Corny joke be absolute favorite,Corny favorite,Corny favorite,Corny joke be absolut favor,Cornyfavor
"People complain about my backround pic and all I feel is like ""hey don't blame me, Albert E might have spoken those words"" #sarcasm #life",irony,People complain about my background pic and all I feel is like hey don't blame me Albert might have spoken those words #sarcasm #life,complain background pic feel hey blame Albert E might spoken words sarcasm life,complain background pic feel hey blame Albert spoke words sarcasm life,"Peopl complai abou my backrund pic and all I feell is lik hey dont blam me, Alber E might hav spek those word #sarcasm #lif",complai backgroun pic feel hey blam alber speak word sarcasm life
"@user @user Darn, my sock joke needs fixing?",non irony,"@user @user darn, my sock joke need fix.","Darn, sock joke needs fixing?","darn, sock joke need fix.","@d @ Darn, my sock jok need fixi?.","Darn, sock joke need fixin'?"
"if Christian expects Fifa to sleep in my bed with me tonight, he's wrong 👿",non irony,"if Christian expect Fifa to sleep in my bed with me tonight, he be wrong 👿",if Christian expects Fifa wrongTonight he,if Christian expect Fifa sleep my bed tonight he wrong 👿,"if christs expect fifs to sleep in mys bed with me tonite, hes wrong 👿",if Chris expect Fifa wrong Tonight he
"People who tell people with anxiety to ""just stop worrying about it"" are my favorite kind of people #not #educateyourself",irony,People who tell people with anxiety to just stop worry about it are my favorite kind of people #not #educateyourself,tell tell anxiety stop worrying about it favorite kind educateyourself,tell anxiety just stop worry about favorite educateyourself,"peopl who tell peopl wit anxiety to ""just stop worry abou it"" are my favorit kind of peopl #not #educyoursel",tell tell anxieti stop worry about it favor kind educatyourself
Most important thing I've learned in school,non irony,Most important thing I learn in school,Most important thing learned school,Most important thing learn school,most import important thing i've learn learn in school,most important thing learn school
#OrionLaunch underway - yeah! #Orion,non irony,#OrionLaunch begin - yeah! #Orion,#OrionLaunch underway - yeah! #Orion,#OrionLaunch begin yeah #Orion,#orionlaunch underway - yeah! #orion,#orionlaunch underway - yeah! #orion
I love context and large ensemble Fridays!!!!! Der my most favourite #Sarcasm #GetTheFuckOut,irony,i love have large ensemble friday!!!!! der i most favourite #sarcasm #getthefuckout,I love context large ensemble Fridays!!!!! Der my most favourite #Sarcasm #GetTheFuckOut,i love large ensemble friday!!!!! der most favourite #sarcasm #getthefuckout,i lov context and larg ensembl fri!!!!! der my most favour #sarcasm #getthefuckout,i lov context larg ensemb fri!!!!! der my most favour #sarcasm #getthefuckout
Oh boy... @user in the house. Warm up the DJ booth @user,non irony,oh boy... user in the house. warm up the dj booth user,Oh boy... in house. Warm DJ booth.,oh boy user house warm dj booth,oh boy... user in the house. warm up the dj booth user,oh boy... in hou. warm DJ boos.
"LIAR, i've never denied the 532 murders in Chicago in 2012 @user @user @user @user @user",non irony,"LIAR, I have never deny the 532 murder in Chicago in 2012 @user @user @user @user @user","Liar, 532 murders Chicago 2012","Liar, deny 532 murder Chicago 2012","Liar, I've nev deny 532 murd Chicago 2012 @user @user @user @user @user","Liar, murd Chicago 2012"
"Always classy, never trashy and just a little sassy.",non irony,"Always class, never trash, and just a little sass.","classy, trashy, sassy.","class, trash, sass.","Always clas, never trashes, and just a littl sassi.","clas, trash, sass."
"you believe you can say something, provide no proof and its a fact, WRONG @user @user",non irony,"you believe you can say something, provide no proof and it be a fact, wrong @user @user",believe say something provide proof fact WRONG,believe say something provide proof fact wrong,"you beli eve you can say someth ing, prov id no proo f and its a fact, W RONG @user @user",believe say somethin provid prov fact WRONG
@user #Not #Long To Go #Before #MainStream #Media #Pitch. #Surgery #follows #with #me #using #Prototype #demonstrating #real #situation.Phil,non irony,@user #not #long #to #go #before #mainstream #media #pitch. #surgery #follows #with #me #use #prototype #demonstrate #real #situation. phil,@user #Not #Long #Before #MainStream #Media #Pitch. #Surgery #follows #me #Prototype #demonstrating #real #situation.Phil,@user #not #long #go #mainstream #media #pitch #surgery #follows #use #prototype #demonstrate #real #situation #phil,@user #not #long #to #go #before #mainstream #media #pitch. #surg #follows #with #me #use #proto #demonstr #real #situation. phil,@user #not #long #before #mainstream #media #pitch. #surgi #follows #me #prototyp #demonstr #real #situation. phil
@user Re: Jamie Grace has Tourette's? Thanks for sharing. I'm about to research her & post my tribute to this Young lady Gospel singer,non irony,@user re: jamie grace have tourette's? thanks for sharing. i'm about to research her & post my tribute to this young lady gospel singer,@user Jamie Grace Tourette's research tribute Young lady Gospel singer,@user re: jamie grace tourettes thanks research post tribute young lady gospel singer,@user re: jamie grace has touretts? thanks for sharing. i'm about to research her & post my tribute to this young lady gospel singer,@user Jam Tourette's rese tribu yon lady Gospel sing
@user Guess they didn't get the memo reg non-nuclear Baltic sea #sarcasm,irony,@user guess they did not get the memo re non-nuclear baltic sea #sarcasm,@userGuesstheydidngetthemomerregnuclearBalticsea#sarcasm,@userguesstheydidgetsarcasm,@user guess they didn't get the memo reg non-nuclear baltic sea #sarcasm,@userTheyDontGetTheMoreGenNucBalticSea#sarcasm
Exam na jud. Merry christmas. ||#Sarcasm|#KillUsSlowly,irony,Exam. Merry christmas. ||#Sarcasm|#KillUsSlowly,Exam jud. Merry Christmas. ||#Sarcasm|#KillUsSlowly,Merrychristmas||Sarcasm#KillUsSlowly,Examin. Judg. Merrychristmas. ||#Sarcas|#Killslowly,Examp jud. Merr Chrismas. ||#Sarc|#KilSlooly.
The definition of #IRONY would be if a 77-year-old rapper went #viral and took #BITCOIN mainstream. Maybe only way #babyboomers will buy in.,irony,The define of irony would be if a 77-year-old rapper go viral and take bitcoin mainstream. Maybe only way babyboomer will buy in.,definition IRONY would be if 77-year-old rapper went viral and took BITCOIN mainstream Maybe only way babyboomers will buy,define irony 77-year-old rapper go viral take bitcoin mainstream Maybe only way babyboomer buy,The defin #irony woul be if a 77-ye rapper go #vir and tak #bitcoin main. Maybe only way #babyboom will buy in.,definition IRON would be if 77-year-old rap go viral and take BITCOIN main Maybe only way babyboom will buy
Pretty excited about how you gave up on me. File Under: #sarcasm,irony,Pretty excite about how you give up on me. File Under: #sarcasm,Pretty excited File Under: #sarcasm,Pretty excite give up #sarcasm,Pretty Excit Stem Under: #sarcasm,Pretty Excit File Under: #sarcasm
Who told the #hipsters that #irony was a thing of the Clinton years? Do they not carry history books in used bookstores in #brooklyn ?,irony,Who tell hipster that irony be thing of Clinton year? Do they not carry history book in used bookstore in brooklyn?,told hipsters irony thing Clinton years carry history books used bookstores brooklyn,tell hipster irony thing Clinton year carry history book used bookstore brooklyn,'who tell #hips that #irony be thing of clinton year? do they not carry hist book in used hist bookst in #brooklyn?',told hipstir ironi thing Clinton year carry histri book use bookstori brookli
@user u know that. How u doing??,non irony,@user you know that. how you do?.,@user know How doing,@user know do?,@user u kno that. hw u doin??,@user know how do
@user hmm... let me think about that #sarcasm,irony,@user hmm... let me think about that #sarcasm,@user hmm let me think about that #sarcasm,@user hmm let me think about that #sarcasm,@user hmm... let me think about that #sarcasm,@user hmm let me think abou that #sarcas
"If you wanna look like a badass, have drama on social media #not",irony,"If you want look like a badass, have drama on social media #not","If wanna look like badass, have drama on social media #not","If want look like badass, have drama social media #not","if you wanna look like a badass, have drama on social media #not","if wanna look like badass, have drama on social media #not"
How dare Charles Barkley have an intelligent conversation about race. #sarcasm #CharlesBarkley,irony,How dare Charles Barkley have an intelligent conversation about race. #sarcasm #CharlesBarkley,How dare Charles Barkley intelligent conversation race #sarcasm #CharlesBarkley,How dare Charles Barkley intelligent conversation race #sarcasm #CharlesBarkley,How dare Charli barkley ha intellig ent conversat about rac. #sarcas #Charlibarkley,How dares Charli bark intelligent concers rac #sarcas #Charli bark
"@user I think the general rule is, if it's open all night, pull an all-nighter.",non irony,"@user i think the general rule is, if it is open all night, pull an all night.",@user think general rule open all night pull all-nighter,"@user think general rule, if open all night, pull all night","@user i think the general rule is, if it's open all night, pull an all nighter.",@user think general rule open all night pull all night
Natalie Prass - Bird of Prey: via @user,non irony,Natalie Prass - Bird of Prey: via @user,Natalie Prass Bird of Prey user,Natalie Prass Bird of Prey via user,Natali Prass - Bir Of Prey: via @user,Natalie Prass Bird of Prey user
Nooooooooooo again it's on!!! #PickANewSong #CantStandIt,non irony,no again it is on!!! #PickAnewSong #CantStandIt,Nooooooooooo again on #PickANewSong #CantStandIt,again it on!!! #PickAnewSong #CantStandIt,nooooo again it's on!!! #pickanewsong #cantstandit,no agai on pickanews cantstid
"Being a hipster now is so mainstream. Oh, the irony. #hipster #irony",irony,"Being be now is so mainstream. Oh, the irony. #hipster #irony",Being mainstream Oh irony #hipster #irony,"Being now mainstream. Oh, the irony. #hipster #irony","Being a hirst now is so mainstram. Oh, the ironi. #hirst #ironi",Being main stream oh iron y #hips y #iron y
@user exactly and we are fighting like animals,non irony,@user exact and we fight like animal,@user exactly fighting animals,@user exact fight animal,@user fight animal,@user fight animal
#TeenAnalCasting #Top Top 50 Christian Songs For 2012,non irony,#TeenAnalCasting #TopTop50ChristianSongsFor2012,#TeenAnalCasting #Top50ChristianSongsFor2012,#TeenAnalCasting #TopTop50ChristianSongsFor2012,#TeenaAnalCas #Top Top 50 Chriscian Song For 2012,#TeenaAnalCas #Top50ChristiSongFor2012
The girls on #SororitySisters thought they'd get rich and famous but instead they be like...,non irony,The girl on #SororitySisters think they get rich and famous but instead they be like...,Sorority Sisters thought get rich famous instead be like...,The girl on SororitySisters think get rich famous instead be like...,The girl on #SororitySis thought they'd get riche and famouse but instead they be like...,Soroti Sist思 thought get ric famous instea be lik...
"Speaking of #country #music albums, anyone else think #SundownHeavenTown feels more like a #TimMcGraw album than, say, his previous three?",non irony,"speaking of country music album, anyone else think sundownheaventown feels more like a timmcgraw album than, say, his previous three?",Speaking #music albums anyone else think SundownHeavenTown feels more like TimMcGraw album than say previous three,speaking country music album anyone think sundownheaventown feels more timmcgraw album than say previous three,"Speaking #countrey #musi album, any #TimMcgraw feel more like #TimMcgraw album than, say, his previous three?",Speaking music album anyone think SundownHeavenTown feel more like TimMcGraw album than say previous three
#TeenAnalCasting #Sex Sex and the City 2 Movie Casting Auditions NYC Summer 2009,non irony,#TeenAnalCasting #Sex Sex sex the city 2 movie casting auditions nyc summer 2009,#TeenAnalCasting #SexMovieCastingAuditionsNYCSummer2009,#TeenAnalCasting #Sex movie casting auditions nyc summer 2009,#TeenAnalCast Sex City Movie Cast Aud NY Sum 2009,#TeenAnalCast #SexMovCastAud NYCSumm2009
"season 6 episode 3 carries outfit, simple & chic 👌",non irony,"season carry outfit, simple & chic 👌",season episode carries outfit simple chic,season carry outfit simple chic,"season stem episode stem carry outfit, simple & chic 👌",season episod carry out simpl chic
