Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
estoy hasta el ojete de que me digáis que tengo cara de mala leche,0,estoy hasta el ojete de que me digáis que tengo cara de mala leche.,'ojete de que me digáis que tengo cara de mala leche','me digáis que tengo cara de mala leche.',estoy hasta el ojete de que me digáis que tengo cara de mala leche,'ojete de que me digáis que tengo cara de mala leche' -> 'ojete de que me digáis que tengo cara de mala leche' (no se aplicó stemming ya que no hay palabras que puedan reducirse a una forma raíz común)
@user Por?  Tenía pensado verla después de la segunda de Daredevil,1,Por? Tenía pensado verla después de la segunda de Daredevil.,'@user Por? Tenía pensado verla después de la segunda de Daredevil','Por? Tenía pensado verla después de la segunda de Daredevil.',user Por tenía pensado verla después de la segunda de Daredevil,user Por tenía pensado verla después de la segunda de Daredevil
Esto de estar feliz mola,2,'Esto de estar feliz mola',feliz mola.,feliz mola.,Esto de estar feliz mola.,feliz mola.
Ya no es tan divertido,0,no es tan divertido,'Ya no es tan divertido',divertido.,no es tan divertido,no es tan divertido
"@user te recuerdo que soy una persona que tiene criterio, equivocado, pero lo tengo",1,"soy una persona que tiene criterio, equivocado, pero lo tengo","'@user te recuerdo que soy una persona que tiene criterio, equivocado, pero lo tengo'","'persona, criterio, equivocado, lo tengo'","'@user te recuerdo que soy una persona que tiene criterio, equivocado, pero lo tengo' se convierte en '@user te recuerdo que soy una persona que tiene criterio, equivocado, pero lo tengo' (ya que no hay palabras que puedan ser reducidas a una forma raíz común en este caso).","'@user te recuerdo que soy una persona que tiene criterio, equivocado, pero lo tengo' se convierte en '@user te recuerdo que soy una persona que tiene criterio, equivocado, pero lo tengo' (ya que no hay palabras que puedan ser reducidas a una forma raíz común en este caso)."
@user @user @user con una pequeña donación hará felices a miles de chicas que no tienen  #asociacionmariloli,2,@user @user @user con una pequeña donación hará felices a miles de chicas que no tienen  #asociacionmariloli.,'@user @user @user con una pequeña donación hará felices a miles de chicas que no tienen #asociacionmariloli','@user @user @user con una pequeña donación hará felices a miles de chicas que no tienen #asociacionmariloli.',user user user con una pequeña donación hará felices a miles de chicas que no tienen #asociacionmariloli,user user user con una pequeña donación hará felices a miles de chicas que no tienen asociacionmariloli
He probado una nueva espuma para el pelo y sí que lo deja más rizado pero se queda como efecto gomina y no me gusta.,0,He probado una nueva espuma para el pelo y sí que lo deja más rizado pero se queda como efecto gomina y no me gusta.,"'prueba espuma para el pelo, rizado, efecto gomina, no me gusta.'","'prueba espuma para el pelo, rizado, efecto gomina, no me gusta.'",'he probat una nueva foam para el pelo y si que lo leav mas rizado pero se queda como effect gomina y no me gusta',"'prueba espuma para el pelo, rizado, efecto gomina, no me gusta' -> 'prueba espuma para el pelo, rizado, efecto gomina, no me gusta' (ya que no hay palabras que puedan ser reducidas a una forma raíz única, el texto permanece igual)"
@user Ojalá pudiera darte el abrazo en vivo o al menos acompañarte hoy. Siento mucho lo de tu primo,1,Ojalá pudiera darte el abrazo en vivo o al menos acompañarte hoy. Siento mucho lo de tu primo.,Ojalá pudiera darte el abrazo en vivo o al menos acompañarte hoy. Siento mucho lo de tu primo.,'¿Darte el abrazo en vivo? Accompanyarte hoy? Siento mucho lo de tu primo.',@user Ojalá pudiera darte el abrazo en vivo o al menos acompañarte hoy. Siento mucho lo de tu primo.,'ojalá pudiera dar abrazar en vivo o al menos acompañar hoy. siento mucho lo de tu primo'
@user aquí tienes a mi bae aka una egipcia preciosa que esta aprendiendo español. Os llevareis bien  @user,2,@user aquí tienes a mi bae aka una egipcia preciosa que esta aprendiendo español. Os llevareis bien  @user,'@user aquí tienes a mi bae aka una egipcia preciosa que esta aprendiendo español. Os llevareis bien @user','@user aquí tienes a mi bae aka una egipcia preciosa que esta aprendiendo español. Os llevareis bien @user',@user aquí tienes a mi bae aka una egipcia preciosa que esta aprendiendo español. Os llevareis bien  @user,@user aquí tienes a mi bae aka una egipcia preciosa que esta aprendiendo español. Os llevareis bien @user
"@user ya somos dos, que triste",0,"somos dos, que triste","'ya somos dos, que triste'","'somos dos, triste'","@user ya somos dos, que triste.","'ya somos dos, que triste' -> 'ya somos dos, que triste' (ya no hay palabras que puedan ser reducidas a una forma base)"
JUAS ahora dicen que la paja se la van a hacer con Tracer y su novia. Porque siempre se puede caer más bajo aún ¿no?,1,JUAS ahora dicen que la paja se la van a hacer con Tracer y su novia. Porque siempre se puede caer más bajo aún.,'JUAS ahora dicen que la paja se la van a hacer con Tracer y su novia. Porque siempre se puede caer más bajo aún.','JUAS ahora dicen que la paja se la van a hacer con Tracer y su novia. Porque siempre se puede caer más bajo aún.',juas ahora dicen que la paja se la van a hacer con tracer y su novia. porque siempre se puede caer más bajo aún ¿no?,juas ahora dicen que la paja se la van a hacer con tracer y su novia. porque siempre se puede caer más bajo aún.
#2AñosDeLegiónHolk Llevo como unos 8 meses Talvez menos o mas no sé Me enseñaron y demostraron que LH es algo magico,2,#2AñosDeLegiónHolk Llevo como unos 8 meses Talvez menos o mas no sé Me enseñaron y demostraron que LH es algo magico.,'Llevo como unos 8 meses quizás menos o mas no sé Me enseñaron y demostraron que LH es algo magico',LH es algo mágico.,#2AñosDeLegiónHolk Llevo como unos 8 meses Talvez menos o mas no sé Me enseñaron y demostraron que LH es algo magico,llevo como unos 8 meses quizás menos o mas no sé me enseñaron y demostraron que lh es algo magico
"🌼 severus snape 🌼  -pobresito  -nunca le odié, me parecía muy estricto e injusto pero sabía que algo pasaba...",0,"severus snape -pobresito -nunca le odié, me parecía muy estricto e injusto pero sabía que algo pasaba...","'🌼 severus snape 🌼  -pobresito  -nunca le odié, me parecía muy estricto e injusto pero sabía que algo pasaba...'","'severus snape -pobresito -nunca le odié, me parecía muy estricto e injusto pero sabía que algo pasaba...'","severus snape -pobresito -nunca le odié, me parecía muy estricto e injusto pero sabía que algo pasaba...","severus snape -pobresito -nunca le odié, me parecía muy estricto e injusto pero sabía que algo pasaba..."
"@user es chevre las letras!! sabes q dia es mañana,....",1,"es chevre las letras!! sabes q dia es mañana,....","chevre las letras!! sabes q dia es mañana,....","'chevre las letras!! sabes q dia es mañana,....'","user chevre letters!! se sabe dia es mañana,....","chevre las letras!! sabes q dia es mañana,...."
Se echa de menos  #digital #art #life @ Escuela Superior de Arte y Tecnología (ESAT) http,2,se echa de menos #digital #art #life @ Escuela Superior de Arte y Tecnología (ESAT) http,#digital #art #life @ Escuela Superior de Arte y Tecnología (ESAT) http,#digital #art #life @ Escuela Superior de Arte y Tecnología (ESAT) http,se echa de menos digital arte vida esat argument http,digital arte vida esat argument stem
"Esta ceniza me tiene harta, me arden los ojos",0,"ceniza, me, tener, harta, me, arden, ojos.",'ceniza harta arden ojos',"ceniza, harta, arden, ojos.",'ceniza harta arden ojos',ceniza harta arden ojos
¿Aprender Motion Graphics en #Barcelona sin que me cueste un riñón es posible? ¿Alguien conoce algún sitio?,1,Aprender Motion Graphics en #Barcelona sin que me cueste un riñón es posible? ¿Alguien conoce algún sitio?,Aprender Motion Graphics en #Barcelona sin que me cueste un riñón es posible? ¿Alguien conoce algún sitio?,Aprender Motion Graphics en #Barcelona es posible? ¿Alguien conoce algún sitio?,Aprender Motion Graphics en #Barcelona sin que me cueste un riñón es posible? ¿Alguien conoce algún sitio?,'Aprender Motion Graphics en #Barcelona sin que me cueste un riñón es posible? ¿Alguien conoce algún sitio?' se convierte en 'Aprender Motion Graphics en #Barcelona sin que me cueste un riñón es posible? ¿Alguien conoce algún sitio?' (No se aplicó stemming ya que no hay palabras que necesiten ser reducidas a su forma raíz en este caso).
@user No. tampoco soy cursi,2,No. tampoco ser cursi.,no tampoco soy cursi,no tampoco ser cursi.,no tampoco soy cursi,no tampoco soy cursi
En fin estoy hasta los huevos del 90% de las personas así que.,0,hasta los huevos del 90% de las personas así que.,'fin hasta los huevos del 90% de las personas así que.','hasta los huevos del 90% de las personas así que.','en fin estoy hasta los huevos del 90% de las personas así que','fin hasta los huevos del 90% de las personas así que'
"@user jajajajaja, ¡qué linda! Yo también me puse re feliz cuando me enteré, nos dejan un álbum antes que TOP se vaya al servicio",1,"jajajajaja, linda, re feliz, enteré, nos, álbum, TOP, ir, servicio","'jajajajaja, ¡qué linda! Yo también me puse re feliz cuando me enteré, nos dejan un álbum antes que TOP se vaya al servicio'","jajajajaja, linda, re feliz, enteré, nos, TOP, ir, servicio",jajajajaja linda refeliz álbum nos TOP se ir servicio,"jajaja, linda! yo también me puse re feliz cuando me enteré, nos dejan album antes que top se vaya al servicio"
@user     Ya está preparando cosillas nuevas jeje,2,está preparando cosillas nuevas jeje,'Ya está preparando cosillas nuevas jeje','preparando cosillas nuevas',@user ya está preparando cosillas nuevas jeje,'ya está preparando cosillas nuevas'
"@user Jo, yo que me había ilusionado",0,"Jo, yo que me había ilusionado.","'Jo, me había ilusionado'","'Jo, me había ilusionado.'",jo yo que me había ilusionado,"'jo, me había ilusionado' -> 'jo, me había ilusion'"
Si la U cerró todo... entonces yo estoy libre hasta el lunes,1,si la u cerró todo entonces yo estoy libre hasta el lunes,"'U cerró todo, entonces estoy libre hasta el lunes'","'cerró u, libre, lunes'",'si la u cerró todo entonces yo estoy libre hasta el lunes',"'U cerró todo, entonces estoy libre hasta el lún'."
Hoy toca escuchar a #MiguelRios con otros grandes artistas...  #Insurrección...,2,escuchar a MiguelRios con otros grandes artistas... Insurrección...,'Hoy toca escuchar a #MiguelRios con otros grandes artistas... #Insurrección...','escuchar a MiguelRios con otros grandes artistas Insurrección','Hoy toca escuchar a MiguelRios con otros grandes artistas... Insurrección...','Hoy toca escuchar a MiguelRios con otros grandes artistas... Insurrección...'
"@user @user qué tendrá brozas.. jaajajaja que me descontrola, será la mala influencia",0,"@user @user qué tendrá brozas.. jaajajaja que me descontrola, será la mala influencia.","'@user @user qué tendrá brozas.. jaajajaja que me descontrola, será la mala influencia'","'@user @user qué tendrá brozas.. jaajajaja que me descontrola, será la mala influencia.'","user user qué tendrá brozas.. jaajajaja que me descontrola, será la mala influencia","user user qué tendrá brozas.. jaajajaja que me descontrola, será la mala influencia"
@user Katy le dió like en instagram y en mis Rt hace dos días los vieron juntos,1,Katy le dio like en Instagram y en mis Rt hace dos días los vieron juntos.,'Katy le dio like en Instagram y en mis Rt hace dos días los vieron juntos','Katy le dio like en Instagram y en mis Rt hace dos días los vieron juntos.',katy like instagram y rt hace dos dias vieron juntos,katy le dio like en instagram y en mis rt hace dos dias los vieron juntos
"Voy a jugar mi primera ranked de 10. Hmm no se si la liaré o no, pero bronce V me espera y mañana jugaré poco o nada, so a jugársela",2,"voy a jugar mi primera ranked de 10. hmm no se si la liaré o no, pero bronce V me espera y mañana jugaré poco o nada, so a jugársela.","'Voy a jugar mi primera ranked de 10. Hmm se si la liaré, pero bronce V me espera y mañana jugaré poco o nada, so a jugársela'","'voy a jugar mi primera ranked de 10. no se si la liaré, pero bronce V me espera y mañana jugaré poco o nada, so a jugársela.'","voy a jugar mi primera ranked de 10. hmm no se si la liaré o no, pero bronce V me espera y mañana jugaré poco o nada, so a jugársela.","voy a jugar mi primera ranked de 10. hmm se si la liaré, pero bronce V me espera y mañana jugaré poco o nada, so a jugársela"
Cuando le he dicho a la bollo que estoy morena se ha reído en mi cara,0,'cuando le he dicho a la bollo que estoy morena se ha reído en mi cara','Le he dicho a la bollo que estoy morena se ha reído en mi cara','cuando le he dicho a la bollo que estoy morena se ha reído en mi cara','cuando le he dicho a la bollo que estoy morena se ha reído en mi cara','le he dicho a la bollo que estoy morena se ha reído en mi cara' -> 'le he dicho a la bollo que estoy morena se ha reído en mi cara' (no hay palabras que puedan ser reducidas a una forma raíz común)
@user @user @user @user lo importante es saber cuando! Por si hay que evitar compras foráneas,1,@user @user @user @user lo importante es saber cuándo! Por si hay que evitar compras foráneas.,@user @user @user @user importante es saber cuándo! Por si hay que evitar compras foráneas.,@user @user @user @user importante es saber cuándo! Por si hay que evitar compras foráneas.,importar saber cuándo! si hay que evitar compras foráneas.,importante es saber cuándo! Por si hay que evitar compras foráneas.
Sin duda @user fue una experiencia preciosa  @user @user Y habrá más!,2,'Sin duda @user fue una experiencia preciosa  @user Y habrá más!','@user fue una experiencia preciosa @user Y habrá más',@user fue una experiencia preciosa Y habrá más!,experiencia preciosa usuario usuario habrá más,@user fue una experiencia preciosa @user Y habrá más
"Como sé que les re interesa, les actualizo: me dijo que sí a ver una peli pero me habló de un pibe dándome a entender que están saliendo",0,"Sé que les interesa, actualizo: me dijo que sí a ver una peli pero me habló de un pibe dándome a entender que están saliendo.","'Como sé que les interesa, les actualizo: me dijo que sí a ver una peli pero me habló de un pibe dándome a entender que están saliendo'","Sé que les interesa, actualizo: me dijo que sí a ver una peli pero me habló de un pibe dándome a entender que están saliendo.","'Como sé que les re interesa, les actualizo: me dijo que sí a ver una peli pero me habló de un pibe dándome a entender que están saliendo' se convierte en 'Como se re interesa, se actualiza: me dijo que sí a ver una peli pero me habló de un pibe dándome a entender que están saliendo' y luego en 'Como se re interesa, se actualiza: me dijo que sí a ver una peli pero me habló de un pibe dándome a entender que están saliendo' y finalmente en 'Como se interesa, se actualiza: me dijo que sí a ver una peli pero me habló de un pibe dándome a entender que están saliendo'. No hay stem en este caso, ya que las palabras ya están en su forma base.","'Como sé que les interesa, les actualizo: me dijo que sí a ver una peli pero me habló de un pibe dándome a entender que están saliendo' -> 'Como sé que les interesa, les actualizo: me dijo que sí a ver una peli pero me habló de un pibe dándome a entender que están saliendo' (No se aplicó stemming ya que el texto ya está en forma de stem)"
como entraba una conversación de estas largas de hablar toda la noche con alguien,1,entraba una conversación de estas largas de hablar toda la noche con alguien,'entraba conversación de estas largas de hablar toda la noche con alguien','entraba conversación de estas largas de hablar toda la noche con alguien','como entraba una conversacion de estas largas de hablar toda la noche con alguien','entrar conversación de estas largas de hablar toda la noche con alguien'
una Go-Pro de calidad! proteccion bajo el agua y soporte de cabeza    porq ago tantas caras...OK EN FIN!,2,'una Go-Pro de calidad! protección bajo el agua y soporte de cabeza porq ago tantas caras...OK EN FIN!',"'Go-Pro de calidad! protección bajo el agua, soporte de cabeza, porq ago tantas caras...OK EN FIN!'","'Go-Pro de calidad! protección bajo el agua, soporte de cabeza, muchas caras...OK EN FIN'",'una gopro de calidad! proteccion bajo el agua y soporte de cabeza porq ago tantas caras...ok en fin',"protecidubahundelagua,soportodecabeza,porqagacantascaras...OKENFIN"
Se que la pena de muerte no es algo bueno . Pero que diablos podemos hacer con los violadores ! Yo no le veo otra salida,0,saber que la pena de muerte no es algo bueno. Pero que diablos podemos hacer con los violadores! yo no le veo otra salida.,'Pena de muerte no es algo bueno. Pero que diablos podemos hacer con los violadores! Yo no le veo otra salida.','que la pena de muerte no es algo bueno. Pero que diablos podemos hacer con los violadores! yo no le veo otra salida.','que pena muerte no es algo bueno. pero que diablos podemos hacer con los violadores! yo no le veo otra salida','pena muerte no es algo bueno. pero que diablos podemos hacer con los violadores! yo no le veo otra salida.'
"@user se llama Wolf, es la mascota #SeSalen en apoyo a los deportistas paralímpicos  Más inf http 😃",1,"@user se llama Wolf, es la mascota #SeSalen en apoyo a los deportistas paralímpicos  Más inf http 😃.","'Wolf, la mascota #SeSalen en apoyo a los deportistas paralímpicos. Más inf http 😃'","'Wolf, la mascota #SeSalen en apoyo a los deportistas paralímpicos. Más info http 😃.'",user se llama wolf es la mascota se salen en apoyo a los deportistas paralímpicos más inf http happy,"wolf, la mascota #seSale en apoyo a los deportistas paralímpicos. más inf http 😃"
Que dicha que hay trabajo y salud y vacaciones también,2,trabajo salud vacaciones,"trabajo, salud, vacaciones",trabajo salud vacaciones,'que dicho que hay trabajo salud vacacion',"trabajo, salud, vacacion."
@user Impresionante. Una pena que hoy no pueda hacer una foto del atardecer.. P.d Gracias guapiño,0,impresionante. una pena que hoy no pueda hacer una foto del atardecer. p.d gracias guapiño.,impresionante. pena que hoy no puedo hacer una foto del atardecer. gracias guapiño.,impresionante. una pena que hoy no puedo hacer una foto del atardecer. p.d gracias guapiño.,impresionante una pena que hoy no pueda hacer una foto del atardecer p.d gracias guapiño,impresionante. pena que hoy no puedo hacer una foto del atardecer. gracias guapiño.
"Este viernes iré al cine a ver #NoRespires para celebrar mi cumple. Por cierto, no estáis invitados",1,"Este viernes iré al cine a ver #NoRespires para celebrar mi cumple. Por cierto, no estáis invitados.","'Este viernes iré al cine a ver #NoRespires para celebrar mi cumple. Por cierto, no estáis invitados'","'Este viernes iré al cine a ver #NoRespires para celebrar mi cumple. Por cierto, no estáis invitados.'","'Este viernes iré al cine a ver #NoRespires para celebrar mi cumple. Por cierto, no estáis invitados' se convierte en 'Este viernes iré al cine a ver #NoRespires para celebrar mi cumple. Por cierto, no estáis invitados' ya que no hay palabras que puedan ser reducidas a una forma base común. El stemming no es aplicable en este caso.","'Este viernes iré al cine a ver #NoRespires para celebrar mi cumple. Por cierto, no estáis invitados' se convierte en 'Este viernes iré al cine a ver #NoRespires para celebrar mi cumple. Por cierto, no estáis invitados' ya que no hay palabras que puedan ser reducidas a una forma base común. El stemming no es aplicable en este caso."
La pulsera es preciosa tio,2,la pulsera es preciosa tio,'pulsera preciosa','pulsera preciosa','la pulsera es preciosa tio' -> 'la pulsera es preciosa tio' (no hay palabras que necesiten stemming en este caso),'pulsera preci'.
