Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
#ibelieveblaseyford is liar she is fat ugly libreal #snowflake she sold her  herself to get some cash !! From dems and Iran  ! Why she spoke after  #JohnKerryIranMeeting ?,offensive,"i believe blasey ford is liar she is fat ugly liberal snowflake she sell her self to get some cash from dems and iran why she speak after john kerry iran meeting 
","ibelieveblaseyford liar fat ugly libreal snowflake sold herself cash dems Iran Why spoke JohnKerryIranMeeting 
","believe blasey ford liar fat ugly liberal snowflake sell self cash dems iran why speak after john kerry iran meeting 
","#ibelievblaseyford is liar she is fat ugly libreal #snowflake she sold her  herself to get some cash!! From dems and iran ! Why she spoke after  #johnkerryiranmeet? 
","ibeliev blasyford liar fat ugly libreal snowflak sold her self cash dem iran why spoke johnkerryiranmeeting 
"
@user @user @user I got in a pretty deep debate with my friend and she told me that latinos for Trump and blacks for Trump were paid supporters 😂 then I said you mean antifa are paid domestic terrorist and she said No they are  anti-fascist then I said they are the fascist are you kidding me?!,non-offensive,"user user user I get in a deep debate with my friend and she tell me that latinos for Trump and blacks for Trump be paid supporter 😂 then I say you mean antifa be paid domestic terrorist and she say no they be anti-fascist then I say they be the fascist be you kidding me 
","got deep debate friend told latinos Trump blacks Trump paid supporters then said mean antifa paid domestic terrorist said No they anti-fascist said they fascist kidding 
","user user user get deep debate friend tell latinos Trump blacks Trump paid supporter then say mean antifa paid domestic terrorist say no be anti-fascist say be fascist kidding  
","@user @user @user i got in a pretti deep debat with my friend and she told me that latin for trump and black for trump wer paid supportor 😂 then i said you mean antifa ar paid domestic terrorist and she said no they ar anti-fascist then i said they ar the fascist ar you kiddin me?! 
","got deep debat friend told latin trump black trump paid support then said mean antifa paid domestic terrorist said no they anti-fascist said they fascist kidd  
"
"...if you want more shootings and more death, then listen to the ACLU, Black Lives Matter, or Antifa. If you want public safety, then listen to the police professionals who have been studying this for 35 years."""" -AG Jeff Sessions",non-offensive,"if you want more shoot and more death, then listen to the ACLU, Black Live Matter, or Antifa. if you want public safety, then listen to the police professional who have be study this for 35 year. 
","want shootings death, listen ACLU, Black Lives Matter, Antifa. want public safety, listen police professionals have been studying this 35 years. 
","want more shoot more death, listen ACLU, Black Live Matter, Antifa. want public safety, listen police professional have be study this 35 year.  
","...if you want mor shoot and mor death, then listen to the ACLU, Black Live Matter, or Antifa. If you want public safe, then listen to the polic profession who hav bee study this for 35 year. 
","want shoot death, listen ACLU, Black Live Matter, Antifa. want public safe, listen polic profession have been studi this 35 year.  
"
Angels now have 6 runs. Five of them have come courtesy Mike Trout homers. Trout connects on a 3-2 pitch with runners on second and third,non-offensive,"Angel have 6 run. Five of them have come courtesy Mike Trout homer. Trout connect on a 3-2 pitch with runner on second and third.  
","Angels 6 runs. Five them come courtesy Mike Trout homers. Trout connects 3-2 pitch runners second third. 
","Angel 6 run. Five them have come courtesy Mike Trout homer. Trout connect 3-2 pitch runner second third.  
","Angel now hav 6 run. Five of them hav come courtey Mike Trout homer. Trout connect on a 3-2 pitch with runner on second and third.  
","Angel 6 run. Five them come courtesy Mike Trout homer. Trout connect 3-2 pitch runner second third.  
"
"#Travel #Movies and Unix #Fortune combined  Visit #Salisbury, see the sights, but wherever you go there you are, the same old you, why not travel as an international spy? Find yourself at the centre of a vast international conspiracy when you return home.   Recall Recall Recall.",non-offensive,"Travel movie and Unix fortune combin visit Salisbury, see sight, but wherever you go there you are, the same old you, why not travel as international spy? Find yourself at the centre of vast international conspiracy when you return home.  recall recall recall. 
","Travel Movies Unix Fortune Visit Salisbury, see sights, wherever you are, same old you, why not travel international spy? Find yourself centre vast international conspiracy when you return home.  Recall Recall Recall. 
","Travel movie Unix fortune combin visit Salisbury, see sight, wherever go there you, same old you, why not travel international spy? Find yourself centre vast international conspiracy when return home.  recall recall recall.  
","#Travel #movi and unix #fortun combin visit #salisbury, see the sight, but wherev you go there you ar, the sam old you, why not travel as an international spy? Find your self at the center of a vast international conspir when you return home.   recal recal recal. 
","travel movi unix fort visit salisbury, see sight, wherev you ar, sam old you, why not travel internati spy? find your self cent vast internati conspir when you return home.  recal recal recal.  
"
#naturephotography. #nature. #birds #wild in #Wisconsin #photography. #picoftheday. #pics #fridaymotivation. #fridayfeeling. #instagramers. I hope you are having an #amazing day,non-offensive,"#naturephotography. #nature. #bird #wild in #Wisconsin #photography. #picoftheday. #pic. #fridaymotivation. #fridayfeeling. #instagramers. I hope you be have an #amazing day. 
","naturephotography nature birds wild Wisconsin photography picoftheday pics fridaymotivation fridayfeeling instagramers hope amazing day 
","naturephotography nature bird wild Wisconsin photography picoftheday pic fridaymotivation fridayfeeling instagramers hope be amazing day  
","#natur #natur #bird #wild in #Wisconsin #photograph #picoftheday #pic #fridaymotiv #fridayfeel #instagram #hop you ar havin an #amaz day 
","naturephotograph natur bird wild wisconsin photograph picofday pic fridaymotivat fridayfeel instagram hope amaz day  
"
#i2 This speaks for itself (NSFW),non-offensive,"This speak for itself. 
","speaks itself NSFW 
","speak  itself.  
","speak it self  
","speak it self NSFW 
"
"#WomenWednesday: Meet multiple-award-winning designer @user BFA 82. She is the in-demand @user grad is behind @user recent redesign:    Lacava, centre, is pictured with classmates at #Concordia in 1981. #CUalumni",non-offensive,"#WomenWednesday: meet multiple-award-winning designer user BFA 82. she be the in-demand user grad be behind user recent redesign:    Lacava, centre, be pictured with classmate at Concordia in 1981. #CUalumni 
","#WomenWednesday: Meet multiple-award-winning designer @user BFA 82. She in-demand @user grad behind @user recent redesign:    Lacava, centre, pictured classmates #Concordia 1981. #CUalumni 
","WomenWednesday: meet multiple-award-winning designer user BFA 82 she be in-demand user grad be behind user recent redesign:    Lacava, centre, pictured classmate Concordia 1981. CUalumni  
","#WomenWednesda: meet multi-award-win designer @user BFA 82. she is the in-demand @user grad is behind @user recent redesig:    Lacava, centre, is pictur with classmate at #Concordia in 1981. #CUalumni 
","#WomenWednesda: meet multi-award-win designer @user BFA 82. she in-demand @user grad behind @user recent redesig:    Lacava, centre, pictur classmat #Concordia 1981. #CUalumni 
"
". a grown ass woman, probably 10 years older than me is currently spreading rumors rather than talking to me about it, nice work you got there satan ❤️",offensive,"grown woman, probably year older than I am currently spread rumor rather than talk to me about it, nice work you get there satan  ❤️ 
","grown ass woman, probably years older than spreading rumors rather than talking about it, nice work satan  ❤️ 
","grown woman probably year older than am spread rumor rather than talk me about it nice work get satan  ❤️ 
","grown ass womn, probabl 10 year oldr than me currntli spread rumor rather than talkin to me about it, nic work you got their satan  ❤️ 
","grow ass womn, probabl year oldr than spread rumor rather than talk about it, nice work satan  ❤️ 
"
#RAP is a form of ART! Used to express yourself freely. It does not gv the green light or excuse the behavior of acting like an animal! She is not in the streets of the BX where violence is a way of living. Elevate yourself boo and get on @user level for longevity! #QUEEN👑,non-offensive,"RAP be form of ART. Use to express yourself freely. It no give green light or excuse behavior of acting like animal. She no be in the street of the BX where violence be way of living. Elevate yourself boo and get on user level for longevity. QUEEN. 
","RAP form ART! Used express yourself freely. gv green light excuse behavior acting animal! not streets BX where violence way living. Elevate yourself boo get level longevity! QUEEN👑 
","RAP form ART. Use express yourself freely. give green light excuse behavior acting like animal.  be street BX where violence way living. Elevate yourself boo get user level longevity. QUEEN.  
","#RAP is a form of ART! used to express your self free. it doe not gv the green light or excue the behav of actin like an animal! she is not in the street of the BX where violenc is a way of livin. elev your self boo and get on @user level for longev! #QUEEN👑 
","rap form art! us express yourself free. gv green light excus behav act animal! not street bx wher viol way livin. elev yourself boo get level long! queen 
"
