Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
"A Fukushima, la radioactivité met à mal la biodiversité et les oiseaux: http",0,"A Fukushima, la radioactivité met à mal la biodiversité et les oiseaux: http
","Fukushima, radioactivité, mal biodiversité, oiseaux.","Fukushima radioactivité biodiversité oiseaux
","A Fukushima, la radioactivite met à mal la biodiversite et les oiseaux: http
","Fukushima, radioactivit?, mal biodiversit?, oiseaux.
"
Biodiversité et développement durable : la petite histoire verte du campus http @user,1,Biodiversité et développement durable : la petite histoire verte du campus http @user,"Biodiversité développement durable petite histoire verte campus
","Biodiversité développement durable petite histoire verte campus
","Biodiversité et développement durable : la petite histoire verte du campus http @user
","Biodiversité développement durable petite histoire verte campus
"
Des aides du #gouvernement pour des #logements plus #écologiques. -- http,2,Des aides du gouvernement pour des logements plus écologiques. -- http,Aides gouvernement logements écologiques. -- http,Aides gouvernement logements écologiques. -- http,"Des aides du gouvernement pour des logements plus écologiques.
","aide gouvernement logement écologique -- http
"
"#fabius : ""nous sommes là 1e génération à prendre conscience du changement climatique et nous sommes la dernière à pouvoir agir""",0,"#fabius : ""nous sommes là génération prendre conscience changement climatique et nous sommes dernière pouvoir agir""
",fabius changement climatique agir,"fabius génération prendre conscience changement climatique dernière pouvoir agir
","#fabius : ""nous sommes là 1e génération à prendre conscience du changement climatique et nous sommes la dernière à pouvoir agir""","fabius changement climatique agir
"
Des arbres sur des maisons écologiques à Ho-Chi-Minh-Ville au Vietnam - http via @user,1,Des arbres sur des maisons écologiques à Ho-Chi-Minh-Ville au Vietnam - http via @user,"arbres maisons écologiques Ho-Chi-Minh-Ville Vietnam user
","arbres maisons écologiques Ho-Chi-Minh-Ville Vietnam user
","Des arbre sur maison écologique Ho-Chi-Minh-Ville Vietnam user
","arbre maison écologique ville vietnam user
"
"Grâce au nouveau pack étudiant, #Github souhaite initier les jeunes développeurs à leur écosystème. #Malin le chat! http",2,"Grâce au nouveau pack étudiant, Github souhaite initier les jeunes développeurs à leur écosystème. Malin le chat! http","nouveau pack étudiant souhaite initier jeunes développeurs écosystème Malin chat http
","Github souhaite initier jeunes développeurs écosystème. Malin chat.
","Grâce au nouveau pack étudiant, #Github souhaite initier les jeunes développeurs à leur écosystème. #Malin le chat! http","nouveau pack étudiant souhaite initier jeunes développeur écosystème Malin chat
"
#climat Ceux qui ont peur du réchauffement consomment plus d'électricité que les sceptiques !  via @user http,0,#climat Ceux qui ont peur du réchauffement consomment plus d'électricité que les sceptiques! via @user http,"climat peur réchauffement consomment sceptiques
","climat ceux peur réchauffement consomment plus électricité que sceptiques
","#climat Ceux qui ont peur du réchauffement consomment plus d’électricité que les sceptiques! via @user http
","climat peur réchauffement consompt sceptique
"
@user @user @user  je caille … je grelotte les éoliennes à coté de chez moi …. ne tournent pas depuis 5 jours …,1,@user @user @user je caille … je grelotte les éoliennes à coté de chez moi …. ne tournent pas depuis 5 jours …,"@user @user @user je caille je grelotte éoliennes coté chez moi ne tournent pas depuis 5 jours 
","@user @user @user caille grelotte éoliennes coté chez moi ne tournent pas cinq jours
","@user @user @user je caille … je grelotte les éoliennes à coté de chez moi …. ne tournent pas depuis 5 jours …
","@user @user @user je caille je grelotte éoliennes coté chez moi ne tournent pas depuis 5 jours
"
Cameroun RDC Guinée Éthiopie &amp; Ouganda peuvent produire suffisamment d’énergie hydroélectrique de l'#Afrique @user http,2,Cameroun RDC Guinée Éthiopie & Ouganda peuvent produire suffisamment d’énergie hydroélectrique de l’#Afrique @user http,Cameroun RDC Guinée Éthiopie Ouganda produire énergie hydroélectrique Afrique user,"Cameroun RDC Guinée Éthiopie Ouganda produire énergie hydroélectrique Afrique user.
","Cameroun RDC Guinée Éthiopie &amp; Ouganda peuvent produire suffisamment d’énergie hydroélectrique de l’#Afrique @user http
","Cameroun RDC Guinée Éthiopie Ouganda produire énergie hydroélectrique Afrique user
"
"Subsides aux énergies renouvelables décapités: après l'Allemagne, au tour de l'Italie via @user",0,"Subsides aux énergies renouvelables décapités: après l'Allemagne, au tour de l'Italie via @user",Énergies renouvelables décapités Allemagne Italie user,énergies renouvelables décapités Allemagne tour Italie user,"Subsides aux énergies renouvelables décapités: après l'Allemagne, au tour de l'Italie via @user","Énergie renouvelable decapiter Allemagne Italie user
"
[#Energie #innovation #solaire #baterie] - Une cellule solaire qui stocke sa propre énergie: http http,1,[#énergie #innovation #solaire #batterie] - Une cellule solaire qui stocke son propre énergie: http http,"[Energie innovation solaire batterie] - Cellule solaire stocke propre energie.
","énergie innovation solaire batterie stocke propre énergie
","[#Energie #innovation #solaire #baterie] - Une cellule solaire qui stocke sa propre énergie: http http
","[Énergie innovation solaire batterie] - Cellule solaire stocke propre énergie.
"
@user @user le rendement des éoliennes est quasiment au niveau théorique. Le solaire thermodynamique n'est pas encore top,2,@user @user le rendement des éoliennes est quasiment au niveau théorique. Le solaire thermodynamique n'est pas encore top,@user @user rendement éoliennes niveau théorique solaire thermodynamique pas top,@user @user rendement éoliennes niveau théorique solaire thermodynamique pas top,@user @user le rendemnt des éolien est quasiment au niveau théorique. Le solair thermodynamique n’est pas encore top,"@user @user rendement éoliennes niveau théorique solaire thermodynamique pas top
"
#biodiversité L'Assemblée autorise les éleveurs à abattre les loups : Ségolène Royal a franchi la limite http,0,#biodiversité L’assemblée autorise les éleveurs à abattre les loups : Ségolène Royal a franchi la limite http,Assemblée autorise éleveurs abattre loups Ségolène Royal franchi limite,assemblée autorise éleveurs abattre loups Ségolène Royal franchi limite,"#biodiversité L’Assemblée autorise les éleveurs à abattre les loups : Ségolène Royal a franchi la limite http
",assemblée autoriser éleveur abattre loup ségolène royal franchi limite
#Suède : une alternative écologique aux batteries au lithium http,1,"#Suède : une alternative écologique aux batteries au lithium http
",Suède alternative écologique batteries lithium,Suède alternative écologique batteries lithium,"#Suède : une alternative écologique aux batteries au lithium http
","Suède alternative écologique batteries lithium
"
C’est une première : des scientifiques élaborent une cellule #solaire qui stocke sa propre énergie - @user - ►► http #ENR,2,C’est une première : des scientifiques élaborent une cellule solaire qui stocke sa propre énergie - @user - ►► http://enr,première scientifiques élaborent cellule solaire stocke propre énergie user ENR,"première scientifiques élaborent cellule solaire stocke énergie
",C’est une première : des scientifiques élaborent une cellule solaire qui stocke sa propre énergie - @user - ►► httpENR,"première scientifiques élaborent cellule solaire stocke propre énergie user ENR
"
#Ecologistes et #communistes sans merci à La Rochelle  http via @user,0,"#Ecologistes et #communistes sans merci à La Rochelle via @user
","Ecologistes communistes merci La Rochelle via user
","Ecologistes communistes merci La Rochelle user
","#écologistes et #communistes sans merci à La Rochelle  http via @user
","écologi communist merci rochel via user
"
Ecologie c'est tout ce que j'entend,1,écologie c'est tout ce que j'entends,"Ecologie c'est tout ce j'entend
","écologie tout j'entends
","Écologi c'est tout ce que j'entend
","écologie c'est tout ce j'entend
"
"@user: construction, Transition énergétique. Développement durable, Économie. par ici la monnaie! http",2,"construction, transition énergétique, développement durable, économie. par ici la monnaie! http
",construction Développement durable Économie monnaie,"construction transition énergétique développement durable économie monnaie
","@user: construction, transition, énergétique. développement, durable, économie. par ici, monnaie. http","construction développement durable économie monnaie
"
#Canada : Espèces en péril: écologistes et industriels s'unissent contre Ottawa http,0,#Canada : Espèces en péril: écologistes et industriels s'unissent contre Ottawa http,"Canada : Espèces péril : écologistes industriels s'unissent Ottawa
","Canada : Espèces en péril : écologistes industriels s'unissent contre Ottawa 
","#Canada : Espèces en péril: écologistes et industriels s'unissent contre Ottawa http
","Canada : Espèces péril : écologistes industriels s'unissent Ottawa
"
#Leclanché et #EPFL testent un nouveau système de #stockage d'énergie solaire | http via @user,1,Leclanché et EPFL testent un nouveau système de stockage d'énergie solaire | http via @user,Leclanché EPFL testent nouveau système stockage énergie solaire http via user,"Leclanché EPFL testent système stockage énergie solaire http via user
","#Leclanché et #EPFL testent un nouveau système de #stockage d'énergie solaire | http via @user
","Leclanché EPFL testent nouvel système stockag énergie solari via user
"
