Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
A woman who you fucked multiple times saying yo dick small is a compliment you know u hit that spot 😎,hate,A woman who you fuck multiple times saying yo dick be small is a compliment you know u hit that spot 😎,woman saying dick small compliment hit spot 😎,woman fuck multiple times saying dick small compliment hit spot 😎,A wom man who you fuck mult ip le tim es say ing yo dick sm all is a com pl im ent you kn ow u hit th at sp ot 😎,women say dick small complim hit spot 😎
@user @user real talk do you have eyes or were they gouged out by a rapefugee?,hate,@user @user real talk do you have eye or were they gouge out by a rapefugee?,@user @user talk do you have eyes or were they gouged out by rapefugee?,@user @user eye rapefugee,@user @user real talk do you have eye or were they gouge out by a rapefugee?,@user @user tal do ya hav eye or waz w reminded out by raprefug?
your girlfriend lookin at me like a groupie in this bitch!,hate,your girlfriend look at me like a groupie in this bitch!,girlfriend lookin at me like groupie bitch!,girlfriend look at me like groupie bitch!,your girlfrien look at me like a groupi in this bish!,girl look at me like groupi bitch!
I AM NOT GOING AFTER YOUR EX BF YOU LIEING SACK OF SHIT ! I'm done with you dude that's why I dumped your ass cause your a lieing 😂😡 bitch,hate,i am not go after your ex bf you lieing sack of shit i am done with you dude that is why i dump your ass because your a lieing bitch,GOING AFTER EX BF LIEING SACK SHIT DONE WITH YOU DUMPED ASS A lieing bitch,am go after ex bf lieing sack shit am done dude that is why dump ass a lieing bitch,i am no go after yur ex bf y lieing sack shi! i'm done wth y dud tht ymp ympd yrr ass cse y a lieing 😂😡 bch,GOING AFTER EX BF LIE SACK SHIT DONE WITH YOU DUMP ASS A LIE Bitch
"Send home migrants not in need of protection, Peter Dutton tells UN, HEY DUTTON HOW ABOUT THE ONES THAT HAVE STAYED AND NOT LEFT THE COUNTRY WHEN THEY SHOULD OVERSTAYERS ? WHY DONT YOU GO AND ROUND ALL THEM UP ?",hate,"send home migrant not need of protection, tell un, hey goand round them up",Send migrants in need of protection Peter Dutton tells UN HEY DUTTON ONES STAYED LEFT COUNTRY SHOULD OVERSTAYERS WHY GO ROUND UP,send home migrant need protection tell un goand round them up,"send hom migr not in nee prot, petr dutt tell un, hey dutt how abot on that hav stay and not left count when they shoul overstay? why dont you go and round all them up?",send migr need prot tell un hey tell stay left country should overstay why go round up
"Cory Booker and Kamala Harris competing for Most Hysterical Woman at the Kavanaugh hearings, Coulter hilariously tweeted.And yes, liberals immediately got triggered on Twitter, saying her joke was offensive. To them we say, suck it up, snowflakes.",hate,"Cory Booker and Kamala Harris compete for most hysterical woman at the Kavanaugh hearings, Coulter hilariously tweets. And yes, liberals immediately get triggered on Twitter, saying her joke is offensive. To them we say, suck it up, snowflakes.",Cory Booker Kamala Harris competing Most Hysterical Woman Kavanaugh hearings Coulter hilariously tweeted liberals immediately got triggered Twitter saying joke offensive them say suck snowflakes,Cory Booker Kamala Harris compete hysterical woman Kavanaugh hearings Coulter tweets liberals immediately get triggered Twitter joke offensive say suck up snowflakes,"cory booker and kamala harris compete for most hysterical woman at the kavanaugh hearing, coulter hilariously tweeted. and yes, liberal immediately get trigger on twitter, saying her joke was offensive. to them we say, suck it up, snowflake.",Cory Book Kamala Har compet most hysterical woman Kavanaugh hear Coulter hilariously tweet lib immedi get trig Twitter say joke offens them say suck snowflak
Should have let the Libyan Manchester bomber rot in his own country. How many more mass murderers did the Royal Navy import to Britain? How many more terrorists do the NGO's rescue from international waters? #RefugeesNotWelcome,hate,Should have let the Libyan Manchester bomber rot in his own country. How many more mass murderer import to Britain? How many more terrorist do the NGO rescue from international waters? #RefugeesNotWelcome,Should let Libyan Manchester bomber rot country. many mass murderers Royal Navy import Britain. many terrorists NGO's rescue international waters. #RefugeesNotWelcome,Should let Libyan Manchester bomber rot country. many mass murderer import Britain? many terrorist NGO rescue international waters? #RefugeesNotWelcome,.Should.have.let.Libyan.Manchester.bomber.rot.in.his.own.country..How.many.more.mass.murderer.did.Royal.Navy.import.to.Britain..How.many.more.terrorist.do.NGO..rescue.from.international.waters..#RefugeesNotWelcome,shoul let libi mancun bombe rot countr. mani mas murde royal nav impor brit. mani terro ngo res international wat. #refugenotwelcom
"This account was temporarily inactive due to an irrational woman reporting us to Twitter. What a lack of judgement, shocking. #YesAllMen",hate,"this account be temporarily inactive due to an irrational woman report us to twitter. what a lack of judgement, shocking. #yesallmen",account inactive temporarily due irrational woman report us Twitter lack judgement shocking YesAllMen,account temporarily inactive due irrational woman report us twitter lack judgement shocking yesallmen,"_this accoun tempora inact due to an irration woman report us to twitt. what a lack judg, shock._",account inacti temporili due irrati woman repor us Twitt lack judg shocking yesallmen
listen... i love lil b but i would not fuck with dej loaf at all. she prob got poison up in her nail polish like that bitch from holes,hate,listen i love but i would not fuck with at all she prob got up in her like that from,listen i love lil b but i would fuck with dej loaf at all she prob got poison up in her nail polish like that bitch from holes,listen love fuck got up,listen i lov lil b but i woul not fck wth dej loaf at all she prob got poi up in her nail polish lik that bch fr holes,listen i lov lil b but i would fuck wit dej loaf at all sh prob got poi up in her nail polish like that bich from hole
@user @user keep calling her a bitch and a whore dude real grown up.,hate,@user @user keep call her a bitch and a whore dude real grow up.,keep calling her bitch whore dude grown,keep call her bitch whore dude grow up,@user @user keep call her a bitch and a whore dude real grown up.,keep call her bitch whore dude grow
