Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
@user mi fa sbagliare tutte le paroleeeee.,0,@user mi fa sbagliare tutte le parole.,@user fa sbagliare tutte le paroleeeee.,@user fa sbagliare tutte le parole.,@user mi fa sbagliare tutte le parole.,@user fa sbagliare tutte le parole.
@user perfetto hai visto poi alla fine anche oggi e passato..,1,@user perfetto hai vedere poi alla fine anche oggi e passato..,@user perfetto visto finale oggi passato..,@user perfetto vedere fine oggi passato..,@user perfett pass pass pass...,@user perfetto visto fin oggi pass
"Rutelli: appoggio al governo #monti, sta lavorando bene #ballarò #osservatoriotivvù",2,"Rutelli: appoggio governo #monti, sta lavorare bene #ballarò #osservatoriotivvù","Rutelli: appoggio governo monti, lavorando bene ballarò osservatoriotivvù","Rutelli: governo monti, lavorare ballarò osservatoriotivvù","Rutelli: appogg io al governo #monti, st a lavorando bene #ballar ò #osservatori tivvù","Rutelli: appogg government monti, lavor ballar osservatori tivvù"
RT @user: Non legalizzano la #cannabis Ma iper tassano le cartine. Questi sono geni della finanza. #governoletta #proibizionismo,0,Non legalizzano la cannabis Ma iper tassano le cartina. Questi sono genesi della finanza. governoletta proibizionismo,RT @user: legalizzano cannabis Ma tassano cartine. sono geni finanza #governoletta #proibizionismo,"governoletta proibizionismo
legalizzano cannabis
genesi finanza
iper tassano cartina",RT @user: Non legalizzano la #canab Ma iper tassano le cart. Questi sono geni della finanz. #govletta #proibizionismo,RT @user: legliszan cannabis ma taxan cartine. son gen finanza #govletta #probizionismo
"@user @user @user c'è da vergognarsi, ha fatto bene a cancellare il suo profilo lol",1,"@c'è da vergognarsi, ha fatto bene a cancellare il suo profilo lol","@c'è da vergognarsi, ha fatto bene a cancellare il suo profilo lol","@c'è da vergognarsi, ha fatto bene a cancellare il suo profilo lol","@c'è d' vergognàsì, ha fat' b'n a cancell' prf'l löl","@c'è da vergognarsi, ha fatto bene a cancellare il suo profilo lol"
@user lo so amore grazie..,2,lo sapere amore grazie..,amore grazie..,sapere amore grazie..,@user lo sapere amore grazie..,amor graz
RT @user: Siamo dei falsi. I ragazzi vogliono le ragazze timide e poi stanno con le troie. Le ragazze vogliono i dolci e poi amano con…,0,Siamo falso. Ragazzo vuole ragazza timida e poi sta con troia. Ragazza vuole dolce e poi ama con.…,Siamo falsi. ragazzi vogliono ragazze timide stanno troie. ragazze vogliono dolci amano.…,Siamo vuole ragazza e poi sta con. Ragazza vuole dolce e poi ama con.,Siamo dei falsi. Ragazzo vogliaro ragazz timido e poi stareco ragazz troia. Ragazzo vogliaro dolce e poi amaro con…,siamo falso ragazzo voler ragazza timido stare troia ragazza voler dolce amar
in vendita Villa Stupenda a Santo Domingo http,1,vendita villa stupenda a santo domingo,Villa Stupenda Santo Domingo,vendita villa stupenda Santo Domingo,in vendita vill stupenda a sant doming http,Villa Stupenda Santo Domingo
RT @user: ditemi se non è una delle cose più belle del mondo http,2,RT @user: dico se non è una delle cose più belle del mondo http,RT @user: ditemi se è una delle cose più belle del mondo,dico cose più belle del mondo,RT @user: ditt m se no nt è un dl c pi be dl mon http,RT @user: dici se é una delle cose più belle del mondo
"Pensioni, la falsa equità di Monti: di Sante Moretti Il governo Monti vuole eliminare il... http",0,"pensione, la falsa equità, di monti, il governo, volere, eliminare, il",Pensioni falsa equità Moretti governo Monti vuole eliminare,"falsa equità, monti, governo, volere, eliminare","pension, fals equit, monti, sant moretti, govern, vole elimin, http",Pensioni fals equità Moretti governo Monti vuole elimin
