Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
"@user , you are correct that Reid certainly is a weasel. Sadly, we've got our own weasels; @user Sen McConnell & @user .The corrupt Mueller investigation w/be STOPPED if those 3 did their jobs.#MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #USA",non-hate,"user, you be correct that Reid certainly be weasel. Sadly, we get our own weasel; user Sen McConnell & user. The corrupt Mueller investigation will be stop if those 3 do their job.MAGA KAG POTUS Trump NEWS VoteRed NoDACA USA 
","user correct Reid weasel Sadly we got weasels user Sen McConnell user corrupt Mueller investigation STOPPED those 3 jobsMAGA KAGPOTUS TrumpNEWSVoteRedNoDACAUSA 
","user correct Reid weasel Sadly, get weasel user Sen McConnell user corrupt Mueller investigation be stop those 3 job.MAGA KAG POTUS Trump NEWS VoteRed NoDACA USA  
","@user, you ar correct that Reid certainli is weasel. Sadli, we've got our own weasel; @user Sen McConnell & @user.The corrupt Mueller investigat w/be STOPPED if thoes 3 did their job.#MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #USA 
","user correct Reid weasel sadli we got weasel user Sen McConnell user corrupt Mueller investigat stop those 3 jobMAGA KAGPOTUS TrumpNEWSVoteRedNoDACAUSA 
"
Whoever just unfollowed me you a bitch,hate,"Whoever just unfollow me you a bitch 
","Whoever unfollowed bitch.  
","Whoever unfollow bitch  
","whoever just unfollow me you a bitch 
","whoever unfollow bitch.  
"
@user @user Those People Invaded Us!!! They DO NOT BELING HERE & HAVE NO RIGHTS! Its #AmericaFIRST! Open Your House To Them If Your That IGNORANT! & Yes Im A #Christian Too! #NODACA!,hate,"user user those people invade us they do not belong here and have no right its america first open your house to them if your that ignorant and yes im a christian too nodaca 
","People Invaded Us!!! DO NOT BELING HERE RIGHTS! AmericaFIRST! Open House Them If That IGNORANT! Yes Im Christian Too! NODACA! 
","user user people invade do belong right america first open house them ignorant yes christian nodaca 
","@user @user thoes peopl invad us!!! they DO NOT beling her & hav no right! its #americafirst! open your hous to them if your that ignor! & yes im a #christian too! #nodaca! 
","peop invad us!!! do not beling her right! americafirst! open hous them if that ignor! yes im christian too! nodaca!  
"
"stop JUDGING bitches by there cover, jus cuz she bad don't mean she's a catch shawdy could be a whore 👀 das opposite of a keeper",hate,"stop judge bitch by their cover, just cuz she bad no mean she catch shawdy could be whore das opposite of keeper 
","JUDGING bitches cover jus bad don't mean catch shawdy whore opposite keeper 
","judge bitch cover just cuz bad mean catch shawdy could whore das opposite keeper  
","stop judg bitch by there cover, jus cuz she bad dont mean she catch shawdy could be whore das oppos of a keeper 
","judg bitch cover jus bad dont mean catch shawdy whore oppos keeper 
"
how about i knock heads off and send them gift wrapped to your moms house you dumb raggedy bird bitch ass hoes,hate,"how about i knock head off and send them gift wrap to your mom house you dumb raggedy bird bitch ass hoe 
","knock heads off send gift wrapped moms house dumb raggedy bird bitch ass hoes 
","knock head off send gift wrap mom house dumb raggedy bird bitch ass hoe  
","how about i knock head off and send them gift wrap to your mom hous you dumb raggedy bird bitch ass hoe 
","knock head send gift wrap mom hous dumb ragged bird bitch ass hoe 
"
@user @user @user Always #NoDACA.I AM BORN IN #USA AND #USA FIRST.,non-hate,"user user user always noDACA.i am born in USA and USA first. 
","user user user Always NoDACA AM BORN USA USA FIRST. 
","user user user always noDACA i born USA USA first.  
","user user user alway noDACA.i am born in usa and usa first. 
","user user user alway noDACA am born USA USA first.  
"
@user friends ? that's my BLOOD brother bitch .. he in yo city !! i'm hours away . ill be through there tomo…,non-hate,"user friend? that be my blood brother bitch.. he in your city!! i be hour away. i be through there tomorrow. 
","friends BLOOD brother bitch he city hours away be there tomo 
","user friend that blood brother bitch he your city i hour away i through there tomorrow  
","user friend? that's my blood brother bitch.. he in yo citi!! i'm hour away. ill be through there tomo… 
","friend blood broth bitch he citi hour alway be ther tomo  
"
"@user @user Muslims attacked US on 9/11, 3000 killed. Subsequently we allowed more Muslims in our country?!?Does this make any sense to you?You can thank Obama, his liberals minions, RINO's & political correctness. #MuslimBan #BanIslam #TravelBan #DrainTheDeepState #DeportThemAll",hate,"user user muslim attack US on 9/11, 3000 kill. subsequently we allow more muslim in our country?!? does this make any sense to you? you can thank obama, his liberal minion, RINO's & political correctness. #MuslimBan #BanIslam #TravelBan #DrainTheDeepState #DeportThemAll 
","Muslims attacked US 9/11, 3000 killed. Subsequently allowed more Muslims country?!?Does make sense you? can thank Obama, liberals minions, RINO's political correctness.  MuslimBan BanIslam TravelBan DrainTheDeepState DeportThemAll 
","user user muslim attack US 9/11, 3000 kill. subsequently allow more muslim country?!? make sense you? thank obama, liberal minion, RINO's political correctness.  MuslimBan BanIslam TravelBan DrainTheDeepState DeportThemAll 
","user user muslim attack US on 9/11, 3000 kill. subsequent we allow more muslim in our countri?!?do this mak any sens to you?you can thank obama, his liberal min, RINO's & politic correct. #MuslimBan #BanIslam #TravelBan #DrainTheDeepState #DeportThemAll 
","Muslim attack US 9/11, 3000 kill. Subsequent allow more Muslim countri? Doe make sens you? can thank Obama, liberal mini, RINO politic correct.  MuslimBan BanIslam TravelBan DrainTheDeepState DeportThemAll 
"
@user @user Like he ever kept out any threats. He's lying as usual. #BuildThatWall,non-hate,"user user like he ever keep out any threat. he lie as usual. build that wall. 
","user user Like he ever kept out threats. He lying usual. BuildThatWall. 
","user like he ever keep out threat. lie usual. build wall.  
","@user @user lik he ever keep out any threat. he's ly as usual. #BuildThatWall 
","user like he ever keep out threat. he ly usual.BuildThatWall.  
"
#germany deserves to called #cuck/land they allow in #isis fighters as #Refugees even if they raped underaged girls. this #yazidi girl is scared of this and she is forced to see the face of her rapist.#refugeesnotwelcome should apply to these scum,hate,"germany deserve to call cuck land they allow in isis fighter as refugee even if they rape underaged girl. this yazidi girl is scare of this and she is force to see the face of her rapist. refugee not welcome should apply to these scum.  
","germany deserves called cuck/land allow isis fighters Refugees even raped underaged girls. yazidi girl scared forced see face rapist.refugeesnotwelcome apply scum. 
","germany deserve call cuck land they allow isis fighter refugee even rape underaged girl. yazidi girl scare this force see face rapist. refugee welcome apply scum.  
","#germany deserv call #cuck/land they allow in #isis fight as #refugee even if they rape underag girl. this #yazidi girl is scar of this and she is forc to see the fac of her rapist. #refugeesnotwelcome should apply to these scum. 
","german deserve call cuck/land allow isis fight refug even rape underag girl. yazidi girl scar forc see face rapist.refugnotwelcome apply scum.  
"
