Text,Label,Text_lemmatized,Text_nostopwords,Text_lemmatized_nostopwords,Text_stemmed,Text_nostopwords_stemmed
@user mi fa sbagliare tutte le paroleeeee.,0,"utente mi fa sbagliare tutte le parole. 
","user fa sbagliare parole. 
","utente fa sbagliare parole.  
","@user mi fa sbaglià parola. 
","user fa sbaglià parola. 
"
@user perfetto hai visto poi alla fine anche oggi e passato..,1,"utente perfetto vedere poi alla fine anche oggi e passato 
","perfetto visto fine oggi passato 
","utente perfetto vedere fine oggi passato 
","@user perfet hav vist poi alla fin anche oggi e passat.. 
","perfett vist fin oggi pass  
"
"Rutelli: appoggio al governo #monti, sta lavorando bene #ballarò #osservatoriotivvù",2,"Rutelli: appoggio al governo monti, sta lavorar bene ballarò osservatoriotivvù. 
","Rutelli appoggio governo monti lavorando bene ballarò osservatoriotivvù 
","Rutelli appoggio governo monti lavorar bene ballarò osservatoriotivvù.  
","Rutelli: appoggi govern #monti, sta lavorand ben #ballarò #osservatoriotivvù 
","Rutelli appogg govern monti lavorand bene ballar osservatorivvù  
"
RT @user: Non legalizzano la #cannabis Ma iper tassano le cartine. Questi sono geni della finanza. #governoletta #proibizionismo,0,"RT @user: non legalizzare la cannabis ma iper tassare le cartine. Questi sono geni della finanza. #governoletta #proibizionismo. 
","legalizzano cannabis iper tassano cartine geni finanza governoletta proibizionismo 
","RT @user: legalizzare cannabis iper tassare cartine. geni finanza. #governoletta #proibizionismo.  
","RT @user: Non legalizz legali #cannabis ipertass cartin. Questi son geni finanza. #governoletta #proibizionismo 
","legalizz cannibi ipertass cartin gen finanz govern prohibizionism 
"
"@user @user @user c'è da vergognarsi, ha fatto bene a cancellare il suo profilo lol",1,"c'è da vergognarsi, ha fatto bene a cancellare il suo profilo lol 
","vergognarsi fatto bene cancellare profilo lol 
","vergognarsi fatto bene cancellare profilo lol  
","c'è da vergogn, ha fatt bene a cancellà il suo profil lol 
","vergognars fatto bene cancell profil lol  
"
@user lo so amore grazie..,2,"io so amore grazie 
","user amore grazie 
","amore  
","@user so amor grazie. 
","user amur grazie 
"
RT @user: Siamo dei falsi. I ragazzi vogliono le ragazze timide e poi stanno con le troie. Le ragazze vogliono i dolci e poi amano con…,0,"Siamo falsi. I ragazzi vogliono le ragazze timide e poi stanno con le troie. Le ragazze vogliono i dolci e poi aman con.  
","RT @user: falsi ragazzi ragazze timide troie ragazze dolci amano 
","falsi ragazzi vogliono ragazze timide poi stanno troie ragazze vogliono dolci aman.  
","RT @user: Siamo dei fals. i ragazzi vol le ragazze tim e poi st con le troi. le ragazze vol i dolci e poi aman con… 
","RT @user: fals ragazzo ragazza timid troia ragazza dolc aman 
"
in vendita Villa Stupenda a Santo Domingo http,1,"in vendita villa stupenda a Santo Domingo http 
","Villa Stupenda Santo Domingo 
","villa stupenda Santo Domingo 
","vend villa stupend sant doming http 
","Villa stupend Santo Doming 
"
RT @user: ditemi se non è una delle cose più belle del mondo http,2,"RT @user: dimmi se non è una delle cose più belle del mondo http 
","RT user ditemi non una delle cose belle mondo 
","RT user dimmi non una delle cose belle mondo  
","RT @user: ditemi se non è una delle cosa più bell del mond http 
","RT user dimmi non una delle cosa bell mond  
"
"Pensioni, la falsa equità di Monti: di Sante Moretti Il governo Monti vuole eliminare il... http",0,"pensione, la falsa equità di Monti: di Sante Moretti il governo Monti vuole eliminare il... 
","Pensioni falsa equità Monti Sante Moretti governo Monti vuole eliminare 
","pensione falsa equità Monti Sante Moretti governo Monti vuole eliminare 
","Pensioni, fals equità Monti: di Sante Moretti il governo Monti vol eliminare il... http 
","pensioni fals equità monti sant moretti governo monti vol elimin 
"
RT @user: TROVA LE DIFFERENZE. http,1,"trova le differenza. 
","TROVA DIFFERENZE. 
","trova differenza.  
","RT @user: trov differenz http 
","TROVA DIFFERENZI. 
"
GOVERNO MONTI: SODDISFAZIONE PER LA COMPOSIZIONE DEL NUOVO ESECUTIVO http #terni,2,"governo monti soddisfazione per la composizione del nuovo esecutivo. 
","GOVERNO MONTI SODDISFAZIONE COMPOSIZIONE NUOVO ESECUTIVO  terni 
","governo monti soddisfazione composizione nuovo esecutivo.  
","GOVERNO MONTI: SODDISFAZION PER LA COMPOSIZIONE DEL NUOVO ESECUTIV http #terni 
","GOVERNO MONT SODDISFAZIONE COMPOSIZIONE NUOVO ESECUTIV terni 
"
"Invece di chiedersi perché #Grillo riempie le piazze, tutti pensano solo a dargli del populista!!! Roba da non credere!!!",0,"Invece di chiedersi perché #Grillo riempie le piazze, tutti pensa solo a dargli del populista!!! Roba da non credere!!! 
","Grillo riempie piazze tutti pensano dargli populista Roba credere.  
","Grillo riempie piazze tutti pensa dargli populista Roba credere  
","Invece di chied  perché #Grillo riemp  le piazza, tutti pens  solo a dargli del popul !!! Roba da non cred !!! 
","Grill riemp piazz tutti pens dan gli popul Roba cred.  
"
\n\t\t\t\tBossi ribadisce: «Aut-aut a Silvio o Formigoni o il governo Monti»\n\t\t\t: «Nessun gioco delle parti:... http,1,"Bossi ribadisce: «Aut-aut a Silvio o Formigoni o il governo Monti» : «Nessun gioco delle parti:... http'. 
","Bossi ribadisce Aut-aut Silvio Formigoni governo Monti Nessun gioco parti 
","Bossi ribadisce Aut-aut Silvio Formigoni governo Monti Nessun gioco parti 
","Bossi ribadisce: «Aut-aut a Silvio o Formigoni o il governo Monti» : «Nessun gioc part:... http'. 
","Bossi ribadis Aut-aut Silvio Formigoni govern Monti nessun gioc part.  
"
Però diciamoci la verità. L'amore alla fine é una cosa di cui non possiamo fare a meno con tutto ciò che porta. Ci fa crescere ogni volta,2,"Però diciamo la verità. L'amore alla fine è una cosa di cui non possiamo fare a meno con tutto ciò che porta. Ci fa crescere ogni volta. 
","diciamoci verità amore fine cosa cui non possiamo fare meno tutto porta fa crescere ogni volta 
","diciamo verità amore fine cosa non possiamo fare meno tutto porta fa crescere 
","Però diciamoci la verità. L'amor alla fin é una cosa di cui non possiamo far a meno con tutth che porta. Ci fa cres ogni volta. 
","dicia verità amor fin cosa cui non poss fa cres ogni volta 
"
"#Grillo vuol fare il #Berlusconi del '94. Sparigliare i partiti e prendere il potere. Ho i brividi, a un tale vichingo preferisco il nulla.",0,"Grillo vuol fare Berlusconi del '94. Sparigliare partiti e prendere potere. Ho brividi, a tale vichingo preferisco nulla. 
","Grillo vuol fare Berlusconi  Sparigliare partiti prendere potere  brividi  tale vichingo preferisco nulla. 
","Grillo vuol fare Berlusconi partiti prendere potere. brividi tale vichingo preferisco nulla.  
","#Grillo vuol far il #Berlusconi del '94. sparigliare i partit e prend il potere. ho i brividi, a un tale vichingo preferisco il nulla. 
","Grillu vol far Berlusconi sparigli partiti prend potere brivid tale vichingo preferis null.  
"
@user #Grillo dacci un giudizio netto su #Monti. E dicci c'è una forza politica con la quale faresti alleanze? Di Pietro sì o no?,1,"@user Grillo darci un giudizio netto su Monti. E dicci c'è una forza politica con la quale faresti alleanza? Di Pietro sì o no. 
","Grillo giudizio netto Monti. forza politica alleanze? Pietro sì no. 
","Grillo giudizio netto Monti.  forza politica  farebbe alleanza? Pietro sì no.  
","@user #Grillo dacci un giudizio nett su #Monti. E dicci c'è una forza politic con la quale faresti alleanz? Di Pietro sì o no? 
","Grillo giudiz netto Monti. forz politic alleanz? Pietr sì no.  
"
"@user anche io..però ci credo.. @user sarà decisivo, me lo sento #ForzaMilan",2,"io anche credo sarà decisivo io lo sento forza Milan 
","io credo  decidivo sentoForzaMilan 
","credo decisivo sento forza Milan  
","@user anche io..però cred.. @user sarà decisiv, me lo sent #ForzaMilan 
","io cred decid sentForzaMilan 
"
"L'ultima mania di #ClaudiaB è prendersela con Mario Monti. Dubito, però, che sappia davvero chi sia #dubbi #certezze",0,"ultima mania di ClaudiaB è prendersela con Mario Monti. Dubito però che sappia davvero chi sia.  
","ultima mania ClaudiaB prendersela Mario Monti. Dubito però che sappia davvero chi sia dubbi certezza. 
","mania ClaudiaB prendersela Mario Monti. Dubito però sappia davvero chi sia.  
","ultima mania di #ClaudiaB è prenders con Mario Monti. dubito, però, che sappia davvero chi sia #dubbi #certezze. 
","ultima mani ClaudiaB prendersi Mario Monti. dubit però che sapia davvero chi sia dubbi certezza.  
"
"la riunione del 18 è spostata a data da definire, importante dovete partecipare almeno alla metà delle lezioni pena esclusione dal gruppo",1,"la riunione del 18 è spostata a data da definire, importante voi partecipate almeno alla metà delle lezioni pena esclusione dal gruppo. 
","riunione 18 spostata data definire importante dovete partecipare metà lezioni pena esclusione gruppo 
","riunione 18 spostata data definire importante partecipate metà lezioni pena esclusione gruppo.  
","la riunione del 18 è spostata a data da definire, importan dovete partecipà almeno alla metà delle lezione pena esclusione dal grupp. 
","riunione 18 spostata data definire importan dovete partcipà metà lezion pena esclusione grupp.  
"
@user Grazie al mio CATANIA e una grande JUVE il campionato è ufficialmente RIAPERTO...,2,"@user Grazie al mio Catania e una grande Juve il campionato è ufficialmente riaperto. 
","CATANIA JUVE campionato RIAPERTO 
","Catania grande Juve campionato riaperto.  
","@user Grazie al mio CATANIA e una grande JUVE il campionat è ufficial RIAPERTO... 
","CATANIA JUVE campioni RIAPERT  
"
Certo che il professor Monti poteva dare una mano alla moglie in cucina... E che c... #cotechinoelenticchie,0,"Certo che il professor Monti poteva dare una mano alla moglie in cucina... E che c... #cotechinoelenticchie. 
","professor Monti poteva mano moglie cucina  #cotechinoelenticchie 
","Certo professor Monti poteva mano moglie cucina  #cotechinoelenticchie.  
","Certo che il professor Monti poteva dare una mano alla moglie in cucina... E che c... #cotechinoelenticchie 
","professor monti poteva mano moglie cucina  #cotechinoelenticchie 
"
@user tu dovresti fare un video con @user,1,"tu dovresti fare video con tu. 
","user video user 
","dovresti fare video con.  
","@user tu dovresti far video con @user 
","user video user 
"
"@user @user #Grillo #ServizioPubblico sto cominciando a pensare di votarlo, e non l'avevo mai fatto prima",2,"io cominciare pensare votar, e non l'avevo mai fatto prima. 
","pensare votarlo mai fatto 
","cominciare pensare votar non l'avevo mai fatto prima.  
","@user @user #Grillo #ServizioPublic sto cominciando a pensarlo, e non l'avv'ho mai fatt prima. 
","pensar votat mai fat 
"
http L'errore di Pdl e Pd che non vogliono una base politica per il governo Monti http,0,"errore Pdl Pd volere base politica governo Monti 
","errore Pdl Pd vogliono base politica governo Monti 
","errore Pdl Pd volere base politica governo Monti  
","http err di pdl e pd che non vol un base politic per il govern monti http 
","errore Pdl Pd volere base politic govern Monti  
"
@user ciao Claudio tutto ok?,1,"utente ciao Claudio tutto bene. 
","user ciao Claudio tutto ok 
","utente ciao Claudio bene.  
","@user ciao claudio tut ok? 
","user ciao claudio tut ok 
"
In Mario Monti we trust! #acasa,2,"In Mario Monti fidare #acasa 
","Mario Monti trust  #acasa 
","Mario Monti fidare  
","In Mari Monti we trust! #acasa 
","Mario Monti trust #acasa 
"
@user non mi portano fuori perchè il caro tommaso deve fare i compiti,0,"utente non portar fuori perché caro Tommaso deve fare compito. 
","user non portano fuori caro tommaso fare compiti 
","utente portar fuori perché caro Tommaso fare compito.  
","@user non port mi fuori perchè il caro tommas deve far i compit. 
","user non port fuori car tommas fa compit  
"
Controindicazioni del governo Monti?.. http via @user,1,"Controindicazione governo Monti?.. http via @user 
","Controindicazioni governo Monti  http via user 
","Controindicazione governo Monti  http via user 
","controindicazion govern monti http via @user 
","controindicazion govern mont http via user 
"
@user sei stato bravissimo ieri..non ti devi fare nessun problema...,2,"tu essere stato bravo ieri non tu devi fare nessun problema 
","user bravissimo ieri non devi fare problema 
","essere bravo ieri non devi fare problema  
","@user sei stat bravissim ieri..non ti devi far nessun problem.. 
","user bravissim ieri non devi far problem  
"
l'ultima cazzata sul governo Monti: metterà la tassa sul possesso di animali domestici! ma roba da matti....,0,"ultima cazzata sul governo Monti: metterà la tassa sul possesso di animale domestico! ma roba da matto.... 
","ultima cazzata governo Monti metterà tassa possesso animali domestici roba matti 
","ultima cazzata governo Monti metterà tassa possesso animale domestico roba matto 
","ultima cazzat govern mon: mett tass possess anim domestic! ma rob da matt.... 
","ultima cazzat govern mont metterà tass possess animal domest rob matt  
"
